The boys climbed up the tree faster than a pack of squirrels.	0 0 0 1 0 1 0 0 0 0 0 0	up a tree	literal	determiner-narrow	DET NOUN VERB ADP DET NOUN ADV ADP DET NOUN ADP NOUN
It all went wrong when they discovered something up a gum - tree in Malaysia and called it gutta - percha.	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0	up a tree	literal	combined-other	PRON DET VERB ADJ ADV PRON VERB NOUN ADP DET NOUN PUNCT NOUN ADP PROPN CCONJ VERB PRON ADJ PUNCT NOUN
Suddenly, the driver runs up a tree, climbing swiftly, hand over hand.	0 0 0 0 1 0 1 0 0 0 0 0	up a tree	literal	identical	ADV DET NOUN VERB PART DET NOUN VERB ADV VERB ADP NOUN
A guy with a gun sits up the tree and waits.	0 0 0 0 0 0 1 0 1 0 0	up a tree	literal	determiner-narrow	DET NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ NOUN
A silver and tawny tree creeper spiralled up a tree trunk, probing for beetle larvae with its long thin bill ; it dropped down to the roots of the next tree — and edged its way up once more.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	identical	DET NOUN CCONJ NOUN NOUN NOUN VERB PART DET NOUN NOUN VERB ADP NOUN NOUN ADP ADJ ADJ ADJ NOUN PUNCT PRON VERB PART ADP DET NOUN ADP DET ADJ NOUN PUNCT CCONJ VERB ADJ NOUN ADV ADV ADV
Suddenly then though her attention was taken by a red squirrel which darted from nowhere and, effortlessly it seemed, bounced over the grass and then, as if jerked up on a string, shot up a tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	up a tree	literal	identical	ADV ADV ADP ADJ NOUN VERB VERB ADP DET ADJ NOUN ADJ VERB ADP ADV CCONJ ADV PRON VERB VERB ADP DET NOUN CCONJ ADV ADP ADP VERB PART ADP DET NOUN VERB PART DET NOUN
£ 50 will buy enough tools and seeds to set up a tree nursery.	0 0 0 0 0 0 0 0 0 0 1 0 1 0	up a tree	literal	identical	SYM NUM VERB VERB ADJ NOUN CCONJ NOUN PART VERB PART DET NOUN NOUN
' I had got part way up the tree when the bear grabbed one of my shoes and pulled it off, ' she recalled.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	determiner-narrow	PUNCT PRON VERB VERB NOUN NOUN ADP DET NOUN ADV DET NOUN VERB NUM ADP ADJ NOUN CCONJ VERB PRON PART PUNCT PRON VERB
Every few minutes Jacques Devraux sent his trackers up the taller trees to scan the plain on the other side of the river, but each time they descended shaking their heads.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	combined-inflection	DET ADJ NOUN PROPN PROPN VERB ADJ NOUN ADP DET ADJ NOUN PART VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN PRON VERB VERB ADJ NOUN
You 're the guy up the tree. '	0 0 0 0 1 0 1 0	up a tree	figurative	determiner-narrow	PRON VERB DET NOUN ADP DET NOUN PUNCT
I went into the garden and I found the cat up a tree.	0 0 0 0 0 0 0 0 0 0 1 0 1	up a tree	literal	identical	PRON VERB ADP DET NOUN CCONJ PRON VERB DET NOUN ADP DET NOUN
eg. ( SELF, UP, DOWN ) would cause the model to first look at the user who caused the last transition for a possible match, followed by a search up the user tree and then down the tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	up a tree	literal	combined-other	NOUN PUNCT PROPN PROPN PROPN PUNCT VERB VERB DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ ADV ADP DET NOUN
And the Postman's spectacle was covered in greenflies from the vigorous activity up the tree : " No, but I says to him " — " Really, all right " — " Well " — " and " — " Oh, you 've done it " — " Must go down to the " — " Taps, got to get some " went the song to the rhythm of empty beer bottles dropping into the side pocket receptacles of tree - holder number 29 on the dustmen's route — and the tip - holding pockets for the dustmen were not full or anything cos the ladies had all forgotten their purses, and the paper, folding, crumpled, torn money had long since fluttered down from their knicker - elastic banks.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	determiner-narrow	CCONJ DET PROPN NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT PUNCT INTJ CCONJ PRON VERB ADP PRON PUNCT PUNCT PUNCT ADV ADV ADJ PUNCT PUNCT PUNCT ADJ PUNCT PUNCT PUNCT CCONJ PUNCT PUNCT PUNCT INTJ PRON VERB VERB PRON PUNCT PUNCT PUNCT VERB VERB ADV ADP DET PUNCT PUNCT PUNCT NOUN VERB PART VERB DET PUNCT VERB DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN VERB ADP DET ADJ NOUN NOUN ADP NOUN PUNCT NOUN NOUN NUM ADP DET NOUN NOUN PUNCT CCONJ DET NOUN PUNCT VERB NOUN ADP DET NOUN VERB ADV ADJ CCONJ NOUN ADP DET NOUN VERB DET VERB ADJ NOUN CCONJ DET NOUN VERB VERB ADJ NOUN VERB ADV ADP VERB PART ADP ADJ NOUN PUNCT ADJ NOUN
Zacchaeus knew he wouldn't get a very good look at Jesus because he was too short to see over the heads of the crowd, so he shinned up a tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	up a tree	literal	identical	PROPN VERB PRON VERB VERB DET ADV ADJ NOUN ADP PROPN ADP PRON VERB ADV ADJ PART VERB ADP DET NOUN ADP DET NOUN ADV PRON VERB PART DET NOUN
It darted up a tree with breathtaking ease, and the young man watched it leaping from bough to bough, as light and airy as a puff of grey smoke.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	identical	PRON VERB PART DET NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN VERB PRON VERB ADP NOUN PART VERB ADP NOUN CCONJ NOUN ADP DET NOUN ADP ADJ NOUN
Police are now talking to a 30 year old friend of the family, who's up a tree in the nearby woods, threatening to jump off a branch with a rope round his neck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	identical	NOUN VERB ADV VERB ADP DET NUM NOUN ADJ NOUN ADP DET NOUN NOUN ADV DET NOUN ADP DET ADJ NOUN VERB PART VERB PART DET NOUN ADP DET NOUN ADP ADJ NOUN
