I can move mountains,’ she finished, setting her stubborn mouth.	0 0 1 1 0 0 0 0 0 0	move mountains	figurative	dashes	PRON VERB VERB VERB PRON VERB VERB ADJ ADJ NOUN	▁I ▁can ▁move ▁mountains , ’ ▁she ▁finished , ▁setting ▁her ▁stubborn ▁mouth .	0 0 1 1 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB VERB PRON VERB VERB VERB ADJ ADJ NOUN NOUN
I may have the gift of inspired preaching ; I may have all knowledge and understand all secrets ; I may have all the faith needed to move mountains — but if I have no love, I am nothing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	PRON VERB VERB DET NOUN ADP ADJ NOUN PUNCT PRON VERB VERB DET NOUN CCONJ VERB DET NOUN PUNCT PRON VERB VERB ADJ DET NOUN VERB PART VERB NOUN PUNCT CCONJ ADP PRON VERB DET NOUN PRON VERB NOUN	▁I ▁may ▁have ▁the ▁gift ▁of ▁inspired ▁p reaching ▁ ; ▁I ▁may ▁have ▁all ▁knowledge ▁and ▁understand ▁all ▁secrets ▁ ; ▁I ▁may ▁have ▁all ▁the ▁faith ▁needed ▁to ▁move ▁mountains ▁ — ▁but ▁if ▁I ▁have ▁no ▁love , ▁I ▁am ▁nothing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN PUNCT PUNCT PRON VERB VERB DET NOUN CCONJ VERB DET NOUN PUNCT PUNCT PRON VERB VERB ADJ DET NOUN VERB PART VERB NOUN PUNCT PUNCT CCONJ ADP PRON VERB DET NOUN NOUN PRON VERB NOUN NOUN
‘ You say you can move mountains.	0 0 0 0 0 1 1	move mountains	figurative	identical	PUNCT PRON VERB PRON VERB VERB NOUN	▁ ‘ ▁You ▁say ▁you ▁can ▁move ▁mountains .	0 0 0 0 0 0 1 1 1	PUNCT PUNCT PRON VERB PRON VERB VERB NOUN NOUN
She could have done it, she knew she could, because she loved him, and love could move mountains.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	move mountains	figurative	identical	PRON VERB VERB VERB PRON PRON VERB PRON VERB ADP PRON VERB PRON CCONJ NOUN VERB VERB NOUN	▁She ▁could ▁have ▁done ▁it , ▁she ▁knew ▁she ▁could , ▁because ▁she ▁love d ▁him , ▁and ▁love ▁could ▁move ▁mountains .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB VERB PRON PRON PRON VERB PRON VERB VERB ADP PRON VERB VERB PRON PRON CCONJ NOUN VERB VERB NOUN NOUN
They taught me bravery in the face of bigotry, the way that anger intelligently channelled can move mountains, the use of laughter as a weapon and a source of strength.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	PRON VERB PRON NOUN ADP DET NOUN ADP NOUN DET NOUN ADJ NOUN ADV VERB VERB VERB NOUN DET NOUN ADP NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN	▁They ▁taught ▁me ▁brave ry ▁in ▁the ▁face ▁of ▁big ot ry , ▁the ▁way ▁that ▁anger ▁intelligent ly ▁channelled ▁can ▁move ▁mountains , ▁the ▁use ▁of ▁l aughter ▁as ▁a ▁weapon ▁and ▁a ▁source ▁of ▁strength .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON NOUN NOUN ADP DET NOUN ADP NOUN NOUN NOUN NOUN DET NOUN ADJ NOUN ADV ADV VERB VERB VERB NOUN NOUN DET NOUN ADP NOUN NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN NOUN
We should even be able to move mountains if we have enough faith.	0 0 0 0 0 0 1 1 0 0 0 0 0	move mountains	figurative	identical	PRON VERB ADV VERB ADJ PART VERB NOUN ADP PRON VERB ADJ NOUN	▁We ▁should ▁even ▁be ▁able ▁to ▁move ▁mountains ▁if ▁we ▁have ▁enough ▁faith .	0 0 0 0 0 0 1 1 0 0 0 0 0 0	PRON VERB ADV VERB ADJ PART VERB NOUN ADP PRON VERB ADJ NOUN NOUN
Besides, I have great faith in the power of love to move mountains.	0 0 0 0 0 0 0 0 0 0 0 1 1	move mountains	figurative	identical	ADV PRON VERB ADJ NOUN ADP DET NOUN ADP NOUN PART VERB NOUN	▁Besides , ▁I ▁have ▁great ▁faith ▁in ▁the ▁power ▁of ▁love ▁to ▁move ▁mountains .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADV ADV PRON VERB ADJ NOUN ADP DET NOUN ADP NOUN PART VERB NOUN NOUN
The architect represents neither a Dionysian nor an Apollinian state : here it is the great act of will, the will that moves mountains, the frenzy of the great will which aspires to art.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	inflection	DET NOUN VERB CCONJ DET PROPN CCONJ DET ADJ NOUN PUNCT ADV PRON VERB DET ADJ NOUN ADP NOUN DET NOUN ADJ VERB NOUN DET NOUN ADP DET ADJ NOUN ADJ VERB ADP NOUN	▁The ▁architect ▁represents ▁neither ▁a ▁Di ony s ian ▁nor ▁an ▁A pol lin ian ▁state ▁ : ▁here ▁it ▁is ▁the ▁great ▁act ▁of ▁will , ▁the ▁will ▁that ▁moves ▁mountains , ▁the ▁f renz y ▁of ▁the ▁great ▁will ▁which ▁aspire s ▁to ▁art .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB CCONJ DET PROPN PROPN PROPN PROPN CCONJ DET ADJ ADJ ADJ ADJ NOUN PUNCT PUNCT ADV PRON VERB DET ADJ NOUN ADP NOUN NOUN DET NOUN ADJ VERB NOUN NOUN DET NOUN NOUN NOUN ADP DET ADJ NOUN ADJ VERB VERB ADP NOUN NOUN
If the iceberg is too big, you might find yourself trapped underneath a moving mountain, bumped and towed along with less and less of a choice of where to go.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	misc	ADP DET NOUN VERB ADV ADJ PRON VERB VERB PRON VERB ADP DET VERB NOUN VERB CCONJ VERB ADP ADP ADJ CCONJ ADJ ADP DET NOUN ADP ADV PART VERB	▁If ▁the ▁ice berg ▁is ▁too ▁big , ▁you ▁might ▁find ▁yourself ▁trapped ▁under ne ath ▁a ▁moving ▁mountain , ▁b ump ed ▁and ▁towed ▁along ▁with ▁less ▁and ▁less ▁of ▁a ▁choice ▁of ▁where ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN VERB ADV ADJ ADJ PRON VERB VERB PRON VERB ADP ADP ADP DET VERB NOUN NOUN VERB VERB VERB CCONJ VERB ADP ADP ADJ CCONJ ADJ ADP DET NOUN ADP ADV PART VERB VERB
Jesus ' talk about moving mountains maybe provided a note of humour.	0 0 0 0 1 1 0 0 0 0 0 0	move mountains	figurative	misc	PROPN PART NOUN ADP VERB NOUN ADV VERB DET NOUN ADP NOUN	▁Jesus ▁' ▁talk ▁about ▁moving ▁mountains ▁maybe ▁provided ▁a ▁note ▁of ▁h umour .	0 0 0 0 1 1 0 0 0 0 0 0 0 0	PROPN PART NOUN ADP VERB NOUN ADV VERB DET NOUN ADP NOUN NOUN NOUN
And I 've been a few years on the Council now and when I first went on the Council I was going to move mountains and make oh big Taj Mahals everywhere, but when you get on these things you have a rude awakening, it doesn't work out that way and it works out exactly the same in this erm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	CCONJ PRON VERB VERB DET ADJ NOUN ADP DET PROPN ADV CCONJ ADV PRON ADV VERB ADP DET PROPN PRON VERB VERB PART VERB NOUN CCONJ VERB INTJ ADJ PROPN PROPN ADV CCONJ ADV PRON VERB ADP DET NOUN PRON VERB DET ADJ NOUN PRON VERB VERB PART DET NOUN CCONJ PRON VERB PART ADV DET ADJ ADP DET NOUN	▁And ▁I ▁' ve ▁been ▁a ▁few ▁years ▁on ▁the ▁Council ▁now ▁and ▁when ▁I ▁first ▁went ▁on ▁the ▁Council ▁I ▁was ▁going ▁to ▁move ▁mountains ▁and ▁make ▁ oh ▁big ▁T aj ▁Mah al s ▁everywhere , ▁but ▁when ▁you ▁get ▁on ▁these ▁things ▁you ▁have ▁a ▁ru de ▁awake ning , ▁it ▁does n ' t ▁work ▁out ▁that ▁way ▁and ▁it ▁works ▁out ▁exactly ▁the ▁same ▁in ▁this ▁er m .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB VERB DET ADJ NOUN ADP DET PROPN ADV CCONJ ADV PRON ADV VERB ADP DET PROPN PRON VERB VERB PART VERB NOUN CCONJ VERB INTJ INTJ ADJ PROPN PROPN PROPN PROPN PROPN ADV ADV CCONJ ADV PRON VERB ADP DET NOUN PRON VERB DET ADJ ADJ NOUN NOUN NOUN PRON VERB VERB VERB VERB VERB PART DET NOUN CCONJ PRON VERB PART ADV DET ADJ ADP DET NOUN NOUN NOUN
