Miss Pears is best bar none	0 0 0 0 1 1	bar none	figurative	identical	PROPN PROPN VERB ADJ NOUN NOUN
Bar none. '	1 1 0	bar none	figurative	case	VERB NOUN PUNCT
Rosie Perez is the sexiest actress in the world bar none.	0 0 0 0 0 0 0 0 0 1 1	bar none	figurative	identical	PROPN PROPN VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN
Either he was dead straight, or else he was the sharpest operator - bar none, including the guy she 'd met on a singles ' holiday who 'd almost managed to convince her that he was on his final fling with only ninety days left to live — that she had ever encountered.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bar none	figurative	identical	CCONJ PRON VERB ADJ ADJ CCONJ ADV PRON VERB DET ADJ NOUN PUNCT NOUN NOUN VERB DET NOUN PRON VERB VERB ADP DET NOUN PART NOUN NOUN VERB ADV VERB PART VERB PRON ADP PRON VERB ADP ADJ ADJ NOUN ADP ADV NUM NOUN VERB PART VERB PUNCT ADP PRON VERB ADV VERB
‘ Bristol have the best young backs in the country bar none’— Painter, Redrup, Hull and, on the day, we could not get near Morgan’—PETER POLLEDRI ( Clifton captain ) after the Pilkington Cup defeat at Bristol.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bar none	figurative	dashes	PUNCT PROPN VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN NOUN PROPN PROPN PROPN CCONJ ADP DET NOUN PRON VERB ADV VERB ADP ADJ PROPN PUNCT PROPN NOUN PUNCT ADP DET PROPN PROPN NOUN ADP PROPN
Why, I 've heard tell from the Bishop's secretary that yours used to be the best Mystery in the land, bar none.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	bar none	figurative	identical	ADV PRON VERB VERB VERB ADP DET PROPN NOUN ADP PRON VERB PART VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN
The best bar none	0 0 1 1	bar none	figurative	identical	DET ADJ NOUN NOUN
Quite the best reasoned stuff on the subject, bar none, has been written by E.W. Swanton in the The Daily Telegraph.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	bar none	figurative	identical	ADJ DET ADJ VERB NOUN ADP DET NOUN NOUN NOUN VERB VERB VERB ADP PROPN PROPN ADP DET PROPN PROPN PROPN
Could it possibly be mere chance, I asked myself, that this manna from God knew where just happened to be my absolute favourites bar none?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	bar none	figurative	identical	VERB PRON ADV VERB ADJ NOUN PRON VERB PRON ADP DET NOUN ADP PROPN VERB ADV ADV VERB PART VERB ADJ ADJ NOUN NOUN NOUN
I must say I 've only grown two maincrop this year, I 've been clearing some new ground and I 've just grown King Edward and Pink Fir Apple, I 've got the biggest biggest Pink Fir Apples you have ever seen bar none but I 'm coming back to you now Fred, I put to you a few minutes ago, your personal recommendations for the best three or four or five potatoes for the different cooking purposes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bar none	figurative	identical	PRON VERB VERB PRON VERB ADV VERB NUM NOUN DET NOUN PRON VERB VERB VERB DET ADJ NOUN CCONJ PRON VERB ADV VERB PROPN PROPN CCONJ PROPN PROPN PROPN PRON VERB VERB DET ADJ ADJ PROPN PROPN PROPN PRON VERB ADV VERB NOUN NOUN CCONJ PRON VERB VERB ADV ADP PRON ADV PROPN PRON VERB ADP PRON DET ADJ NOUN ADV ADJ ADJ NOUN ADP DET ADJ NUM CCONJ NUM CCONJ NUM NOUN ADP DET ADJ NOUN NOUN
The hammock was the best hole in the world after a rough night ashore, bar none!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	bar none	figurative	identical	DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN ADV NOUN NOUN
