And for God's sake bury the hatchet.’	0 0 0 0 1 0 1	bury the hatchet	figurative	dashes	CCONJ ADP PROPN NOUN VERB DET NOUN
Isn't it about time you guys buried the hatchet and let bygones be bygones?	0 0 0 0 0 0 1 0 1 0 0 0 0 0	bury the hatchet	figurative	inflection	VERB PRON ADP NOUN PRON NOUN VERB DET NOUN CCONJ VERB NOUN VERB NOUN
I 'm sorry to this day that he and I could not have buried the hatchet as well.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	bury the hatchet	figurative	inflection	PRON VERB ADJ ADP DET NOUN ADP PRON CCONJ PRON VERB ADV VERB VERB DET NOUN ADV ADV
At long last, the two chiefs of the Indian tribes have decided to bury the hatchet and smoke the peace pipe.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	bury the hatchet	figurative	identical	ADP ADV ADV DET NUM NOUN ADP DET ADJ NOUN VERB VERB PART VERB DET NOUN CCONJ VERB DET NOUN NOUN
Last night's developments came just 24 hours after TODAY revealed how Diana had agreed a secret pact with Charles to bury the hatchet for the sake of appearances.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	bury the hatchet	figurative	identical	ADJ NOUN NOUN VERB ADV NUM NOUN ADP NOUN VERB ADV PROPN VERB VERB DET ADJ NOUN ADP PROPN PART VERB DET NOUN ADP DET NOUN ADP NOUN
Christmas looks to be a time for burying the hatchet or exhuming it for re - examination.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	bury the hatchet	figurative	inflection	PROPN VERB PART VERB DET NOUN ADP VERB DET NOUN CCONJ VERB PRON ADP NOUN PUNCT NOUN
After the race, the two men met and sensibly buried the hatchet.	0 0 0 0 0 0 0 0 0 1 0 1	bury the hatchet	figurative	inflection	ADP DET NOUN DET NUM NOUN VERB CCONJ ADV VERB DET NOUN
BARONESS Thatcher and Hong Kong governor Chris Patten have buried the hatchet.	0 0 0 0 0 0 0 0 0 1 0 1	bury the hatchet	figurative	inflection	PROPN PROPN CCONJ PROPN PROPN NOUN PROPN PROPN VERB VERB DET NOUN
Senna buries the hatchet	0 1 0 1	bury the hatchet	figurative	inflection	PROPN NOUN DET NOUN
‘ Given a pitch more worn than an umpire's eardrum,’ he wrote ( if that is the word ), ‘ 99 was not a straightforward target, and when the temperature was threatening to melt the mercury in the thermometer, Graham Gooch could scarcely have been more grateful for having buried the hatchet with Hampshire's intrepid aviator.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	bury the hatchet	figurative	inflection	PUNCT VERB DET NOUN ADV ADJ ADP DET NOUN NOUN PRON VERB PUNCT ADP DET VERB DET NOUN PUNCT PUNCT NUM VERB ADV DET ADJ NOUN CCONJ ADV DET NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN PROPN PROPN VERB ADV VERB VERB ADV ADJ ADP VERB VERB DET NOUN ADP PROPN ADJ NOUN
Skipper Graham Gooch and Gower, one of England's true post - war cricketing idols, had buried the hatchet in the wake of one of the game's most public and personalised slanging matches.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bury the hatchet	figurative	inflection	PROPN PROPN PROPN CCONJ PROPN NUM ADP PROPN ADJ NOUN PUNCT NOUN VERB NOUN VERB VERB DET NOUN ADP DET NOUN ADP NUM ADP DET NOUN ADV ADJ CCONJ VERB NOUN NOUN
