I think we 're going to need to put this project on the back burner for a little while.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	on the back burner	figurative	identical	PRON VERB PRON VERB VERB PART VERB PART VERB DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN
When faster music does at last arrive for the ‘ Magic Carillon’ and the ‘ Infernal Dance,’its energy splutters ineffectually on the back burner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the back burner	figurative	identical	ADV ADJ NOUN VERB ADP ADJ NOUN ADP DET PUNCT PROPN PROPN CCONJ DET PUNCT PROPN PROPN NOUN NOUN ADV ADP DET NOUN NOUN
The company's next Sparc processor, the 100MHz Viper, has been put on the back burner pending Sun's decision.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	on the back burner	figurative	identical	DET NOUN ADJ PROPN NOUN DET NUM NOUN VERB VERB VERB ADP DET NOUN NOUN VERB PROPN NOUN
Tom put his career on the back burner and became a house husband, to enable Mary to pursue her career.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the back burner	figurative	identical	PROPN VERB ADJ NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN NOUN PART VERB PROPN PART VERB ADJ NOUN
‘ Ratners thought this through a couple of years ago and then found itself locked into the game of pushing price to keep volumes moving and everything was put on the back burner,’ says Richards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	on the back burner	figurative	dashes	PUNCT NOUN VERB DET ADP DET NOUN ADP NOUN ADV CCONJ ADV VERB PRON VERB ADP DET NOUN ADP VERB NOUN PART VERB NOUN VERB CCONJ NOUN VERB VERB ADP DET NOUN NOUN VERB PROPN
Ashby was keen because of the sparking relationship that existed between Nicholson and Michelle — but eventually the script was put on the back burner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the back burner	figurative	identical	PROPN VERB ADJ ADP ADP DET VERB NOUN ADJ VERB ADP PROPN CCONJ PROPN PUNCT CCONJ ADV DET NOUN VERB VERB ADP DET NOUN NOUN
Erm right just t message on secretaries clubs, going to put them on a back burner for a while then in terms of actually forming a club as such	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the back burner	figurative	determiner-narrow	ADV ADV ADV DET NOUN ADP NOUN NOUN VERB PART VERB PRON ADP DET NOUN NOUN ADP DET NOUN ADV ADP NOUN ADP ADV VERB DET NOUN ADP ADJ
He wants the matter to be put on the back burner until the Republic have taken another important step towards next year's USA finals.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the back burner	figurative	identical	PRON VERB DET NOUN PART VERB VERB ADP DET NOUN NOUN ADP DET PROPN VERB VERB DET ADJ NOUN ADP ADJ NOUN PROPN NOUN
Cope reckons that the album of B - sides will emerge one day but, with a ‘ Best Of … ’ currently on sale, the idea has been placed on the back - burner indefinitely.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	on the back burner	figurative	dashes	PROPN VERB ADP DET NOUN ADP NOUN PUNCT NOUN VERB VERB NUM NOUN CCONJ ADP DET PUNCT ADJ ADP PUNCT PUNCT ADV ADP NOUN DET NOUN VERB VERB VERB ADP DET NOUN PUNCT NOUN ADV
He also made it clear that any thoughts of topping the 221 mark are being put firmly on the back burner, with the fastest 100, set last year in mid - December, his next target.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the back burner	figurative	identical	PRON ADV VERB PRON ADJ ADP DET NOUN ADP VERB DET NUM NOUN VERB VERB VERB ADV ADP DET NOUN NOUN ADP DET ADJ NUM VERB ADJ NOUN ADP ADJ PUNCT PROPN ADJ ADJ NOUN
I think the government should slow down on all its activities at the present time and concentrate on getting the economy right, and everything else put on the back burner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the back burner	figurative	identical	PRON VERB DET NOUN VERB VERB PART ADP ADJ ADJ NOUN ADP DET ADJ NOUN CCONJ VERB ADP VERB DET NOUN ADJ CCONJ NOUN ADV VERB ADP DET NOUN NOUN
The Government has shied away from forcing unions to discipline members who take part in unofficial action, and has put proposals to curb strikes in essential services on the back burner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the back burner	figurative	identical	DET PROPN VERB VERB ADV ADP VERB NOUN PART VERB NOUN NOUN VERB NOUN ADP ADJ NOUN CCONJ VERB VERB NOUN PART VERB NOUN ADP ADJ NOUN ADP DET NOUN NOUN
The trouble was I started wanting to play straight - ahead rock and heavy metal and so I left the traditional blues stuff on the back burner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the back burner	figurative	identical	DET NOUN VERB PRON VERB VERB PART VERB ADV PUNCT NOUN NOUN CCONJ ADJ NOUN CCONJ ADV PRON VERB DET ADJ NOUN NOUN ADP DET NOUN NOUN
Furthermore, Adenauer was prepared to put the question of national unity on the back burner as a result of his clear moral choice for the values of the West.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the back burner	figurative	identical	ADV PROPN VERB VERB PART VERB DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADP ADJ ADJ ADJ NOUN ADP DET NOUN ADP DET PROPN
But the Guildford Four were released at just the wrong time, and the government quietly put the scheme on the back burner — indefinitely, it would seem.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	on the back burner	figurative	identical	CCONJ DET PROPN PROPN VERB VERB ADP ADV DET ADJ NOUN CCONJ DET NOUN ADV VERB DET NOUN ADP DET NOUN NOUN PUNCT ADV PRON VERB VERB
Regarded as an urgent problem until recently, the federal deficit is now being placed on the back burner of American politics.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	on the back burner	figurative	identical	VERB ADP DET ADJ NOUN ADP ADV DET ADJ NOUN VERB ADV VERB VERB ADP DET NOUN NOUN ADP ADJ NOUN
