New York and Dallas both failed to get off the ground, either financially or politically.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	get off the ground	figurative	identical	PROPN PROPN CCONJ PROPN DET VERB PART VERB ADP DET NOUN CCONJ ADV CCONJ ADV
We could have an interesting separate debate about the role of sponsorship, but we accept that, if any sport in this country is to get off the ground, such sponsorship is a mandatory part of the scene.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	PRON VERB VERB DET ADJ ADJ NOUN ADP DET NOUN ADP NOUN CCONJ PRON VERB ADP ADP DET NOUN ADP DET NOUN VERB PART VERB ADP DET NOUN ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN
There was some small group of Irish, bloody crackpots, who wanted to do it, but that never got off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	ADV VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN VERB PART VERB PRON CCONJ DET ADV VERB ADP DET NOUN
If the congregation is distracted by an inappropriate piece, and technical shortcomings or insensitivity in its performance, the worship will not get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	ADP DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ ADJ NOUN CCONJ ADV ADP ADJ NOUN DET NOUN VERB ADV VERB ADP DET NOUN
He laughed, because I was still to get off the ground.	0 0 0 0 0 0 0 1 1 0 1	get off the ground	literal	identical	PRON VERB ADP PRON VERB ADV PART VERB ADP DET NOUN
AN Anglo - Russian company got off the ground yesterday to run production and sales of a Rolls - Royce - powered Tupolev airliner.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	DET ADJ PUNCT ADJ NOUN VERB ADP DET NOUN NOUN PART VERB NOUN CCONJ NOUN ADP DET PROPN PUNCT PROPN PUNCT VERB PROPN NOUN
The project that never got off the ground may need redesigning.	0 0 0 0 1 1 0 1 0 0 0	get off the ground	figurative	inflection	DET NOUN ADJ ADV VERB ADP DET NOUN VERB VERB NOUN
Even more gripping than this documentary feature is Apted's fictional movie based on the same incident, Thunderheart, a tight, concentrated political drama which the director got off the ground thanks to the backing of Robert De Niro.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	ADV ADV ADJ ADP DET NOUN NOUN VERB VERB ADJ NOUN VERB ADP DET ADJ NOUN PROPN DET ADJ ADJ ADJ NOUN ADJ DET NOUN VERB ADP DET NOUN NOUN ADP DET NOUN ADP PROPN PROPN PROPN
If this new award gets off the ground, it will replace the current British Quality Association Awards which was won by Chemical Products Billingham in 1989 and for which ‘ Melinar’ at Wilton received a commendation in 1991.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	ADP DET ADJ NOUN VERB ADP DET NOUN PRON VERB VERB DET ADJ PROPN PROPN PROPN PROPN ADJ VERB VERB ADP PROPN PROPN PROPN ADP NUM CCONJ ADP ADJ PUNCT NOUN ADP PROPN VERB DET NOUN ADP NUM
Method b ) home produced mailing lists, which was CPRE's single most successful recruitment method between January and June 1992, did not really get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	PROPN PUNCT PUNCT NOUN VERB NOUN NOUN ADJ VERB PROPN ADJ ADV ADJ NOUN NOUN ADP PROPN CCONJ PROPN NUM VERB ADV ADV VERB ADP DET NOUN
Now, what are you doing to really see this is getting off the ground?	0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	ADV NOUN VERB PRON VERB PART ADV VERB DET VERB VERB PART DET NOUN
