And it's not something that I enjoy, so that you 'll try every which way to try and avoid it.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	every which way	figurative	identical	CCONJ PRON ADV NOUN ADJ PRON VERB ADP ADP PRON VERB VERB DET ADJ NOUN PART VERB CCONJ VERB PRON
‘ And your hair is every which way.	0 0 0 0 0 1 1 1	every which way	figurative	identical	PUNCT CCONJ ADJ NOUN VERB DET ADJ NOUN
He shook his head in wonder and his hair went every which way.	0 0 0 0 0 0 0 0 0 0 1 1 1	every which way	figurative	identical	PRON VERB ADJ NOUN ADP NOUN CCONJ ADJ NOUN VERB DET ADJ NOUN
But a minute later I could see what was going to happen and I began thinking every which way of how to change the subject.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	every which way	figurative	identical	CCONJ DET NOUN ADV PRON VERB VERB NOUN VERB VERB PART VERB CCONJ PRON VERB VERB DET ADJ NOUN ADP ADV PART VERB DET NOUN
I took the advice I always give my students — try every new tool ‘ every - which - way’ to find out what you can do with them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	every which way	figurative	dashes	PRON VERB DET NOUN PRON ADV VERB ADJ NOUN PUNCT VERB DET ADJ NOUN PUNCT DET PUNCT ADJ PUNCT NOUN PART VERB PART NOUN PRON VERB VERB ADP PRON
The richness and diversity will be when your grandchildren, your great grandchildren, are of mixed race, mixed ancestry : look at each other with fondness and love out of eyes which slant every which way and who compare the shade of their skins with interest, not envy : because the paler the skin no longer means the longer - lived, the more prosperous, the more educated, the more capable of reaching the fullness of human potential.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every which way	figurative	identical	DET NOUN CCONJ NOUN VERB VERB ADV ADJ NOUN ADJ ADJ NOUN VERB ADP ADJ NOUN ADJ NOUN PUNCT VERB ADP DET ADJ ADP NOUN CCONJ VERB ADP ADP NOUN ADJ VERB DET ADJ NOUN CCONJ NOUN VERB DET NOUN ADP ADJ NOUN ADP NOUN ADV NOUN PUNCT ADP DET NOUN DET NOUN ADV ADV VERB DET ADV PUNCT VERB DET ADV ADJ DET ADV VERB DET ADV ADJ ADP VERB DET NOUN ADP ADJ NOUN
The laundered clothes had fallen every which way and my cases were in a jumbled heap in the back, but we didn't stop.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every which way	figurative	identical	DET VERB NOUN VERB VERB DET ADJ NOUN CCONJ ADJ NOUN VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB VERB
I 'm buggered every which way I turn because the ruins are mine, but the land beneath is somebody else's.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every which way	figurative	identical	PRON NOUN VERB DET ADJ NOUN PRON VERB ADP DET NOUN VERB ADJ CCONJ DET NOUN NOUN VERB NOUN ADV
A few of the pieces were properly stored, with dustsheets and numbered tags, but most of the stuff was just crammed in every which way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	every which way	figurative	identical	DET ADJ ADP DET NOUN VERB ADV VERB ADP NOUN CCONJ VERB NOUN CCONJ ADJ ADP DET NOUN VERB ADV VERB ADP DET ADJ NOUN
Yeah, he's a rock star sure enough, wit’ his guitar in hock, his ugly mug juttin ' out every which way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	every which way	figurative	identical	INTJ PRON DET NOUN NOUN ADV ADV PROPN ADJ NOUN ADP NOUN ADJ ADJ X NOUN PUNCT ADV DET ADJ NOUN
And such an explanation is needed, believe me, scarcely a key is free of its overlay of jargon — RND, STEP and NOT share keys with obscure wiggly brackets, slanty lines and arrows pointing every which way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	every which way	figurative	identical	CCONJ ADJ DET NOUN VERB VERB VERB PRON ADV DET NOUN VERB ADJ ADP ADJ NOUN ADP NOUN PUNCT PROPN NOUN CCONJ ADV VERB NOUN ADP ADJ ADJ NOUN NOUN NOUN CCONJ NOUN VERB DET ADJ NOUN
I tried blanching and not blanching, cutting them every which way and freezing whole.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	every which way	figurative	identical	PRON VERB VERB CCONJ ADV VERB VERB PRON DET ADJ NOUN CCONJ NOUN NOUN
They were crashing, tumbling, writhing every which way.	0 0 0 0 0 1 1 1	every which way	figurative	identical	PRON VERB VERB VERB VERB DET ADJ NOUN
Little branches wandering off it every which way.	0 0 0 0 0 1 1 1	every which way	figurative	identical	ADJ NOUN VERB PART PRON DET ADJ NOUN
