This in no way limited the cut - and - thrust of political disagreement.	0 0 0 0 0 0 1 0 1 0 1 0 0 0	cut and thrust	figurative	dashes	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN	▁This ▁in ▁no ▁way ▁limited ▁the ▁cut ▁- ▁and ▁- ▁thrust ▁of ▁political ▁disagreement .	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN NOUN
For the final countdown, however, it was only proper to dispatch young Paxman to South Wales, to put Walden back in his ferret - cage, to give Dimbleby some swingometers to play with, and to entrust the real bluster, the real cut and thrust, to the greatest pro of them all, Sir Robin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADP DET ADJ NOUN ADV PRON VERB ADV ADJ PART VERB ADJ PROPN ADP PROPN PROPN PART VERB PROPN ADV ADP ADJ ADJ PUNCT NOUN PART VERB PROPN DET NOUN PART VERB ADP CCONJ PART VERB DET ADJ NOUN DET ADJ NOUN CCONJ VERB ADP DET ADJ NOUN ADP PRON DET PROPN PROPN	▁For ▁the ▁final ▁count down , ▁however , ▁it ▁was ▁only ▁proper ▁to ▁dispatch ▁young ▁P ax man ▁to ▁South ▁Wales , ▁to ▁put ▁W al den ▁back ▁in ▁his ▁fer ret ▁- ▁cage , ▁to ▁give ▁D imble by ▁some ▁sw ing ometers ▁to ▁play ▁with , ▁and ▁to ▁entrust ▁the ▁real ▁bl uster , ▁the ▁real ▁cut ▁and ▁thrust , ▁to ▁the ▁greatest ▁pro ▁of ▁them ▁all , ▁Sir ▁Ro bin .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN NOUN NOUN ADV ADV PRON VERB ADV ADJ PART VERB ADJ PROPN PROPN PROPN ADP PROPN PROPN PROPN PART VERB PROPN PROPN PROPN ADV ADP ADJ ADJ ADJ PUNCT NOUN NOUN PART VERB PROPN PROPN PROPN DET NOUN NOUN NOUN PART VERB ADP ADP CCONJ PART VERB DET ADJ NOUN NOUN NOUN DET ADJ NOUN CCONJ VERB VERB ADP DET ADJ NOUN ADP PRON DET DET PROPN PROPN PROPN PROPN
The man on the right had been reading while the scintillating cut and thrust of Alf and Bert had dominated the ward : Amiss thought that a good sign.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	DET NOUN ADP DET NOUN VERB VERB VERB ADP DET VERB NOUN CCONJ NOUN ADP PROPN CCONJ PROPN VERB VERB DET NOUN PUNCT ADJ VERB ADP DET ADJ NOUN	▁The ▁man ▁on ▁the ▁right ▁had ▁been ▁reading ▁while ▁the ▁sc in til lating ▁cut ▁and ▁thrust ▁of ▁A lf ▁and ▁Ber t ▁had ▁dominated ▁the ▁ward ▁ : ▁A miss ▁thought ▁that ▁a ▁good ▁sign .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN VERB VERB VERB ADP DET VERB VERB VERB VERB NOUN CCONJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB VERB DET NOUN PUNCT PUNCT ADJ ADJ VERB ADP DET ADJ NOUN NOUN
Many elderly people have a wide range of interests, maintain them — if only through reading — right on into old age, and still enjoy the cut and thrust of discussion and debate ; but we have to accept the fact that for some, the main topics of conversation will be their own and other people's health, past reminiscences, and family matters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADJ ADJ NOUN VERB DET ADJ NOUN ADP NOUN VERB PRON PUNCT ADP ADV ADP NOUN PUNCT ADV ADP ADP ADJ NOUN CCONJ ADV VERB DET NOUN CCONJ NOUN ADP NOUN CCONJ NOUN PUNCT CCONJ PRON VERB PART VERB DET NOUN ADP ADP DET DET ADJ NOUN ADP NOUN VERB VERB ADJ ADJ CCONJ ADJ NOUN NOUN ADJ NOUN CCONJ NOUN NOUN	▁Many ▁elderly ▁people ▁have ▁a ▁wide ▁range ▁of ▁interests , ▁maintain ▁them ▁ — ▁if ▁only ▁through ▁reading ▁ — ▁right ▁on ▁into ▁old ▁age , ▁and ▁still ▁enjoy ▁the ▁cut ▁and ▁thrust ▁of ▁discussion ▁and ▁debate ▁ ; ▁but ▁we ▁have ▁to ▁accept ▁the ▁fact ▁that ▁for ▁some , ▁the ▁main ▁topics ▁of ▁conversation ▁will ▁be ▁their ▁own ▁and ▁other ▁people ' s ▁health , ▁past ▁re mini s ce nces , ▁and ▁family ▁matters .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB DET ADJ NOUN ADP NOUN NOUN VERB PRON PUNCT PUNCT ADP ADV ADP NOUN PUNCT PUNCT ADV ADP ADP ADJ NOUN NOUN CCONJ ADV VERB DET NOUN CCONJ NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT CCONJ PRON VERB PART VERB DET NOUN ADP ADP DET DET DET ADJ NOUN ADP NOUN VERB VERB ADJ ADJ CCONJ ADJ NOUN NOUN NOUN NOUN NOUN ADJ NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN
Cup games bring relief from the cut and thrust of the League and more importantly can bring much needed revenue to the club.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	NOUN NOUN VERB NOUN ADP DET NOUN CCONJ NOUN ADP DET PROPN CCONJ ADV ADV VERB VERB ADV VERB NOUN ADP DET NOUN	▁C up ▁games ▁bring ▁relief ▁from ▁the ▁cut ▁and ▁thrust ▁of ▁the ▁League ▁and ▁more ▁importantly ▁can ▁bring ▁much ▁needed ▁revenue ▁to ▁the ▁club .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB NOUN ADP DET NOUN CCONJ NOUN ADP DET PROPN CCONJ ADV ADV VERB VERB ADV VERB NOUN ADP DET NOUN NOUN
Mirror Group Newspapers enjoyed support, up 4p at 83p, buoyed by new boss David Montgomery's cut and thrust management style.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	cut and thrust	figurative	identical	PROPN PROPN PROPN VERB NOUN ADV NUM ADP NUM VERB ADP ADJ NOUN PROPN PROPN NOUN CCONJ VERB NOUN NOUN	▁M irr or ▁Group ▁News paper s ▁enjoyed ▁support , ▁up ▁4 p ▁at ▁83 p , ▁buoy ed ▁by ▁new ▁bo s s ▁David ▁Mont g omer y ' s ▁cut ▁and ▁thrust ▁management ▁style .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN ADV NUM NUM ADP NUM NUM NUM VERB VERB ADP ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN CCONJ VERB NOUN NOUN NOUN
This second slice of the band's ‘ dessert album trilogy’ may not be as abrasive as Mudhoney's earlier attack, but there's still enough cut and thrust to enjoy and thrill along to.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	DET ADJ NOUN ADP DET NOUN ADJ NOUN NOUN NOUN VERB ADV VERB ADV ADJ ADP PROPN ADJ NOUN CCONJ ADV ADV ADJ VERB CCONJ VERB PART VERB CCONJ VERB PART ADP	▁This ▁second ▁slice ▁of ▁the ▁band ' s ▁ ‘ ▁des s ert ▁al b um ▁tri logy ’ ▁may ▁not ▁be ▁as ▁abrasive ▁as ▁Mu d ho ney ' s ▁earlier ▁attack , ▁but ▁there ' s ▁still ▁enough ▁cut ▁and ▁thrust ▁to ▁enjoy ▁and ▁th rill ▁along ▁to .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET NOUN NOUN NOUN ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB ADV VERB ADV ADJ ADP PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN CCONJ ADV ADV ADV ADV ADJ VERB CCONJ VERB PART VERB CCONJ VERB VERB PART ADP ADP
The cut and thrust over pricing proved a salutary experience for Virgin Atlantic and Richard Branson.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	DET NOUN CCONJ VERB PART NOUN VERB DET ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN	▁The ▁cut ▁and ▁thrust ▁over ▁pricing ▁proved ▁a ▁sal ut ary ▁experience ▁for ▁Virgin ▁Atlantic ▁and ▁Richard ▁B ran son .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN CCONJ VERB PART NOUN VERB DET ADJ ADJ ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN
There's no room for a bit of cut and thrust, it's just … it's like … two great stupid fellows standing toe to toe and … bludgeoning.’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADV DET NOUN ADP DET NOUN ADP NOUN CCONJ VERB PRON ADV PUNCT PRON INTJ PUNCT NUM ADJ ADJ NOUN VERB NOUN ADP VERB CCONJ PUNCT ADJ	▁There ' s ▁no ▁room ▁for ▁a ▁bit ▁of ▁cut ▁and ▁thrust , ▁it ' s ▁just ▁... ▁it ' s ▁like ▁... ▁two ▁great ▁stupid ▁fellow s ▁standing ▁to e ▁to ▁to e ▁and ▁... ▁bl udge on ing . ’	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV DET NOUN ADP DET NOUN ADP NOUN CCONJ VERB VERB PRON PRON PRON ADV PUNCT PRON PRON PRON INTJ PUNCT NUM ADJ ADJ NOUN NOUN VERB NOUN NOUN ADP VERB VERB CCONJ PUNCT ADJ ADJ ADJ ADJ ADJ ADJ
Moreover, in some places these services were explicitly provided, usually by Labour - controlled authorities, to offer protection against the ‘ purifying winds’ of the market, and to mitigate the cut and thrust of commercial rationality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADV ADP DET NOUN DET NOUN VERB ADV VERB ADV ADP PROPN PUNCT VERB NOUN PART VERB NOUN ADP DET PUNCT NOUN NOUN ADP DET NOUN CCONJ PART VERB DET NOUN CCONJ NOUN ADP ADJ NOUN	▁Moreover , ▁in ▁some ▁places ▁these ▁services ▁were ▁explicitly ▁provided , ▁usually ▁by ▁Labour ▁- ▁controlled ▁authorities , ▁to ▁offer ▁protection ▁against ▁the ▁ ‘ ▁purifying ▁wind s ’ ▁of ▁the ▁market , ▁and ▁to ▁mitigate ▁the ▁cut ▁and ▁thrust ▁of ▁commercial ▁rationality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV ADV ADP DET NOUN DET NOUN VERB ADV VERB VERB ADV ADP PROPN PUNCT VERB NOUN NOUN PART VERB NOUN ADP DET PUNCT PUNCT NOUN NOUN NOUN NOUN ADP DET NOUN NOUN CCONJ PART VERB DET NOUN CCONJ NOUN ADP ADJ NOUN NOUN
THE US's space shuttle is getting preferential treatment in the cut - and - thrust world of satellite insurance.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	cut and thrust	figurative	dashes	DET PROPN NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN PUNCT CCONJ PUNCT ADJ NOUN ADP NOUN NOUN	▁THE ▁US ' s ▁space ▁shuttle ▁is ▁gett ing ▁preferential ▁treatment ▁in ▁the ▁cut ▁- ▁and ▁- ▁thrust ▁world ▁of ▁satellite ▁insurance .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	DET PROPN PROPN PROPN NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET NOUN PUNCT CCONJ PUNCT ADJ NOUN ADP NOUN NOUN NOUN
