It's all wet!	0 1 1	all wet	literal	identical	PRON ADV ADJ	▁It ' s ▁all ▁wet !	0 0 0 1 1 1	PRON PRON PRON ADV ADJ ADJ
Pocket's all wet!	0 1 1	all wet	literal	identical	PROPN ADV ADJ	▁Po cke t ' s ▁all ▁wet !	0 0 0 0 0 1 1 1	PROPN PROPN PROPN PROPN PROPN ADV ADJ ADJ
Oh look at that, I 'm all wet.	0 0 0 0 0 0 1 1	all wet	literal	identical	INTJ VERB ADP DET PRON VERB ADV ADJ	▁O h ▁look ▁at ▁that , ▁I ▁' m ▁all ▁wet .	0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ VERB ADP DET DET PRON VERB VERB ADV ADJ ADJ
they might have one but they wears out come the winter all wet and soggy	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all wet	literal	identical	PRON VERB VERB NUM CCONJ PRON VERB PART VERB DET NOUN DET ADJ CCONJ ADJ	▁they ▁might ▁have ▁one ▁but ▁they ▁wear s ▁out ▁come ▁the ▁winter ▁all ▁wet ▁and ▁so gg y	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB VERB NUM CCONJ PRON VERB VERB PART VERB DET NOUN DET ADJ CCONJ ADJ ADJ ADJ
‘ Look, it's all wet.’	0 0 0 1 1	all wet	literal	dashes	PUNCT VERB PRON DET NOUN	▁ ‘ ▁Look , ▁it ' s ▁all ▁wet . ’	0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT VERB VERB PRON PRON PRON DET NOUN NOUN NOUN
She her hands to her fingers, all wet with sweat or blood.	0 0 0 0 0 0 1 1 0 0 0 0	all wet	literal	identical	PRON ADJ NOUN ADP ADJ NOUN DET ADJ ADP NOUN CCONJ NOUN	▁She ▁her ▁hands ▁to ▁her ▁fingers , ▁all ▁wet ▁with ▁sweat ▁or ▁blood .	0 0 0 0 0 0 0 1 1 0 0 0 0 0	PRON ADJ NOUN ADP ADJ NOUN NOUN DET ADJ ADP NOUN CCONJ NOUN NOUN
‘ I 've made your shirt all wet.	0 0 0 0 0 0 1 1	all wet	literal	identical	PUNCT PRON VERB VERB ADJ NOUN ADV ADJ	▁ ‘ ▁I ▁' ve ▁made ▁your ▁sh ir t ▁all ▁wet .	0 0 0 0 0 0 0 0 0 0 1 1 1	PUNCT PUNCT PRON VERB VERB VERB ADJ NOUN NOUN NOUN ADV ADJ ADJ
I must 've spilt summat or maybe I trod in a puddle cos my trousers are all wet and cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all wet	literal	identical	PRON VERB VERB VERB NOUN CCONJ ADV PRON VERB ADP DET NOUN ADP ADJ NOUN VERB ADV ADJ CCONJ ADJ	▁I ▁must ▁' ve ▁sp il t ▁sum mat ▁or ▁maybe ▁I ▁tro d ▁in ▁a ▁pu dd le ▁co s ▁my ▁trousers ▁are ▁all ▁wet ▁and ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PRON VERB VERB VERB VERB VERB VERB NOUN NOUN CCONJ ADV PRON VERB VERB ADP DET NOUN NOUN NOUN ADP ADP ADJ NOUN VERB ADV ADJ CCONJ ADJ ADJ
I am very tired, and I am all wet.	0 0 0 0 0 0 0 1 1	all wet	literal	identical	PRON VERB ADV ADJ CCONJ PRON VERB ADV ADJ	▁I ▁am ▁very ▁tired , ▁and ▁I ▁am ▁all ▁wet .	0 0 0 0 0 0 0 0 1 1 1	PRON VERB ADV ADJ ADJ CCONJ PRON VERB ADV ADJ ADJ
falling over, and I pick her up, oh poor doll, she gets all wet, she's falling down now.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all wet	literal	identical	VERB ADV CCONJ PRON VERB PRON PART INTJ ADJ NOUN PRON VERB DET ADJ PRON VERB ADV ADV	▁falling ▁over , ▁and ▁I ▁pick ▁her ▁up , ▁ oh ▁poor ▁do ll , ▁she ▁get s ▁all ▁wet , ▁she ' s ▁falling ▁down ▁now .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	VERB ADV ADV CCONJ PRON VERB PRON PART PART INTJ INTJ ADJ NOUN NOUN NOUN PRON VERB VERB DET ADJ ADJ PRON PRON PRON VERB ADV ADV ADV
Oh I 'm gon na start going, I haven't been swimming for that long and I 've been saying off and on oh I must go, I must go, but when it's so cold outside you don't feel like coming out with all wet hair and all that	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all wet	literal	identical	INTJ PRON VERB VERB PART VERB VERB PRON VERB VERB VERB ADP DET ADJ CCONJ PRON VERB VERB VERB PART CCONJ ADP INTJ PRON VERB VERB PRON VERB VERB CCONJ ADV PRON ADV ADJ ADP PRON VERB VERB ADP VERB PART ADP DET ADJ NOUN CCONJ ADJ DET	▁O h ▁I ▁' m ▁ gon ▁na ▁start ▁going , ▁I ▁have n ' t ▁been ▁swimming ▁for ▁that ▁long ▁and ▁I ▁' ve ▁been ▁saying ▁off ▁and ▁on ▁ oh ▁I ▁must ▁go , ▁I ▁must ▁go , ▁but ▁when ▁it ' s ▁so ▁cold ▁outside ▁you ▁don ' t ▁feel ▁like ▁coming ▁out ▁with ▁all ▁wet ▁hair ▁and ▁all ▁that	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	INTJ INTJ PRON VERB VERB VERB VERB PART VERB VERB VERB PRON VERB VERB VERB VERB VERB VERB ADP DET ADJ CCONJ PRON VERB VERB VERB VERB PART CCONJ ADP INTJ INTJ PRON VERB VERB VERB PRON VERB VERB VERB CCONJ ADV PRON PRON PRON ADV ADJ ADP PRON VERB VERB VERB VERB ADP VERB PART ADP DET ADJ NOUN CCONJ ADJ DET
If you fall into the water, you should strip off all wet clothes.	0 0 0 0 0 0 0 0 0 0 1 1 0	all wet	literal	identical	ADP PRON VERB ADP DET NOUN PRON VERB VERB PART DET ADJ NOUN	▁If ▁you ▁fall ▁into ▁the ▁water , ▁you ▁should ▁strip ▁off ▁all ▁wet ▁clothes .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	ADP PRON VERB ADP DET NOUN NOUN PRON VERB VERB PART DET ADJ NOUN NOUN
Ah, I can't see now, my glasses are all wet!	0 0 0 0 0 0 0 0 1 1	all wet	literal	identical	INTJ PRON VERB VERB ADV ADJ NOUN VERB ADV ADJ	▁A h , ▁I ▁can ' t ▁see ▁now , ▁my ▁glasses ▁are ▁all ▁wet !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ INTJ PRON VERB VERB VERB VERB ADV ADV ADJ NOUN VERB ADV ADJ ADJ
