Special teaching and therapy, plenty of encouragement and stimulation can work wonders.	0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	identical	ADJ NOUN CCONJ NOUN NOUN ADP NOUN CCONJ NOUN VERB VERB NOUN
A totally absorbing hobby may work wonders.	0 0 0 0 0 1 1	work wonders	figurative	identical	DET ADV VERB NOUN VERB VERB NOUN
After skiing, a stretch and relax routine works wonders.	0 0 0 0 0 0 0 1 1	work wonders	figurative	inflection	ADP NOUN DET NOUN CCONJ VERB ADJ NOUN NOUN
Make - up could work wonders, though, and she was just putting the finishing touches to her lipstick when Travis came through the connecting door.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	VERB PUNCT NOUN VERB VERB NOUN ADV CCONJ PRON VERB ADV VERB DET VERB NOUN ADP ADJ NOUN ADV PROPN VERB ADP DET VERB NOUN
It works wonders.	0 1 1	work wonders	figurative	inflection	PRON VERB NOUN
Bluff, like reason, can also work wonders, but be careful — one day someone may call it.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	PROPN ADP NOUN VERB ADV VERB NOUN CCONJ VERB ADJ PUNCT NUM NOUN NOUN VERB VERB PRON
A good tonic can work wonders.’	0 0 0 0 1 1	work wonders	figurative	dashes	DET ADJ NOUN VERB VERB PUNCT
The friendly smile works wonders.	0 0 0 1 1	work wonders	figurative	inflection	DET ADJ NOUN VERB NOUN
The ‘ magic’ medium in this endearing space - hopper device is Siporax, claimed to work wonders in nitrate - removal, though my levels stuck resolutely at 30ppm and all I could seen in terms of visual improvement was a better class of blanketweed : sort of lusher, nar mean?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	DET PUNCT ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN NOUN VERB PROPN VERB PART VERB NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN VERB ADV ADP NOUN CCONJ DET PRON VERB VERB ADP NOUN ADP ADJ NOUN VERB DET ADJ NOUN ADP NOUN PUNCT ADV ADV ADJ NOUN VERB
Surfboard wax works wonders for slippery decks.	0 0 1 1 0 0 0	work wonders	figurative	inflection	PROPN NOUN VERB NOUN ADP ADJ NOUN
we 'll work wonders workshop	0 0 1 1 0	work wonders	figurative	identical	PRON VERB VERB NOUN NOUN
A medical investigation or injection can work wonders, and a course of tablets is almost as good.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	DET ADJ NOUN CCONJ NOUN VERB VERB NOUN CCONJ DET NOUN ADP NOUN VERB ADV ADV ADJ
But the blame is always with the system, not the individuals : ‘ We 're lucky with our social worker — she works wonders,’ said one of the sisters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	work wonders	figurative	combined-inflection	CCONJ DET NOUN VERB ADV ADP DET NOUN ADV DET NOUN PUNCT PUNCT PRON VERB ADJ ADP ADJ ADJ NOUN PUNCT PRON VERB NOUN VERB NUM ADP DET NOUN
Wessels century works wonders	0 0 1 1	work wonders	figurative	inflection	ADJ NOUN VERB NOUN
A word from the Admiral in the ear of the Pentagon might work wonders.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	dashes	DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN VERB VERB PUNCT
This will work wonders in terms of future sales.	0 0 1 1 0 0 0 0 0	work wonders	figurative	identical	DET VERB VERB NOUN ADP NOUN ADP ADJ NOUN
Indeed, West German officials in Brussels find that the prospect of German unity can make it easier to extract concessions from Bonn : the words ‘ but minister, this will be taken as a sign of German nationalism’ work wonders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	identical	ADV ADJ ADJ NOUN ADP PROPN VERB ADP DET NOUN ADP ADJ NOUN VERB VERB PRON ADJ PART VERB NOUN ADP PROPN PUNCT DET NOUN PUNCT CCONJ NOUN DET VERB VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN NOUN
‘ Women get turned on in the head first so speaking to them can work wonders.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	dashes	PUNCT NOUN VERB VERB PART ADP DET NOUN ADV ADV VERB ADP PRON VERB VERB PUNCT
A firm, but not frightening, explanation of what dietary deficiency can do to the health of old people can often work wonders in stirring them into action, too.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	work wonders	figurative	identical	DET NOUN CCONJ ADV ADJ NOUN ADP NOUN ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN VERB ADV VERB NOUN ADP VERB PRON ADP NOUN ADV
As this book demonstrates, shortage of manpower ( as women also discovered ) will work wonders where political agitation falls on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	work wonders	figurative	identical	ADP DET NOUN VERB NOUN ADP NOUN PUNCT ADP NOUN ADV VERB PUNCT VERB VERB NOUN ADV ADJ NOUN VERB ADP ADJ NOUN
The tablets you 're taking are thyroxin ( thyroid hormone ) and they work wonders in speeding you up again.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	work wonders	figurative	identical	DET NOUN PRON VERB VERB VERB NOUN PUNCT NOUN NOUN PUNCT CCONJ PRON VERB NOUN ADP VERB PRON PART ADV
It doesn't matter if you don't work wonders for just one day this week!	0 0 0 0 0 0 1 1 0 0 0 0 0 0	work wonders	figurative	identical	PRON VERB VERB ADP PRON VERB VERB NOUN ADP ADV NUM NOUN DET NOUN
The miracle man of Hong Kong rugby, George Simpkin, has been asked to work wonders once again— to win Hong Kong the elusive goal of acquiring the Asian crown.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	DET NOUN NOUN ADP PROPN PROPN NOUN PROPN PROPN VERB VERB VERB PART VERB NOUN ADV ADP PART VERB PROPN PROPN DET ADJ NOUN ADP VERB DET ADJ NOUN
