The driver twisted his arm backwards to open the door.	0 0 1 1 1 0 0 0 0 0	twist someone's arm	literal	combined-inflection	DET NOUN VERB ADJ NOUN ADV PART VERB DET NOUN
So me Dad twists his arm a bit, like.	0 0 0 1 1 1 0 0 0	twist someone's arm	figurative	combined-inflection	ADV PRON PROPN VERB ADJ NOUN DET NOUN ADP
You haven't got ta twist God's arm to receive his gifts.	0 0 0 0 1 1 1 0 0 0 0	twist someone's arm	figurative	combined-inflection	PRON VERB VERB PART VERB PROPN NOUN PART VERB ADJ NOUN
He laid a fast hand on the woman's wrist and twisted her arm.	0 0 0 0 0 0 0 0 0 0 1 1 1	twist someone's arm	literal	combined-inflection	PRON VERB DET ADJ NOUN ADP DET NOUN NOUN CCONJ VERB ADJ NOUN
They would also mingle with unwary humans for spite, selling jewellery and magic cloth at the village fete — when the purchaser leant to pick up the item, the fee would twist his arm and fling him to the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	twist someone's arm	literal	possessive	PRON VERB ADV VERB ADP ADJ NOUN ADP NOUN VERB NOUN CCONJ ADJ NOUN ADP DET NOUN VERB PUNCT ADV DET NOUN NOUN PART VERB PART DET NOUN DET NOUN VERB VERB ADJ NOUN CCONJ VERB PRON ADP DET NOUN
Wantonly she twisted her arms around his neck, revelling in the great shudder of desire she felt in response, but with surprise she quickly became aware that he was holding back, almost as if he was having second thoughts.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	literal	combined-inflection	ADV PRON VERB ADJ NOUN ADP ADJ NOUN VERB ADP DET ADJ NOUN ADP NOUN PRON VERB ADP NOUN CCONJ ADP NOUN PRON ADV VERB ADJ ADP PRON VERB VERB ADV ADV ADP ADP PRON VERB VERB ADJ NOUN
Nails, fighting and kicking hard, was forced into submission as the policeman twisted his arms up painfully.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	twist someone's arm	literal	combined-inflection	NOUN VERB CCONJ VERB ADV VERB VERB ADP NOUN ADP DET NOUN VERB ADJ NOUN ADV ADV
She will twist your poor rich senile arm to pay you out, because you have an airy house on the hill, and she goes home to a room in the damp and humid valley.	0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	PRON VERB VERB ADJ ADJ ADJ ADV NOUN PART VERB PRON PART ADP PRON VERB DET NOUN NOUN ADP DET NOUN CCONJ PRON VERB ADV ADP DET NOUN ADP DET NOUN CCONJ ADJ NOUN
Twist your arm.	1 1 1	twist someone's arm	figurative	combined-inflection	VERB ADJ NOUN
It would seek to twist Government's arm to ensure that appropriate management was bought in.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	PRON VERB VERB PART VERB PROPN NOUN PART VERB ADP ADJ NOUN VERB VERB ADV
Which is a bit different and I 'd like to see it, that's just one of my things, but again when you 're in, going into retirement I think you 've got to think about this, I mean I went, nobody twisted my arm, I went into that situation and I 've enjoyed it for a great many years, but now I 'm thinking I 'd, before I, it's too late I want to have a, a l a fling in autumn as it were.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	ADJ VERB DET NOUN ADJ CCONJ PRON VERB VERB PART VERB PRON DET ADV NUM ADP ADJ NOUN CCONJ ADV ADV PRON VERB ADP VERB ADP NOUN PRON VERB PRON VERB VERB PART VERB ADP DET PRON VERB PRON VERB NOUN VERB ADJ NOUN PRON VERB ADP DET NOUN CCONJ PRON VERB VERB PRON ADP DET ADJ ADJ NOUN CCONJ ADV PRON VERB VERB PRON VERB ADP PRON PRON ADV ADJ PRON VERB PART VERB DET DET NOUN DET NOUN ADP NOUN ADP PRON VERB
No one twisted my arm.	0 0 1 1 1	twist someone's arm	figurative	combined-inflection	DET NOUN VERB ADJ NOUN
Twist our arms and we 'll plump for his brilliantly - executed diatribe against the somewhat larger rock acts currently doing the rounds : ' Gimme something small and poisonous, with teeth, born out of the gutter, ' oozed The Ig, eyes bulging as if strapped to the electric chair.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	VERB ADJ NOUN CCONJ PRON VERB VERB ADP ADJ ADV PUNCT VERB NOUN ADP DET ADV ADJ NOUN VERB ADV VERB DET NOUN PUNCT PUNCT PROPN NOUN ADJ CCONJ ADJ ADP NOUN VERB ADP ADP DET NOUN PUNCT VERB DET PROPN NOUN VERB ADP ADP VERB ADP DET ADJ NOUN
Anger gave her an added surge of strength, and she twisted her arm sharply downwards and broke his grip.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	twist someone's arm	literal	combined-inflection	NOUN VERB PRON DET VERB NOUN ADP NOUN CCONJ PRON VERB ADJ NOUN ADV ADV CCONJ VERB ADJ NOUN
Trying for a second time to get something out of Prince Bandar, he was told ‘ You can stop twisting my arm’ or, in out - of - hearings language, ‘ Fuck it, stop pestering me.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	VERB ADP DET ADJ NOUN PART VERB NOUN ADP ADP PROPN PROPN PRON VERB VERB PRON PRON VERB VERB VERB ADJ NOUN CCONJ ADP ADP PUNCT ADP PUNCT NOUN NOUN PUNCT NOUN PRON VERB VERB NOUN
I 'm gon na squash your son so it's alright, if he doesn't stop twisting my arm round	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	twist someone's arm	figurative	combined-inflection	PRON VERB VERB PART VERB ADJ NOUN ADP PRON ADJ ADP PRON VERB VERB VERB ADJ NOUN ADV
Listen, I can't stay for long, but I 've twisted Dmitri's arm and he can find you a couple of tickets for Hedda!	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	VERB PRON VERB VERB ADP ADJ CCONJ PRON VERB VERB PROPN NOUN CCONJ PRON VERB VERB PRON DET NOUN ADP NOUN ADP PROPN
Twist my arm!	1 1 1	twist someone's arm	figurative	combined-inflection	VERB ADJ NOUN
There's also a powerful case for having pensioner trustees there's far less chance of erm people twisting their arm, although they could have the character.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	ADV ADV DET ADJ NOUN ADP VERB NOUN NOUN ADV ADV ADJ NOUN ADP ADJ NOUN VERB ADJ NOUN ADP PRON VERB VERB DET NOUN
He was flexing and twisting his simian arms, as if limbering up for violence.	0 0 0 0 1 1 0 1 0 0 0 0 0 0	twist someone's arm	literal	combined-inflection	PRON VERB VERB CCONJ VERB ADJ ADJ NOUN ADP ADP VERB PART ADP NOUN
Hope Steuart had leaned two loaded muskets against the doorjambs ; he turned to pick one up but the Duke's two sons were on him, twisting his arms behind him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	twist someone's arm	literal	combined-inflection	PROPN PROPN VERB VERB NUM ADJ NOUN ADP DET NOUN PUNCT PRON VERB PART VERB NUM PART CCONJ DET PROPN NUM NOUN VERB ADP PRON VERB ADJ NOUN ADP PRON
El e Elliel, Elliel said that er they could probably twist the council's arm	0 0 0 0 0 0 0 0 0 0 1 0 1 1	twist someone's arm	figurative	combined-inflection	PROPN PROPN PROPN PROPN VERB ADP INTJ PRON VERB ADV VERB DET NOUN NOUN
She made a grab for his arms and held them firmly away from her, but smiling lazily, and with consummate ease, he twisted his arms so that, this time, he had her own imprisoned in his grasp.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	literal	combined-inflection	PRON VERB DET NOUN ADP ADJ NOUN CCONJ VERB PRON ADV ADV ADP PRON CCONJ VERB ADV CCONJ ADP ADJ NOUN PRON VERB ADJ NOUN ADP ADP DET NOUN PRON VERB ADJ ADJ VERB ADP ADJ NOUN
' We did say we 'd limit him to thirty mares as he's been so busy competing, but somehow we managed to allow our arms to be twisted a few times.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0	twist someone's arm	figurative	misc	PUNCT PRON VERB VERB PRON VERB VERB PRON ADP NUM NOUN ADP PRON VERB ADV ADJ VERB CCONJ ADV PRON VERB PART VERB ADJ NOUN PART VERB VERB DET ADJ NOUN
Tom twisted Mary's arm and she agreed to donate some money to our charity.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	PROPN VERB PROPN NOUN CCONJ PRON VERB PART VERB DET NOUN ADP ADJ NOUN
‘ After twisting my arms, he pulled out a huge knife and said : ‘ Start speaking or I 'll start slicing’,’ another prostitute told the court.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	literal	combined-inflection	PUNCT ADP VERB ADJ NOUN PRON VERB PART DET ADJ NOUN CCONJ VERB PUNCT PUNCT NOUN VERB CCONJ PRON VERB VERB NOUN DET NOUN VERB DET NOUN
‘ I don't want to feel I 've twisted your arm,’ said lawyer B to the visibly shattered client.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	PUNCT PRON VERB VERB PART VERB PRON VERB VERB ADJ NOUN VERB NOUN PROPN ADP DET ADV ADJ NOUN
I find that with our local, but well twist their arm.	0 0 0 0 0 0 0 0 1 1 1	twist someone's arm	figurative	possessive	PRON VERB ADP ADP ADJ ADJ CCONJ ADV VERB ADJ NOUN
‘ Don't twist my arm, Kate!	0 0 1 1 1 0	twist someone's arm	figurative	possessive	PUNCT VERB VERB ADJ NOUN PROPN
As soon as I walked outside, the policeman jumped on my back, twisted my arm behind me and arrested me.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	twist someone's arm	literal	combined-inflection	ADV ADV ADP PRON VERB ADV DET NOUN VERB ADP ADJ NOUN VERB ADJ NOUN ADP PRON CCONJ VERB PRON
There's also a powerful case for having pensioner trustees that they will so there's far less chance of erm people twisting their arm, although they could have the carrot dangled in front of them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	twist someone's arm	figurative	combined-inflection	ADV ADV DET ADJ NOUN ADP VERB NOUN NOUN ADP PRON VERB ADV ADV ADV ADJ NOUN ADP ADJ NOUN VERB ADJ NOUN ADP PRON VERB VERB DET NOUN VERB ADP NOUN ADP PRON
