I mean ah, garlic to me is an unknown quantity.	0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	PRON VERB INTJ ADJ ADP PRON VERB DET ADJ NOUN
Chair, we have through this, what we 've actually s what you 're actually saying there, because I, I happen to be of the view that when you ask for identification of five percent across all the committees and then you start to take that quite happily from the smaller spend committee, then clearly you 're in a position where you have to address the er, question, do we really want to provide this service at all, and that would be tragic in the case of economic development, because it's so vital to the erm, economic development of the county as a whole, and so, yes, there, I would suggest that there's clearly the need to be a corporate view, and a corporate er, er, will to actually put up resources at your disposal, er, er, especially since five B wasn't actually, although it was it hadn't actually been granted, so it was a bit of an unknown quantity when perhaps the first P A G erm, sat and deliberated.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	NOUN PRON VERB ADP DET NOUN PRON VERB ADV VERB NOUN PRON VERB ADV VERB ADV ADP PRON PRON VERB PART VERB ADP DET NOUN ADP ADV PRON VERB ADP NOUN ADP NUM NOUN ADP ADJ DET NOUN CCONJ ADV PRON VERB PART VERB DET ADV ADV ADP DET ADJ VERB NOUN ADV ADV PRON VERB ADP DET NOUN ADV PRON VERB PART VERB DET INTJ NOUN VERB PRON ADV VERB PART VERB DET NOUN ADV ADV CCONJ DET VERB VERB ADJ ADP DET NOUN ADP ADJ NOUN ADP PRON ADV ADJ ADP DET NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADV INTJ ADV PRON VERB VERB ADP ADV ADV DET NOUN PART VERB DET ADJ NOUN CCONJ DET ADJ INTJ INTJ VERB PART ADV VERB PART NOUN ADP ADJ NOUN INTJ INTJ ADV ADP NUM NOUN VERB ADV ADP PRON VERB PRON VERB ADV VERB VERB CCONJ PRON VERB DET NOUN ADP DET ADJ NOUN ADV ADV DET ADJ NOUN DET NOUN NOUN VERB CCONJ VERB
Barnes was an unknown quantity, without any clear prejudice on the nuclear issue.	0 0 0 1 1 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN
EVEN where, as in the case of the Chamber Orchestra of the Royal Scottish Academy of Music and Drama, previous experience has been auspicious, a student ensemble is always something of an unknown quantity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	ADV ADV ADP ADP DET NOUN ADP DET PROPN PROPN ADP DET PROPN PROPN PROPN ADP PROPN CCONJ PROPN ADJ NOUN VERB VERB ADJ DET NOUN NOUN VERB ADV NOUN ADP DET ADJ NOUN
Basic training and a posting to a Regiment lay ahead, all of it an unknown quantity, and my enthusiasm was so manifest because everything that lay in front of me was so foreign.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADJ NOUN CCONJ DET NOUN ADP DET NOUN VERB ADV DET ADP PRON DET ADJ NOUN CCONJ ADJ NOUN VERB ADV ADJ ADP NOUN ADJ VERB ADP NOUN ADP PRON VERB ADV ADJ
Norman has been an unknown quantity since injuring his right shoulder prior to last year's Masters, then reinjuring it at the US Open in Minneapolis.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	PROPN VERB VERB DET ADJ NOUN ADP VERB ADJ ADJ NOUN ADV ADP ADJ NOUN NOUN ADV VERB PRON ADP DET PROPN PROPN ADP PROPN
As yet she was an unknown quantity, a mysterious figure who kept her distance from subordinate staff and was infrequently seen and then either alone or with one or several of the Senior Management team.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADP ADV PRON VERB DET ADJ NOUN DET ADJ NOUN NOUN VERB ADJ NOUN ADP ADJ NOUN CCONJ VERB ADV VERB CCONJ ADV CCONJ ADJ CCONJ ADP NUM CCONJ ADJ ADP DET PROPN PROPN NOUN
As for Wayne Pollock and Clive Smott, they are totally unknown quantities.	0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	inflection	ADP ADP PROPN PROPN CCONJ PROPN PROPN PRON VERB ADV ADJ NOUN
By the time this younger generation has been correctly defined, it has grown older and replaced by some new unknown demographic quantity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	unknown quantity	figurative	insertion-other	ADP DET NOUN DET ADJ NOUN VERB VERB ADV VERB PRON VERB VERB ADJ CCONJ VERB ADP DET ADJ ADJ ADJ NOUN
Teachers seeking advancement have traditionally had to be mobile — much more so than their legal or medical colleagues ; there is everything to be gained by arriving as an unknown quantity in a new school — promotion will usually attend such a move, and all the unfortunate errors perpetrated in one's early years can be left far behind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	NOUN VERB NOUN VERB ADV VERB PART VERB ADJ PUNCT ADV ADV ADV ADP ADJ ADJ CCONJ ADJ NOUN PUNCT ADV VERB NOUN PART VERB VERB ADP VERB ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN VERB ADV VERB ADJ DET NOUN CCONJ ADJ DET ADJ NOUN VERB ADP PRON ADJ NOUN VERB VERB VERB ADV ADV
In the longer term, of course, this would not necessarily have been true, simply because the loyalty, and the ability, of Gloucester's successors were an unknown quantity, but it is significant that the terms of the Cumberland grants were less generous than those north of the border.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADP DET ADJ NOUN ADP NOUN DET VERB ADV ADV VERB VERB ADJ ADV ADP DET NOUN CCONJ DET NOUN ADP PROPN NOUN VERB DET ADJ NOUN CCONJ PRON VERB ADJ ADP DET NOUN ADP DET PROPN NOUN VERB ADV ADJ ADP DET NOUN ADP DET NOUN
