Cut down to the bone to avoid excessive wastage.	0 0 1 0 1 0 0 0 0	to the bone	literal	identical	VERB PART ADP DET NOUN PART VERB ADJ NOUN
The cost of household goods and services, clothing and footwear all fell as retailers cut prices to the bone in the January sales.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	to the bone	figurative	identical	DET NOUN ADP NOUN NOUN CCONJ NOUN NOUN CCONJ NOUN DET VERB ADP NOUN VERB NOUN ADP DET NOUN ADP DET PROPN NOUN
He lay on the grass of Bedfordshire, shaken to his very bones.	0 0 0 0 0 0 0 0 1 0 0 1	to the bone	figurative	combined-inflection	PRON VERB ADP DET NOUN ADP PROPN VERB ADP ADJ ADJ NOUN
The distal humerus and proximal tibia and femur are preferentially preserved in the predator assemblages where the greatest breakage overall occurs, while the species that do little damage to the bone cluster near the origin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	to the bone	literal	identical	DET ADJ NOUN CCONJ NOUN NOUN CCONJ NOUN VERB ADV VERB ADP DET NOUN NOUN ADV DET ADJ NOUN ADV VERB ADP DET NOUN ADJ VERB ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN
The very prospect of her life being picked over like some succulent titbit chilled her to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET ADJ NOUN ADP ADJ NOUN VERB VERB PART ADP DET NOUN NOUN VERB PRON ADP DET NOUN
The voluntary muscles are nearly always attached to the bones of the skeleton and their function is to move parts of the body when we so wish.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	inflection	DET ADJ NOUN VERB ADV ADV VERB ADP DET NOUN ADP DET NOUN CCONJ ADJ NOUN VERB PART VERB NOUN ADP DET NOUN ADV PRON ADV VERB
The chilling thought struck Sabine to the bone.	0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET VERB NOUN VERB PROPN ADP DET NOUN
It goes like this : when the IMF devises an adjustment package — as it has done in over 50 countries — social service budgets are cut to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	PRON VERB ADP DET PUNCT ADV DET PROPN VERB DET NOUN NOUN PUNCT ADP PRON VERB VERB PART ADP NUM NOUN PUNCT ADJ NOUN NOUN VERB VERB ADP DET NOUN
The weather remained piercingly cold, so that whenever men or beasts had need to venture outdoors they were chilled to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET NOUN VERB ADV ADJ ADP ADP ADV NOUN CCONJ NOUN VERB VERB PART VERB ADV PRON VERB VERB ADP DET NOUN
I 'm frozen to the bone.’	0 0 0 1 0 1	to the bone	figurative	dashes	PRON VERB ADJ ADP DET NOUN
The dummy never changes, and its smiling face chills to the bone.	0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET NOUN ADV VERB CCONJ ADJ VERB NOUN NOUN ADP DET NOUN
Natalie is dying from a rare form of cancer that has attacked her nervous system and is spreading to her bones.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	literal	determiner-broad	PROPN VERB VERB ADP DET ADJ NOUN ADP NOUN ADJ VERB VERB ADJ ADJ NOUN CCONJ VERB VERB ADP ADJ NOUN
