Hitting the bottle too hard means the beneficial effect of alcohol disappears.	1 0 1 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	combined-inflection	VERB DET NOUN ADV ADV VERB DET ADJ NOUN ADP NOUN VERB	▁H itting ▁the ▁bottle ▁too ▁hard ▁means ▁the ▁beneficial ▁effect ▁of ▁alcohol ▁disappear s .	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN ADV ADV VERB DET ADJ NOUN ADP NOUN VERB VERB VERB
People with members of their family who are or have been alcoholic may, very understandably, be too scared of ‘ hitting the bottle’ themselves to allow even a temporary licence in that area.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	combined-inflection	NOUN ADP NOUN ADP ADJ NOUN NOUN VERB CCONJ VERB VERB ADJ VERB ADV ADV VERB ADV ADJ ADP PUNCT VERB DET NOUN PRON PART VERB ADV DET ADJ NOUN ADP DET NOUN	▁People ▁with ▁members ▁of ▁their ▁family ▁who ▁are ▁or ▁have ▁been ▁a lcoholic ▁may , ▁very ▁understand ably , ▁be ▁too ▁scar ed ▁of ▁ ‘ ▁hit ting ▁the ▁bottle ’ ▁themselves ▁to ▁allow ▁even ▁a ▁temporary ▁licence ▁in ▁that ▁area .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	NOUN ADP NOUN ADP ADJ NOUN NOUN VERB CCONJ VERB VERB ADJ ADJ VERB VERB ADV ADV ADV ADV VERB ADV ADJ ADJ ADP PUNCT PUNCT VERB VERB DET NOUN NOUN PRON PART VERB ADV DET ADJ NOUN ADP DET NOUN NOUN
Unable to ‘ hit the bottle’, Gary had to take the official doctor home with him before he could provide the required sample.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	dashes	ADJ PART PUNCT VERB DET NOUN PROPN VERB PART VERB DET ADJ NOUN ADV ADP PRON ADP PRON VERB VERB DET VERB NOUN	▁Un able ▁to ▁ ‘ ▁hit ▁the ▁bottle ’ , ▁G ary ▁had ▁to ▁take ▁the ▁official ▁doctor ▁home ▁with ▁him ▁before ▁he ▁could ▁provide ▁the ▁required ▁sample .	0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ PART PUNCT PUNCT VERB DET NOUN NOUN NOUN PROPN PROPN VERB PART VERB DET ADJ NOUN ADV ADP PRON ADP PRON VERB VERB DET VERB NOUN NOUN
Ehrenburg reported it, and he is one of the few who described Modigliani in serious mood, not merely hitting the bottle or making a scene.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	hit the bottle	figurative	inflection	PROPN VERB PRON CCONJ PRON VERB NUM ADP DET ADJ NOUN VERB PROPN ADP ADJ NOUN ADV ADV VERB DET NOUN CCONJ VERB DET NOUN	▁E hr enburg ▁reported ▁it , ▁and ▁he ▁is ▁one ▁of ▁the ▁few ▁who ▁described ▁M odi gli ani ▁in ▁serious ▁mood , ▁not ▁mere ly ▁hit ting ▁the ▁bottle ▁or ▁making ▁a ▁scene .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	PROPN PROPN PROPN VERB PRON PRON CCONJ PRON VERB NUM ADP DET ADJ NOUN VERB PROPN PROPN PROPN PROPN ADP ADJ NOUN NOUN ADV ADV ADV VERB VERB DET NOUN CCONJ VERB DET NOUN NOUN
The defendant contended that he thought that he was a good enough shot to hit only the bottles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	hit the bottle	literal	combined-inflection	DET NOUN VERB ADP PRON VERB ADP PRON VERB DET ADJ ADV NOUN PART VERB ADV DET NOUN	▁The ▁defendant ▁contend ed ▁that ▁he ▁thought ▁that ▁he ▁was ▁a ▁good ▁enough ▁shot ▁to ▁hit ▁only ▁the ▁bottles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	DET NOUN VERB VERB ADP PRON VERB ADP PRON VERB DET ADJ ADV NOUN PART VERB ADV DET NOUN NOUN
REGIONAL health trends uncovered in the survey show that men are least likely to hit the bottle in East Anglia, which has the lowest proportion of heavy drinkers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	identical	PROPN NOUN NOUN VERB ADP DET NOUN NOUN ADP NOUN VERB ADV ADJ PART VERB DET NOUN ADP PROPN PROPN ADJ VERB DET ADJ NOUN ADP ADJ NOUN	▁REGIONAL ▁health ▁trends ▁uncovered ▁in ▁the ▁survey ▁show ▁that ▁men ▁are ▁least ▁likely ▁to ▁hit ▁the ▁bottle ▁in ▁East ▁An g lia , ▁which ▁has ▁the ▁lowest ▁proportion ▁of ▁heavy ▁drink ers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN NOUN NOUN VERB ADP DET NOUN NOUN ADP NOUN VERB ADV ADJ PART VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADJ VERB DET ADJ NOUN ADP ADJ NOUN NOUN NOUN
Terry B says he didn't think he was hitting the bottle but there's one side of you that takes over and he started to slide down hill … he became and realised it was time to get real with himself and he hasn't had a drink since march	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	inflection	PROPN PROPN VERB PRON VERB VERB PRON VERB VERB DET NOUN CCONJ ADV NUM NOUN ADP PRON ADJ VERB PART CCONJ PRON VERB PART VERB ADP NOUN PUNCT PRON VERB CCONJ VERB PRON VERB NOUN PART VERB ADJ ADP PRON CCONJ PRON VERB VERB DET NOUN ADP NOUN	▁Terr y ▁B ▁says ▁he ▁did n ' t ▁think ▁he ▁was ▁hit ting ▁the ▁bottle ▁but ▁there ' s ▁one ▁side ▁of ▁you ▁that ▁takes ▁over ▁and ▁he ▁started ▁to ▁slide ▁down ▁hill ▁... ▁he ▁became ▁and ▁realised ▁it ▁was ▁time ▁to ▁get ▁real ▁with ▁himself ▁and ▁he ▁has n ' t ▁had ▁a ▁drink ▁since ▁march	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB PRON VERB VERB VERB VERB VERB PRON VERB VERB VERB DET NOUN CCONJ ADV ADV ADV NUM NOUN ADP PRON ADJ VERB PART CCONJ PRON VERB PART VERB ADP NOUN PUNCT PRON VERB CCONJ VERB PRON VERB NOUN PART VERB ADJ ADP PRON CCONJ PRON VERB VERB VERB VERB VERB DET NOUN ADP NOUN
She says she also sleeps better and wakes up with a clearer head which is not the sort of image she portrayed a couple of years ago when all the pressures she was facing caused her to hit the bottle again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	hit the bottle	figurative	identical	PRON VERB PRON ADV VERB ADV CCONJ VERB PART ADP DET ADJ NOUN ADJ VERB ADV DET NOUN ADP NOUN PRON VERB DET NOUN ADP NOUN ADV ADV ADJ DET NOUN PRON VERB VERB VERB PRON PART VERB DET NOUN ADV	▁She ▁says ▁she ▁also ▁sleep s ▁better ▁and ▁wake s ▁up ▁with ▁a ▁clearer ▁head ▁which ▁is ▁not ▁the ▁sort ▁of ▁image ▁she ▁portray ed ▁a ▁couple ▁of ▁years ▁ago ▁when ▁all ▁the ▁pressures ▁she ▁was ▁facing ▁caused ▁her ▁to ▁hit ▁the ▁bottle ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	PRON VERB PRON ADV VERB VERB ADV CCONJ VERB VERB PART ADP DET ADJ NOUN ADJ VERB ADV DET NOUN ADP NOUN PRON VERB VERB DET NOUN ADP NOUN ADV ADV ADJ DET NOUN PRON VERB VERB VERB PRON PART VERB DET NOUN ADV ADV
The first is that I sit here, hit this bottle of Old Bedwetter and fall into flashbacks of lost loves and hard times past. '	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	determiner-narrow	DET ADJ VERB ADP PRON VERB ADV VERB DET NOUN ADP PROPN PROPN CCONJ VERB ADP NOUN ADP VERB NOUN CCONJ ADJ NOUN ADJ PUNCT	▁The ▁first ▁is ▁that ▁I ▁sit ▁here , ▁hit ▁this ▁bottle ▁of ▁Old ▁B ed w etter ▁and ▁fall ▁into ▁flash back s ▁of ▁lost ▁love s ▁and ▁hard ▁times ▁past . ▁'	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ VERB ADP PRON VERB ADV ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ VERB ADP NOUN NOUN NOUN ADP VERB NOUN NOUN CCONJ ADJ NOUN ADJ ADJ PUNCT
MORE and more women are hitting the bottle — but they don't like to admit it even to themselves.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	inflection	ADJ CCONJ ADJ NOUN VERB VERB DET NOUN PUNCT CCONJ PRON VERB VERB PART VERB PRON ADV ADP PRON	▁MORE ▁and ▁more ▁women ▁are ▁hit ting ▁the ▁bottle ▁ — ▁but ▁they ▁don ' t ▁like ▁to ▁admit ▁it ▁even ▁to ▁themselves .	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ CCONJ ADJ NOUN VERB VERB VERB DET NOUN PUNCT PUNCT CCONJ PRON VERB VERB VERB VERB PART VERB PRON ADV ADP PRON PRON
He was hoping to hit bottles he had placed on the roof of the garage opposite.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	hit the bottle	literal	deletion-determiner	PRON VERB VERB PART VERB NOUN PRON VERB VERB ADP DET NOUN ADP DET NOUN NOUN	▁He ▁was ▁hoping ▁to ▁hit ▁bottles ▁he ▁had ▁placed ▁on ▁the ▁roof ▁of ▁the ▁gar age ▁opposite .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART VERB NOUN PRON VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN
— hit the bottle with a vengeance when the group made the big time.	0 1 0 1 0 0 0 0 0 0 0 0 0 0	hit the bottle	figurative	identical	PUNCT VERB DET NOUN ADP DET NOUN ADV DET NOUN VERB DET ADJ NOUN	▁ — ▁hit ▁the ▁bottle ▁with ▁a ▁v enge ance ▁when ▁the ▁group ▁made ▁the ▁big ▁time .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT VERB DET NOUN ADP DET NOUN NOUN NOUN ADV DET NOUN VERB DET ADJ NOUN NOUN
