My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN	▁My ▁neighbours ▁were ▁anxious ▁to ▁have ▁some ▁work ▁done ▁on ▁their ▁house .	0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN NOUN
She's going to model for us so she gets grub on the house.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	figurative	identical	PRON VERB PART VERB ADP PRON ADV PRON VERB NOUN ADP DET NOUN	▁She ' s ▁going ▁to ▁model ▁for ▁us ▁so ▁she ▁get s ▁gr ub ▁on ▁the ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON PRON PRON VERB PART VERB ADP PRON ADV PRON VERB VERB NOUN NOUN ADP DET NOUN NOUN
On a new house one expects to see shrinkage cracks in the plaster on walls and ceilings, but not on the outside.	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	ADP DET ADJ NOUN PRON VERB PART VERB NOUN NOUN ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ ADV ADP DET NOUN	▁On ▁a ▁new ▁house ▁one ▁expects ▁to ▁see ▁shrink age ▁crack s ▁in ▁the ▁plaster ▁on ▁walls ▁and ▁ceilings , ▁but ▁not ▁on ▁the ▁outside .	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PRON VERB PART VERB NOUN NOUN NOUN NOUN ADP DET NOUN ADP NOUN CCONJ NOUN NOUN CCONJ ADV ADP DET NOUN NOUN
Scotland Yard said shots were fired at anti - terrorist squad detectives and a tactical firearms unit as they moved in on a house in Stoke Newington, north London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the house	literal	determiner-narrow	PROPN PROPN VERB NOUN VERB VERB ADP ADV PUNCT ADJ ADJ NOUN CCONJ DET ADJ NOUN NOUN ADP PRON VERB ADV ADP DET NOUN ADP PROPN PROPN NOUN PROPN	▁Scotland ▁Yar d ▁said ▁shot s ▁were ▁fired ▁at ▁anti ▁- ▁terrorist ▁squa d ▁detect ive s ▁and ▁a ▁tactic al ▁firearms ▁unit ▁as ▁they ▁moved ▁in ▁on ▁a ▁house ▁in ▁S to ke ▁New ing ton , ▁north ▁London .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB NOUN NOUN VERB VERB ADP ADV PUNCT ADJ ADJ ADJ NOUN NOUN NOUN CCONJ DET ADJ ADJ NOUN NOUN ADP PRON VERB ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN
Does a neighbour keep an eye on your house while you are away?	0 0 0 0 0 0 1 0 1 0 0 0 0	on the house	literal	determiner-broad	VERB DET NOUN VERB DET NOUN ADP ADJ NOUN ADP PRON VERB ADV	▁Does ▁a ▁neighbour ▁keep ▁an ▁eye ▁on ▁your ▁house ▁while ▁you ▁are ▁away ?	0 0 0 0 0 0 1 0 1 0 0 0 0 0	VERB DET NOUN VERB DET NOUN ADP ADJ NOUN ADP PRON VERB ADV ADV
And just as you would keep a watch on your neighbour's house if they were away, you should do the same for unoccupied caravans on the site and report anything suspicious immediately.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	CCONJ ADV ADP PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB ADV PRON VERB VERB DET ADJ ADP ADJ NOUN ADP DET NOUN CCONJ VERB NOUN ADJ ADV	▁And ▁just ▁as ▁you ▁would ▁keep ▁a ▁watch ▁on ▁your ▁neighbour ' s ▁house ▁if ▁they ▁were ▁away , ▁you ▁should ▁do ▁the ▁same ▁for ▁un occupied ▁caravan s ▁on ▁the ▁site ▁and ▁report ▁anything ▁suspicious ▁immediately .	0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADP PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN ADP PRON VERB ADV ADV PRON VERB VERB DET ADJ ADP ADJ ADJ NOUN NOUN ADP DET NOUN CCONJ VERB NOUN ADJ ADV ADV
If I didn't go I could stay at home and work on the house.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	identical	ADP PRON VERB VERB PRON VERB VERB ADP NOUN CCONJ NOUN ADP DET NOUN	▁If ▁I ▁did n ' t ▁go ▁I ▁could ▁stay ▁at ▁home ▁and ▁work ▁on ▁the ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP PRON VERB VERB VERB VERB VERB PRON VERB VERB ADP NOUN CCONJ NOUN ADP DET NOUN NOUN
Our neighbour, who had been given a key to check on our house while we had been away, had thoughtfully lit a fire to welcome us home.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADJ NOUN NOUN VERB VERB VERB DET NOUN PART VERB ADP ADJ NOUN ADP PRON VERB VERB ADV VERB ADV VERB DET NOUN PART VERB PRON ADV	▁Our ▁neighbour , ▁who ▁had ▁been ▁given ▁a ▁key ▁to ▁check ▁on ▁our ▁house ▁while ▁we ▁had ▁been ▁away , ▁had ▁thought fully ▁lit ▁a ▁fire ▁to ▁welcome ▁us ▁home .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN NOUN VERB VERB VERB DET NOUN PART VERB ADP ADJ NOUN ADP PRON VERB VERB ADV ADV VERB ADV ADV VERB DET NOUN PART VERB PRON ADV ADV
There was a small top storey, a room on the flat roof which may have functioned as a sleeping place on hot summer nights : there were similar roof chambers on Egyptian houses too.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the house	literal	determiner-broad	ADV VERB DET ADJ ADJ NOUN DET NOUN ADP DET ADJ NOUN ADJ VERB VERB VERB ADP DET VERB NOUN ADP ADJ NOUN NOUN PUNCT ADV VERB ADJ ADJ NOUN ADP ADJ NOUN ADV	▁There ▁was ▁a ▁small ▁top ▁store y , ▁a ▁room ▁on ▁the ▁flat ▁roof ▁which ▁may ▁have ▁function ed ▁as ▁a ▁sleeping ▁place ▁on ▁hot ▁summer ▁night s ▁ : ▁there ▁were ▁similar ▁roof ▁chambers ▁on ▁Egyptian ▁houses ▁too .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADV VERB DET ADJ ADJ NOUN NOUN NOUN DET NOUN ADP DET ADJ NOUN ADJ VERB VERB VERB VERB ADP DET VERB NOUN ADP ADJ NOUN NOUN NOUN PUNCT PUNCT ADV VERB ADJ ADJ NOUN ADP ADJ NOUN ADV ADV
He says no, he says any man wanting to build an extension on his house, he's gon na sit down and gon na count the cost of it.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PRON VERB INTJ PRON VERB DET NOUN VERB PART VERB DET NOUN ADP ADJ NOUN PRON VERB PART VERB PART CCONJ VERB PART VERB DET NOUN ADP PRON	▁He ▁says ▁no , ▁he ▁says ▁any ▁man ▁wanting ▁to ▁build ▁an ▁extension ▁on ▁his ▁house , ▁he ' s ▁ gon ▁na ▁sit ▁down ▁and ▁ gon ▁na ▁count ▁the ▁cost ▁of ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB INTJ INTJ PRON VERB DET NOUN VERB PART VERB DET NOUN ADP ADJ NOUN NOUN PRON PRON PRON VERB VERB PART VERB PART CCONJ VERB VERB PART VERB DET NOUN ADP PRON PRON
It's on a house is only worth what somebody will give.	0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PRON ADP DET NOUN VERB ADV ADJ NOUN NOUN VERB VERB	▁It ' s ▁on ▁a ▁house ▁is ▁only ▁worth ▁what ▁somebody ▁will ▁give .	0 0 0 1 0 1 0 0 0 0 0 0 0 0	PRON PRON PRON ADP DET NOUN VERB ADV ADJ NOUN NOUN VERB VERB VERB
It's in part a government, and partly E C funding programme, and er the rules on that have been changed which will make many more people eligible for assistance with er, er insulation on their houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PRON ADP NOUN DET NOUN CCONJ ADV NOUN NOUN NOUN NOUN CCONJ INTJ DET NOUN ADP ADJ VERB VERB VERB ADJ VERB VERB ADJ ADJ NOUN ADJ ADP NOUN ADP INTJ INTJ NOUN ADP ADJ NOUN	▁It ' s ▁in ▁part ▁a ▁government , ▁and ▁partly ▁E ▁C ▁funding ▁programme , ▁and ▁er ▁the ▁rules ▁on ▁that ▁have ▁been ▁changed ▁which ▁will ▁make ▁many ▁more ▁people ▁eligible ▁for ▁assistance ▁with ▁er , ▁er ▁insulation ▁on ▁their ▁houses .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON PRON PRON ADP NOUN DET NOUN NOUN CCONJ ADV NOUN NOUN NOUN NOUN NOUN CCONJ INTJ DET NOUN ADP ADJ VERB VERB VERB ADJ VERB VERB ADJ ADJ NOUN ADJ ADP NOUN ADP INTJ INTJ INTJ NOUN ADP ADJ NOUN NOUN
I want work started on that house by the end of next week. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PRON VERB NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT	▁I ▁want ▁work ▁started ▁on ▁that ▁house ▁by ▁the ▁end ▁of ▁next ▁week . ▁'	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	PRON VERB NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN PUNCT
A year or so ago, I went into Cartmel to do some work on the house of that oaf you have just seen.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	identical	DET NOUN CCONJ ADV ADV PRON VERB ADP PROPN PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB	▁A ▁year ▁or ▁so ▁ago , ▁I ▁went ▁into ▁Car t mel ▁to ▁do ▁some ▁work ▁on ▁the ▁house ▁of ▁that ▁o af ▁you ▁have ▁just ▁seen .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	DET NOUN CCONJ ADV ADV ADV PRON VERB ADP PROPN PROPN PROPN PART VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN PRON VERB ADV VERB VERB
Local councils will then have to collate the information and send out bills with details of the valuations put on houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	on the house	literal	deletion-determiner	ADJ NOUN VERB ADV VERB PART VERB DET NOUN CCONJ VERB PART NOUN ADP NOUN ADP DET NOUN VERB ADP NOUN	▁Local ▁councils ▁will ▁then ▁have ▁to ▁collate ▁the ▁information ▁and ▁send ▁out ▁bills ▁with ▁details ▁of ▁the ▁valuation s ▁put ▁on ▁houses .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADJ NOUN VERB ADV VERB PART VERB DET NOUN CCONJ VERB PART NOUN ADP NOUN ADP DET NOUN NOUN VERB ADP NOUN NOUN
No novelist writing earlier than Dickens would, for example, have concentrated on a boarding house — not that fictional characters don't stay in them occasionally, but they are not seen from the landlady's ( or boarding house's ) point of view.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	DET NOUN VERB ADV ADP PROPN VERB ADP NOUN VERB VERB ADP DET VERB NOUN PUNCT ADV ADP ADJ NOUN VERB VERB ADP PRON ADV CCONJ PRON VERB ADV VERB ADP DET NOUN PUNCT CCONJ VERB NOUN PUNCT NOUN ADP NOUN	▁No ▁novel ist ▁writing ▁earlier ▁than ▁Di cken s ▁would , ▁for ▁example , ▁have ▁concentrated ▁on ▁a ▁boarding ▁house ▁ — ▁not ▁that ▁fiction al ▁characters ▁don ' t ▁stay ▁in ▁them ▁occasionally , ▁but ▁they ▁are ▁not ▁seen ▁from ▁the ▁land lad y ' s ▁( ▁or ▁boarding ▁house ' s ▁ ) ▁point ▁of ▁view .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADV ADP PROPN PROPN PROPN VERB VERB ADP NOUN NOUN VERB VERB ADP DET VERB NOUN PUNCT PUNCT ADV ADP ADJ ADJ NOUN VERB VERB VERB VERB ADP PRON ADV ADV CCONJ PRON VERB ADV VERB ADP DET NOUN NOUN NOUN NOUN NOUN PUNCT CCONJ VERB NOUN NOUN NOUN PUNCT PUNCT NOUN ADP NOUN NOUN
After the ceremony, the wedding party and their guests went to the Rotonde and Libion, the popular patron, offered champagne on the house and toasts were drunk enthusiastically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the house	figurative	identical	ADP DET NOUN DET NOUN NOUN CCONJ ADJ NOUN VERB ADP DET PROPN CCONJ PROPN DET ADJ NOUN VERB NOUN ADP DET NOUN CCONJ NOUN VERB ADJ ADV	▁After ▁the ▁ceremony , ▁the ▁we dding ▁party ▁and ▁their ▁guest s ▁went ▁to ▁the ▁Ro ton de ▁and ▁L ib ion , ▁the ▁popular ▁pat ron , ▁offered ▁ch ampagne ▁on ▁the ▁house ▁and ▁to ast s ▁were ▁drunk ▁enthusiastic ally .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN DET NOUN NOUN NOUN CCONJ ADJ NOUN NOUN VERB ADP DET PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN DET ADJ NOUN NOUN NOUN VERB NOUN NOUN ADP DET NOUN CCONJ NOUN NOUN NOUN VERB ADJ ADV ADV ADV
