Like other frontier peoples, the French Basques have not always seen eye to eye with Paris.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	see eye to eye	figurative	inflection	ADP ADJ NOUN NOUN DET PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN ADP PROPN	▁Like ▁other ▁frontier ▁peoples , ▁the ▁French ▁Basque s ▁have ▁not ▁always ▁seen ▁eye ▁to ▁eye ▁with ▁Paris .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	ADP ADJ NOUN NOUN NOUN DET PROPN PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN ADP PROPN PROPN
The two have never seen eye to eye apparently and although some papers called him a hothead, Horton insists he wasn't going to have a go at the ref, who was given a police escort back to the dressing rooms.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	inflection	DET NUM VERB ADV VERB NOUN ADP NOUN ADV CCONJ ADP DET NOUN VERB PRON DET NOUN PROPN VERB PRON VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN VERB VERB DET NOUN NOUN ADV ADP DET NOUN NOUN	▁The ▁two ▁have ▁never ▁seen ▁eye ▁to ▁eye ▁apparently ▁and ▁although ▁some ▁papers ▁called ▁him ▁a ▁hot head , ▁H or ton ▁insist s ▁he ▁was n ' t ▁going ▁to ▁have ▁a ▁go ▁at ▁the ▁ref , ▁who ▁was ▁given ▁a ▁police ▁escort ▁back ▁to ▁the ▁dressing ▁rooms .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NUM VERB ADV VERB NOUN ADP NOUN ADV CCONJ ADP DET NOUN VERB PRON DET NOUN NOUN NOUN PROPN PROPN PROPN VERB VERB PRON VERB VERB VERB VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN VERB VERB DET NOUN NOUN ADV ADP DET NOUN NOUN NOUN
THOSE keen environmentalists, Richard Branson and Sir James Goldsmith, are no longer seeing eye to eye.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	see eye to eye	figurative	inflection	DET ADJ NOUN PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN	▁T H OSE ▁keen ▁environmental ists , ▁Richard ▁B ran son ▁and ▁Sir ▁James ▁Gold smith , ▁are ▁no ▁longer ▁seeing ▁eye ▁to ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET DET DET ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN NOUN
For some reason, we never saw eye to eye.	0 0 0 0 0 1 1 1 1	see eye to eye	figurative	inflection	ADP DET NOUN PRON ADV VERB NOUN ADP NOUN	▁For ▁some ▁reason , ▁we ▁never ▁saw ▁eye ▁to ▁eye .	0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN NOUN PRON ADV VERB NOUN ADP NOUN NOUN
But then those two don't see eye to eye about anything these days.	0 0 0 0 0 1 1 1 1 0 0 0 0	see eye to eye	figurative	identical	CCONJ ADV DET NUM VERB VERB NOUN ADP NOUN ADP NOUN DET NOUN	▁But ▁then ▁those ▁two ▁don ' t ▁see ▁eye ▁to ▁eye ▁about ▁anything ▁these ▁days .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	CCONJ ADV DET NUM VERB VERB VERB VERB NOUN ADP NOUN ADP NOUN DET NOUN NOUN
He said he could not serve on that sub - committeee ( consisting of Brian Close, Bob Appleyard, Phil Sharpe, Bryan Stott, Tony Woodhouse)‘when I do not see eye to eye with them on any subject’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	see eye to eye	figurative	identical	PRON VERB PRON VERB ADV VERB ADP DET NOUN PUNCT NOUN PUNCT VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN INTJ PRON VERB ADV VERB NOUN ADP NOUN ADP PRON ADP DET NOUN	▁He ▁said ▁he ▁could ▁not ▁serve ▁on ▁that ▁sub ▁- ▁committee e ▁( ▁consisting ▁of ▁Brian ▁Close , ▁Bo b ▁Apple yard , ▁P hil ▁Sharp e , ▁Br yan ▁St ott , ▁To ny ▁Wood house ) ‘ when ▁I ▁do ▁not ▁see ▁eye ▁to ▁eye ▁with ▁them ▁on ▁any ▁subject ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB PRON VERB ADV VERB ADP DET NOUN PUNCT NOUN NOUN PUNCT VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN INTJ INTJ INTJ INTJ INTJ PRON VERB ADV VERB NOUN ADP NOUN ADP PRON ADP DET NOUN NOUN NOUN
There were moments when he took on too much ; and although I pursued the matter of our volume only because he had invited me to do so, I soon realized that I was asking more than I should have done, especially as I was uncertain at any moment whether my collaborators saw eye to eye with me about the scope of our project.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	see eye to eye	figurative	inflection	ADV VERB NOUN ADV PRON VERB PART ADV ADJ PUNCT CCONJ ADP PRON VERB DET NOUN ADP ADJ NOUN ADV ADP PRON VERB VERB PRON PART VERB ADV PRON ADV VERB ADP PRON VERB VERB ADV ADP PRON VERB VERB VERB ADV ADP PRON VERB ADJ ADP DET NOUN ADP ADJ NOUN VERB NOUN ADP NOUN ADP PRON ADP DET NOUN ADP ADJ NOUN	▁There ▁were ▁moment s ▁when ▁he ▁took ▁on ▁too ▁much ▁ ; ▁and ▁although ▁I ▁pursued ▁the ▁matter ▁of ▁our ▁volume ▁only ▁because ▁he ▁had ▁invited ▁me ▁to ▁do ▁so , ▁I ▁soon ▁realized ▁that ▁I ▁was ▁asking ▁more ▁than ▁I ▁should ▁have ▁done , ▁especially ▁as ▁I ▁was ▁uncertain ▁at ▁any ▁moment ▁whether ▁my ▁col labo rator s ▁saw ▁eye ▁to ▁eye ▁with ▁me ▁about ▁the ▁scope ▁of ▁our ▁project .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	ADV VERB NOUN NOUN ADV PRON VERB PART ADV ADJ PUNCT PUNCT CCONJ ADP PRON VERB DET NOUN ADP ADJ NOUN ADV ADP PRON VERB VERB PRON PART VERB ADV ADV PRON ADV VERB ADP PRON VERB VERB ADV ADP PRON VERB VERB VERB VERB ADV ADP PRON VERB ADJ ADP DET NOUN ADP ADJ NOUN NOUN NOUN NOUN VERB NOUN ADP NOUN ADP PRON ADP DET NOUN ADP ADJ NOUN NOUN
Ted and I will never see eye to eye about his clients, whom he likes, respects and positively enjoys dragging over hills to bag stags, whereas I loathe these numbskulls who think killing is ‘ sport’.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	identical	PROPN CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP ADJ NOUN NOUN PRON VERB NOUN CCONJ ADV VERB VERB ADP NOUN ADP NOUN NOUN ADP PRON VERB DET NOUN NOUN VERB VERB VERB ADJ NOUN	▁T ed ▁and ▁I ▁will ▁never ▁see ▁eye ▁to ▁eye ▁about ▁his ▁clients , ▁whom ▁he ▁like s , ▁respects ▁and ▁positively ▁enjoys ▁dragg ing ▁over ▁hill s ▁to ▁bag ▁sta g s , ▁whereas ▁I ▁lo a the ▁these ▁numb sk ull s ▁who ▁think ▁killing ▁is ▁ ‘ ▁sport ’ .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP ADJ NOUN NOUN NOUN PRON VERB VERB VERB NOUN CCONJ ADV VERB VERB VERB ADP NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN ADP PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN NOUN VERB VERB VERB ADJ ADJ NOUN NOUN NOUN
‘ Well, we don't always see eye to eye about things.	0 0 0 0 0 1 1 1 1 0 0	see eye to eye	figurative	identical	PUNCT INTJ PRON VERB ADV VERB NOUN ADP NOUN ADP NOUN	▁ ‘ ▁Well , ▁we ▁don ' t ▁always ▁see ▁eye ▁to ▁eye ▁about ▁things .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	PUNCT PUNCT INTJ INTJ PRON VERB VERB VERB ADV VERB NOUN ADP NOUN ADP NOUN NOUN
As Bailey said, the two of them never saw eye to eye.	0 0 0 0 0 0 0 0 1 1 1 1	see eye to eye	figurative	inflection	ADP PROPN VERB DET NUM ADP PRON ADV VERB NOUN ADP NOUN	▁As ▁B ai ley ▁said , ▁the ▁two ▁of ▁them ▁never ▁saw ▁eye ▁to ▁eye .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP PROPN PROPN PROPN VERB VERB DET NUM ADP PRON ADV VERB NOUN ADP NOUN NOUN
The portly Breton was standing in the town in yesterday's parliamentary elections but it would appear that he does not see eye to eye with local activists.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	see eye to eye	figurative	identical	DET ADV PROPN VERB VERB ADP DET NOUN ADP NOUN ADJ NOUN CCONJ PRON VERB VERB ADP PRON VERB ADV VERB NOUN ADP NOUN ADP ADJ NOUN	▁The ▁port ly ▁Bre ton ▁was ▁standing ▁in ▁the ▁town ▁in ▁yesterday ' s ▁parliamentary ▁elections ▁but ▁it ▁would ▁appear ▁that ▁he ▁does ▁not ▁see ▁eye ▁to ▁eye ▁with ▁local ▁activists .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	DET ADV ADV PROPN PROPN VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN ADJ NOUN CCONJ PRON VERB VERB ADP PRON VERB ADV VERB NOUN ADP NOUN ADP ADJ NOUN NOUN
