But when all is said and done, what innovation requires is hard, focused, purposeful work.	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0	when all is said and done	figurative	identical	CCONJ ADV DET VERB VERB CCONJ VERB ADJ NOUN VERB VERB ADJ ADJ ADJ NOUN
Oh, was not this delightful, to hurt again the girl who had rejected him, the girl who when all was said and done would have been a greater prize than the vulgar woman he had married for her money?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	inflection	INTJ VERB ADV DET ADJ PART VERB ADV DET NOUN NOUN VERB VERB PRON DET NOUN NOUN ADV DET VERB VERB CCONJ VERB VERB VERB VERB DET ADJ NOUN ADP DET ADJ NOUN PRON VERB VERB ADP ADJ NOUN
However mistaken he thought that she might be, and that her vision of life was based on a charming naïveté which took little account of the cruel realities of existence, it was, to him, admirable that she should care about such things, and in such a practical way when all was said and done.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	when all is said and done	figurative	inflection	ADV ADJ PRON VERB ADP PRON VERB VERB CCONJ ADP ADJ NOUN ADP NOUN VERB VERB ADP DET ADJ NOUN ADJ VERB ADJ NOUN ADP DET ADJ NOUN ADP NOUN PRON VERB ADP PRON ADJ ADP PRON VERB VERB ADP ADJ NOUN CCONJ ADP ADJ DET ADJ NOUN ADV DET VERB VERB CCONJ VERB
He has had an unhappy life, when all is said and done, unhappy in the personal department.	0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0	when all is said and done	figurative	identical	PRON VERB VERB DET ADJ NOUN ADV DET VERB VERB CCONJ VERB ADJ ADP DET ADJ NOUN
‘ And there it is, your throneships,’ said Bith, beaming, because when all was said and done, hadn't they produced the finest old sketches ever heard of and wasn't there good reason for them to feel proud?	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	inflection	PUNCT CCONJ ADV PRON VERB ADJ NOUN VERB PROPN VERB ADP ADV DET VERB VERB CCONJ VERB VERB PRON VERB DET ADJ ADJ NOUN ADV VERB ADP CCONJ VERB ADV ADJ NOUN ADP PRON PART VERB ADJ
All these thoughts seem right and proper at this time but, when all is said and done, might not much of the above be applied to any institution?	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	identical	ADJ DET NOUN VERB ADJ CCONJ ADJ ADP DET NOUN CCONJ ADV DET VERB VERB CCONJ VERB VERB ADV ADJ ADP DET ADJ VERB VERB ADP DET NOUN
But, when all was said and done, through what turned out to be often Draconian controls, China pulled off quite a feat!	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	inflection	CCONJ ADV DET VERB VERB CCONJ VERB ADP NOUN VERB PART PART VERB ADV ADJ NOUN PROPN VERB PART ADJ DET NOUN
I think it could be more like £ 400 when all is said and done.’	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	when all is said and done	figurative	dashes	PRON VERB PRON VERB VERB ADJ ADP SYM NUM ADV DET VERB VERB CCONJ NOUN
But when all was said and done, Mother Francis wished she could be sure that they would treat Eve well up in Mother Clare's convent.	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	inflection	CCONJ ADV DET VERB VERB CCONJ VERB PROPN PROPN VERB PRON VERB VERB ADJ ADP PRON VERB VERB PROPN ADV PART ADP PROPN PROPN NOUN
‘ I don't wish to criticise your friend but, when all is said and done, what does a half - mad old maid know about anything?	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	identical	PUNCT PRON VERB VERB PART VERB ADJ NOUN CCONJ ADV DET VERB VERB CCONJ VERB NOUN VERB DET ADJ PUNCT ADJ ADJ NOUN VERB ADP NOUN
But when all is said and done, the name of the novel game is entertainment, and in that Richard Allen has never failed to deliver.	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	when all is said and done	figurative	identical	CCONJ ADV DET VERB VERB CCONJ VERB DET NOUN ADP DET ADJ NOUN VERB NOUN CCONJ ADP DET PROPN PROPN VERB ADV VERB PART VERB
