In these free - and - easy days people are making their own rules already.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN NOUN VERB VERB ADJ ADJ NOUN ADV
Nevertheless, at first I was lonely and missed the free - and - easy atmosphere I had left behind, until I began to get to know people.	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	ADV ADP ADV PRON VERB ADJ CCONJ VERB DET ADJ PUNCT CCONJ PUNCT ADJ NOUN PRON VERB VERB ADV ADP PRON VERB PART VERB PART VERB NOUN
She 'd been living in England such a long time, of course, it was a bit too free and easy over there.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	free and easy	figurative	identical	PRON VERB VERB VERB ADP PROPN ADJ DET ADJ NOUN ADP NOUN PRON VERB DET NOUN ADV ADJ CCONJ ADJ ADV ADV
One need not partake of overly sentimental or nostalgic views about academic freedom and communities of scholars to recognise that open doors and free and easy communication — face to face and in print — are the fundamental difference between the aridity of Soviet science and the fabulous productivity of American science.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	NUM VERB ADV NOUN ADP ADV ADJ CCONJ ADJ NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN PART VERB ADP ADJ NOUN CCONJ ADJ CCONJ ADJ NOUN PUNCT NOUN ADP NOUN CCONJ ADP NOUN PUNCT VERB DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ NOUN
From all over Europe, young people are attracted by the free and easy spirit in Ibiza which makes a holiday so much fun.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	ADP ADV ADP PROPN ADJ NOUN VERB VERB ADP DET ADJ CCONJ ADJ NOUN ADP PROPN ADJ VERB DET NOUN ADV ADJ NOUN
Free and easy atmosphere, singalong and Honky Tonk.	1 1 1 0 0 0 0 0	free and easy	figurative	case	ADJ CCONJ ADJ NOUN NOUN CCONJ PROPN PROPN
‘ The best things about being free and easy is I 'm always available,’ he says.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	free and easy	figurative	identical	PUNCT DET ADJ NOUN ADP VERB ADJ CCONJ ADJ VERB PRON VERB ADV ADJ PRON VERB
This free - and - easy arrangement produced strong, healthy kittens that flourished because of the division of labour of the mother cats.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	DET ADJ PUNCT CCONJ PUNCT ADJ NOUN VERB ADJ ADJ NOUN ADJ VERB ADP ADP DET NOUN ADP NOUN ADP DET NOUN NOUN
It is an unbelievable place to spend the summer and young people from all over Europe flock here from April right through to the end of October to enjoy the free and easy life - style and atmosphere that they themselves have created.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	PRON VERB DET ADJ NOUN PART VERB DET NOUN CCONJ ADJ NOUN ADP ADV ADP PROPN NOUN ADV ADP PROPN ADV ADV ADP DET NOUN ADP PROPN PART VERB DET ADJ CCONJ ADJ NOUN PUNCT NOUN CCONJ NOUN ADP PRON PRON VERB VERB
This is, after all, the Philippines, where Imelda Marcos is still living free and easy.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	free and easy	figurative	identical	DET VERB ADV ADV DET PROPN ADV PROPN PROPN VERB ADV VERB ADJ CCONJ ADJ
On one level The Freshman works exceedingly well, its clever - clever script and free - and - easy exploitation of Matthew Broderick and, remarkably, Marlon Brando find ways to make an audience laugh with a slick vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	ADP NUM NOUN DET PROPN VERB ADV ADV ADJ ADJ PUNCT ADJ NOUN CCONJ ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP PROPN PROPN CCONJ ADV PROPN PROPN VERB NOUN PART VERB DET NOUN NOUN ADP DET ADJ NOUN
