On March 20 and October 9, Saturn and Pluto cross swords for the first time in two decades.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	cross swords	figurative	identical	ADP PROPN NUM CCONJ PROPN NUM PROPN CCONJ PROPN NOUN NOUN ADP DET ADJ NOUN ADP NUM NOUN
Unknown to him Leopold had recently heard from another composer, Peter von Winter, who had crossed swords with Wolfgang in Mannheim, and was now maliciously taking his revenge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	ADJ ADP PRON PROPN VERB ADV VERB ADP DET NOUN PROPN PROPN PROPN NOUN VERB VERB NOUN ADP PROPN ADP PROPN CCONJ VERB ADV ADV VERB ADJ NOUN
Actually, when it came right down to it, and ignoring the circumstances, crossing swords with him was quite fun.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	cross swords	figurative	inflection	ADV ADV PRON VERB ADV ADV ADP PRON CCONJ VERB DET NOUN VERB NOUN ADP PRON VERB ADV ADJ
' I tremble at crossing swords with you, ' said Robert Bossu in the sweetest and most reasonable of voices, his high shoulder leaned at ease against the panelled wall at his back, ' but I must observe that she did not allow it to succeed.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	PUNCT PRON VERB ADP VERB NOUN ADP PRON PUNCT VERB PROPN PROPN ADP DET ADJ CCONJ ADV ADJ ADP NOUN ADJ ADJ NOUN VERB ADP NOUN ADP DET VERB NOUN ADP ADJ NOUN PUNCT CCONJ PRON VERB VERB ADP PRON VERB ADV VERB PRON PART VERB
Spices, in London's Hackney, a former winner of The People Asian Restaurant of the Month competition, is celebrating Onam — a commemoration of a king who crossed swords with the gods.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	cross swords	figurative	inflection	NOUN ADP PROPN PROPN DET ADJ NOUN ADP DET PROPN PROPN PROPN ADP DET PROPN NOUN VERB VERB PROPN PUNCT DET NOUN ADP DET NOUN NOUN VERB NOUN ADP DET NOUN
He took an unconcerned mouthful of his whisky and rolled it in his mouth as he smiled and told her, ' Alas, you see, your brother and I have crossed swords again. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	cross swords	figurative	inflection	PRON VERB DET ADJ NOUN ADP ADJ NOUN CCONJ VERB PRON ADP ADJ NOUN ADP PRON VERB CCONJ VERB PRON PUNCT INTJ PRON VERB ADJ NOUN CCONJ PRON VERB VERB NOUN ADV PUNCT
Litigation followed until finally the dispute was settled by agreement between the two parties on 16th July 1784 — twenty years after the indomitable brewer had first crossed swords with the Corporation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	cross swords	figurative	inflection	NOUN VERB ADP ADV DET NOUN VERB VERB ADP NOUN ADP DET NUM NOUN ADP ADJ PROPN NUM PUNCT NUM NOUN ADP DET ADJ NOUN VERB ADV VERB NOUN ADP DET PROPN
The once great Cavan cross swords with Monaghan at Castleblayney, bidding to end a frustrating losing championship sequence.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	identical	DET ADV ADJ PROPN VERB NOUN ADP PROPN ADP PROPN NOUN PART VERB DET ADJ VERB NOUN NOUN
' She's already crossed swords with Eileen Harman. '	0 0 0 1 1 0 0 0 0	cross swords	figurative	inflection	PUNCT PRON ADV VERB NOUN ADP PROPN PROPN PUNCT
Harris didn't get on with Kirk Douglas when they made The Heroes of Telemark in 1965 ( but then at that time few got on with Douglas ), and just a year earlier he crossed swords with Mr Epic himself, Charlton Heston, on the set of Major Dundee in Mexico.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	PROPN VERB VERB PART ADP PROPN PROPN ADV PRON VERB DET PROPN ADP PROPN ADP NUM PUNCT CCONJ ADV ADP DET NOUN ADJ VERB PART ADP PROPN PUNCT CCONJ ADV DET NOUN ADV PRON VERB NOUN ADP PROPN PROPN PRON PROPN PROPN ADP DET NOUN ADP PROPN PROPN ADP PROPN
I knew Andrew Storey since we had occasionally crossed swords in the Halford Hewitt Cup — an extraordinarily friendly but highly competitive event for old boys of a select group of schools.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	PRON VERB PROPN PROPN ADP PRON VERB ADV VERB NOUN ADP DET PROPN PROPN PROPN PUNCT DET ADV ADJ CCONJ ADV ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP NOUN
