Keeping the ball alive and kicking.	0 0 0 1 1 1	alive and kicking	figurative	identical	VERB DET NOUN ADJ CCONJ VERB
Last year JIMI HENDRIX sold a staggering four million albums worldwide — proof that interest in this guitar savant is still alive and kicking.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	alive and kicking	figurative	identical	ADJ NOUN PROPN PROPN VERB DET ADJ NUM NUM NOUN ADJ PUNCT NOUN ADP NOUN ADP DET NOUN NOUN VERB ADV ADJ CCONJ VERB
A Government decision to move the DoE to Thomas More Square, Canary Wharf, Harbour Exchange or East India Dock would keep Docklands alive and kicking.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	alive and kicking	figurative	identical	DET PROPN NOUN PART VERB DET NOUN ADP PROPN ADJ PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB PROPN ADJ CCONJ VERB
And the lack of response by the authorities in Tower Hamlets leads us to conclude that ‘ institutional’ racism is very much alive and kicking.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	alive and kicking	figurative	identical	CCONJ DET NOUN ADP NOUN ADP DET NOUN ADP PROPN PROPN VERB PRON PART VERB ADP ADJ ADJ NOUN VERB ADV ADV ADJ CCONJ VERB
The beast was still very much alive and kicking.	0 0 0 0 0 0 1 1 1	alive and kicking	figurative	identical	DET NOUN VERB ADV ADV ADV ADJ CCONJ VERB
Let me assure you it's alive and kicking,"he said, reeling off an impressive string of figures.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	alive and kicking	figurative	insertion-determiner	VERB PRON VERB PRON PRON ADJ CCONJ VERB VERB VERB PART DET ADJ NOUN ADP NOUN
But it is an option that I certainly wouldn't want to discount at this particular er stage erm because it depends on so many er factors, it depends for example whether er the site that er has been identified for up to two thousand and six, and which is developed up to two thousand and six, has the physical capacity to expand beyond two thousand and six, and I think that that ought to be one of the considerations perhaps that we ought to look at as we move towards the identification erm er of the new settlement, conversely, it could well be that ought to be looking at a second new settlement in a different location, erm I can't give an answer, a definitive answer, what I can say is, coming back again er to Mr Brook, this sort of issue er will not be picked up in nineteen eighty eight or nineteen eighty nine, er if we are all alive and kicking in North Yorkshire and the District Councils we will be looking at it regularly, we 'll be looking at it in two years time, one years time, erm erm that's the way we work in Greater York, and it's basically worked very successfully.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	alive and kicking	figurative	identical	CCONJ PRON VERB DET NOUN ADJ PRON ADV VERB VERB PART VERB ADP DET ADJ INTJ NOUN NOUN ADP PRON VERB ADP ADV ADJ INTJ NOUN PRON VERB ADP NOUN ADP INTJ DET NOUN ADJ INTJ VERB VERB VERB ADP ADP PART NUM NUM CCONJ NUM CCONJ ADJ VERB VERB PART PART NUM NUM CCONJ NUM VERB DET ADJ NOUN PART VERB ADP NUM NUM CCONJ NUM CCONJ PRON VERB ADP DET VERB PART VERB NUM ADP DET NOUN ADV ADP PRON VERB PART VERB ADP ADP PRON VERB ADP DET NOUN NOUN INTJ ADP DET ADJ NOUN ADV PRON VERB ADV VERB DET VERB PART VERB VERB ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN NOUN PRON VERB VERB DET NOUN DET ADJ NOUN NOUN PRON VERB VERB VERB VERB ADV ADV INTJ ADP PROPN PROPN DET NOUN ADP NOUN INTJ VERB ADV VERB VERB PART ADP NUM NUM NUM CCONJ NUM NUM NUM INTJ ADP PRON VERB ADV ADJ CCONJ VERB ADP PROPN PROPN CCONJ DET PROPN PROPN PRON VERB VERB VERB ADP PRON ADV PRON VERB VERB VERB ADP PRON ADP NUM NOUN NOUN NUM NOUN NOUN NOUN NOUN DET DET NOUN PRON VERB ADP PROPN PROPN CCONJ PRON ADV VERB ADV ADV
The menagerie of the Zoological Society provided the perfect opportunity to observe subjects alive and vigorously kicking, and the tiny woodcuts of the Society's guidebook vibrate with squawking, flapping, screeching birds drawn as never before attempted in a British work of its kind.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	alive and kicking	figurative	insertion-other	DET NOUN ADP DET PROPN PROPN VERB DET ADJ NOUN PART VERB NOUN ADJ CCONJ ADV VERB CCONJ DET ADJ NOUN ADP DET PROPN NOUN NOUN ADP VERB VERB VERB NOUN VERB ADV ADV ADP VERB ADP DET ADJ NOUN ADP ADJ NOUN
' Very much alive, and kicking!	0 0 0 1 1 1	alive and kicking	figurative	dashes	PUNCT ADV ADV ADJ CCONJ VERB
Other people, alive and kicking.	0 0 1 1 1	alive and kicking	figurative	identical	ADJ NOUN ADJ CCONJ VERB
' Alive and kicking.	0 1 1 1	alive and kicking	figurative	case	PUNCT ADJ CCONJ VERB
Pflug, therefore, concluded that ‘ the management view prevalent 15 years ago of information technology as an adjunct to, as opposed to a key part of the business, is still alive and kicking today’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	alive and kicking	figurative	identical	PROPN ADV VERB ADP PUNCT DET NOUN NOUN ADJ NUM NOUN ADV ADP NOUN NOUN ADP DET ADJ PART ADP VERB ADP DET ADJ NOUN ADP DET NOUN VERB ADV ADJ CCONJ VERB NOUN
Thank you ‘ Small Town Ireland’ for showing that bigotry towards people who choose to be different in, either sexual inclination or otherwise, is still alive and kicking in your bastion of the caring Catholic Church today, as it was thirty years ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	alive and kicking	figurative	identical	VERB PRON PUNCT PROPN PROPN PROPN ADP VERB DET NOUN ADP NOUN NOUN VERB PART VERB ADJ ADP CCONJ ADJ NOUN CCONJ ADV VERB ADV ADJ CCONJ VERB ADP ADJ NOUN ADP DET ADJ PROPN PROPN NOUN ADP PRON VERB NUM NOUN ADV
Preston enquired, thinking they 'd probably been put down years ago, but the Flying Horses were alive and kicking and in at least as good a shape as she was.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	alive and kicking	figurative	identical	PROPN VERB VERB PRON VERB ADV VERB VERB PART NOUN ADV CCONJ DET VERB PROPN VERB ADJ CCONJ VERB CCONJ ADP ADV ADJ ADV ADJ DET NOUN ADP PRON VERB
She said oh I 'm ever so sorry, she said perhaps it's your mother, I said no I said she was alive and kicking as well the last time I saw her so	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	alive and kicking	figurative	identical	PRON VERB INTJ PRON VERB ADV ADV ADJ PRON VERB ADV PRON ADJ NOUN PRON VERB INTJ PRON VERB PRON VERB ADJ CCONJ VERB ADV ADV DET ADJ NOUN PRON VERB PRON ADV
But then why, as he lay there pink and rested in his striped Viyella pyjamas feeling no older and certainly very little wiser than he had when he used to open his eyes in his prep school dormitory over sixty - five years ago, should he not be alive and kicking?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	alive and kicking	figurative	identical	CCONJ ADV ADV ADP PRON VERB ADV ADJ CCONJ VERB ADP ADJ ADJ PROPN VERB VERB DET ADJ CCONJ ADV ADV ADJ ADJ ADP PRON VERB ADV PRON VERB PART VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN ADP NUM PUNCT NUM NOUN ADV VERB PRON ADV VERB ADJ CCONJ VERB
