The ‘ Jekyll and Hyde doctor was gratifying his strange desires’, claimed the prosecution.	0 0 1 1 1 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	DET ADJ PROPN CCONJ PROPN NOUN VERB VERB ADJ ADJ NOUN VERB DET NOUN
John Allcock continued his Jekyll and Hyde existence this month.	0 0 0 0 1 1 1 0 0 0	jekyll and hyde	figurative	identical	PROPN PROPN VERB ADJ PROPN CCONJ PROPN NOUN DET NOUN
The final ‘ Jekyll and Hyde’ example shows both characteristics in one fell swoop.	0 0 0 1 1 1 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	dashes	DET ADJ NUM PROPN CCONJ VERB NOUN NOUN DET NOUN ADP NUM ADJ NOUN
As he spoke, his language grew rougher and rougher, as if a Jekyll and Hyde transformation were taking effect.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	jekyll and hyde	figurative	identical	ADP PRON VERB ADJ NOUN VERB ADJ CCONJ ADJ ADP ADP DET PROPN CCONJ PROPN NOUN VERB VERB NOUN
I 'm learning to live with its troublesome Jekyll and Hyde nature.	0 0 0 0 0 0 0 0 1 1 1 0	jekyll and hyde	figurative	identical	PRON VERB VERB PART VERB ADP ADJ ADJ PROPN CCONJ PROPN NOUN
This most clearly illustrates the Jekyll and Hyde nature of the disease and gives one insight into the concept of a disease of the human spirit parasitising the suffering individual.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	DET ADV ADV VERB DET PROPN CCONJ PROPN NOUN ADP DET NOUN CCONJ VERB NUM NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN NOUN
A Jekyll and Hyde journalist, who ‘ never drank tea or coffee — he believed in water, ‘ God's ale’ as he called it, he was a natural vegetarian, he didn't believe in killing anything.’	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	DET PROPN CCONJ PROPN NOUN NOUN PRON ADV VERB NOUN CCONJ NOUN PUNCT PRON VERB ADP NOUN PUNCT PROPN PROPN ADP PRON VERB PRON PRON VERB DET ADJ NOUN PRON VERB VERB ADP VERB NOUN
Wilkinson described his team's display as ‘ a Jekyll and Hyde performance’, adding : ‘ You can't give away goals like that.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	PROPN VERB ADJ NOUN NOUN ADP PUNCT DET PROPN CCONJ PROPN VERB VERB PUNCT PUNCT PRON VERB VERB PART NOUN ADP DET
By recognising that one can not " fix " someone else and that addictive disease has " Jekyll and Hyde " changes in mood and behaviour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	jekyll and hyde	figurative	identical	ADP VERB ADP PRON VERB ADV PUNCT VERB PUNCT NOUN ADV CCONJ ADP ADJ NOUN VERB PUNCT PROPN CCONJ PROPN PUNCT NOUN ADP NOUN CCONJ NOUN
The insider / anthropologist is therefore somewhat schizophrenic, something of a Jekyll and Hyde, for he knows that publication and explication might be career - suicidal but are necessary intellectual tasks.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	DET NOUN SYM NOUN VERB ADV ADV ADJ NOUN ADP DET PROPN CCONJ PROPN ADP PRON VERB ADP NOUN CCONJ NOUN VERB VERB NOUN PUNCT NOUN CCONJ VERB ADJ ADJ NOUN
must oh she's like Jekyll, Jekyll and Hyde.	0 0 0 0 0 1 1 1	jekyll and hyde	figurative	identical	VERB INTJ PRON ADP PROPN PROPN CCONJ PROPN
It seemed that while both the crowd and adolescents had within them potential for good, they also had a destructive or anarchic potential ; in each there was a conflict, what Urwick had likened to Jekyll and Hyde.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	jekyll and hyde	figurative	identical	PRON VERB ADP ADP CCONJ DET NOUN CCONJ NOUN VERB ADP PRON NOUN ADP ADJ PRON ADV VERB DET ADJ CCONJ ADJ NOUN PUNCT ADP DET ADV VERB DET NOUN NOUN PROPN VERB VERB ADP PROPN CCONJ PROPN
Steve McQueen was a typical Jekyll and Hyde, according to the two wives who survived him.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	PROPN PROPN VERB DET ADJ PROPN CCONJ PROPN VERB ADP DET NUM NOUN NOUN VERB PRON
he's like a Jekyll and Hyde that bloke, I 've told you before you wanna be bloody careful how it works out	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	PRON ADP DET PROPN CCONJ PROPN ADJ VERB PRON VERB VERB PRON ADP PRON ADV VERB ADJ ADJ ADV PRON VERB PART
Described by one author as the Jekyll and Hyde Cat, this animal suddenly lashes out and attacks its friendly owner's hand.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	jekyll and hyde	figurative	identical	VERB ADP NUM NOUN ADP DET PROPN CCONJ PROPN PROPN DET NOUN ADV VERB PART CCONJ VERB ADJ ADJ NOUN NOUN
But worst of all were the comparisons being made between Monty Clift and Jekyll and Hyde.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	jekyll and hyde	figurative	identical	CCONJ ADJ ADP DET VERB DET NOUN VERB VERB ADP PROPN PROPN CCONJ PROPN CCONJ PROPN
The town, a jumble of Jekyll - and - Hyde contradictions, did not impress him.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	jekyll and hyde	figurative	dashes	DET NOUN DET NOUN ADP PROPN PUNCT CCONJ PUNCT ADJ NOUN VERB ADV VERB PRON
