And here was someone else stealing his rebellious thunder.	0 0 0 0 0 1 1 0 1	steal someone's thunder	figurative	combined-inflection	CCONJ ADV VERB NOUN ADV VERB ADJ ADJ NOUN	▁And ▁here ▁was ▁someone ▁else ▁ste al ing ▁his ▁rebel l ious ▁th under .	0 0 0 0 0 1 1 1 1 0 0 0 1 1 1	CCONJ ADV VERB NOUN ADV VERB VERB VERB ADJ ADJ ADJ ADJ NOUN NOUN NOUN
I thought it would be cool:- ) Now EVERYONE can have one … steal my thunder a bit, I think the away top with HUMPHRIES on the back will be cool for work:- )	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	possessive	PRON VERB PRON VERB VERB PROPN PUNCT ADV NOUN VERB VERB NUM PART VERB ADJ NOUN DET NOUN PRON VERB DET ADJ NOUN ADP NOUN ADP DET NOUN VERB VERB ADJ ADP PROPN PUNCT	▁I ▁thought ▁it ▁would ▁be ▁cool : - ▁ ) ▁Now ▁EV ERY ONE ▁can ▁have ▁one ▁... ▁ste al ▁my ▁th under ▁a ▁bit , ▁I ▁think ▁the ▁away ▁top ▁with ▁HU MP H RIES ▁on ▁the ▁back ▁will ▁be ▁cool ▁for ▁work : - ▁ )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB PROPN PROPN PROPN PUNCT PUNCT ADV NOUN NOUN NOUN VERB VERB NUM PART VERB VERB ADJ NOUN NOUN DET NOUN NOUN PRON VERB DET ADJ NOUN ADP NOUN NOUN NOUN NOUN ADP DET NOUN VERB VERB ADJ ADP PROPN PROPN PROPN PUNCT PUNCT
The Minister had planned a speech of thanks himself during a visit to Stoke Mandeville Hospital … but Adis Avdic stole his thunder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	steal someone's thunder	figurative	combined-inflection	DET PROPN VERB VERB DET NOUN ADP NOUN PRON ADP DET NOUN ADP PROPN PROPN PROPN PUNCT CCONJ PROPN PROPN VERB ADJ NOUN	▁The ▁Minister ▁had ▁planned ▁a ▁speech ▁of ▁thanks ▁himself ▁during ▁a ▁visit ▁to ▁S to ke ▁Man de ville ▁Hospital ▁... ▁but ▁A dis ▁Av dic ▁sto le ▁his ▁th under .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	DET PROPN VERB VERB DET NOUN ADP NOUN PRON ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT CCONJ PROPN PROPN PROPN PROPN VERB VERB ADJ NOUN NOUN NOUN
IBM Corp is leaving launch of the new top - end mainframe disk drive to its AdStar unit in San Jose, and it now appears that the introduction has been brought forward to tomorrow — perhaps in an effort to steal Hitachi Data Systems Inc's thunder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1	steal someone's thunder	figurative	combined-inflection	PROPN PROPN VERB VERB NOUN ADP DET ADJ ADJ PUNCT NOUN NOUN NOUN NOUN ADP ADJ PROPN NOUN ADP PROPN PROPN CCONJ PRON ADV VERB ADP DET NOUN VERB VERB VERB ADV ADP NOUN PUNCT ADV ADP DET NOUN PART VERB PROPN PROPN PROPN PROPN NOUN	▁IBM ▁Corp ▁is ▁leaving ▁launch ▁of ▁the ▁new ▁top ▁- ▁end ▁main frame ▁disk ▁drive ▁to ▁its ▁Ad Star ▁unit ▁in ▁San ▁J ose , ▁and ▁it ▁now ▁appears ▁that ▁the ▁introduction ▁has ▁been ▁brought ▁forward ▁to ▁tomorrow ▁ — ▁perhaps ▁in ▁an ▁effort ▁to ▁ste al ▁H ita chi ▁Data ▁Systems ▁Inc ' s ▁th under .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1	PROPN PROPN VERB VERB NOUN ADP DET ADJ ADJ PUNCT NOUN NOUN NOUN NOUN NOUN ADP ADJ PROPN PROPN NOUN ADP PROPN PROPN PROPN PROPN CCONJ PRON ADV VERB ADP DET NOUN VERB VERB VERB ADV ADP NOUN PUNCT PUNCT ADV ADP DET NOUN PART VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN
They had stolen our thunder, put us under pressure to be quick with the business they wanted to complete and left us to flounder in the morass of our own proposals.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PRON VERB VERB ADJ NOUN VERB PRON ADP NOUN PART VERB ADJ ADP DET NOUN PRON VERB PART VERB CCONJ VERB PRON PART VERB ADP DET NOUN ADP ADJ ADJ NOUN	▁They ▁had ▁stolen ▁our ▁th under , ▁put ▁us ▁under ▁pressure ▁to ▁be ▁quick ▁with ▁the ▁business ▁they ▁wanted ▁to ▁complete ▁and ▁left ▁us ▁to ▁flounder ▁in ▁the ▁mor ass ▁of ▁our ▁own ▁proposals .	0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ NOUN NOUN NOUN VERB PRON ADP NOUN PART VERB ADJ ADP DET NOUN PRON VERB PART VERB CCONJ VERB PRON PART VERB ADP DET NOUN NOUN ADP ADJ ADJ NOUN NOUN
As expected ( UX No 386 ), Olivetti used its event in Rome last week — see front page — to steal Pyramid Technology Corp's thunder and introduce a 24-CPU version of the MIPS R3000-based LSX 6500 transaction processing systems which are rebadged MIServers from the Mountain View, California - based company.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	ADP VERB PUNCT PROPN INTJ NUM PUNCT PROPN VERB ADJ NOUN ADP PROPN ADJ NOUN PUNCT VERB ADJ NOUN PUNCT PART VERB PROPN PROPN PROPN NOUN CCONJ VERB DET NUM NOUN ADP DET PROPN VERB PROPN NUM NOUN NOUN NOUN ADJ VERB VERB NOUN ADP DET PROPN PROPN PROPN PUNCT VERB NOUN	▁As ▁expected ▁( ▁ UX ▁No ▁386 ▁ ), ▁Olive tti ▁used ▁its ▁event ▁in ▁Rome ▁last ▁week ▁ — ▁see ▁front ▁page ▁ — ▁to ▁ste al ▁Pyr amid ▁Technology ▁Corp ' s ▁th under ▁and ▁introduce ▁a ▁24 - C PU ▁version ▁of ▁the ▁MIP S ▁R 3000 - based ▁L S X ▁6 500 ▁transaction ▁processing ▁systems ▁which ▁are ▁re b ad g ed ▁ MIS er vers ▁from ▁the ▁Mountain ▁View , ▁California ▁- ▁based ▁company .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP VERB PUNCT PROPN PROPN INTJ NUM PUNCT PUNCT PROPN PROPN VERB ADJ NOUN ADP PROPN ADJ NOUN PUNCT PUNCT VERB ADJ NOUN PUNCT PUNCT PART VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ VERB DET NUM NUM NUM NUM NOUN ADP DET PROPN PROPN VERB VERB VERB VERB PROPN PROPN PROPN NUM NUM NOUN NOUN NOUN ADJ VERB VERB VERB VERB VERB VERB NOUN NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PUNCT VERB NOUN NOUN
To steal SunSelect's WABI's thunder — see front page — Microsoft Corp and Insignia Solutions Inc are believed to be moving on the accord that will strengthen their relationship.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PART VERB PROPN PROPN NOUN PUNCT VERB ADJ NOUN PUNCT PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB PART VERB VERB ADP DET NOUN ADJ VERB VERB ADJ NOUN	▁To ▁ste al ▁Sun S e lect ' s ▁WA BI ' s ▁th under ▁ — ▁see ▁front ▁page ▁ — ▁Microsoft ▁Corp ▁and ▁In sign ia ▁Solution s ▁Inc ▁are ▁believed ▁to ▁be ▁moving ▁on ▁the ▁accord ▁that ▁will ▁strengthen ▁their ▁relationship .	0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PART VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN PUNCT PUNCT VERB ADJ NOUN PUNCT PUNCT PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PART VERB VERB ADP DET NOUN ADJ VERB VERB ADJ NOUN NOUN
I 'm afraid you 've stolen all my thunder, erm you 've said everything that I wanted to say.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PRON VERB ADJ PRON VERB VERB DET ADJ NOUN INTJ PRON VERB VERB NOUN ADJ PRON VERB PART VERB	▁I ▁' m ▁afraid ▁you ▁' ve ▁stolen ▁all ▁my ▁th under , ▁er m ▁you ▁' ve ▁said ▁everything ▁that ▁I ▁wanted ▁to ▁say .	0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ PRON VERB VERB VERB DET ADJ NOUN NOUN NOUN INTJ INTJ PRON VERB VERB VERB NOUN ADJ PRON VERB PART VERB VERB
He must also be remembered far his housing policy — he stole Labour's thunder and promised 300,000 new homes a year.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PRON VERB ADV VERB VERB ADV ADJ NOUN NOUN PUNCT PRON VERB PROPN NOUN CCONJ VERB NUM ADJ NOUN DET NOUN	▁He ▁must ▁also ▁be ▁remembered ▁far ▁his ▁housing ▁policy ▁ — ▁he ▁sto le ▁Labour ' s ▁th under ▁and ▁promised ▁30 0,000 ▁new ▁homes ▁a ▁year .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB VERB ADV ADJ NOUN NOUN PUNCT PUNCT PRON VERB VERB PROPN PROPN PROPN NOUN NOUN CCONJ VERB NUM NUM ADJ NOUN DET NOUN NOUN
What we need to do is steal his thunder in some way so that he realises how pointless it would be to write a story or even make any of those veiled suggestions that reporters of his ilk seem to be so good at.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	possessive	NOUN PRON VERB PART VERB VERB VERB ADJ NOUN ADP DET NOUN ADP ADP PRON VERB ADV ADJ PRON VERB VERB PART VERB DET NOUN CCONJ ADV VERB DET ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN VERB PART VERB ADV ADJ INTJ	▁What ▁we ▁need ▁to ▁do ▁is ▁ste al ▁his ▁th under ▁in ▁some ▁way ▁so ▁that ▁he ▁realise s ▁how ▁pointless ▁it ▁would ▁be ▁to ▁write ▁a ▁story ▁or ▁even ▁make ▁any ▁of ▁those ▁veil ed ▁suggestions ▁that ▁report ers ▁of ▁his ▁il k ▁seem ▁to ▁be ▁so ▁good ▁at . ’	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PRON VERB PART VERB VERB VERB VERB ADJ NOUN NOUN ADP DET NOUN ADP ADP PRON VERB VERB ADV ADJ PRON VERB VERB PART VERB DET NOUN CCONJ ADV VERB DET ADP DET ADJ ADJ NOUN ADP NOUN NOUN ADP ADJ NOUN NOUN VERB PART VERB ADV ADJ INTJ INTJ INTJ
Do you know we 're actually, on some cases we 're actually stealing their thunder.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	steal someone's thunder	figurative	combined-inflection	VERB PRON VERB PRON VERB ADV ADP DET NOUN PRON VERB ADV VERB ADJ NOUN	▁Do ▁you ▁know ▁we ▁' re ▁actually , ▁on ▁some ▁cases ▁we ▁' re ▁actually ▁ste al ing ▁their ▁th under .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	VERB PRON VERB PRON VERB VERB ADV ADV ADP DET NOUN PRON VERB VERB ADV VERB VERB VERB ADJ NOUN NOUN NOUN
