And she's going places.’	0 0 1 1	go places	figurative	combined-inflection	CCONJ PRON VERB ADJ	▁And ▁she ' s ▁going ▁places . ’	0 0 0 0 1 1 1 1	CCONJ PRON PRON PRON VERB ADJ ADJ ADJ
Early air travellers often flew for adventure, not just speed, and some travellers today, who do not have to cram a two - week break into a busy year, have gone back to earlier forms of transport which give them a far sharper sense of going places.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go places	figurative	inflection	ADJ NOUN NOUN ADV VERB ADP NOUN ADV ADV NOUN CCONJ DET NOUN NOUN NOUN VERB ADV VERB PART VERB DET NUM PUNCT NOUN NOUN ADP DET ADJ NOUN VERB VERB ADV ADP ADJ NOUN ADP NOUN ADJ VERB PRON DET ADV ADJ NOUN ADP VERB NOUN	▁Early ▁air ▁travellers ▁often ▁f lew ▁for ▁adventure , ▁not ▁just ▁speed , ▁and ▁some ▁travellers ▁today , ▁who ▁do ▁not ▁have ▁to ▁c ram ▁a ▁two ▁- ▁week ▁break ▁into ▁a ▁busy ▁year , ▁have ▁gone ▁back ▁to ▁earlier ▁forms ▁of ▁transport ▁which ▁give ▁them ▁a ▁far ▁sharp er ▁sense ▁of ▁going ▁places .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADJ NOUN NOUN ADV VERB VERB ADP NOUN NOUN ADV ADV NOUN NOUN CCONJ DET NOUN NOUN NOUN NOUN VERB ADV VERB PART VERB VERB DET NUM PUNCT NOUN NOUN ADP DET ADJ NOUN NOUN VERB VERB ADV ADP ADJ NOUN ADP NOUN ADJ VERB PRON DET ADV ADJ ADJ NOUN ADP VERB NOUN NOUN
So, I hope she goes places, I really do because young members and young trade unionists in this union are gon na get this union's support so, go back to your branches and tell everybody that.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	inflection	CCONJ PRON VERB PRON VERB NOUN PRON ADV VERB ADP ADJ NOUN CCONJ ADJ NOUN NOUN ADP DET NOUN VERB VERB PART VERB DET NOUN NOUN ADV VERB ADV ADP ADJ NOUN CCONJ VERB NOUN DET	▁So , ▁I ▁hope ▁she ▁goes ▁places , ▁I ▁really ▁do ▁because ▁young ▁members ▁and ▁young ▁trade ▁union ists ▁in ▁this ▁union ▁are ▁ gon ▁na ▁get ▁this ▁union ' s ▁support ▁so , ▁go ▁back ▁to ▁your ▁branches ▁and ▁tell ▁everybody ▁that .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ PRON VERB PRON VERB NOUN NOUN PRON ADV VERB ADP ADJ NOUN CCONJ ADJ NOUN NOUN NOUN ADP DET NOUN VERB VERB VERB PART VERB DET NOUN NOUN NOUN NOUN ADV ADV VERB ADV ADP ADJ NOUN CCONJ VERB NOUN DET DET
‘ Music that's right for the time,’ butts in drummer John ( yes, the drummer — you can tell a band is going places when even the stick - head looks good and demands to have his say ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	inflection	PUNCT NOUN ADJ ADJ ADP DET ADJ NOUN ADP NOUN PROPN PUNCT INTJ DET NOUN PUNCT PRON VERB VERB DET NOUN VERB VERB NOUN ADV ADV DET NOUN PUNCT NOUN VERB ADJ CCONJ NOUN PART VERB ADJ NOUN PUNCT	▁ ‘ ▁Music ▁that ' s ▁right ▁for ▁the ▁time , ’ ▁but ts ▁in ▁drum mer ▁John ▁( ▁yes , ▁the ▁drum mer ▁ — ▁you ▁can ▁tell ▁a ▁band ▁is ▁going ▁places ▁when ▁even ▁the ▁stick ▁- ▁head ▁looks ▁good ▁and ▁demands ▁to ▁have ▁his ▁say ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT NOUN ADJ ADJ ADJ ADJ ADP DET ADJ ADJ ADJ NOUN NOUN ADP NOUN NOUN PROPN PUNCT INTJ INTJ DET NOUN NOUN PUNCT PUNCT PRON VERB VERB DET NOUN VERB VERB NOUN ADV ADV DET NOUN PUNCT NOUN VERB ADJ CCONJ NOUN PART VERB ADJ NOUN PUNCT PUNCT
Or we can go some place else if you want? '	0 0 0 1 0 1 0 0 0 0 0	go places	literal	combined-inflection	CCONJ PRON VERB VERB DET NOUN ADV ADP PRON VERB PUNCT	▁Or ▁we ▁can ▁go ▁some ▁place ▁else ▁if ▁you ▁want ? ▁'	0 0 0 1 0 1 0 0 0 0 0 0	CCONJ PRON VERB VERB DET NOUN ADV ADP PRON VERB VERB PUNCT
Oh I did I I mean I didn't do round where the er sightseers went I went the places where you 're not supposed to see.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	go places	literal	combined-inflection	INTJ PRON VERB PRON PRON VERB PRON VERB VERB VERB ADV DET INTJ NOUN VERB PRON VERB DET NOUN ADV PRON VERB ADV VERB PART VERB	▁O h ▁I ▁did ▁I ▁I ▁mean ▁I ▁did n ' t ▁do ▁round ▁where ▁the ▁er ▁sight see rs ▁went ▁I ▁went ▁the ▁places ▁where ▁you ▁' re ▁not ▁supposed ▁to ▁see .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB PRON PRON VERB PRON VERB VERB VERB VERB VERB VERB ADV DET INTJ NOUN NOUN NOUN VERB PRON VERB DET NOUN ADV PRON VERB VERB ADV VERB PART VERB VERB
Now that lucky Jupiter is making such an exciting connection to your sign, you 'll start to feel you 're really going places.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go places	figurative	inflection	ADV ADP ADJ PROPN VERB VERB ADJ DET ADJ NOUN ADP ADJ NOUN PRON VERB VERB PART VERB PRON VERB ADV VERB NOUN	▁Now ▁that ▁luck y ▁J up iter ▁is ▁making ▁such ▁an ▁excit ing ▁connection ▁to ▁your ▁sign , ▁you ▁' ll ▁start ▁to ▁feel ▁you ▁' re ▁really ▁going ▁places .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADV ADP ADJ ADJ PROPN PROPN PROPN VERB VERB ADJ DET ADJ ADJ NOUN ADP ADJ NOUN NOUN PRON VERB VERB VERB PART VERB PRON VERB VERB ADV VERB NOUN NOUN
It was, literally, going places.	0 0 0 1 1	go places	figurative	inflection	PRON VERB ADV VERB NOUN	▁It ▁was , ▁literally , ▁going ▁places .	0 0 0 0 0 1 1 1	PRON VERB VERB ADV ADV VERB NOUN NOUN
And is it going places?	0 0 0 1 1	go places	figurative	inflection	CCONJ VERB PRON VERB NOUN	▁And ▁is ▁it ▁going ▁places ?	0 0 0 1 1 1	CCONJ VERB PRON VERB NOUN NOUN
On the other hand, Ford possessed few of the qualities required of a real leader : ' conditioned not to offend,[he]did not know how to inspire, persuade or force people to go any place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	go places	literal	combined-inflection	ADP DET ADJ NOUN PROPN VERB ADJ ADP DET NOUN VERB ADP DET ADJ NOUN PUNCT PUNCT VERB ADV PART PART ADV VERB ADV PART VERB VERB CCONJ VERB NOUN PART VERB DET NOUN	▁On ▁the ▁other ▁hand , ▁Ford ▁possess ed ▁few ▁of ▁the ▁qualities ▁required ▁of ▁a ▁real ▁leader ▁ : ▁' ▁conditioned ▁not ▁to ▁off end , [ he ] di d ▁not ▁know ▁how ▁to ▁inspire , ▁persuade ▁or ▁force ▁people ▁to ▁go ▁any ▁place .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET ADJ NOUN NOUN PROPN VERB VERB ADJ ADP DET NOUN VERB ADP DET ADJ NOUN PUNCT PUNCT PUNCT VERB ADV PART PART PART PART PART PART PART PART PART ADV VERB ADV PART VERB VERB VERB CCONJ VERB NOUN PART VERB DET NOUN NOUN
Conference, thank you Mick, Apex is going places, there's no doubt about that.	0 0 0 0 0 0 1 1 0 0 0 0 0	go places	figurative	inflection	NOUN VERB PRON PROPN PROPN VERB VERB NOUN ADV DET NOUN ADP DET	▁Conference , ▁thank ▁you ▁M ick , ▁Ap ex ▁is ▁going ▁places , ▁there ' s ▁no ▁doubt ▁about ▁that .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	NOUN NOUN VERB PRON PROPN PROPN PROPN PROPN PROPN VERB VERB NOUN NOUN ADV ADV ADV DET NOUN ADP DET DET
