up to the rostrum to put the boot in.	0 0 0 0 0 1 0 1 1	put the boot in	figurative	identical	ADP ADP DET NOUN PART VERB DET NOUN PART
When asked, ‘ What sort of fights?’, one of the lads replied, ‘ Well, not real fights, as some of them might be quite matey … when you put the boot in, you put the boot in, but we are friendly after, like’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	put the boot in	figurative	identical	ADV VERB PUNCT NOUN NOUN ADP NOUN NUM ADP DET NOUN VERB PUNCT INTJ ADV ADJ NOUN ADP DET ADP PRON VERB VERB ADV ADJ PUNCT ADV PRON VERB DET NOUN PART PRON VERB DET NOUN PART CCONJ PRON VERB ADJ ADV ADV
So too, in less tragic circumstances, artists and intellectuals who instinctively loathed the Arts Council rallied round when Thatcher put the boot in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	put the boot in	figurative	identical	ADV ADV ADP ADV ADJ NOUN NOUN CCONJ NOUN NOUN ADV VERB DET PROPN PROPN VERB NOUN ADV PROPN VERB DET NOUN PART
Girls gathered round the Watling Street Guard demanding their torn mini - skirts back and a little posse of skinheads formed in front of the Brits shouting : ‘ Give 'em a knuckle samwidge, mate,’‘Yeah, put the boot in’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	put the boot in	figurative	dashes	NOUN VERB ADP DET PROPN PROPN PROPN VERB ADJ ADJ NOUN PUNCT NOUN ADV CCONJ DET ADJ NOUN ADP NOUN VERB ADP NOUN ADP DET PROPN VERB PUNCT PUNCT VERB PRON DET ADJ NOUN INTJ VERB DET NOUN PROPN
Out of sight, they crash his bulk to the floor and put the boot in, twice and loudly.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	put the boot in	figurative	identical	ADP ADP NOUN PRON VERB ADJ NOUN ADP DET NOUN CCONJ VERB DET NOUN PART ADV CCONJ ADV
I 'll put your boots in there.	0 0 1 0 1 1 0	put the boot in	literal	combined-inflection	PRON VERB VERB ADJ NOUN ADP ADV
I think they just sucked up to David, and began to put the boot in really, quite unnecessarily and unfairly.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	put the boot in	figurative	identical	PRON VERB PRON ADV VERB PART ADP PROPN CCONJ VERB PART VERB DET NOUN ADP ADV ADV ADV CCONJ ADV
Faust plug back in and put the boot in with a vengeance.	0 0 0 0 0 1 0 1 1 0 0 0	put the boot in	figurative	identical	PROPN VERB PART ADV CCONJ VERB DET NOUN PART ADP DET NOUN
Now soccer bosses in Gwent, South Wales, have put the boot in — and banished Jolosa.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	put the boot in	figurative	identical	ADV NOUN NOUN ADP PROPN PROPN PROPN VERB VERB DET NOUN ADP PUNCT CCONJ VERB PROPN
Now, if you 've got nowhere else, erm, at the bottom end of the door to fit it, that's fine, but as a matter of a preference, Crime Prevention like to see them fitted a third of the way up the door, that is where our thieves put the boot in, and thieves will work to pressure points, to leverage points they come equipped, or most of them don't come equipped, because obviously if they 're walking along the street and a police officer sees them, you know, pull them over and start to talk to them, most of them will actually er use the tools from the back garden or or things they find lying around to help themselves in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put the boot in	figurative	identical	ADV ADP PRON VERB VERB ADV ADV INTJ ADP DET ADJ NOUN ADP DET NOUN PART VERB PRON DET ADJ CCONJ ADP DET NOUN ADP DET NOUN PROPN PROPN VERB PART VERB PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN DET VERB ADV ADJ NOUN VERB DET NOUN PART CCONJ NOUN VERB VERB ADP NOUN NOUN ADP NOUN NOUN PRON VERB VERB CCONJ ADJ ADP PRON VERB VERB VERB ADP ADV ADP PRON VERB VERB ADP DET NOUN CCONJ DET NOUN NOUN VERB PRON PRON VERB VERB PRON PART CCONJ VERB PART VERB ADP PRON ADJ ADP PRON VERB ADV INTJ VERB DET NOUN ADP DET NOUN NOUN CCONJ CCONJ NOUN PRON VERB VERB PART PART VERB PRON PART
You fly to Europe, put the boot in to our top people, get them looking, then fly back here.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	put the boot in	figurative	identical	PRON VERB ADP PROPN VERB DET NOUN PART ADP ADJ ADJ NOUN VERB PRON VERB ADV VERB ADV ADV
