It's the swings and roundabout argument isn't it?	0 0 1 1 1 0 0 0	swings and roundabouts	figurative	inflection	PRON DET NOUN CCONJ ADJ NOUN VERB PRON	▁It ' s ▁the ▁sw ing s ▁and ▁round about ▁argument ▁is n ' t ▁it ?	0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0	PRON PRON PRON DET NOUN NOUN NOUN CCONJ ADJ ADJ NOUN VERB VERB VERB VERB PRON PRON
Swings and roundabouts, checks and balances : who 'd be a research engineer?	1 1 1 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	case	NOUN CCONJ NOUN NOUN CCONJ NOUN PUNCT NOUN VERB VERB DET NOUN NOUN	▁S wing s ▁and ▁round about s , ▁checks ▁and ▁balances ▁ : ▁who ▁' d ▁be ▁a ▁research ▁engineer ?	1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN CCONJ NOUN PUNCT PUNCT NOUN VERB VERB VERB DET NOUN NOUN NOUN
It's swings and roundabouts.	0 1 1 1	swings and roundabouts	figurative	identical	PRON NOUN CCONJ NOUN	▁It ' s ▁sw ing s ▁and ▁round about s .	0 0 0 1 1 1 1 1 1 1 1	PRON PRON PRON NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN
However, the sheer size and mix of activities in C&P give it ‘ swings and roundabouts’ protection against the ups and downs of the economic cycle.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	dashes	ADV DET ADJ NOUN CCONJ NOUN ADP NOUN ADP PROPN VERB PRON PUNCT NOUN CCONJ ADP NOUN ADP DET NOUN CCONJ NOUN ADP DET ADJ NOUN	▁However , ▁the ▁she er ▁size ▁and ▁mix ▁of ▁activities ▁in ▁C & P ▁give ▁it ▁ ‘ ▁sw ing s ▁and ▁round about s ’ ▁protection ▁against ▁the ▁up s ▁and ▁down s ▁of ▁the ▁economic ▁cycle .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET ADJ ADJ NOUN CCONJ NOUN ADP NOUN ADP PROPN PROPN PROPN VERB PRON PUNCT PUNCT NOUN NOUN NOUN CCONJ ADP ADP ADP ADP NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN ADP DET ADJ NOUN NOUN
C.4 where there is a corresponding surplus arising from some other matter — e.g. over provision of liabilities ( swings and roundabouts ) ;	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	swings and roundabouts	figurative	identical	NOUN ADV ADV VERB DET VERB NOUN VERB ADP DET ADJ NOUN PUNCT ADV ADP NOUN ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT PUNCT	▁C .4 ▁where ▁there ▁is ▁a ▁corresponding ▁surplus ▁arising ▁from ▁some ▁other ▁matter ▁ — ▁e . g . ▁over ▁provision ▁of ▁liabilities ▁( ▁sw ing s ▁and ▁round about s ▁ ) ▁ ;	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0	NOUN NOUN ADV ADV VERB DET VERB NOUN VERB ADP DET ADJ NOUN PUNCT PUNCT ADV ADV ADV ADV ADP NOUN ADP NOUN PUNCT NOUN NOUN NOUN CCONJ NOUN NOUN NOUN PUNCT PUNCT PUNCT PUNCT
As the days became warmer they would go to the pond to feed the ducks and then along to the terraced rose gardens before making their way to the nearby swings and roundabouts in the small enclosed area.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	swings and roundabouts	literal	identical	ADP DET NOUN VERB ADJ PRON VERB VERB ADP DET NOUN PART VERB DET NOUN CCONJ ADV ADP ADP DET ADJ NOUN NOUN ADP VERB ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN ADP DET ADJ VERB NOUN	▁As ▁the ▁days ▁became ▁warm er ▁they ▁would ▁go ▁to ▁the ▁pond ▁to ▁feed ▁the ▁ducks ▁and ▁then ▁along ▁to ▁the ▁terr ac ed ▁rose ▁garden s ▁before ▁making ▁their ▁way ▁to ▁the ▁nearby ▁sw ing s ▁and ▁round about s ▁in ▁the ▁small ▁enclosed ▁area .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0	ADP DET NOUN VERB ADJ ADJ PRON VERB VERB ADP DET NOUN PART VERB DET NOUN CCONJ ADV ADP ADP DET ADJ ADJ ADJ NOUN NOUN NOUN ADP VERB ADJ NOUN ADP DET ADJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADP DET ADJ VERB NOUN NOUN
On the swings and roundabouts of crew changes, Grant Dalton, skipper of the New Zealand ketch Fisher & Paykel, issued a denial that Britain's Chris Law would be joining the crew, while Lawrie Smith, skipper of Rothmans, said that on 20 October he would announce that David Powys would boost the crew to 14, plus one or two others.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	identical	ADP DET NOUN CCONJ NOUN ADP NOUN NOUN PROPN PROPN NOUN ADP DET PROPN PROPN VERB PROPN CCONJ PROPN VERB DET NOUN ADP PROPN PROPN PROPN VERB VERB VERB DET NOUN ADP PROPN PROPN NOUN ADP PROPN VERB ADP ADP NUM PROPN PRON VERB VERB ADP PROPN PROPN VERB VERB DET NOUN ADP NUM CCONJ NUM CCONJ NUM NOUN	▁On ▁the ▁sw ing s ▁and ▁round about s ▁of ▁crew ▁changes , ▁Grant ▁Dal ton , ▁skip per ▁of ▁the ▁New ▁Zealand ▁ket ch ▁Fish er ▁& ▁Pay kel , ▁issued ▁a ▁denial ▁that ▁Britain ' s ▁Chr is ▁Law ▁would ▁be ▁joining ▁the ▁crew , ▁while ▁Law rie ▁Smith , ▁skip per ▁of ▁Roth man s , ▁said ▁that ▁on ▁20 ▁October ▁he ▁would ▁announce ▁that ▁David ▁P ow ys ▁would ▁boost ▁the ▁crew ▁to ▁14 , ▁plus ▁one ▁or ▁two ▁others .	0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADP NOUN NOUN NOUN PROPN PROPN PROPN PROPN NOUN NOUN ADP DET PROPN PROPN VERB VERB PROPN PROPN CCONJ PROPN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN NOUN NOUN ADP PROPN PROPN PROPN PROPN VERB ADP ADP NUM PROPN PRON VERB VERB ADP PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADP NUM NUM CCONJ NUM CCONJ NUM NOUN NOUN
But on the other hand if you, if get serious illness and, and W O P benefit comes into effect, you 've got a load of benefit from it so it's swings and roundabouts, on that then.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	swings and roundabouts	figurative	identical	CCONJ ADP DET ADJ NOUN ADP PRON ADP VERB ADJ NOUN CCONJ CCONJ PROPN PROPN NOUN NOUN VERB ADP NOUN PRON VERB VERB DET NOUN ADP NOUN ADP PRON ADV PRON NOUN CCONJ NOUN ADP DET ADV	▁But ▁on ▁the ▁other ▁hand ▁if ▁you , ▁if ▁get ▁serious ▁illness ▁and , ▁and ▁W ▁O ▁P ▁benefit ▁comes ▁into ▁effect , ▁you ▁' ve ▁got ▁a ▁load ▁of ▁benefit ▁from ▁it ▁so ▁it ' s ▁sw ing s ▁and ▁round about s , ▁on ▁that ▁then .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0	CCONJ ADP DET ADJ NOUN ADP PRON PRON ADP VERB ADJ NOUN CCONJ CCONJ CCONJ PROPN PROPN NOUN NOUN VERB ADP NOUN NOUN PRON VERB VERB VERB DET NOUN ADP NOUN ADP PRON ADV PRON PRON PRON NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN ADP DET ADV ADV
The advantages of a small company over a large one is a matter of swings and roundabouts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	swings and roundabouts	figurative	identical	DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN CCONJ NOUN	▁The ▁advantages ▁of ▁a ▁small ▁company ▁over ▁a ▁large ▁one ▁is ▁a ▁matter ▁of ▁sw ing s ▁and ▁round about s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN
So it's swings and roundabouts.’	0 0 1 1 1	swings and roundabouts	figurative	dashes	ADV PRON NOUN CCONJ NOUN	▁So ▁it ' s ▁sw ing s ▁and ▁round about s . ’	0 0 0 0 1 1 1 1 1 1 1 1 1	ADV PRON PRON PRON NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN
So there was the swings and roundabouts where had they not recognized and had come along with us, to the extent that we thought we could do our, a sharing objective er and it brought them out of the, the attitude that was hitherto adopted where well management really couldn't care very much you know, if a man did suffer the loss of er five pound a week or whatever you know, and, and once it was made clear to him that there was no further er er use of the procedure and he could take it through his district you know, if he liked, the man didn't, well on exceptional cases perhaps they may have taken a case through, but er in the majority of cases the man just accepted it, and made up his losses er er later on.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	identical	ADV ADV VERB DET NOUN CCONJ NOUN ADV VERB PRON ADV VERB CCONJ VERB VERB PART ADP PRON ADP DET NOUN ADP PRON VERB PRON VERB VERB ADJ DET VERB NOUN INTJ CCONJ PRON VERB PRON ADP ADP DET DET NOUN ADJ VERB ADV VERB ADV ADJ NOUN ADV VERB VERB ADV ADV PRON VERB ADP DET NOUN VERB VERB DET NOUN ADP INTJ NUM NOUN DET NOUN CCONJ ADJ PRON VERB CCONJ CCONJ ADP PRON VERB VERB ADJ ADP PRON ADP ADV VERB DET ADV INTJ INTJ NOUN ADP DET NOUN CCONJ PRON VERB VERB PRON ADP ADJ NOUN PRON VERB ADP PRON VERB DET NOUN VERB ADV ADP ADJ NOUN ADV PRON VERB VERB VERB DET NOUN ADP CCONJ INTJ ADP DET NOUN ADP NOUN DET NOUN ADV VERB PRON CCONJ VERB PART ADJ NOUN INTJ INTJ ADV ADV	▁So ▁there ▁was ▁the ▁sw ing s ▁and ▁round about s ▁where ▁had ▁they ▁not ▁recognized ▁and ▁had ▁come ▁along ▁with ▁us , ▁to ▁the ▁extent ▁that ▁we ▁thought ▁we ▁could ▁do ▁our , ▁a ▁sharing ▁objective ▁er ▁and ▁it ▁brought ▁them ▁out ▁of ▁the , ▁the ▁attitude ▁that ▁was ▁hitherto ▁adopted ▁where ▁well ▁management ▁really ▁could n ' t ▁care ▁very ▁much ▁you ▁know , ▁if ▁a ▁man ▁did ▁suffer ▁the ▁loss ▁of ▁er ▁five ▁pound ▁a ▁week ▁or ▁whatever ▁you ▁know , ▁and , ▁and ▁once ▁it ▁was ▁made ▁clear ▁to ▁him ▁that ▁there ▁was ▁no ▁further ▁er ▁er ▁use ▁of ▁the ▁procedure ▁and ▁he ▁could ▁take ▁it ▁through ▁his ▁district ▁you ▁know , ▁if ▁he ▁like d , ▁the ▁man ▁did n ' t , ▁well ▁on ▁exceptional ▁cases ▁perhaps ▁they ▁may ▁have ▁taken ▁a ▁case ▁through , ▁but ▁er ▁in ▁the ▁majority ▁of ▁cases ▁the ▁man ▁just ▁accepted ▁it , ▁and ▁made ▁up ▁his ▁losses ▁er ▁er ▁later ▁on .	0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV VERB DET NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADV VERB PRON ADV VERB CCONJ VERB VERB PART ADP PRON PRON ADP DET NOUN ADP PRON VERB PRON VERB VERB ADJ ADJ DET VERB NOUN INTJ CCONJ PRON VERB PRON ADP ADP DET DET DET NOUN ADJ VERB ADV VERB ADV ADJ NOUN ADV VERB VERB VERB VERB VERB ADV ADV PRON VERB VERB ADP DET NOUN VERB VERB DET NOUN ADP INTJ NUM NOUN DET NOUN CCONJ ADJ PRON VERB VERB CCONJ CCONJ CCONJ ADP PRON VERB VERB ADJ ADP PRON ADP ADV VERB DET ADV INTJ INTJ NOUN ADP DET NOUN CCONJ PRON VERB VERB PRON ADP ADJ NOUN PRON VERB VERB ADP PRON VERB VERB VERB DET NOUN VERB VERB VERB VERB VERB ADV ADP ADJ NOUN ADV PRON VERB VERB VERB DET NOUN ADP ADP CCONJ INTJ ADP DET NOUN ADP NOUN DET NOUN ADV VERB PRON PRON CCONJ VERB PART ADJ NOUN INTJ INTJ ADV ADV ADV
