who had no place in the sun,	0 0 0 1 1 0 1	place in the sun	figurative	identical	NOUN VERB DET NOUN ADP DET NOUN	▁who ▁had ▁no ▁place ▁in ▁the ▁sun ,	0 0 0 1 1 0 1 1	NOUN VERB DET NOUN ADP DET NOUN NOUN
But in the period covered by this book society was not quite so hierarchical as before or after ; nor did a man's place in the sun depend on the number and dignity of his ancestors.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	place in the sun	figurative	identical	CCONJ ADP DET NOUN VERB ADP DET NOUN NOUN VERB ADV ADV ADV ADJ ADP ADV CCONJ ADV PUNCT CCONJ VERB DET NOUN NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ NOUN ADP ADJ NOUN	▁But ▁in ▁the ▁period ▁covered ▁by ▁this ▁book ▁society ▁was ▁not ▁quite ▁so ▁hierarchical ▁as ▁before ▁or ▁after ▁ ; ▁nor ▁did ▁a ▁man ' s ▁place ▁in ▁the ▁sun ▁depend ▁on ▁the ▁number ▁and ▁dignity ▁of ▁his ▁a nces tors .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET NOUN VERB ADP DET NOUN NOUN VERB ADV ADV ADV ADJ ADP ADV CCONJ ADV PUNCT PUNCT CCONJ VERB DET NOUN NOUN NOUN NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ NOUN ADP ADJ NOUN NOUN NOUN NOUN
Solar energy is produced by the thermonuclear reactions which are constantly taking place in the sun which has a temperature of 20 million degrees centigrade.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	place in the sun	literal	identical	ADJ NOUN VERB VERB ADP DET NOUN NOUN ADJ VERB ADV VERB NOUN ADP DET NOUN ADJ VERB DET NOUN ADP NUM NUM NOUN NOUN	▁Solar ▁energy ▁is ▁produced ▁by ▁the ▁thermo nuclear ▁reactions ▁which ▁are ▁constantly ▁taking ▁place ▁in ▁the ▁sun ▁which ▁has ▁a ▁temperature ▁of ▁20 ▁million ▁degrees ▁cent i grade .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP DET NOUN NOUN NOUN ADJ VERB ADV VERB NOUN ADP DET NOUN ADJ VERB DET NOUN ADP NUM NUM NOUN NOUN NOUN NOUN NOUN
Football : Why Robson must discover innovation : Patrick Barclay, Football Correspondent, on England's overriding need for understudies now a place in the Italian sun has been secured	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0	place in the sun	figurative	insertion-other	NOUN PUNCT ADV PROPN VERB VERB NOUN PUNCT PROPN PROPN PROPN NOUN ADP PROPN VERB NOUN ADP NOUN ADV DET NOUN ADP DET ADJ NOUN VERB VERB VERB	▁F ootball ▁ : ▁Why ▁Ro b son ▁must ▁discover ▁innovation ▁ : ▁Patrick ▁Bar c lay , ▁F ootball ▁Cor respond ent , ▁on ▁England ' s ▁overriding ▁need ▁for ▁under s tud ies ▁now ▁a ▁place ▁in ▁the ▁Italian ▁sun ▁has ▁been ▁secured	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0	NOUN NOUN PUNCT PUNCT ADV PROPN PROPN PROPN VERB VERB NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN VERB NOUN ADP NOUN NOUN NOUN NOUN ADV DET NOUN ADP DET ADJ NOUN VERB VERB VERB
Regarding the possible replacement of Texas by Fujitsu Ltd as Sun Microsystems Inc's manufacturing partner for the MicroSparc, Rhines said ' Fujitsu ( a good customer of Texas's ) also need their place in the Sun '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	place in the sun	figurative	case	VERB DET ADJ NOUN ADP PROPN ADP PROPN PROPN ADP PROPN PROPN PROPN NOUN NOUN ADP DET PROPN PROPN VERB PUNCT PROPN PUNCT DET ADJ NOUN ADP PROPN PUNCT ADV VERB ADJ NOUN ADP DET PROPN PUNCT	▁Regarding ▁the ▁possible ▁replacement ▁of ▁T ex as ▁by ▁Fuji t su ▁Ltd ▁as ▁Sun ▁Micro system s ▁Inc ' s ▁manufacturing ▁partner ▁for ▁the ▁Micro S par c , ▁Rhine s ▁said ▁' ▁Fuji t su ▁( ▁a ▁good ▁customer ▁of ▁T ex as ' s ▁ ) ▁also ▁need ▁their ▁place ▁in ▁the ▁Sun ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	VERB DET ADJ NOUN ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB PUNCT PROPN PROPN PROPN PUNCT DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT ADV VERB ADJ NOUN ADP DET PROPN PUNCT PUNCT
MOST Californians are outsiders over half have travelled thousands of miles for a place in the sun.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	place in the sun	literal	identical	ADJ PROPN VERB NOUN ADP NOUN VERB VERB NOUN ADP NOUN ADP DET NOUN ADP DET NOUN	▁M OST ▁California ns ▁are ▁outside rs ▁over ▁half ▁have ▁travelled ▁thousands ▁of ▁miles ▁for ▁a ▁place ▁in ▁the ▁sun .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADJ ADJ PROPN PROPN VERB NOUN NOUN ADP NOUN VERB VERB NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
For example, if an advert is placed in The Sun for construction supervisors, it may well produce 500 replies within a couple of days.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	place in the sun	literal	misc	ADP NOUN ADP DET NOUN VERB VERB ADP DET PROPN ADP NOUN NOUN PRON VERB ADV VERB NUM NOUN ADP DET NOUN ADP NOUN	▁For ▁example , ▁if ▁an ▁ad vert ▁is ▁placed ▁in ▁The ▁Sun ▁for ▁construction ▁supervisors , ▁it ▁may ▁well ▁produce ▁500 ▁replies ▁within ▁a ▁couple ▁of ▁days .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN ADP DET NOUN NOUN VERB VERB ADP DET PROPN ADP NOUN NOUN NOUN PRON VERB ADV VERB NUM NOUN ADP DET NOUN ADP NOUN NOUN
The farm worker, in many respects, has yet to achieve his place in the sun, but he is also less willing to accept the low status which the rest of society seems to offer him.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	place in the sun	figurative	identical	DET NOUN NOUN ADP ADJ NOUN VERB ADV PART VERB ADJ NOUN ADP DET NOUN CCONJ PRON VERB ADV ADV ADJ PART VERB DET ADJ NOUN ADJ DET NOUN ADP NOUN VERB PART VERB PRON	▁The ▁farm ▁worker , ▁in ▁many ▁respects , ▁has ▁yet ▁to ▁achieve ▁his ▁place ▁in ▁the ▁sun , ▁but ▁he ▁is ▁also ▁less ▁willing ▁to ▁accept ▁the ▁low ▁status ▁which ▁the ▁rest ▁of ▁society ▁seems ▁to ▁offer ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN ADP ADJ NOUN NOUN VERB ADV PART VERB ADJ NOUN ADP DET NOUN NOUN CCONJ PRON VERB ADV ADV ADJ PART VERB DET ADJ NOUN ADJ DET NOUN ADP NOUN VERB PART VERB PRON PRON
‘ A place in the sun’?	0 0 1 1 0 1	place in the sun	figurative	dashes	PUNCT DET NOUN ADP DET NOUN	▁ ‘ ▁A ▁place ▁in ▁the ▁sun ’ ?	0 0 0 1 1 0 1 1 1	PUNCT PUNCT DET NOUN ADP DET NOUN NOUN NOUN
Imperial expansion was driven forward not only by the collapse of order in extra - European societies, but also by intensifying competition from Britain's European rivals for ‘ a place in the sun’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	place in the sun	figurative	dashes	ADJ NOUN VERB VERB ADV ADV ADV ADP DET NOUN ADP NOUN ADP ADJ PUNCT ADJ NOUN CCONJ ADV ADP VERB NOUN ADP PROPN ADJ NOUN ADP PUNCT DET NOUN ADP DET NOUN	▁Imp erial ▁expansion ▁was ▁driven ▁forward ▁not ▁only ▁by ▁the ▁collapse ▁of ▁order ▁in ▁extra ▁- ▁European ▁societies , ▁but ▁also ▁by ▁intensify ing ▁competition ▁from ▁Britain ' s ▁European ▁rival s ▁for ▁ ‘ ▁a ▁place ▁in ▁the ▁sun ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	ADJ ADJ NOUN VERB VERB ADV ADV ADV ADP DET NOUN ADP NOUN ADP ADJ PUNCT ADJ NOUN NOUN CCONJ ADV ADP VERB VERB NOUN ADP PROPN PROPN PROPN ADJ NOUN NOUN ADP PUNCT PUNCT DET NOUN ADP DET NOUN NOUN NOUN
A place in the sun, Diano Marina beach	0 1 1 0 1 0 0 0	place in the sun	figurative	identical	DET NOUN ADP DET NOUN PROPN PROPN NOUN	▁A ▁place ▁in ▁the ▁sun , ▁D iano ▁Marin a ▁be ach	0 1 1 0 1 1 0 0 0 0 0 0	DET NOUN ADP DET NOUN NOUN PROPN PROPN PROPN PROPN NOUN NOUN
