Before I settled among the Tuthanach I wandered further up the river, crossing the great marsh.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	up the river	literal	identical	ADP PRON VERB ADP DET PROPN PRON VERB ADV ADP DET NOUN VERB DET ADJ NOUN
During their journey up river Cranston sat morosely in the bows of the boat, staring into the water.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	deletion-determiner	ADP ADJ NOUN PART NOUN PROPN VERB ADV ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN
and would hang about for two or thr I mean when I was on the dredger them men would st they would come aboard the dredger and wait there, do nothing until the boat came up the river.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	up the river	literal	identical	CCONJ VERB VERB ADP ADP NUM CCONJ NOUN PRON VERB ADV PRON VERB ADP DET NOUN PRON NOUN VERB VERB PRON VERB VERB ADP DET NOUN CCONJ VERB ADV VERB NOUN ADP DET NOUN VERB PART DET NOUN
The police have moved to another town further up the river which gives Ewaso Narok its name, Black River.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	up the river	literal	identical	DET NOUN VERB VERB ADP DET NOUN ADV ADP DET NOUN ADJ VERB PROPN PROPN ADJ NOUN PROPN PROPN
Got ta go up the river as well!	0 0 0 1 0 1 0 0	up the river	literal	identical	VERB PART VERB PART DET NOUN ADV ADV
The northern ( and earlier ) approach was by passes across the Ural mountains to the lower reaches of the river Obn and thence down the Ob Gulf by boat to the mouth of the Tazn which was ascended as far as a portage to the lower Yenisei ; from there they followed an eastward course up the Lower Tunguska river, crossing a portage to the Vilyui and so to the Lena.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	insertion-other	DET ADJ PUNCT CCONJ ADV PUNCT NOUN VERB ADP NOUN ADP DET PROPN NOUN ADP DET ADJ NOUN ADP DET NOUN PROPN CCONJ NOUN PART DET PROPN PROPN ADP NOUN ADP DET NOUN ADP DET PROPN ADJ VERB VERB ADV ADV ADP DET NOUN ADP DET ADJ PROPN PUNCT ADP ADV PRON VERB DET ADJ NOUN ADP DET ADJ PROPN NOUN VERB DET NOUN ADP DET PROPN CCONJ ADV ADP DET PROPN
In consequence, the water, unable to escape through the blocked outfall, flooded the land, and navigation up the river was also prevented.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	up the river	literal	identical	ADP NOUN DET NOUN ADJ PART VERB ADP DET VERB NOUN VERB DET NOUN CCONJ NOUN ADP DET NOUN VERB ADV VERB
‘ Years ago,’ he said, ‘ a man from outside the realm passed up the river towards Lavondyss.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	up the river	literal	identical	PUNCT NOUN ADP PRON VERB PUNCT DET NOUN ADP ADP DET NOUN VERB PART DET NOUN ADP PROPN
The only relatively new thing about it was its romantic and truthful name, which someone in the family had thought up early in the nineteenth century as an improvement on ' The Leybourne Arms ' ; for the Leybourne family had been extinct since the fourteenth century, while salmon regularly did return several miles up - river from this house, and were regularly taken for a mile on either side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	combined-other	DET ADJ ADV ADJ NOUN ADP PRON VERB ADJ ADJ CCONJ ADJ NOUN ADJ NOUN ADP DET NOUN VERB VERB PART ADV ADP DET ADJ NOUN ADP DET NOUN ADP PUNCT DET PROPN PROPN PUNCT PUNCT ADP DET PROPN NOUN VERB VERB ADJ ADP DET ADJ NOUN ADP NOUN ADV VERB VERB ADJ NOUN ADP PUNCT NOUN ADP DET NOUN CCONJ VERB ADV VERB ADP DET NOUN ADP DET NOUN
Well we had to keep somebody on watch in case there was any damage, say the ship was up the river and a chain broke or they hit you, so you had to put your navigation lights up and to put navigation lights up we had hurricane lamps, we had a red and a white one, they should have been six foot apart, they never were they was about three foot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	INTJ PRON VERB PART VERB NOUN ADP NOUN ADP NOUN ADV VERB DET NOUN VERB DET NOUN VERB ADP DET NOUN CCONJ DET NOUN VERB CCONJ PRON VERB PRON ADV PRON VERB PART VERB ADJ NOUN NOUN ADV CCONJ PART VERB NOUN NOUN PART PRON VERB NOUN NOUN PRON VERB DET NOUN CCONJ DET ADJ NOUN PRON VERB VERB VERB NUM NOUN ADV PRON ADV VERB PRON VERB ADV NUM NOUN
To her surprise, she felt her spirits lift on the faint, cool breeze that was coming up the river from the sea.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	up the river	literal	identical	ADP ADJ NOUN PRON VERB ADJ NOUN VERB ADP DET ADJ ADJ NOUN ADJ VERB VERB PART DET NOUN ADP DET NOUN
