I was trying to ply Fagg with extra claret and he almost bit my head off.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	misc	PRON VERB VERB PART VERB PROPN ADP ADJ NOUN CCONJ PRON ADV VERB ADJ NOUN ADP
The silly idiot is going to shout some sort of stupid abuse at her and she 'll bite his head off!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	possessive	DET ADJ NOUN VERB VERB PART VERB DET NOUN ADP ADJ NOUN ADP PRON CCONJ PRON VERB VERB ADJ NOUN PART
I could have bitten her head off.	0 0 0 1 1 1 1	bite someone's head off	figurative	misc	PRON VERB VERB VERB ADJ NOUN PART
‘ Oh, I 'm sorry, I didn't meant to bite your head off.	0 0 0 0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	possessive	PUNCT INTJ PRON VERB ADJ PRON VERB VERB PART VERB ADJ NOUN PART
The client is encouraged, and initially assisted, in developing and carrying out strategies for testing thoughts and beliefs about what might happen, e.g. ‘ If I ask my boss for a raise he 'll sack me or bite my head off.’,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	combined-inflection	DET NOUN VERB VERB CCONJ ADV VERB ADP VERB CCONJ VERB PART NOUN ADP VERB NOUN CCONJ NOUN ADP NOUN VERB VERB ADV PUNCT ADP PRON VERB ADJ NOUN ADP DET NOUN PRON VERB VERB PRON CCONJ VERB ADJ NOUN ADP
No I don't wanna bite your head off.	0 0 0 0 1 1 1 1	bite someone's head off	figurative	possessive	INTJ PRON VERB ADV VERB ADJ NOUN PART
I made some comment and he bit my head off.	0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	misc	PRON VERB DET NOUN CCONJ PRON VERB ADJ NOUN PART
Not two minutes in his company and she was biting his head off.	0 0 0 0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	misc	ADV NUM NOUN ADP ADJ NOUN CCONJ PRON VERB VERB ADJ NOUN PART
Yeah well then you don't know whether he's gon na bite your head off, mm.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	bite someone's head off	figurative	possessive	INTJ INTJ ADV PRON VERB VERB ADP PRON VERB PART VERB ADJ NOUN PART PROPN
He goes well I was playing with your chicken like this and it spat at me, so I bit its head off, clamped its eggs and set fire to its nest!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	bite someone's head off	literal	misc	PRON VERB INTJ PRON VERB VERB ADP ADJ NOUN ADP DET CCONJ PRON VERB ADP PRON ADV PRON VERB ADJ NOUN PART VERB ADJ NOUN CCONJ VERB NOUN ADP ADJ NOUN
‘ But he's always biting your head off, isn't he?’ said Pooley.	0 0 0 0 1 1 1 1 0 0 0 0	bite someone's head off	figurative	misc	PUNCT CCONJ PRON ADV VERB ADJ NOUN PART VERB PRON VERB PROPN
I 've got to be so careful, that's the trouble, I never know when my boss is suddenly going to bite my head off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	bite someone's head off	figurative	possessive	PRON VERB VERB PART VERB ADV ADJ DET DET NOUN PRON ADV VERB ADV ADJ NOUN VERB ADV VERB PART VERB ADJ NOUN PART
‘ Don't bite my head off,’ she said.	0 0 1 1 1 1 0 0	bite someone's head off	figurative	combined-inflection	PUNCT VERB VERB ADJ NOUN NOUN PRON VERB
