I 'd wager she wishes she could turn tail and run already!’	0 0 0 0 0 0 0 1 1 0 0 0	turn tail	figurative	identical	PRON VERB VERB PRON VERB PRON VERB VERB NOUN CCONJ VERB NOUN	▁I ▁' d ▁wage r ▁she ▁wishes ▁she ▁could ▁turn ▁tail ▁and ▁run ▁already ! ’	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	PRON VERB VERB VERB VERB PRON VERB PRON VERB VERB NOUN CCONJ VERB NOUN NOUN NOUN
If it had been grey and raining and chilly he might have taken one look at Wyvis Hall and turned tail and fled to Crete or Delos or somewhere.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	ADP PRON VERB VERB ADJ CCONJ VERB CCONJ ADV PRON VERB VERB VERB NUM NOUN ADP PROPN PROPN CCONJ VERB NOUN CCONJ VERB ADP PROPN CCONJ PROPN CCONJ ADV	▁If ▁it ▁had ▁been ▁grey ▁and ▁rain ing ▁and ▁chill y ▁he ▁might ▁have ▁taken ▁one ▁look ▁at ▁W y vis ▁Hall ▁and ▁turned ▁tail ▁and ▁fled ▁to ▁Crete ▁or ▁Del os ▁or ▁somewhere .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB ADJ CCONJ VERB VERB CCONJ ADV ADV PRON VERB VERB VERB NUM NOUN ADP PROPN PROPN PROPN PROPN CCONJ VERB NOUN CCONJ VERB ADP PROPN CCONJ PROPN PROPN CCONJ ADV ADV
His victim took one disbelieving look at her unlikely rescuer and then, before Folly could reassure her, the girl had turned tail and was running nimbly down the street.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	turn tail	figurative	inflection	ADJ NOUN VERB NUM NOUN NOUN ADP ADJ ADJ NOUN CCONJ ADV ADP PROPN VERB VERB PRON DET NOUN VERB VERB NOUN CCONJ VERB VERB ADV ADP DET NOUN	▁His ▁victim ▁took ▁one ▁dis bel iev ing ▁look ▁at ▁her ▁unlikely ▁rescue r ▁and ▁then , ▁before ▁F ol ly ▁could ▁reassure ▁her , ▁the ▁girl ▁had ▁turned ▁tail ▁and ▁was ▁running ▁ni mb ly ▁down ▁the ▁street .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB NUM NOUN NOUN NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN CCONJ ADV ADV ADP PROPN PROPN PROPN VERB VERB PRON PRON DET NOUN VERB VERB NOUN CCONJ VERB VERB ADV ADV ADV ADP DET NOUN NOUN
Hearing these words and seeing the speaker ride boldly toward him, the tiger was so alarmed that he turned tail and bolted into the forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	turn tail	figurative	inflection	VERB DET NOUN CCONJ VERB DET NOUN VERB ADV ADP PRON DET NOUN VERB ADV ADJ ADP PRON VERB NOUN CCONJ VERB ADP DET NOUN	▁Hearing ▁these ▁words ▁and ▁seeing ▁the ▁speaker ▁rid e ▁bold ly ▁toward ▁him , ▁the ▁t iger ▁was ▁so ▁alarm ed ▁that ▁he ▁turned ▁tail ▁and ▁bolt ed ▁into ▁the ▁forest .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	VERB DET NOUN CCONJ VERB DET NOUN VERB VERB ADV ADV ADP PRON PRON DET NOUN NOUN VERB ADV ADJ ADJ ADP PRON VERB NOUN CCONJ VERB VERB ADP DET NOUN NOUN
Again, she had plenty of opportunity to turn tail and run, to prove to him somehow, somewhere, some way, that he had got entirely the wrong idea about her.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	ADV PRON VERB NOUN ADP NOUN PART VERB NOUN CCONJ VERB PART VERB ADP PRON ADV ADV DET NOUN ADP PRON VERB VERB ADV DET ADJ NOUN ADP PRON	▁Again , ▁she ▁had ▁plenty ▁of ▁opportunity ▁to ▁turn ▁tail ▁and ▁run , ▁to ▁prove ▁to ▁him ▁somehow , ▁somewhere , ▁some ▁way , ▁that ▁he ▁had ▁got ▁entirely ▁the ▁wrong ▁idea ▁about ▁her .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB NOUN ADP NOUN PART VERB NOUN CCONJ VERB VERB PART VERB ADP PRON ADV ADV ADV ADV DET NOUN NOUN ADP PRON VERB VERB ADV DET ADJ NOUN ADP PRON PRON
Two ducks were flying over their favourite pond when they heard the sound of a hunter's gun and turned tail to flee.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	turn tail	figurative	inflection	NUM NOUN VERB VERB ADP ADJ ADJ NOUN ADV PRON VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB NOUN PART VERB	▁Two ▁ducks ▁were ▁flying ▁over ▁their ▁favour ite ▁pond ▁when ▁they ▁heard ▁the ▁sound ▁of ▁a ▁hunt er ' s ▁gun ▁and ▁turned ▁tail ▁to ▁flee .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	NUM NOUN VERB VERB ADP ADJ ADJ ADJ NOUN ADV PRON VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN CCONJ VERB NOUN PART VERB VERB
‘ First thing : you can't just haul off and smack a dog in the snout and expect him to turn tail and run away.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	turn tail	figurative	identical	PUNCT ADJ NOUN PUNCT PRON VERB ADV VERB PART CCONJ VERB DET NOUN ADP DET NOUN CCONJ VERB PRON PART VERB NOUN CCONJ NOUN NOUN	▁ ‘ ▁First ▁thing ▁ : ▁you ▁can ' t ▁just ▁haul ▁off ▁and ▁sm ack ▁a ▁dog ▁in ▁the ▁sn out ▁and ▁expect ▁him ▁to ▁turn ▁tail ▁and ▁run ▁away . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	PUNCT PUNCT ADJ NOUN PUNCT PUNCT PRON VERB VERB VERB ADV VERB PART CCONJ VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB PRON PART VERB NOUN CCONJ NOUN NOUN NOUN NOUN
Though he did not know it the San Antonio had turned tail and was even now on her way back to Spain, ‘ bearing a cargo of falsehood against Magellan’.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	ADP PRON VERB ADV VERB PRON DET PROPN PROPN VERB VERB NOUN CCONJ VERB ADV ADV ADP ADJ NOUN ADV ADP PROPN PUNCT VERB DET NOUN ADP NOUN ADP PROPN	▁Though ▁he ▁did ▁not ▁know ▁it ▁the ▁San ▁Antonio ▁had ▁turned ▁tail ▁and ▁was ▁even ▁now ▁on ▁her ▁way ▁back ▁to ▁Spain , ▁ ‘ ▁bearing ▁a ▁cargo ▁of ▁false hood ▁against ▁Mag ella n ’ .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADV VERB PRON DET PROPN PROPN VERB VERB NOUN CCONJ VERB ADV ADV ADP ADJ NOUN ADV ADP PROPN PROPN PUNCT PUNCT VERB DET NOUN ADP NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN
‘ Are you going to do your duty, or turn tail and run?’	0 0 0 0 0 0 0 0 0 1 1 0 0	turn tail	figurative	identical	PUNCT VERB PRON VERB PART VERB ADJ NOUN CCONJ VERB NOUN CCONJ NOUN	▁ ‘ ▁Are ▁you ▁going ▁to ▁do ▁your ▁duty , ▁or ▁turn ▁tail ▁and ▁run ? ’	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	PUNCT PUNCT VERB PRON VERB PART VERB ADJ NOUN NOUN CCONJ VERB NOUN CCONJ NOUN NOUN NOUN
Folly turned tail and almost ran away.	0 1 1 0 0 0 0	turn tail	figurative	inflection	PROPN VERB NOUN CCONJ ADV VERB ADV	▁F ol ly ▁turned ▁tail ▁and ▁almost ▁ran ▁away .	0 0 0 1 1 0 0 0 0 0	PROPN PROPN PROPN VERB NOUN CCONJ ADV VERB ADV ADV
He caught sight of a few others, but they turned tail and vanished when they saw him through the mist.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	PRON VERB NOUN ADP DET ADJ NOUN CCONJ PRON VERB NOUN CCONJ VERB ADV PRON VERB PRON ADP DET NOUN	▁He ▁caught ▁sight ▁of ▁a ▁few ▁others , ▁but ▁they ▁turned ▁tail ▁and ▁van ish ed ▁when ▁they ▁saw ▁him ▁through ▁the ▁m ist .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN ADP DET ADJ NOUN NOUN CCONJ PRON VERB NOUN CCONJ VERB VERB VERB ADV PRON VERB PRON ADP DET NOUN NOUN NOUN
