Get the mitres right and the rest is plain sailing.	0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	VERB DET NOUN ADV CCONJ DET NOUN VERB ADJ NOUN
Make Channel Yacht Brokers your first port of call at the International Boat Show — and you 'll find that buying or selling a boat is plain sailing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	VERB PROPN PROPN NOUN ADJ ADJ NOUN ADP NOUN ADP DET PROPN PROPN PROPN PUNCT CCONJ PRON VERB VERB DET VERB CCONJ VERB DET NOUN VERB ADJ NOUN
The course since then has not been all plain sailing, as changes in the launch date, originally set for August 1981, reflect.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	DET NOUN ADP ADV VERB ADV VERB DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN ADV VERB ADP PROPN NUM VERB
As a professional cook, Caroline finds the Christmas meal plain sailing — but she knows it's a task which sends many people into a flap.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADP DET ADJ NOUN PROPN VERB DET PROPN NOUN ADJ NOUN PUNCT CCONJ PRON VERB PRON DET NOUN ADJ VERB ADJ NOUN ADP DET NOUN
But it's not all plain sailing.	0 0 0 0 1 1	plain sailing	figurative	identical	CCONJ PRON ADV DET ADJ NOUN
Erm, you, a lot of people now talk as though it's erm, plain sailing or flying for B Sky B and it's gon na be er, hunky - dory, whereas Anglia Television have just written their stake down to a prenominal amount because they don't think it's gon na make, stand a chance of making a profit before the turn of the millennium.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	INTJ PRON DET NOUN ADP NOUN ADV VERB ADP ADP PRON NOUN ADJ NOUN CCONJ VERB ADP PROPN PROPN PROPN CCONJ PRON VERB PART VERB INTJ ADJ PUNCT ADJ ADP PROPN PROPN VERB ADV VERB ADJ NOUN PART ADP DET ADJ NOUN ADP PRON VERB VERB PRON VERB PART VERB VERB DET NOUN ADP VERB DET NOUN ADP DET NOUN ADP DET NOUN
But it wasn't going to be all plain sailing.	0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	CCONJ PRON VERB VERB PART VERB DET ADJ NOUN
And we find that life is not all plain sailing.	0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	CCONJ PRON VERB ADP NOUN VERB ADV ADV ADJ NOUN
YOUTH hostelling, in my experience, has not always been plain sailing.	0 0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	PROPN NOUN ADP ADJ NOUN VERB ADV ADV VERB ADJ NOUN
But it isn't plain sailing either to claim it as racist and sexist.	0 0 0 1 1 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	CCONJ PRON VERB ADJ NOUN ADV PART VERB PRON ADP NOUN CCONJ ADJ
It's all plain sailing when you take a COSMOS break to EURO DISNEYLAND.	0 0 1 1 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	PRON DET ADJ NOUN ADV PRON VERB DET PROPN NOUN ADP ADJ NOUN
As I said, life is not all plain sailing, there are troubles, there are storms and some of them are very fierce and some of them would cause us to, to wonder if there is an escape.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADP PRON VERB NOUN VERB ADV ADV ADJ NOUN ADV VERB NOUN ADV VERB NOUN CCONJ DET ADP PRON VERB ADV ADJ CCONJ DET ADP PRON VERB VERB PRON ADP PART VERB ADP ADV VERB DET NOUN
However, it was not all plain sailing.	0 0 0 0 0 1 1	plain sailing	figurative	identical	ADV PRON VERB ADV DET ADJ NOUN
If you have never had a go at gouache before, TOM ROBB 'S advice should make it plain sailing!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	ADP PRON VERB ADV VERB DET NOUN ADP NOUN ADV PROPN PROPN PART NOUN VERB VERB PRON ADJ NOUN
Even at Cambridge this had not been plain sailing, as the remarks attributed to Christopher Kicks make clear :	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADV ADP PROPN DET VERB ADV VERB ADJ NOUN ADP DET NOUN VERB ADP PROPN PROPN VERB ADJ PUNCT
Kookai : It's not all plain sailing on the journey from rags to riches	0 0 0 0 0 1 1 0 0 0 0 0 0 0	plain sailing	figurative	identical	NOUN PUNCT PRON ADV DET ADJ NOUN ADP DET NOUN ADP NOUN ADP NOUN
If things were not always plain sailing in her developing relationship with Nicky, her days at Maison de Levantiére were an increasing pleasure for Constance.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADP NOUN VERB ADV ADV ADJ NOUN ADP ADJ VERB NOUN ADP PROPN ADJ NOUN ADP PROPN ADP PROPN VERB DET ADJ NOUN ADP PROPN
But for those who do have a job, it's hardly plain sailing.	0 0 0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	CCONJ ADP DET NOUN VERB VERB DET NOUN PRON ADV ADJ NOUN
If you can have an answer to that, so that if you do get zapped with the worst possible question, you have a confident answer to it, then all the other questions will be plain sailing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	ADP PRON VERB VERB DET NOUN ADP DET ADP ADP ADP PRON VERB VERB VERB ADP DET ADJ ADJ NOUN PRON VERB DET ADJ NOUN ADP PRON ADV ADJ DET ADJ NOUN VERB VERB ADJ NOUN
Like all office work, as I myself knew only too well, the bank was not invariably plain - sailing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	plain sailing	figurative	dashes	ADP DET NOUN NOUN ADP PRON PRON VERB ADV ADV ADV DET NOUN VERB ADV ADV ADJ PUNCT NOUN
Once he was at the front it was plain sailing for the Pagid UK sponsored Vauxhall driver, who finished four seconds clear.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADP PRON VERB ADP DET NOUN PRON VERB ADJ NOUN ADP DET PROPN PROPN VERB PROPN NOUN NOUN VERB NUM NOUN ADJ
I recognized that all would not be plain sailing.	0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	PRON VERB ADP DET VERB ADV VERB ADJ NOUN
‘ All plain sailing after that,’ said Gooseneck.	0 0 1 1 0 0 0 0	plain sailing	figurative	identical	PUNCT DET ADJ NOUN ADP PROPN VERB NOUN
‘ Yesterday morning we had almost reached the point, I think, of believing that the test would be plain sailing — we really did think he would make it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	PUNCT NOUN NOUN PRON VERB ADV VERB DET NOUN PRON VERB ADP VERB ADP DET NOUN VERB VERB ADJ NOUN PUNCT PRON ADV VERB VERB PRON VERB VERB PRON
Once you are accustomed to one Windows package, say a word processor, users say it's plain sailing to learn another, such as a spreadsheet, because the conventions of look - and - feel tend to be very similar, though not necessarily identical.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADP PRON VERB ADJ ADP NUM PROPN NOUN VERB DET NOUN NOUN NOUN VERB PRON ADJ NOUN PART VERB DET ADJ ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT CCONJ PUNCT VERB VERB PART VERB ADV ADJ ADP ADV ADV ADJ
But life ( and particularly slimming ) is never plain sailing.	0 0 0 0 0 0 0 0 0 1 1	plain sailing	figurative	identical	CCONJ NOUN PUNCT CCONJ ADV VERB PUNCT VERB ADV ADJ NOUN
WITH BARCLAYS IT 'S PLAIN SAILING.	0 0 0 0 1 1	plain sailing	figurative	case	ADP PROPN PRON PART PROPN NOUN
After that it was plain sailing.	0 0 0 0 1 1	plain sailing	figurative	identical	ADP ADP PRON VERB ADJ NOUN
It is not always plain sailing.	0 0 0 0 1 1	plain sailing	figurative	identical	PRON VERB ADV ADV ADJ NOUN
It was not plain sailing and orthodox and ‘ liberal’ Communists will be at each others ' throats — at local level — until they hold a full congress next January to determine new policies once and for all and to approve new leaders.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	PRON VERB ADV ADJ NOUN CCONJ NOUN CCONJ PUNCT ADJ PROPN VERB VERB ADP DET NOUN PART NOUN PUNCT ADP ADJ NOUN PUNCT ADP PRON VERB DET ADJ NOUN ADP PROPN PART VERB ADJ NOUN ADV CCONJ ADP DET CCONJ PART VERB ADJ NOUN
Not all plain sailing	0 0 1 1	plain sailing	figurative	identical	ADV DET ADJ NOUN
However, it was not all plain sailing for Andy Roxburgh's men.	0 0 0 0 0 1 1 0 0 0 0	plain sailing	figurative	identical	ADV PRON VERB ADV DET ADJ NOUN ADP PROPN PROPN NOUN
Whilst it might be plain sailing for motorists, the residents say unless action is taken, there's no end in sight to their misery.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	plain sailing	figurative	identical	ADP PRON VERB VERB ADJ NOUN ADP NOUN DET NOUN VERB ADP NOUN VERB VERB ADV DET NOUN ADP NOUN ADP ADJ NOUN
It was plain sailing then to the other side.	0 0 1 1 0 0 0 0 0	plain sailing	figurative	identical	PRON VERB ADJ NOUN ADV ADP DET ADJ NOUN
