On the face of it, the decision in three cases suggests that the reader's client has little hope.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP NUM NOUN VERB ADP DET NOUN NOUN VERB ADJ NOUN
On the face of it, an absurdity, but was there an element of sense in what she had said?	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN CCONJ VERB ADV DET NOUN ADP NOUN ADP NOUN PRON VERB VERB
On the face of it Labour has a real chance of overturning the Tory majority of 2,661.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PROPN VERB DET ADJ NOUN ADP VERB DET PROPN NOUN ADP NUM
On the face of it this may seem a strange tactic for a side who, on paper, possess probably the most lethal front - line in the Premier League, but Graham, still likely to be without ankle - injury victim Paul Merson, is seeking to restore stability to stop the slump.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB VERB DET ADJ NOUN ADP DET NOUN NOUN ADP NOUN VERB ADV DET ADV ADJ ADJ PUNCT NOUN ADP DET PROPN PROPN CCONJ PROPN ADV ADJ PART VERB ADP NOUN PUNCT NOUN NOUN PROPN PROPN VERB VERB PART VERB NOUN PART VERB DET NOUN
On the face of it, it is hardly promising that the soft left has immediately split over the post of deputy.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB ADV ADJ ADP DET ADJ NOUN VERB ADV VERB ADP DET NOUN ADP NOUN
On the face of it the trend is encouraging.	1 0 1 1 1 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADJ
The control layout is on a par with ART's tried and tested formula, and on the face of it should be fairly simple to understand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN NOUN VERB ADP DET NOUN ADP PROPN VERB CCONJ VERB NOUN CCONJ ADP DET NOUN ADP PRON VERB VERB ADV ADJ PART VERB
The situation may arise where the taxpayer is on the face of it chargeable to tax under Case V of Schedule D and also caught by Part XV of the Taxes Act 1988.	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN VERB VERB ADV DET NOUN VERB ADP DET NOUN ADP PRON ADJ PART VERB ADP NOUN NOUN ADP NOUN NOUN CCONJ ADV VERB ADP PROPN PROPN ADP DET PROPN PROPN NUM
You mentioned the accounts of the Maxwell Charitable Trust as having five hundred thousand of assets, I saw those accounts for the first time the other day and I found that they had five hundred and one thousand of assets of which er five hundred thousand consisted of a a purely hypothetical transfer of an asset from a Liechtenstein trust to the U K trust and that asset had no valuation done on it as far as I can make out a and no reference to any valuation appeared in the accounts, so we actually had B I M apparently owned by a charitable trust on the face of it with figures of five hundred and one thousand of assets, but in practical accounting terms and valuation terms, no evidence that those five hundred and one thousand pounds er of assets had any valuation approaching that figure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PRON VERB DET NOUN ADP DET PROPN PROPN PROPN ADP VERB NUM NUM NUM ADP NOUN PRON VERB DET NOUN ADP DET ADJ NOUN DET ADJ NOUN CCONJ PRON VERB ADP PRON VERB NUM NUM CCONJ NUM NUM ADP NOUN ADP ADJ INTJ NUM NUM NUM VERB ADP DET DET ADV ADJ NOUN ADP DET NOUN ADP DET PROPN NOUN ADP DET PROPN PROPN NOUN CCONJ ADP NOUN VERB DET NOUN VERB ADP PRON ADV ADV ADP PRON VERB VERB PART DET CCONJ DET NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ PRON ADV VERB PROPN NOUN PROPN ADV VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON ADP NOUN ADP NUM NUM CCONJ NUM NUM ADP NOUN CCONJ ADP ADJ NOUN NOUN CCONJ NOUN NOUN DET NOUN ADP DET NUM NUM CCONJ NUM NUM NOUN INTJ ADP NOUN VERB DET NOUN VERB DET NOUN
On the face of it, photography would seem a fairly straightforward means of portraiture.	1 0 1 1 1 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON NOUN VERB VERB DET ADV ADJ NOUN ADP NOUN
ON THE FACE of it, Sweden wants to do the impossible.	1 0 1 1 1 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PROPN VERB PART VERB DET ADJ
The amount of dis - information about the compatibility between PCs and Macintoshes is really quite staggering, on the face of it you would think that they were unable to speak at all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN ADP NOUN PUNCT NOUN ADP DET NOUN ADP NOUN CCONJ PROPN VERB ADV ADV ADJ ADP DET NOUN ADP PRON PRON VERB VERB ADP PRON VERB ADJ PART VERB ADV ADV
Thus, a public assembly to protest, which on the face of it is lawful, becomes unlawful if it obstructs B's so - called ‘ right of way’.	0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV DET ADJ NOUN PART VERB ADJ ADP DET NOUN ADP PRON VERB ADJ VERB ADJ ADP PRON VERB PROPN ADV PUNCT VERB PUNCT NOUN ADP NOUN
On the face of it these trivial little improvements, or plus points ahead of the norm look to be insignificant.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET ADJ ADJ NOUN CCONJ CCONJ NOUN ADV ADP DET NOUN NOUN PART VERB ADJ
16 ) of the evacuation of Attica that the Athenians took it so badly because it was like leaving one's polis ; this is on the face of it a paradox because they were going from their country demes to the polis.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PUNCT PUNCT ADP DET NOUN ADP PROPN ADP DET PROPN VERB PRON ADV ADV ADP PRON VERB ADP VERB PRON NOUN PUNCT DET VERB ADP DET NOUN ADP PRON DET NOUN ADP PRON VERB VERB ADP ADJ NOUN VERB ADP DET NOUN
On the face of it, this finding might seem to invalidate Hudson's whole theory.	1 0 1 1 1 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB VERB PART VERB PROPN ADJ NOUN
On the face of it, it seemed that she was gaining Ana's confidence, but then Felipe already had her confidence and he knew nothing at all about her blindness.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB ADP PRON VERB VERB PROPN NOUN CCONJ ADV PROPN ADV VERB ADJ NOUN CCONJ PRON VERB NOUN ADV ADV ADP ADJ NOUN
And, as we have seen, on the face of it things have moved on a little in the direction that the British would wish.	0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ ADP PRON VERB VERB ADP DET NOUN ADP PRON NOUN VERB VERB ADP DET ADJ ADP DET NOUN ADP DET PROPN VERB VERB
‘ While on the face of it seems a very simple matter to decide on, I am reminded of the complexities not so very long ago surrounding the understanding of so - called ‘ brain - death’.	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PUNCT ADP ADP DET NOUN ADP PRON VERB DET ADV ADJ NOUN PART VERB ADV PRON VERB VERB ADP DET NOUN ADV ADV ADV ADV ADV VERB DET NOUN ADP ADV PUNCT VERB PUNCT NOUN PUNCT NOUN
On the face of it, this is similar to accommodation theory : speakers approximate their interlocutors ' linguistic behaviour, or distance themselves from it, depending on whether or not they wish to identify themselves with that individual.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB ADJ ADP NOUN NOUN PUNCT NOUN VERB ADJ NOUN PART ADJ NOUN CCONJ VERB PRON ADP PRON VERB ADP ADP CCONJ ADV PRON VERB PART VERB PRON ADP DET NOUN
On the face of it, these results look very promising for word recognition but what are the implications of these results for a syntactic / semantic component?	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADV ADJ ADP NOUN NOUN CCONJ NOUN VERB DET NOUN ADP DET NOUN ADP DET ADJ SYM ADJ NOUN
On the face of it, this choice seemed suicidal.	1 0 1 1 1 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADJ
