Call her Marge, you might as well call her butter and go the whole hog mightn't you really?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	go the whole hog	figurative	identical	VERB ADJ PROPN PRON VERB ADV ADV VERB ADJ NOUN CCONJ VERB DET ADJ NOUN VERB PRON ADV
The only sheep around here are the sad bastards who walk around in Man Utd shirts ( particularly the fat bastard in Wakefield who has No.7 and Cantona stencilled on the back ) who were presumably sexually abused at a young age and hence feel the need to rebel — why not go the whole hog and dress up as a woman, you would nt look half as silly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go the whole hog	figurative	identical	DET ADJ NOUN ADV ADV VERB DET ADJ NOUN NOUN VERB ADV ADP PROPN PROPN NOUN PUNCT ADV DET ADJ NOUN ADP PROPN NOUN VERB ADJ CCONJ PROPN VERB ADP DET NOUN PUNCT NOUN VERB ADV ADV VERB ADP DET ADJ NOUN CCONJ ADV VERB DET NOUN PART VERB PUNCT ADV ADV VERB DET ADJ NOUN CCONJ VERB PART ADP DET NOUN PRON VERB ADV VERB ADV ADV ADJ
A self - proclaimed poineer and the ' first man to go the whole hog ' with his business, the Wild Boar Company, he was all for setting the strictest standards of breeds, offering a product aimed at the ' luxury end'of the market.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go the whole hog	figurative	identical	DET NOUN PUNCT VERB NOUN CCONJ DET PUNCT ADJ NOUN PART VERB DET ADJ NOUN PUNCT ADP ADJ NOUN DET PROPN PROPN PROPN PRON VERB ADV ADP VERB DET ADJ NOUN ADP NOUN VERB DET NOUN VERB ADP DET PUNCT NOUN NOUN DET NOUN
When I fly to California for my final rethink, maybe I 'll go the whole hog and get my blood fixed too.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	go the whole hog	figurative	identical	ADV PRON VERB ADP PROPN ADP ADJ ADJ NOUN ADV PRON VERB VERB DET ADJ NOUN CCONJ VERB ADJ NOUN VERB ADV
One is to go the whole atomist hog and turn women too into full - time contracting egoists, no less exploitative and solitary than the males.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go the whole hog	figurative	insertion-other	NUM VERB PART VERB DET ADJ NOUN NOUN CCONJ VERB NOUN ADV ADP ADJ PUNCT NOUN NOUN NOUN DET ADV ADJ CCONJ ADJ ADP DET NOUN
Two bread and butter, eh, your going the whole hog today.	0 0 0 0 0 0 1 0 1 1 0	go the whole hog	figurative	inflection	NUM NOUN CCONJ NOUN INTJ ADJ VERB DET ADJ NOUN NOUN
If I were you I 'd go the whole hog and set up a large invertebrate aquarium.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	go the whole hog	figurative	identical	ADP PRON VERB PRON PRON VERB VERB DET ADJ NOUN CCONJ VERB PART DET ADJ NOUN NOUN
Currently the band have a repertoire of about 20 Hendrix tunes, with Slim occasionally going the whole hog playing guitar behind his head and often performing a full Woodstock style Star Spangled Banner, much to the delight of the crowd.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go the whole hog	figurative	inflection	ADV DET NOUN VERB DET NOUN ADP ADV NUM PROPN NOUN ADP PROPN ADV VERB DET ADJ NOUN VERB NOUN ADP ADJ NOUN CCONJ ADV VERB DET ADJ PROPN NOUN PROPN PROPN PROPN ADV ADP DET NOUN ADP DET NOUN
If the latter — why had she not gone the whole hog and burned it?	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	go the whole hog	figurative	inflection	ADP DET ADJ PUNCT ADV VERB PRON ADV VERB DET ADJ NOUN CCONJ VERB PRON
But it was felt that if we were to incorporate everything you wanted, why not go the whole hog and re - launch the mag?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	go the whole hog	figurative	identical	CCONJ PRON VERB VERB ADP ADP PRON VERB PART VERB NOUN PRON VERB ADV ADV VERB DET ADJ NOUN CCONJ NOUN PUNCT VERB DET NOUN
Let's go the whole hog.	0 1 0 1 1	go the whole hog	figurative	identical	VERB VERB DET ADJ NOUN
