‘ Go on, get a move on!’ said Marie.	0 0 0 1 0 1 1 0 0	get a move on	figurative	dashes	PUNCT VERB PART VERB DET NOUN PUNCT VERB PROPN	▁ ‘ ▁Go ▁on , ▁get ▁a ▁move ▁on ! ’ ▁said ▁ Marie .	0 0 0 0 0 1 0 1 1 1 1 0 0 0 0	PUNCT PUNCT VERB PART PART VERB DET NOUN PUNCT PUNCT PUNCT VERB PROPN PROPN PROPN
My brother - in - law began setting up our platform, and I made the mistake of telling him to get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	ADJ NOUN PUNCT ADP PUNCT NOUN VERB VERB PART ADJ NOUN CCONJ PRON VERB DET NOUN ADP VERB PRON PART VERB DET NOUN ADV	▁My ▁brother ▁- ▁in ▁- ▁law ▁began ▁setting ▁up ▁our ▁platform , ▁and ▁I ▁made ▁the ▁mistake ▁of ▁telling ▁him ▁to ▁get ▁a ▁move ▁on .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADJ NOUN PUNCT ADP PUNCT NOUN VERB VERB PART ADJ NOUN NOUN CCONJ PRON VERB DET NOUN ADP VERB PRON PART VERB DET NOUN ADV ADV
‘ And get a move on.	0 0 1 0 1 1	get a move on	figurative	identical	PUNCT CCONJ VERB DET NOUN ADV	▁ ‘ ▁And ▁get ▁a ▁move ▁on .	0 0 0 1 0 1 1 1	PUNCT PUNCT CCONJ VERB DET NOUN ADV ADV
Come on Paul get a move on	0 0 0 1 0 1 1	get a move on	figurative	identical	VERB ADP PROPN VERB DET NOUN ADP	▁Com e ▁on ▁Paul ▁get ▁a ▁move ▁on	0 0 0 0 1 0 1 1	VERB VERB ADP PROPN VERB DET NOUN ADP
personally an and from er and the rest and he, he's gone to this area and he's looked and he, he's seen and he may have interpreted this, or wanted to interpret it so that when his report went back that the, he was saying that we must get a move on to the people in the Party saying that we need to get involved now, we need to be in all these areas, we need to be helping things develop and, and being a part at the front.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	ADV DET CCONJ ADP INTJ CCONJ DET NOUN CCONJ PRON PRON VERB ADP DET NOUN CCONJ PRON VERB CCONJ PRON PRON VERB CCONJ PRON VERB VERB VERB DET CCONJ VERB PART VERB PRON ADP ADP ADV ADJ NOUN VERB ADV ADP DET PRON VERB VERB ADP PRON VERB VERB DET NOUN ADP ADP DET NOUN ADP DET PROPN VERB ADP PRON VERB PART VERB VERB ADV PRON VERB PART VERB ADP ADJ DET NOUN PRON VERB PART VERB VERB NOUN VERB CCONJ CCONJ VERB DET NOUN ADP DET NOUN	▁personally ▁an ▁and ▁from ▁er ▁and ▁the ▁rest ▁and ▁he , ▁he ' s ▁gone ▁to ▁this ▁area ▁and ▁he ' s ▁looked ▁and ▁he , ▁he ' s ▁seen ▁and ▁he ▁may ▁have ▁interpreted ▁this , ▁or ▁wanted ▁to ▁interpret ▁it ▁so ▁that ▁when ▁his ▁report ▁went ▁back ▁that ▁the , ▁he ▁was ▁saying ▁that ▁we ▁must ▁get ▁a ▁move ▁on ▁to ▁the ▁people ▁in ▁the ▁Party ▁saying ▁that ▁we ▁need ▁to ▁get ▁involved ▁now , ▁we ▁need ▁to ▁be ▁in ▁all ▁these ▁areas , ▁we ▁need ▁to ▁be ▁help ing ▁things ▁develop ▁and , ▁and ▁being ▁a ▁part ▁at ▁the ▁front .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET CCONJ ADP INTJ CCONJ DET NOUN CCONJ PRON PRON PRON PRON PRON VERB ADP DET NOUN CCONJ PRON PRON PRON VERB CCONJ PRON PRON PRON PRON PRON VERB CCONJ PRON VERB VERB VERB DET DET CCONJ VERB PART VERB PRON ADP ADP ADV ADJ NOUN VERB ADV ADP DET DET PRON VERB VERB ADP PRON VERB VERB DET NOUN ADP ADP DET NOUN ADP DET PROPN VERB ADP PRON VERB PART VERB VERB ADV ADV PRON VERB PART VERB ADP ADJ DET NOUN NOUN PRON VERB PART VERB VERB VERB NOUN VERB CCONJ CCONJ CCONJ VERB DET NOUN ADP DET NOUN NOUN
‘ Erm — er — I don't see how I 'm going to get all this sweeping done before dinner time, if I don't get a move on!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	dashes	PUNCT NOUN PUNCT INTJ PUNCT PRON VERB VERB ADV PRON VERB VERB PART VERB ADJ DET ADJ VERB ADP NOUN NOUN ADP PRON VERB VERB DET NOUN ADP	▁ ‘ ▁E rm ▁ — ▁er ▁ — ▁I ▁don ' t ▁see ▁how ▁I ▁' m ▁going ▁to ▁get ▁all ▁this ▁sweep ing ▁done ▁before ▁dinner ▁time , ▁if ▁I ▁don ' t ▁get ▁a ▁move ▁on ! ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	PUNCT PUNCT NOUN NOUN PUNCT PUNCT INTJ PUNCT PUNCT PRON VERB VERB VERB VERB ADV PRON VERB VERB VERB PART VERB ADJ DET ADJ ADJ VERB ADP NOUN NOUN NOUN ADP PRON VERB VERB VERB VERB DET NOUN ADP ADP ADP
Have to get a mo a move on and, oh I must ask her	0 0 1 0 0 0 1 1 0 0 0 0 0 0	get a move on	figurative	insertion-other	VERB PART VERB DET NOUN DET NOUN ADV CCONJ INTJ PRON VERB VERB PRON	▁Have ▁to ▁get ▁a ▁mo ▁a ▁move ▁on ▁and , ▁ oh ▁I ▁must ▁ask ▁her	0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0	VERB PART VERB DET NOUN DET NOUN ADV CCONJ CCONJ INTJ INTJ PRON VERB VERB PRON
He checked his watch again, saying : ‘ Look, I 've got to get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	PRON VERB ADJ NOUN ADV VERB PUNCT PUNCT VERB PRON VERB VERB PART VERB DET NOUN ADV	▁He ▁checked ▁his ▁watch ▁again , ▁saying ▁ : ▁ ‘ ▁Look , ▁I ▁' ve ▁got ▁to ▁get ▁a ▁move ▁on .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB ADJ NOUN ADV ADV VERB PUNCT PUNCT PUNCT PUNCT VERB VERB PRON VERB VERB VERB PART VERB DET NOUN ADV ADV
Dorothy waited patiently and had her moment of triumph when someone went into the back of his car at a traffic light — clearly his fault for not getting a move on quicker.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	get a move on	figurative	inflection	PROPN VERB ADV CCONJ VERB ADJ NOUN ADP NOUN ADV NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN PUNCT ADV ADJ NOUN ADP ADV VERB DET NOUN ADP ADV	▁D or oth y ▁waited ▁patient ly ▁and ▁had ▁her ▁moment ▁of ▁triumph ▁when ▁someone ▁went ▁into ▁the ▁back ▁of ▁his ▁car ▁at ▁a ▁traffic ▁light ▁ — ▁clearly ▁his ▁fault ▁for ▁not ▁gett ing ▁a ▁move ▁on ▁quicker .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0	PROPN PROPN PROPN PROPN VERB ADV ADV CCONJ VERB ADJ NOUN ADP NOUN ADV NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN PUNCT PUNCT ADV ADJ NOUN ADP ADV VERB VERB DET NOUN ADP ADV ADV
We 've also approached Nottingham Evening Post who 've expressed an interest in taking it on, but again we still haven't got a meeting, so I intend ringing them both this week, and stressing that we need to get a move on because really we need an issue out by March.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB ADV VERB PROPN PROPN PROPN NOUN VERB VERB DET NOUN ADP VERB PRON PART CCONJ ADV PRON ADV VERB VERB DET NOUN CCONJ PRON VERB VERB PRON CCONJ DET NOUN CCONJ VERB ADP PRON VERB PART VERB DET NOUN ADV ADP ADV PRON VERB DET NOUN ADP ADP PROPN	▁We ▁' ve ▁also ▁approached ▁Not ting ham ▁Even ing ▁Post ▁who ▁' ve ▁expressed ▁an ▁interest ▁in ▁taking ▁it ▁on , ▁but ▁again ▁we ▁still ▁have n ' t ▁got ▁a ▁meeting , ▁so ▁I ▁intend ▁ring ing ▁them ▁both ▁this ▁week , ▁and ▁stressing ▁that ▁we ▁need ▁to ▁get ▁a ▁move ▁on ▁because ▁really ▁we ▁need ▁an ▁issue ▁out ▁by ▁March .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV VERB PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB VERB DET NOUN ADP VERB PRON PART PART CCONJ ADV PRON ADV VERB VERB VERB VERB VERB DET NOUN NOUN CCONJ PRON VERB VERB VERB PRON CCONJ DET NOUN NOUN CCONJ VERB ADP PRON VERB PART VERB DET NOUN ADV ADP ADV PRON VERB DET NOUN ADP ADP PROPN PROPN
I understand it's run into some difficulty but I urge the minister to press the commission to get a move on because this this is a problem that doesn't just affect this country, it is certainly a problem that affects the whole of Europe and the European union in particular but also the the er the whole of the world and it's something that needs international action.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB PRON VERB ADP DET NOUN CCONJ PRON VERB DET NOUN PART VERB DET NOUN PART VERB DET NOUN ADV ADP DET DET VERB DET NOUN ADJ VERB ADV VERB DET NOUN PRON VERB ADV DET NOUN ADJ VERB DET NOUN ADP PROPN CCONJ DET ADJ NOUN ADP ADJ CCONJ ADV DET DET INTJ DET NOUN ADP DET NOUN CCONJ PRON NOUN ADJ VERB ADJ NOUN	▁I ▁understand ▁it ' s ▁run ▁into ▁some ▁difficulty ▁but ▁I ▁urge ▁the ▁minister ▁to ▁press ▁the ▁commission ▁to ▁get ▁a ▁move ▁on ▁because ▁this ▁this ▁is ▁a ▁problem ▁that ▁does n ' t ▁just ▁affect ▁this ▁country , ▁it ▁is ▁certainly ▁a ▁problem ▁that ▁affects ▁the ▁whole ▁of ▁Europe ▁and ▁the ▁European ▁union ▁in ▁particular ▁but ▁also ▁the ▁the ▁er ▁the ▁whole ▁of ▁the ▁world ▁and ▁it ' s ▁something ▁that ▁needs ▁international ▁action .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON PRON PRON VERB ADP DET NOUN CCONJ PRON VERB DET NOUN PART VERB DET NOUN PART VERB DET NOUN ADV ADP DET DET VERB DET NOUN ADJ VERB VERB VERB VERB ADV VERB DET NOUN NOUN PRON VERB ADV DET NOUN ADJ VERB DET NOUN ADP PROPN CCONJ DET ADJ NOUN ADP ADJ CCONJ ADV DET DET INTJ DET NOUN ADP DET NOUN CCONJ PRON PRON PRON NOUN ADJ VERB ADJ NOUN NOUN
In his judgment Lord Denning suggested that if Norwich would ‘ get a move on’ in processing applications to buy there might be no need for the minister to act.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	ADP ADJ NOUN PROPN PROPN VERB ADP ADP PROPN VERB PRON VERB DET NOUN NOUN ADP VERB NOUN PART VERB ADV VERB VERB DET NOUN ADP DET NOUN PART VERB	▁In ▁his ▁judgment ▁Lord ▁Den ning ▁suggested ▁that ▁if ▁Nor wich ▁would ▁ ‘ ▁get ▁a ▁move ▁on ’ ▁in ▁processing ▁applications ▁to ▁buy ▁there ▁might ▁be ▁no ▁need ▁for ▁the ▁minister ▁to ▁act .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN PROPN PROPN PROPN VERB ADP ADP PROPN PROPN VERB PRON PRON VERB DET NOUN NOUN NOUN ADP VERB NOUN PART VERB ADV VERB VERB DET NOUN ADP DET NOUN PART VERB VERB
And she 'd be sitting on the edge of her chair with a smile stitched to her face as she willed the rest of the party to get a move - on so she could go and make sure Camille was home and safe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	CCONJ PRON VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN VERB ADP ADJ NOUN ADP PRON VERB DET NOUN ADP DET NOUN PART VERB DET NOUN PUNCT PART ADP PRON VERB VERB CCONJ VERB ADJ PROPN VERB NOUN CCONJ ADJ	▁And ▁she ▁' d ▁be ▁sitting ▁on ▁the ▁edge ▁of ▁her ▁chair ▁with ▁a ▁smile ▁stitch ed ▁to ▁her ▁face ▁as ▁she ▁will ed ▁the ▁rest ▁of ▁the ▁party ▁to ▁get ▁a ▁move ▁- ▁on ▁so ▁she ▁could ▁go ▁and ▁make ▁sure ▁C am ille ▁was ▁home ▁and ▁safe .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN VERB VERB ADP ADJ NOUN ADP PRON VERB VERB DET NOUN ADP DET NOUN PART VERB DET NOUN PUNCT PART ADP PRON VERB VERB CCONJ VERB ADJ PROPN PROPN PROPN VERB NOUN CCONJ ADJ ADJ
‘ Yes, but we want to get a move on.’	0 0 0 0 0 0 1 0 1 1	get a move on	figurative	dashes	PUNCT INTJ CCONJ PRON VERB PART VERB DET NOUN ADV	▁ ‘ ▁Yes , ▁but ▁we ▁want ▁to ▁get ▁a ▁move ▁on . ’	0 0 0 0 0 0 0 0 1 0 1 1 1 1	PUNCT PUNCT INTJ INTJ CCONJ PRON VERB PART VERB DET NOUN ADV ADV ADV
‘ But, since it's not only necessary, but vital, get a move on, cariad.	0 0 0 0 0 0 0 0 0 1 0 1 1 0	get a move on	figurative	identical	PUNCT CCONJ ADP PRON ADV ADV ADJ CCONJ ADJ VERB DET NOUN ADV NOUN	▁ ‘ ▁But , ▁since ▁it ' s ▁not ▁only ▁necessary , ▁but ▁vital , ▁get ▁a ▁move ▁on , ▁car ia d .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0	PUNCT PUNCT CCONJ CCONJ ADP PRON PRON PRON ADV ADV ADJ ADJ CCONJ ADJ ADJ VERB DET NOUN ADV ADV NOUN NOUN NOUN NOUN
Get a move on, girl!	1 0 1 1 0	get a move on	figurative	case	VERB DET NOUN ADP NOUN	▁G et ▁a ▁move ▁on , ▁girl !	1 1 0 1 1 1 0 0	VERB VERB DET NOUN ADP ADP NOUN NOUN
