Flashman has made us the laughing stock of football.	0 0 0 0 0 1 1 0 0	laughing stock	figurative	identical	PROPN VERB VERB PRON DET VERB NOUN ADP NOUN
David Icke insists he made no such claim, and blames the media for turning him into a laughing - stock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	laughing stock	figurative	dashes	PROPN PROPN VERB PRON VERB DET ADJ NOUN CCONJ VERB DET NOUN ADP VERB PRON ADP DET VERB PUNCT NOUN
And that less than a generation after British industry was the laughing stock of the world.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	CCONJ ADP ADJ ADP DET NOUN ADP ADJ NOUN VERB DET VERB NOUN ADP DET NOUN
More than anyone else, he was responsible for transforming BRM from motor racing's laughing stock into the efficient outfit that won the world championship in 1962.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	ADJ ADP NOUN ADV PRON VERB ADJ ADP VERB PROPN ADP NOUN NOUN VERB NOUN ADP DET ADJ NOUN ADJ VERB DET NOUN NOUN ADP NUM
London would become the laughing - stock of Europe with a streaky, gable - ended style ‘ occupying the greater part of Westminster’.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	dashes	PROPN VERB VERB DET VERB PUNCT NOUN ADP PROPN ADP DET ADJ ADJ PUNCT ADJ NOUN PUNCT VERB DET ADJ NOUN ADP PROPN
‘ He had another one made later at the Mandarin Hotel, but the first one made him something of a laughing stock.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	dashes	PUNCT PRON VERB DET NOUN VERB ADV ADP DET PROPN PROPN CCONJ DET ADJ NOUN VERB PRON NOUN ADP DET VERB NOUN
When Stox went under it became a laughing stock.	0 0 0 0 0 0 0 1 1	laughing stock	figurative	identical	ADV PROPN VERB ADP PRON VERB DET VERB NOUN
‘ Barnet's barmy army’ it read and it seemed an apt description of an outfit that aren't Even Barry Fry, the manager whose latest sacking and return enlivened another crazy week at Underhill, admits that the club, which beat Rochdale 2 - 0 on Saturday, is a laughing stock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	identical	PUNCT PROPN NOUN NOUN PRON VERB CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADJ VERB ADV PROPN PROPN DET NOUN ADJ ADJ NOUN CCONJ NOUN VERB DET ADJ NOUN ADP PROPN VERB ADP DET NOUN ADJ VERB PROPN NUM SYM NUM ADP PROPN VERB DET VERB NOUN
WHEN Sara Gomer, Clare Wood and Julie Salmon collapsed to a 2 - 1 defeat to Indonesia in the first round of the Federation Cup in Melbourne last December, they were the laughing stock of the tennis world, writes our correspondent from Tokyo.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	ADV PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADP DET NUM SYM NUM NOUN ADP PROPN ADP DET ADJ NOUN ADP DET PROPN PROPN ADP PROPN ADJ PROPN PRON VERB DET VERB NOUN ADP DET NOUN NOUN VERB ADJ NOUN ADP PROPN
If anyone writes in to say that Francis Bacon noticed the flashes when he got out of his coach to freeze a chicken in the snow, I shall leave the country, suitably disguised, and write piteous letters about being a laughing stock to all, coupled with the name of sundry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	ADP NOUN VERB ADP PART VERB ADP PROPN PROPN VERB DET NOUN ADV PRON VERB ADP ADP ADJ NOUN PART VERB DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN ADV VERB CCONJ VERB ADJ NOUN ADP VERB DET VERB NOUN ADP DET VERB ADP DET NOUN ADP ADJ
Woe betide the child who speaks correct English ; he will be the laughing - stock of his classmates.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	laughing stock	figurative	dashes	NOUN ADP DET NOUN NOUN VERB ADJ PROPN PUNCT PRON VERB VERB DET VERB PUNCT NOUN ADP ADJ NOUN
