No it's black and blu black and blue.	0 0 0 0 0 1 1 1	black and blue	literal	identical	INTJ PRON ADJ CCONJ NOUN ADJ CCONJ ADJ
‘ I 'm black and blue from head to toe,’ said Crawford then, ‘ I 've got eight pulled ligaments in my leg and bruises all over and, when I limp out of the theatre at night, these bloody bastards are walking up and down with signs saying ‘ English actors will be working next year — will you?’.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	black and blue	figurative	identical	PUNCT PRON VERB ADJ CCONJ ADJ ADP NOUN ADP NOUN VERB PROPN ADV PUNCT PRON VERB VERB NUM ADJ NOUN ADP ADJ NOUN CCONJ VERB ADV ADV CCONJ ADV PRON VERB ADP ADP DET NOUN ADP NOUN DET ADJ NOUN VERB VERB PART CCONJ ADV ADP NOUN VERB ADJ ADJ NOUN VERB VERB VERB ADJ NOUN PUNCT VERB VERB
‘ I have ended up with my children in a Women's Hostel, still black and blue after the battering I got from the drunken unfaithful bully I was stupid enough to marry.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	black and blue	figurative	identical	PUNCT PRON VERB VERB PART ADP ADJ NOUN ADP DET PROPN PROPN ADV ADJ CCONJ ADJ ADP DET NOUN PRON VERB ADP DET ADJ ADJ NOUN PRON VERB ADJ ADV PART VERB
Mother Stella, 41, said : ‘ Her face was swollen black and blue — she bore no relation to my beautiful daughter.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	black and blue	figurative	identical	PROPN PROPN NUM VERB PUNCT PUNCT ADJ NOUN VERB ADJ ADJ CCONJ ADJ PUNCT PRON VERB DET NOUN ADP ADJ ADJ NOUN
Well, Roberto had his two putts, and the crowd was — slapping my back until it was black - and - blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	black and blue	figurative	dashes	INTJ PROPN VERB ADJ NUM NOUN CCONJ DET NOUN VERB PUNCT VERB ADJ NOUN ADP PRON VERB ADJ PUNCT CCONJ PUNCT ADJ
when he awoke, he was lying in a stone circle and his arms were black and blue with the marks of fairy fingers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	black and blue	figurative	identical	ADV PRON VERB PRON VERB VERB ADP DET NOUN NOUN CCONJ ADJ NOUN VERB ADJ CCONJ ADJ ADP DET NOUN ADP NOUN NOUN
All black and blue his poor little behind was — and as for my poor Linda's privates!’	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	black and blue	figurative	identical	DET ADJ CCONJ ADJ ADJ ADJ ADJ ADV VERB PUNCT CCONJ ADP ADP ADJ ADJ PROPN NOUN
She said if you went out alone in a tight skirt you were black and blue before you 'd gone a hundred yards.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	black and blue	literal	identical	PRON VERB ADP PRON VERB PART ADV ADP DET ADJ NOUN PRON VERB ADJ CCONJ ADJ ADP PRON VERB VERB DET NUM NOUN
Dr. Goldsmith and Dr. Phillips were asked to examine him because he said he had been kicked and jumped on by the labour master, and that his body was black and blue ; no marks of violence were in fact found.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	black and blue	figurative	identical	PROPN PROPN CCONJ PROPN PROPN VERB VERB PART VERB PRON ADP PRON VERB PRON VERB VERB VERB CCONJ VERB PART ADP DET NOUN NOUN CCONJ ADP ADJ NOUN VERB ADJ CCONJ ADJ PUNCT DET NOUN ADP NOUN VERB ADP NOUN VERB
‘ He said, if I remember correctly, something like, ‘ We haven't heard the last of this’ while beating his nose black and blue with his Biro.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	black and blue	figurative	identical	PUNCT PRON VERB ADP PRON VERB ADV NOUN ADP PUNCT PRON VERB VERB DET ADJ ADP NOUN ADP VERB ADJ NOUN ADJ CCONJ ADJ ADP ADJ NOUN
The colours used for fresco painting were for the most part easily obtained : red ochre, yellow ochre, black ( either from charred bone or from carbonaceous shale ) and blue ( from a copper - tinted glass ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	black and blue	literal	combined-other	DET NOUN VERB ADP NOUN NOUN VERB ADP DET ADJ NOUN ADV VERB PUNCT ADJ NOUN ADJ NOUN ADJ PUNCT CCONJ ADP VERB NOUN CCONJ ADP ADJ NOUN PUNCT CCONJ ADJ PUNCT ADP DET NOUN PUNCT VERB NOUN PUNCT
