The only visible wood is in the cocktail sticks, decking is metal plating and cups are plastic.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	in the sticks	literal	insertion-other	DET ADJ ADJ NOUN VERB ADP DET NOUN NOUN NOUN VERB NOUN NOUN CCONJ NOUN VERB ADJ
We must have been right out in the sticks.	0 0 0 0 0 0 1 0 1	in the sticks	figurative	identical	PRON VERB VERB VERB ADV ADP ADP DET NOUN
The comps select individual letters, spaces and punctuation marks from a wooden case, and assemble them in a ' stick ' to form a relief of the type in mirror - image.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	literal	combined-inflection	DET NOUN VERB ADJ NOUN NOUN CCONJ NOUN NOUN ADP DET ADJ NOUN CCONJ VERB PRON ADP DET PUNCT NOUN PUNCT PART VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN
They could imagine what conditions must be like up in the mountains, having done their stint in the sticks at one time or another.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the sticks	figurative	identical	PRON VERB VERB NOUN NOUN VERB VERB ADP PART ADP DET NOUN VERB VERB ADJ NOUN ADP DET NOUN ADP NUM NOUN CCONJ DET
Instantly 20 soldiers buried their massively muscled pincers in my stick, possibly never to let go, while dozens more swarmed up the stick causing me to let go with alacrity.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	literal	combined-inflection	ADV NUM NOUN VERB ADJ ADV VERB NOUN ADP ADJ NOUN ADV ADV PART VERB VERB ADP NOUN ADV VERB PART DET NOUN VERB PRON PART VERB VERB ADP NOUN
Helmets and unbelted tunics were for the despised ‘ county men’, ‘ those sheep - dippers up the road in the sticks’ whom we continually used to reassert our own status by looking on them as ‘ hicksville country cousins’and definitely not ‘ real polises’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	dashes	NOUN CCONJ ADJ NOUN VERB ADP DET ADJ NUM NOUN NOUN PUNCT DET NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN NOUN PRON ADV VERB PART VERB ADJ ADJ NOUN ADP VERB ADP PRON ADP PUNCT ADJ NOUN VERB ADV ADV ADJ ADJ NOUN
‘ Bill Mishkin,’ says Bill Saltman, ‘ is a simple Russian boy from way out in the sticks who went through law school and inherited a couple of million from his uncle in the garment trade and couldn't add two and two together and get more than four.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	PUNCT PROPN PROPN VERB PROPN PROPN PUNCT VERB DET ADJ ADJ NOUN ADP NOUN ADV ADP DET NOUN NOUN VERB ADP NOUN NOUN CCONJ VERB DET NOUN ADP NUM ADP ADJ NOUN ADP DET NOUN NOUN CCONJ VERB VERB NUM CCONJ NUM ADV CCONJ VERB ADJ ADP ADJ
‘ Could be better,’ came the reply, ‘ you know what my regular trade is like, always had to rely on the trippers out here in the sticks, and who wants to come out here during a Winter like we 've just had.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	PUNCT VERB VERB VERB VERB DET NOUN PUNCT PRON VERB NOUN ADJ ADJ NOUN VERB ADP ADV VERB PART VERB ADP DET NOUN ADV ADV ADP DET NOUN CCONJ NOUN VERB PART VERB PART ADV ADP DET PROPN ADP PRON VERB ADV NOUN
To get round the problems of securing a satisfactory comms link out in the sticks, multinationals are acquiring VSAT links, provided by the local PTT or anyone else that can obtain licensing.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	PART VERB ADP DET NOUN ADP VERB DET ADJ NOUN VERB PART ADP DET NOUN NOUN VERB VERB PROPN NOUN VERB ADP DET ADJ PROPN CCONJ NOUN ADV ADJ VERB VERB NOUN
Making the bend in a bamboo stick is surprisingly easy over a candle flame or similar, but be careful not to burn it at this vital centre point of the kite!	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	literal	combined-inflection	VERB DET NOUN ADP DET NOUN NOUN VERB ADV ADJ ADP DET NOUN NOUN CCONJ ADJ CCONJ VERB ADJ ADV PART VERB PRON ADP DET ADJ NOUN NOUN ADP DET NOUN
I want you for the West End after your six weeks in the sticks, and you 'll have to have a bit of bosom.’	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	PRON VERB PRON ADP DET PROPN NOUN ADP ADJ NUM NOUN ADP DET NOUN CCONJ PRON VERB VERB PART VERB DET NOUN ADP NOUN
To take one's finger off the bounding narrative pulse of Crime and Punishment and to open The Possessed — to open it anywhere — is to find oneself out in the sticks once again : the ‘ our town’ of the novel and the voice relating its affairs bring back the ‘ we’of convict life in The House of the Dead and the more sketchy collective of that remote Siberian community outside the prison walls.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	PART VERB PRON NOUN ADP DET VERB ADJ NOUN ADP PROPN CCONJ PROPN CCONJ PART VERB DET PROPN PUNCT PART VERB PRON ADV PUNCT VERB PART VERB PRON PART ADP DET NOUN ADV ADV PUNCT DET PUNCT ADJ NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ NOUN VERB ADV DET ADJ X NOUN NOUN ADP DET PROPN ADP DET PROPN CCONJ DET ADV ADJ NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN NOUN
He took her to Benny Onkom's, the Thai joint, last week, four ninety - five per stick of satay, let's see, a pig weighs maybe six hundred pounds, throw away the guts and bones and shit, that's maybe three hundred pounds of pork, and there's maybe two ounces of pork in a stick of satay, if that, that's eight times three hundred times five bucks …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	literal	combined-inflection	PRON VERB PRON ADP PROPN PROPN DET PROPN NOUN ADJ NOUN NUM NUM PUNCT NUM ADP NOUN ADP ADJ VERB VERB DET NOUN VERB ADV NUM NUM NOUN VERB PART DET NOUN CCONJ NOUN CCONJ NOUN DET ADV NUM NUM NOUN ADP NOUN CCONJ ADV ADV NUM NOUN ADP NOUN ADP DET NOUN ADP ADJ ADP DET DET NUM NOUN NUM NUM NOUN NUM NOUN PUNCT
Insulated both against the cold and the ordinary activities of the town we abandoned ourselves delightedly, there amidst countless panelled enclosures in this little cinema in the sticks, to the all - consuming comfort of another era.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	VERB DET ADP DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN PRON VERB PRON ADV ADV ADP ADJ VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET ADV PUNCT VERB NOUN ADP DET NOUN
The only area an exile hopes to cultivate is what the Americans call ‘ the chicken and peas circuit’— those endless dinners, lunches and buffet suppers by which the Conservative Party binds its supporters in a form of social cement out in the sticks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the sticks	figurative	identical	DET ADJ NOUN DET NOUN VERB PART VERB VERB NOUN DET PROPN VERB PRON DET NOUN CCONJ NOUN VERB DET ADJ NOUN NOUN CCONJ NOUN NOUN ADP ADJ DET PROPN PROPN NOUN ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP ADP DET NOUN
Cold setting was carried out by selecting the characters one at a time and placing them in a compositor's stick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the sticks	literal	combined-inflection	ADJ NOUN VERB VERB PART ADP VERB DET NOUN NUM ADP DET NOUN CCONJ VERB PRON ADP DET NOUN NOUN
So there's no water shortage as such, sometimes you get the water problems when you get out in the sticks somewhere you 'll, you, you do have problems, but all fire officers are trained to search their areas and have special cards er which they 've done their research on, where the water supplies are, like ponds and lakes and so on, and that information is readily available when they turn out these areas so that a fire crew going out there, your nearest water supply is a pond at and certain area and they 've got that you see.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	ADV ADV DET NOUN NOUN ADP ADJ ADV PRON VERB DET NOUN NOUN ADV PRON VERB PART ADP DET NOUN ADV PRON VERB PRON PRON VERB VERB NOUN CCONJ DET NOUN NOUN VERB VERB PART VERB ADJ NOUN CCONJ VERB ADJ NOUN INTJ ADJ PRON VERB VERB ADJ NOUN ADP ADV DET NOUN NOUN VERB ADP NOUN CCONJ NOUN CCONJ ADV ADV CCONJ DET NOUN VERB ADV ADJ ADV PRON VERB PART DET NOUN ADP ADP DET NOUN NOUN VERB ADV ADV ADJ ADJ NOUN NOUN VERB DET NOUN ADP CCONJ ADJ NOUN CCONJ PRON VERB VERB ADJ PRON VERB
As a youth, Yanto had felt hard done by living ‘ out in the sticks’, as he called it.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the sticks	figurative	dashes	ADP DET NOUN PROPN VERB VERB ADV VERB ADP VERB PRON ADV ADP DET NOUN ADP PRON VERB PRON
That's right, I mean you, you looked in, in, in, if you had a fire out in the sticks somewhere, you 'd look to see where the telephone was, where if there were any, and then knock on somebody's door perhaps, at two o'clock in the morning and say can I use your telephone, and they weren't very happy sometimes I can tell you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the sticks	figurative	identical	DET ADJ PRON VERB PRON PRON VERB PART ADV ADV ADP PRON VERB DET NOUN PART ADP DET NOUN ADV PRON VERB VERB PART VERB ADV DET NOUN VERB ADV ADP ADV VERB DET CCONJ ADV VERB ADP NOUN NOUN ADV ADP NUM NOUN ADP DET NOUN CCONJ VERB VERB PRON VERB ADJ NOUN CCONJ PRON VERB ADV ADJ ADV PRON VERB VERB PRON
