An eerie blast on a horn signalled the start of the ceremony and the crowd became silent.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	determiner-narrow	DET ADJ NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ	▁An ▁e er ie ▁blast ▁on ▁a ▁horn ▁signal led ▁the ▁start ▁of ▁the ▁ceremony ▁and ▁the ▁crowd ▁became ▁silent .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ ADJ NOUN ADP DET NOUN VERB VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ ADJ
But when they do arise, police and military planners are caught on the horns of a dangerous dilemma : do they smash in quickly and run the risk of death or injury?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	figurative	inflection	CCONJ ADV PRON VERB VERB NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT VERB PRON VERB PART ADV CCONJ VERB DET NOUN ADP NOUN CCONJ NOUN	▁But ▁when ▁they ▁do ▁arise , ▁police ▁and ▁military ▁plan ners ▁are ▁caught ▁on ▁the ▁horn s ▁of ▁a ▁dangerous ▁dilemma ▁ : ▁do ▁they ▁sm ash ▁in ▁quickly ▁and ▁run ▁the ▁risk ▁of ▁death ▁or ▁injury ?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV PRON VERB VERB VERB NOUN CCONJ ADJ NOUN NOUN VERB VERB ADP DET NOUN NOUN ADP DET ADJ NOUN PUNCT PUNCT VERB PRON VERB VERB PART ADV CCONJ VERB DET NOUN ADP NOUN CCONJ NOUN NOUN
that chap was on that car horn.	0 0 0 1 0 0 1	on the horn	literal	combined-other	DET NOUN VERB ADP DET NOUN NOUN	▁that ▁chap ▁was ▁on ▁that ▁car ▁horn .	0 0 0 1 0 0 1 1	DET NOUN VERB ADP DET NOUN NOUN NOUN
Burun guessed that Kiku had been no more than a hair's - breadth away from being impaled on the st'lyan's gilden horn.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	on the horn	literal	combined-other	NOUN VERB ADP PROPN VERB VERB DET ADJ ADP DET NOUN PUNCT NOUN ADV ADP VERB VERB ADP DET PROPN ADJ NOUN	▁Bur un ▁guess ed ▁that ▁Ki ku ▁had ▁been ▁no ▁more ▁than ▁a ▁hair ' s ▁- ▁breadth ▁away ▁from ▁being ▁imp al ed ▁on ▁the ▁st ' ly an ' s ▁g il den ▁horn .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1	NOUN NOUN VERB VERB ADP PROPN PROPN VERB VERB DET ADJ ADP DET NOUN NOUN NOUN PUNCT NOUN ADV ADP VERB VERB VERB VERB ADP DET PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN NOUN
It perched on the elm's horns and soon several others followed it.	0 0 1 0 0 1 0 0 0 0 0 0	on the horn	literal	combined-inflection	PRON VERB ADP DET NOUN NOUN CCONJ ADV ADJ NOUN VERB PRON	▁It ▁per ched ▁on ▁the ▁el m ' s ▁horn s ▁and ▁soon ▁several ▁others ▁followed ▁it .	0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0	PRON VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN NOUN CCONJ ADV ADJ NOUN VERB PRON PRON
go on horn, you know you wanna	0 1 1 0 0 0 0	on the horn	literal	deletion-determiner	VERB ADP NOUN PRON VERB PRON ADV	▁go ▁on ▁horn , ▁you ▁know ▁you ▁w anna	0 1 1 1 0 0 0 0 0	VERB ADP NOUN NOUN PRON VERB PRON ADV ADV
Before the invention and perfection of valves, horns in all keys were used owing to the narrow range of notes available on the natural horn.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the horn	literal	insertion-other	ADP DET NOUN CCONJ NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADJ ADP DET ADJ NOUN	▁Before ▁the ▁in vention ▁and ▁perfect ion ▁of ▁valves , ▁horn s ▁in ▁all ▁key s ▁were ▁used ▁owing ▁to ▁the ▁narrow ▁range ▁of ▁notes ▁available ▁on ▁the ▁natural ▁horn .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	ADP DET NOUN NOUN CCONJ NOUN NOUN ADP NOUN NOUN NOUN NOUN ADP DET NOUN NOUN VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADJ ADP DET ADJ NOUN NOUN
A GNAT settled on the horn of a Bull, and sat there a long time.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the horn	literal	identical	DET NOUN VERB ADP DET NOUN ADP DET PROPN CCONJ VERB ADV DET ADJ NOUN	▁A ▁G N AT ▁settled ▁on ▁the ▁horn ▁of ▁a ▁Bull , ▁and ▁sat ▁there ▁a ▁long ▁time .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB ADP DET NOUN ADP DET PROPN PROPN CCONJ VERB ADV DET ADJ NOUN NOUN
Then the younger man appeared in the doorway of the hut and blew a long - drawn - out simple note on a horn.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the horn	literal	determiner-narrow	ADV DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ VERB DET ADV PUNCT VERB PUNCT PART ADJ NOUN ADP DET NOUN	▁Then ▁the ▁younger ▁man ▁appeared ▁in ▁the ▁door way ▁of ▁the ▁hu t ▁and ▁ble w ▁a ▁long ▁- ▁drawn ▁- ▁out ▁simple ▁note ▁on ▁a ▁horn .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV DET ADJ NOUN VERB ADP DET NOUN NOUN ADP DET NOUN NOUN CCONJ VERB VERB DET ADV PUNCT VERB PUNCT PART ADJ NOUN ADP DET NOUN NOUN
On the horn, by the way, the actual fundamental note of each series can not be produced ; each series therefore begins with the first harmonic, i.e. the octave from the fundamental.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	case	ADP DET NOUN ADP DET NOUN DET ADJ ADJ NOUN ADP DET NOUN VERB ADV VERB VERB PUNCT DET NOUN ADV VERB ADP DET ADJ NOUN X DET NOUN ADP DET NOUN	▁On ▁the ▁horn , ▁by ▁the ▁way , ▁the ▁actual ▁fundamental ▁note ▁of ▁each ▁series ▁can ▁not ▁be ▁produced ▁ ; ▁each ▁series ▁therefore ▁begins ▁with ▁the ▁first ▁harm onic , ▁i . e . ▁the ▁octa ve ▁from ▁the ▁fundamental .	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN ADP DET NOUN NOUN DET ADJ ADJ NOUN ADP DET NOUN VERB ADV VERB VERB PUNCT PUNCT DET NOUN ADV VERB ADP DET ADJ NOUN NOUN NOUN X X X X DET NOUN NOUN ADP DET NOUN NOUN
In bar 4 the combination of 1st bassoon and horns would give the effect of a chord on three horns.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the horn	literal	determiner-broad	ADP NOUN NUM DET NOUN ADP ADJ NOUN CCONJ NOUN VERB VERB DET NOUN ADP DET NOUN ADP NUM NOUN	▁In ▁bar ▁4 ▁the ▁combination ▁of ▁1 st ▁bas s oon ▁and ▁horn s ▁would ▁give ▁the ▁effect ▁of ▁a ▁ch or d ▁on ▁three ▁horn s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP NOUN NUM DET NOUN ADP ADJ ADJ NOUN NOUN NOUN CCONJ NOUN NOUN VERB VERB DET NOUN ADP DET NOUN NOUN NOUN ADP NUM NOUN NOUN NOUN
