I kind of ruled the roost a bit, but we got on well.	0 0 0 1 0 1 0 0 0 0 0 0 0	rule the roost	figurative	inflection	PRON ADV ADV VERB DET NOUN DET NOUN CCONJ PRON VERB PART ADV
Attractive, popular and smart, Veronica hovers in the orbit of the ‘ Heathers’, a four - girl clique who rule the roost at Westerburgh High.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rule the roost	figurative	identical	ADJ ADJ CCONJ ADJ PROPN NOUN ADP DET NOUN ADP DET PUNCT PROPN DET NUM PUNCT NOUN NOUN NOUN VERB DET NOUN ADP PROPN PROPN
Politics not fiscal discipline clearly rules the US roost and in no month is this more obvious than in October, the start of the new 1990 fiscal year.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	combined-inflection	NOUN ADV ADJ NOUN ADV VERB DET PROPN NOUN CCONJ ADP DET NOUN VERB DET ADV ADJ ADP ADP PROPN DET NOUN ADP DET ADJ NUM ADJ NOUN
The mid - fielders ruled the roost up to the interval, but after a scoreless first half the Antrim team showed great dominance.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	DET ADJ PUNCT NOUN VERB DET NOUN PART ADP DET NOUN CCONJ ADP DET NOUN ADV ADJ DET PROPN NOUN VERB ADJ NOUN
Yet never did we instigate a fracas ; provocation always came from the other fellows, for various reasons ; maybe they didn't like Jews, or as often happened, they simply threw a challenge in order to test our ability to rule the roost.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rule the roost	figurative	identical	ADV ADV VERB PRON VERB DET NOUN PUNCT NOUN ADV VERB ADP DET ADJ NOUN ADP ADJ NOUN PUNCT ADV PRON VERB VERB PROPN CCONJ ADV ADV VERB PRON ADV VERB DET NOUN ADP NOUN PART VERB ADJ NOUN PART VERB DET NOUN
In the main, biplanes ruled the roost at Rendcomb, although a warbird interlude included Spitfire IX MJ730/G - HFIX owned by David Pennell, but flown by Andy Sephton.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	ADP DET ADJ NOUN VERB DET NOUN ADP PROPN ADP DET ADJ NOUN VERB PROPN PROPN PROPN PUNCT PROPN VERB ADP PROPN PROPN CCONJ VERB ADP PROPN PROPN
Springsteen was out but there were tell - tale signs that he 'd been ruling the roost and no evidence that he was pining for my return.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	PROPN VERB ADV CCONJ ADV VERB ADJ PUNCT ADJ NOUN ADP PRON VERB VERB VERB DET NOUN CCONJ DET NOUN ADP PRON VERB VERB ADP ADJ NOUN
We heard this sort of thing before, when Pontypool ruled the roost in the Seventies and Eighties, and the fact that there was more than an element of truth in it, that the complaints of others could be justified, served only to make the accused — Neath, just like Pontypool before them — become more introverted and less receptive.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	PRON VERB DET NOUN ADP NOUN ADV ADV NOUN VERB DET NOUN ADP DET PROPN CCONJ PROPN CCONJ DET NOUN ADP ADV VERB ADJ ADP DET NOUN ADP NOUN ADP PRON ADP DET NOUN ADP NOUN VERB VERB VERB VERB ADV PART VERB DET VERB PUNCT PROPN ADV ADP NOUN ADP PRON PUNCT VERB ADV ADJ CCONJ ADV ADJ
As children he and Nigger had ruled the roost.	0 0 0 0 0 0 1 0 1	rule the roost	figurative	inflection	ADP NOUN PRON CCONJ PROPN VERB VERB DET NOUN
When their mother died in 1890, the eldest daughter, who was by then thirty years old, was allowed to move to the first floor bedroom, and from then on she ruled the roost.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rule the roost	figurative	inflection	ADV ADJ NOUN VERB ADP NUM DET ADJ NOUN NOUN VERB ADP ADV NUM NOUN ADJ VERB VERB PART VERB ADP DET ADJ NOUN NOUN CCONJ ADP ADV ADP PRON VERB DET NOUN
Knowing Sheila she probably wanted to rule the roost and Elaine wasn't going to have it.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	rule the roost	figurative	identical	VERB PROPN PRON ADV VERB PART VERB DET NOUN CCONJ PROPN VERB VERB PART VERB PRON
