‘ All right, I 'll take you out to lunch one day.’	0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	PUNCT ADV ADV PRON VERB VERB PRON PART ADP NOUN NUM ADJ	▁ ‘ ▁All ▁right , ▁I ▁' ll ▁take ▁you ▁out ▁to ▁lunch ▁one ▁day . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	PUNCT PUNCT ADV ADV ADV PRON VERB VERB VERB PRON PART ADP NOUN NUM ADJ ADJ ADJ
They didn't even buy me lunch — we went out to lunch, but we didn't get any.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	PRON VERB ADV VERB PRON NOUN PUNCT PRON VERB PART ADP NOUN CCONJ PRON VERB VERB ADJ	▁They ▁did n ' t ▁even ▁buy ▁me ▁lunch ▁ — ▁we ▁went ▁out ▁to ▁lunch , ▁but ▁we ▁did n ' t ▁get ▁any . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADV VERB PRON NOUN PUNCT PUNCT PRON VERB PART ADP NOUN NOUN CCONJ PRON VERB VERB VERB VERB VERB ADJ ADJ ADJ
‘ Could I take you out to lunch?’	0 0 0 0 0 1 1 1	out to lunch	literal	dashes	PUNCT VERB PRON VERB PRON PART ADP NOUN	▁ ‘ ▁Could ▁I ▁take ▁you ▁out ▁to ▁lunch ? ’	0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB PRON VERB PRON PART ADP NOUN NOUN NOUN
Having explained carefully to Willis what he was about to do, Richard invited Pinkie out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	VERB VERB ADV ADP VERB NOUN PRON VERB ADJ PART VERB PROPN VERB PROPN PART ADP NOUN	▁Having ▁explained ▁carefully ▁to ▁Will is ▁what ▁he ▁was ▁about ▁to ▁do , ▁Richard ▁invited ▁Pin ki e ▁out ▁to ▁lunch .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	VERB VERB ADV ADP VERB VERB NOUN PRON VERB ADJ PART VERB VERB PROPN VERB PROPN PROPN PROPN PART ADP NOUN NOUN
I 've taken her out to lunch.	0 0 0 0 1 1 1	out to lunch	literal	identical	PRON VERB VERB PRON PART ADP NOUN	▁I ▁' ve ▁taken ▁her ▁out ▁to ▁lunch .	0 0 0 0 0 1 1 1 1	PRON VERB VERB VERB PRON PART ADP NOUN NOUN
A suggestion that he should take her out to lunch, instead, didn't, surprisingly, fall flat.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	DET NOUN ADP PRON VERB VERB PRON PART ADP NOUN ADV VERB ADV VERB ADJ	▁A ▁suggestion ▁that ▁he ▁should ▁take ▁her ▁out ▁to ▁lunch , ▁instead , ▁did n ' t , ▁surprising ly , ▁fall ▁flat .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PRON VERB VERB PRON PART ADP NOUN NOUN ADV ADV VERB VERB VERB VERB VERB ADV ADV ADV VERB ADJ ADJ
The troll was out to lunch, the sky did not fall in and the three pals arrived without mishap at the Gruff's house.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	DET NOUN VERB ADV ADP NOUN DET NOUN VERB ADV VERB ADP CCONJ DET NUM NOUN VERB ADP NOUN ADP DET PROPN NOUN	▁The ▁trol l ▁was ▁out ▁to ▁lunch , ▁the ▁sky ▁did ▁not ▁fall ▁in ▁and ▁the ▁three ▁p al s ▁arrived ▁without ▁m ish ap ▁at ▁the ▁Gr uff ' s ▁house .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADV ADP NOUN NOUN DET NOUN VERB ADV VERB ADP CCONJ DET NUM NOUN NOUN NOUN VERB ADP NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN
She was so obviously upset by the break - up that I asked her out to lunch to cheer her up, and I asked her home because I thought my mother and sister might help her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB ADV ADV ADJ ADP DET NOUN PUNCT NOUN ADJ PRON VERB PRON PART ADP NOUN PART VERB PRON PART CCONJ PRON VERB ADJ NOUN ADP PRON VERB ADJ NOUN CCONJ NOUN VERB VERB PRON	▁She ▁was ▁so ▁obviously ▁upset ▁by ▁the ▁break ▁- ▁up ▁that ▁I ▁asked ▁her ▁out ▁to ▁lunch ▁to ▁che er ▁her ▁up , ▁and ▁I ▁asked ▁her ▁home ▁because ▁I ▁thought ▁my ▁mother ▁and ▁sister ▁might ▁help ▁her .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV ADJ ADP DET NOUN PUNCT NOUN ADJ PRON VERB PRON PART ADP NOUN PART VERB VERB PRON PART PART CCONJ PRON VERB ADJ NOUN ADP PRON VERB ADJ NOUN CCONJ NOUN VERB VERB PRON PRON
He was usually invited out to lunch, resumed work or attended a concert in the evening, and then went to see Constanze, when her mother ( who was often drunk ) berated both of them.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB ADV VERB PART ADP NOUN VERB NOUN CCONJ VERB DET NOUN ADP DET NOUN CCONJ ADV VERB PART VERB PROPN ADV ADJ NOUN PUNCT NOUN VERB ADV ADJ PUNCT VERB DET ADP PRON	▁He ▁was ▁usually ▁invited ▁out ▁to ▁lunch , ▁resumed ▁work ▁or ▁attended ▁a ▁concert ▁in ▁the ▁evening , ▁and ▁then ▁went ▁to ▁see ▁Consta n ze , ▁when ▁her ▁mother ▁( ▁who ▁was ▁often ▁drunk ▁ ) ▁be rated ▁both ▁of ▁them .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB PART ADP NOUN NOUN VERB NOUN CCONJ VERB DET NOUN ADP DET NOUN NOUN CCONJ ADV VERB PART VERB PROPN PROPN PROPN PROPN ADV ADJ NOUN PUNCT NOUN VERB ADV ADJ PUNCT PUNCT VERB VERB DET ADP PRON PRON
I 'm going out to lunch myself.’	0 0 0 1 1 1 0	out to lunch	literal	identical	PRON VERB VERB PART ADP NOUN NOUN	▁I ▁' m ▁going ▁out ▁to ▁lunch ▁myself . ’	0 0 0 0 1 1 1 0 0 0	PRON VERB VERB VERB PART ADP NOUN NOUN NOUN NOUN
‘ I can't have all my staff out to lunch at the same time.’	0 0 0 0 0 0 0 1 1 1 0 0 0 0	out to lunch	literal	identical	PUNCT PRON VERB VERB DET ADJ NOUN PART ADP NOUN ADP DET ADJ NOUN	▁ ‘ ▁I ▁can ' t ▁have ▁all ▁my ▁staff ▁out ▁to ▁lunch ▁at ▁the ▁same ▁time . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB VERB DET ADJ NOUN PART ADP NOUN ADP DET ADJ NOUN NOUN NOUN
