Your boy could have taken the dive for the Mahoney kill.	0 0 0 0 1 0 1 0 0 0 0	take a dive	figurative	combined-inflection	ADJ NOUN VERB VERB VERB DET NOUN ADP DET NOUN NOUN
But advertising is itself extremely volatile and profits could take a dive as easily as they could soar.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take a dive	figurative	identical	CCONJ NOUN VERB PRON ADV ADJ CCONJ NOUN VERB VERB DET NOUN ADV ADV ADP PRON VERB VERB
He led Leeds to the English championship last season but the team's fortunes have taken a dive this year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	take a dive	figurative	inflection	PRON VERB NOUN ADP DET ADJ NOUN ADJ NOUN CCONJ DET NOUN NOUN VERB VERB DET NOUN DET NOUN
The British, Bri, British bank are gon na take a dive!	0 0 0 0 0 0 0 0 1 0 1	take a dive	figurative	identical	DET PROPN PROPN ADJ NOUN VERB VERB PART VERB DET NOUN
But their hopes took a dive in the 62nd minute when Polish striker Marcel Witeczek went on a run to score a superb individual goal.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a dive	figurative	inflection	CCONJ ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN ADV ADJ NOUN PROPN PROPN VERB ADP DET NOUN PART VERB DET ADJ ADJ NOUN
Time after time, companies have taken a dive, leaving a mass of dead and dying labels in their wake.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take a dive	figurative	inflection	NOUN ADP NOUN NOUN VERB VERB DET NOUN VERB DET NOUN ADP ADJ CCONJ VERB NOUN ADP ADJ NOUN
He fell victim to one of the oldest tricks in the book, sent off as a crafty Belgian took a dive at his feet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take a dive	figurative	inflection	PRON VERB NOUN ADP NUM ADP DET ADJ NOUN ADP DET NOUN VERB PART ADP DET ADJ PROPN VERB DET NOUN ADP ADJ NOUN
Leaning forward, his body stiffened suddenly as the bright orange float took a dive and disappeared from view.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	take a dive	literal	inflection	VERB ADV ADJ NOUN VERB ADV ADP DET ADJ ADJ NOUN VERB DET NOUN CCONJ VERB ADP NOUN
The German market took a mini dive of 12-points but the Paris Bourse was fairly firm.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	take a dive	figurative	combined-inflection	DET ADJ NOUN VERB DET ADJ NOUN ADP NUM CCONJ DET PROPN PROPN VERB ADV ADJ
I don't know which firm they were from, but as well as stopping people from hurting each other, they helped the more diminutive among the crowd on to the stage if they had problems getting free of the moshpit so that they could take a dive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take a dive	literal	identical	PRON VERB VERB ADJ NOUN PRON VERB ADP CCONJ ADV ADV ADP VERB NOUN ADP VERB DET ADJ PRON VERB DET ADV ADJ ADP DET NOUN ADP ADP DET NOUN ADP PRON VERB NOUN VERB ADJ ADP DET NOUN ADP ADP PRON VERB VERB DET NOUN
‘ … that damned Kinnock and his vile socialists in Brighton … behind in the polls … we need a champion, Ruud, get my drift? … your Timman takes a dive, or else!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	take a dive	figurative	inflection	PUNCT PUNCT ADJ VERB PROPN CCONJ ADJ ADJ NOUN ADP PROPN PUNCT ADV ADP DET NOUN PUNCT PRON VERB DET NOUN PROPN VERB ADJ NOUN PUNCT ADJ PROPN VERB DET NOUN CCONJ VERB
I think he also took a dive in the penalty area in the 2nd half after Macallister??	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	take a dive	figurative	inflection	PRON VERB PRON ADV VERB DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN ADP NOUN
By that time, with the global economy spinning into near - depression, commercial and industrial gold use, and even luxury demand, took a further dive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	take a dive	figurative	combined-inflection	ADP DET NOUN ADP DET ADJ NOUN VERB ADP ADJ PUNCT NOUN ADJ CCONJ ADJ NOUN NOUN CCONJ ADV NOUN NOUN VERB DET ADJ NOUN
Here is one of those places, then, where the frontier does not follow the ridge of the mountains, but takes a sudden dive down on the French side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	take a dive	literal	combined-inflection	ADV VERB NUM ADP DET NOUN ADV ADV DET NOUN VERB ADV VERB DET NOUN ADP DET NOUN CCONJ VERB DET ADJ NOUN PART ADP DET ADJ NOUN
Mr Kanemaru's reputation took a dive from which it has not recovered.	0 0 0 1 0 1 0 0 0 0 0 0	take a dive	figurative	inflection	PROPN PROPN NOUN VERB DET NOUN ADP ADJ PRON VERB ADV VERB
The auctioneer took the dive for cover.	0 0 1 0 1 0 0	take a dive	literal	combined-inflection	DET NOUN VERB DET NOUN ADP NOUN
BRM's first rear - engined car, the Type 48, turned out to be a pig, Graham Hill recording in his autobiography that ‘ the car would suddenly take a dive and dart straight into the infield out of control’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	take a dive	literal	identical	PROPN ADJ NOUN PUNCT VERB NOUN DET PROPN NUM VERB PART PART VERB DET NOUN PROPN PROPN VERB ADP ADJ NOUN ADP PUNCT DET NOUN VERB ADV VERB DET NOUN CCONJ VERB ADV ADP DET NOUN ADP ADP NOUN
‘ Will he take a dive if the money's right?’	0 0 0 1 0 1 0 0 0 0	take a dive	figurative	identical	PUNCT VERB PRON VERB DET NOUN ADP DET NOUN NOUN
And Saints ' hopes of closing the gap on League leaders Wigan will take a dive if the 35-year - old is ruled out of their Christmas derby clashes against the Central Park champions and Widnes.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a dive	figurative	identical	CCONJ PROPN PART NOUN ADP VERB DET NOUN ADP PROPN NOUN PROPN VERB VERB DET NOUN ADP DET NUM PUNCT ADJ VERB VERB ADP ADP ADJ PROPN NOUN NOUN ADP DET PROPN PROPN NOUN CCONJ PROPN
