Sarah's pride in her daughter knew no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	PROPN NOUN ADP ADJ NOUN VERB DET NOUN	▁Sara h ' s ▁pride ▁in ▁her ▁daughter ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN VERB DET NOUN NOUN NOUN
Libran magnetism knows no bounds.	0 0 1 1 1	know no bounds	figurative	inflection	ADJ NOUN VERB DET NOUN	▁L ib ran ▁magnet ism ▁knows ▁no ▁bound s .	0 0 0 0 0 1 1 1 1 1	ADJ ADJ ADJ NOUN NOUN VERB DET NOUN NOUN NOUN
Not surprisingly, his enthusiasm knew no bounds.	0 0 0 0 1 1 1	know no bounds	figurative	inflection	ADV ADV ADJ NOUN VERB DET NOUN	▁Not ▁surprising ly , ▁his ▁enthusiasm ▁knew ▁no ▁bound s .	0 0 0 0 0 0 1 1 1 1 1	ADV ADV ADV ADV ADJ NOUN VERB DET NOUN NOUN NOUN
Chapman's appetite for new ideas knew no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	NOUN NOUN ADP ADJ NOUN VERB DET NOUN	▁Chap man ' s ▁appetite ▁for ▁new ▁ideas ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN NOUN NOUN ADP ADJ NOUN VERB DET NOUN NOUN NOUN
Benn's patriotism knew no bounds when confronted by the assertion that the French were more conciliatory than the British.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	know no bounds	figurative	inflection	PROPN NOUN VERB DET NOUN ADV VERB ADP DET NOUN ADP DET PROPN VERB ADV ADJ ADP DET PROPN	▁Ben n ' s ▁ patri ot ism ▁knew ▁no ▁bound s ▁when ▁confronted ▁by ▁the ▁assertion ▁that ▁the ▁French ▁were ▁more ▁conciliator y ▁than ▁the ▁British .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN VERB DET NOUN NOUN ADV VERB ADP DET NOUN ADP DET PROPN VERB ADV ADJ ADJ ADP DET PROPN PROPN
Enthusiasm to join the union knew no bounds ; the expectation of the new members knew no limits.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0	know no bounds	figurative	misc	NOUN PART VERB DET NOUN VERB DET NOUN PUNCT DET NOUN ADP DET ADJ NOUN VERB DET NOUN	▁En th usia s m ▁to ▁join ▁the ▁union ▁knew ▁no ▁bound s ▁ ; ▁the ▁expectation ▁of ▁the ▁new ▁members ▁knew ▁no ▁limits .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0	NOUN NOUN NOUN NOUN NOUN PART VERB DET NOUN VERB DET NOUN NOUN PUNCT PUNCT DET NOUN ADP DET ADJ NOUN VERB DET NOUN NOUN
That was typical of Billy Callender and his popularity at Selhurst Park knew no bounds.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	DET VERB ADJ ADP PROPN PROPN CCONJ ADJ NOUN ADP PROPN PROPN VERB DET NOUN	▁That ▁was ▁typical ▁of ▁B illy ▁Call ender ▁and ▁his ▁popular ity ▁at ▁Sel hurst ▁Park ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET VERB ADJ ADP PROPN PROPN PROPN PROPN CCONJ ADJ NOUN NOUN ADP PROPN PROPN PROPN VERB DET NOUN NOUN NOUN
Ixmarity would know no bounds, if we could only learn his secret.	0 0 1 1 1 0 0 0 0 0 0 0	know no bounds	figurative	identical	NOUN VERB VERB DET NOUN ADP PRON VERB ADV VERB ADJ NOUN	▁I x mar ity ▁would ▁know ▁no ▁bound s , ▁if ▁we ▁could ▁only ▁learn ▁his ▁secret .	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN VERB VERB DET NOUN NOUN NOUN ADP PRON VERB ADV VERB ADJ NOUN NOUN
Over the days that followed their hospitality knew no bounds.	0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	ADP DET NOUN ADJ VERB ADJ NOUN VERB DET NOUN	▁Over ▁the ▁days ▁that ▁followed ▁their ▁hospital ity ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN ADJ VERB ADJ NOUN NOUN VERB DET NOUN NOUN NOUN
And as you know, greed knows no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	CCONJ ADP PRON VERB NOUN VERB DET NOUN	▁And ▁as ▁you ▁know , ▁ gre ed ▁knows ▁no ▁bound s .	0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ ADP PRON VERB VERB NOUN NOUN NOUN VERB DET NOUN NOUN NOUN
On hearing this the Queen's anger knew no bounds.	0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	ADP VERB DET DET PROPN NOUN VERB DET NOUN	▁On ▁hearing ▁this ▁the ▁Queen ' s ▁anger ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 1 1 1 1 1	ADP VERB DET DET PROPN PROPN PROPN NOUN VERB DET NOUN NOUN NOUN
John Jeffrey's popularity on Fiji knew no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	PROPN PROPN NOUN ADP PROPN VERB DET NOUN	▁John ▁Je ffre y ' s ▁popular ity ▁on ▁Fiji ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADP PROPN VERB DET NOUN NOUN NOUN
Talk, talk BT's help for the business community knows no bounds.	0 0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	NOUN NOUN PROPN NOUN ADP DET NOUN NOUN VERB DET NOUN	▁Talk , ▁talk ▁BT ' s ▁help ▁for ▁the ▁business ▁community ▁knows ▁no ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN PROPN PROPN PROPN NOUN ADP DET NOUN NOUN VERB DET NOUN NOUN NOUN
The lack of any precise boundaries between the three closely - interwoven ethnic groups leads most observers to believe that Bosnia's civil war will know no bounds, with the battle front cutting through villages and streets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	know no bounds	figurative	identical	DET NOUN ADP DET ADJ NOUN ADP DET NUM ADV PUNCT VERB ADJ NOUN VERB ADJ NOUN PART VERB ADP PROPN ADJ NOUN VERB VERB DET NOUN ADP DET NOUN NOUN VERB ADP NOUN CCONJ NOUN	▁The ▁lack ▁of ▁any ▁precise ▁boundaries ▁between ▁the ▁three ▁closely ▁- ▁inter woven ▁ethnic ▁groups ▁leads ▁most ▁observers ▁to ▁believe ▁that ▁Bosnia ' s ▁civil ▁war ▁will ▁know ▁no ▁bound s , ▁with ▁the ▁battle ▁front ▁cutting ▁through ▁villages ▁and ▁streets .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET ADJ NOUN ADP DET NUM ADV PUNCT VERB VERB ADJ NOUN VERB ADJ NOUN PART VERB ADP PROPN PROPN PROPN ADJ NOUN VERB VERB DET NOUN NOUN NOUN ADP DET NOUN NOUN VERB ADP NOUN CCONJ NOUN NOUN
He had no family of his own and his gratitude to the McGuires knew no bounds.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	PRON VERB DET NOUN ADP ADJ ADJ CCONJ ADJ NOUN ADP DET PROPN VERB DET NOUN	▁He ▁had ▁no ▁family ▁of ▁his ▁own ▁and ▁his ▁gratitude ▁to ▁the ▁McG ui res ▁knew ▁no ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB DET NOUN ADP ADJ ADJ CCONJ ADJ NOUN ADP DET PROPN PROPN PROPN VERB DET NOUN NOUN NOUN
The universal appeal of the ‘ Teddy’ knows no bounds.	0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	DET ADJ NOUN ADP DET PUNCT PROPN VERB DET NOUN	▁The ▁universal ▁appeal ▁of ▁the ▁ ‘ ▁T ed dy ’ ▁knows ▁no ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET ADJ NOUN ADP DET PUNCT PUNCT PROPN PROPN PROPN PROPN VERB DET NOUN NOUN NOUN
