THOSE who insisted that the Queen pay income tax were barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	DET NOUN VERB ADP DET PROPN NOUN NOUN NOUN VERB VERB PART DET ADJ NOUN
You 're barking up the wrong tree.	0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	PRON VERB VERB PART DET ADJ NOUN
If they think forcing strange food down children's throats will enhance good race relations, then they are barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	ADP PRON VERB VERB ADJ NOUN ADP NOUN NOUN VERB VERB ADJ NOUN NOUN ADV PRON VERB VERB PART DET ADJ NOUN
Me barking up yet another wrong tree. '	0 1 1 0 0 1 1 0	bark up the wrong tree	figurative	combined-inflection	PRON VERB PART ADV DET ADJ NOUN PUNCT
The BSDI contingents hopeful that Novell Inc will quash the suit once it takes USL over may be barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	DET PROPN NOUN ADJ ADP PROPN PROPN VERB VERB DET NOUN ADP PRON VERB PROPN PART VERB VERB VERB PART DET ADJ NOUN
they 'd come out with half of one, they 'd come out with things like I think you 're er I dunno er, not barking up the wrong tree that was the wrong one, but the they 'd sort of come out with half of a pun and they wouldn't finish it off, like oh th, this is smashing!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bark up the wrong tree	figurative	inflection	PRON VERB VERB PART ADP NOUN ADP NUM PRON VERB VERB PART ADP NOUN ADP PRON VERB PRON VERB INTJ PRON VERB INTJ ADV VERB PART DET ADJ NOUN ADJ VERB DET ADJ NOUN CCONJ DET PRON VERB ADV ADV VERB PART ADP NOUN ADP DET NOUN CCONJ PRON VERB VERB PRON PART INTJ INTJ INTJ DET VERB VERB
His wife is going round the bend, thinking he's under suspicion, but I 'm sure she's barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	ADJ NOUN VERB VERB ADV DET NOUN VERB PRON ADP NOUN CCONJ PRON VERB ADJ PRON VERB PART DET ADJ NOUN
Despite it all, though, you may end up looking a bit foolish if you find you 've been barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	ADP PRON DET ADV PRON VERB VERB PART VERB DET NOUN ADJ ADP PRON VERB PRON VERB VERB VERB PART DET ADJ NOUN
People who feel sorry for my old bridesmaid and travelling companion are barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	NOUN NOUN VERB ADJ ADP ADJ ADJ NOUN CCONJ VERB NOUN VERB VERB PART DET ADJ NOUN
DOG - lover Carole Birdsall wasn ‘ t barking up the wrong tree when she acquired her four Old English Sheepdogs.	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	bark up the wrong tree	figurative	inflection	NOUN PUNCT NOUN PROPN PROPN ADV PUNCT NOUN VERB PART DET ADJ NOUN ADV PRON VERB PRON NUM PROPN PROPN PROPN
Could he once again be barking up the wrong tree?	0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	VERB PRON ADV ADV VERB VERB PART DET ADJ NOUN
‘ You 're barking up the wrong tree about the other address,’ he bluffed.	0 0 0 1 1 0 1 1 0 0 0 0 0 0	bark up the wrong tree	figurative	inflection	PUNCT PRON VERB VERB PART DET ADJ NOUN ADP DET ADJ NOUN PRON VERB
Can't help thinking that they are on the right track and it's we who are barking up the wrong tree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	bark up the wrong tree	figurative	inflection	VERB VERB VERB ADP PRON VERB ADP DET ADJ NOUN CCONJ PRON PRON NOUN VERB VERB PART DET ADJ NOUN
I realized then that we 'd been barking up the wrong tree. '	0 0 0 0 0 0 0 1 1 0 1 1 0	bark up the wrong tree	figurative	inflection	PRON VERB ADV ADP PRON VERB VERB VERB PART DET ADJ NOUN PUNCT
