‘ Your Negotiator has done a bunk,’ he said flatly.	0 0 0 0 1 0 1 0 0 0	do a bunk	figurative	combined-inflection	PUNCT ADJ NOUN VERB VERB DET NOUN PRON VERB ADV	▁ ‘ ▁Your ▁Negotiat or ▁has ▁done ▁a ▁b un k , ’ ▁he ▁said ▁flat ly .	0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0	PUNCT PUNCT ADJ NOUN NOUN VERB VERB DET NOUN NOUN NOUN NOUN NOUN PRON VERB ADV ADV ADV
The lads arrive at the local nick to find their Houdini pa has done a bunk and they wander about the country trying to locate him, pitching up in a one horse Long Island seaside town.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do a bunk	figurative	inflection	DET NOUN VERB ADP DET ADJ NOUN PART VERB ADJ PROPN ADV VERB VERB DET NOUN CCONJ PRON VERB ADP DET NOUN VERB PART VERB PRON VERB PART ADP DET NUM NOUN PROPN PROPN NOUN NOUN	▁The ▁la ds ▁arrive ▁at ▁the ▁local ▁n ick ▁to ▁find ▁their ▁H oud ini ▁p a ▁has ▁done ▁a ▁b un k ▁and ▁they ▁wa nder ▁about ▁the ▁country ▁trying ▁to ▁locate ▁him , ▁pitch ing ▁up ▁in ▁a ▁one ▁horse ▁Long ▁Island ▁sea side ▁town .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADP DET ADJ NOUN NOUN PART VERB ADJ PROPN PROPN PROPN ADV ADV VERB VERB DET NOUN NOUN NOUN CCONJ PRON VERB VERB ADP DET NOUN VERB PART VERB PRON PRON VERB VERB PART ADP DET NUM NOUN PROPN PROPN NOUN NOUN NOUN NOUN
has done the bunk.	0 1 0 1	do a bunk	figurative	combined-inflection	VERB VERB DET NOUN	▁has ▁done ▁the ▁b un k .	0 1 0 1 1 1 1	VERB VERB DET NOUN NOUN NOUN NOUN
Most of the daughters ( except Rose, who lost an eye ) soon married, but Minnie's marriage to Abe Greenbaum came to an abrupt end when she did a ' bunk with Claud ' — a doctor she met on a visit to London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do a bunk	figurative	combined-inflection	ADJ ADP DET NOUN PUNCT ADP PROPN NOUN VERB DET NOUN PUNCT ADV VERB CCONJ PROPN NOUN ADP PROPN PROPN VERB ADP DET ADJ NOUN ADV PRON VERB DET PUNCT NOUN ADP PROPN PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADP PROPN	▁Most ▁of ▁the ▁daughters ▁( ▁except ▁Rose , ▁who ▁lost ▁an ▁eye ▁ ) ▁soon ▁married , ▁but ▁Min nie ' s ▁marriage ▁to ▁A be ▁Green ba um ▁came ▁to ▁an ▁abrupt ▁end ▁when ▁she ▁did ▁a ▁' ▁b un k ▁with ▁Cla ud ▁' ▁ — ▁a ▁doctor ▁she ▁met ▁on ▁a ▁visit ▁to ▁London .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET NOUN PUNCT ADP PROPN PROPN NOUN VERB DET NOUN PUNCT PUNCT ADV VERB VERB CCONJ PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB ADP DET ADJ NOUN ADV PRON VERB DET PUNCT NOUN NOUN NOUN ADP PROPN PROPN PUNCT PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADP PROPN PROPN
" Done a bunk? " he asked with gruff sympathy.	0 1 0 1 0 0 0 0 0 0	do a bunk	figurative	combined-inflection	PUNCT VERB DET NOUN PUNCT PRON VERB ADP ADJ NOUN	▁" ▁Done ▁a ▁b un k ? ▁" ▁he ▁asked ▁with ▁gr uff ▁sympathy .	0 1 0 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT VERB DET NOUN NOUN NOUN NOUN PUNCT PRON VERB ADP ADJ ADJ NOUN NOUN
Hubert's still the clergyman with the flighty wife, the one who used to play cards on Sunday and then did a bunk on him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do a bunk	figurative	inflection	PROPN ADV DET NOUN ADP DET ADJ NOUN DET NOUN NOUN VERB PART VERB NOUN ADP PROPN CCONJ ADV VERB DET NOUN ADP PRON	▁Hu bert ' s ▁still ▁the ▁cl ergy man ▁with ▁the ▁flight y ▁wife , ▁the ▁one ▁who ▁used ▁to ▁play ▁cards ▁on ▁Sunday ▁and ▁then ▁did ▁a ▁b un k ▁on ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	PROPN PROPN PROPN PROPN ADV DET NOUN NOUN NOUN ADP DET ADJ ADJ NOUN NOUN DET NOUN NOUN VERB PART VERB NOUN ADP PROPN CCONJ ADV VERB DET NOUN NOUN NOUN ADP PRON PRON
He 'd done a bunk.	0 0 1 0 1	do a bunk	figurative	inflection	PRON VERB VERB DET NOUN	▁He ▁' d ▁done ▁a ▁b un k .	0 0 0 1 0 1 1 1 1	PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN
I don't know if we 'd have worried about that if we 'd thought he 'd done a bunk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do a bunk	figurative	inflection	PRON VERB VERB ADP PRON VERB VERB VERB ADP ADP ADP PRON VERB VERB PRON VERB VERB DET NOUN	▁I ▁don ' t ▁know ▁if ▁we ▁' d ▁have ▁worried ▁about ▁that ▁if ▁we ▁' d ▁thought ▁he ▁' d ▁done ▁a ▁b un k .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	PRON VERB VERB VERB VERB ADP PRON VERB VERB VERB VERB ADP ADP ADP PRON VERB VERB VERB PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN
‘ I wonder if he's done a bunk,’ Fowler - Thrown said.	0 0 0 0 0 1 0 1 0 0 0 0	do a bunk	figurative	combined-inflection	PUNCT PRON VERB ADP PRON VERB DET ADJ PROPN PUNCT PROPN VERB	▁ ‘ ▁I ▁wonder ▁if ▁he ' s ▁done ▁a ▁b un k , ’ ▁Fowl er ▁- ▁Th row n ▁said .	0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADP PRON PRON PRON VERB DET ADJ ADJ ADJ ADJ ADJ PROPN PROPN PUNCT PROPN PROPN PROPN VERB VERB
He's hopped it — done a bunk, as they says!’	0 0 0 0 1 0 1 0 0 0	do a bunk	figurative	inflection	PRON VERB PRON PUNCT VERB DET NOUN ADP PRON VERB	▁He ' s ▁ho pped ▁it ▁ — ▁done ▁a ▁b un k , ▁as ▁they ▁says ! ’	0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0	PRON PRON PRON VERB VERB PRON PUNCT PUNCT VERB DET NOUN NOUN NOUN NOUN ADP PRON VERB VERB VERB
‘ But if he has done a bunk, you 'd expect him to take his collection with him, wouldn't you?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	do a bunk	figurative	inflection	PUNCT CCONJ ADP PRON VERB VERB DET NOUN PRON VERB VERB PRON PART VERB ADJ NOUN ADP PRON VERB PRON	▁ ‘ ▁But ▁if ▁he ▁has ▁done ▁a ▁b un k , ▁you ▁' d ▁expect ▁him ▁to ▁take ▁his ▁collection ▁with ▁him , ▁would n ' t ▁you ?	0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT CCONJ ADP PRON VERB VERB DET NOUN NOUN NOUN NOUN PRON VERB VERB VERB PRON PART VERB ADJ NOUN ADP PRON PRON VERB VERB VERB VERB PRON PRON
