You have time to digest the unexpected worm, as they say about early birds!	0 0 0 0 0 0 0 0 0 0 0 0 1 1	early bird	figurative	inflection	PRON VERB NOUN PART VERB DET ADJ NOUN ADP PRON VERB ADP ADJ NOUN
Early bird job - hunter	1 1 0 0 0	early bird	figurative	case	ADJ NOUN NOUN PUNCT NOUN
The comedian is also among the personalities on Channel 4's The Big Breakfast show for early birds, launched yesterday.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	early bird	figurative	inflection	DET NOUN VERB ADV ADP DET NOUN ADP PROPN NUM DET PROPN PROPN NOUN ADP ADJ NOUN VERB NOUN
The bars admit to standing room only ( early birds perch on stools ), and the extensive lounges with their arm chairs set in fours soon fill to capacity.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	inflection	DET NOUN VERB ADP VERB NOUN ADV PUNCT ADJ NOUN VERB ADP NOUN PUNCT CCONJ DET ADJ NOUN ADP ADJ NOUN NOUN VERB ADP NOUN ADV VERB ADP NOUN
EMPLOYERS gain almost two hours a week on average from early - bird employees, and only 30 per cent of employees contribute no extra time at all, according to a report by the mobile communications group Phonepoint.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	dashes	NOUN VERB ADV NUM NOUN DET NOUN ADP NOUN ADP ADJ PUNCT NOUN NOUN CCONJ ADV NUM NOUN NOUN ADP NOUN VERB DET ADJ NOUN ADV ADV VERB ADP DET NOUN ADP DET ADJ NOUN NOUN PROPN
The earliest authenticated cuckoo was for years a literal early bird seen as well as heard on March 27, 1936, in Kent, but one was reportedly heard and seen on March 2, 1972, in Berkshire.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	literal	identical	DET ADJ ADJ NOUN VERB ADP NOUN DET ADJ ADJ NOUN VERB ADV ADV ADP VERB ADP PROPN NUM NUM ADP PROPN CCONJ PRON VERB ADV VERB CCONJ VERB ADP PROPN NUM NUM ADP PROPN
Early bird Ruth arrives on her bike and pitches in with the adult workers at her grandfather's stables every morning before she sets off for school Pictures : STUART FOSTER	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	case	ADJ NOUN PROPN VERB ADP ADJ NOUN CCONJ NOUN PART ADP DET NOUN NOUN ADP ADJ NOUN NOUN DET NOUN ADP PRON VERB PART ADP NOUN NOUN PUNCT PROPN PROPN
Some varieties are early birds, and anxious to lead the way.	0 0 0 1 1 0 0 0 0 0 0	early bird	figurative	inflection	DET NOUN VERB ADJ NOUN CCONJ ADJ PART VERB DET NOUN
The derivation of the birds from a reptilian ( possibly dinosaur ) ancestor is certain, and because the earliest fossil bird, Archaeopteryx, is Jurassic in age, it is usually assumed that the split from the reptiles occurred in the earlier part of the period.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	literal	misc	DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ADV NOUN PUNCT NOUN VERB ADJ CCONJ ADP DET ADJ NOUN NOUN PROPN VERB PROPN ADP NOUN PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN
Non - members may use unbooked courts or play a game with a member on payment of the day membership ( guest ) fee ; unless you are an early bird or night owl where the guest fee is waived for players vacating courts before 09.00 or on court after 22.30.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	identical	NOUN PUNCT NOUN VERB VERB ADJ NOUN CCONJ VERB DET NOUN ADP DET NOUN ADP NOUN ADP DET NOUN NOUN PUNCT NOUN PUNCT NOUN PUNCT ADP PRON VERB DET ADJ NOUN CCONJ NOUN NOUN ADV DET NOUN NOUN VERB VERB ADP NOUN VERB NOUN ADP NUM CCONJ ADP NOUN ADP NUM
Non - members may use unbooked courts or play a game with a member on payment of the day membership ( guest ) fee ; unless you are an early bird or night owl where the guest fee is waived for players vacating courts before 09.00 or on court after 22.30.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	identical	NOUN PUNCT NOUN VERB VERB ADJ NOUN CCONJ VERB DET NOUN ADP DET NOUN ADP NOUN ADP DET NOUN NOUN PUNCT NOUN PUNCT NOUN PUNCT ADP PRON VERB DET ADJ NOUN CCONJ NOUN NOUN ADV DET NOUN NOUN VERB VERB ADP NOUN VERB NOUN ADP NUM CCONJ ADP NOUN ADP NUM
In London's Oxford Street a queue of early - bird shoppers snaked round Debenhams eager to get their hands on half - price bargains.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	dashes	ADP PROPN PROPN PROPN DET NOUN ADP ADJ PUNCT NOUN NOUN VERB ADJ NOUN ADJ PART VERB ADJ NOUN ADP ADJ PUNCT NOUN NOUN
Early bird?	1 1	early bird	figurative	case	ADJ NOUN
Politicians seem to work on the assumption that the early bird catches the voter.	0 0 0 0 0 0 0 0 0 1 1 0 0 0	early bird	figurative	identical	NOUN VERB PART VERB ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN
He was always an early bird, was Jack.	0 0 0 0 1 1 0 0	early bird	figurative	identical	PRON VERB ADV DET ADJ NOUN VERB PROPN
We are pleased to be able to offer an early bird festival saver for those wishing to attend all events within this year's YEMF ( except Event 16 ).	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	early bird	figurative	identical	PRON VERB ADJ PART VERB ADJ PART VERB DET ADJ NOUN NOUN NOUN ADP DET VERB PART VERB DET NOUN ADP DET NOUN PROPN PUNCT ADP NOUN NUM PUNCT
The early bird	0 1 1	early bird	literal	identical	DET ADJ NOUN
‘ Aren't we the early bird?’ said Tommy, as he turned over.	0 0 0 0 1 1 0 0 0 0 0 0	early bird	figurative	dashes	PUNCT VERB PRON DET ADJ NOUN VERB PROPN ADP PRON VERB PART
I was the early bird that morning,	0 0 0 1 1 0 0	early bird	figurative	identical	PRON VERB DET ADJ NOUN DET NOUN
Early bird winners	1 1 0	early bird	figurative	case	ADJ NOUN NOUN
