You really ought to give the place a going - over with the Hoover once in a while.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	once in a while	figurative	dashes	PRON ADV VERB PART VERB DET NOUN DET NOUN PUNCT NOUN ADP DET PROPN ADV ADP DET NOUN
If you are the guest, then you can take refuge in the thought that once in a while you need a break, and you can always make it up tomorrow by being particularly good.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	ADP PRON VERB DET NOUN ADV PRON VERB VERB NOUN ADP DET NOUN ADP ADV ADP DET ADP PRON VERB DET NOUN CCONJ PRON VERB ADV VERB PRON PART NOUN ADP VERB ADV ADJ
Where in the 1930s the mother was given solemn warnings as to what would happen if she disobeyed the rules, the mode now is to refer her, with continual reassurances however, to what might possibly result from some mistaken handlings : ‘ Here's what happens once in a while when the needs of the child aren't recognized’(Spock, 1946, chapter on ‘ The Two Year Old’ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	ADV ADP DET NOUN DET NOUN VERB VERB ADJ NOUN ADP ADP NOUN VERB VERB ADP PRON VERB DET NOUN DET NOUN ADV VERB PART VERB PRON ADP ADJ NOUN ADV ADP NOUN VERB ADV VERB ADP DET ADJ NOUN PUNCT PUNCT ADV NOUN VERB ADV ADP DET NOUN ADV DET NOUN ADP DET NOUN VERB ADJ NUM NOUN ADP PUNCT DET PROPN PROPN NOUN PUNCT
‘ He barks once in a while.	0 0 0 1 1 0 1	once in a while	figurative	identical	PUNCT PRON VERB ADV ADP DET NOUN
Every once in a while, a profession ( most frequently, economics ) determines that it has reached a consensus on how to solve a problem.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	DET ADV ADP DET NOUN DET NOUN PUNCT ADV ADV NOUN PUNCT VERB ADP PRON VERB VERB DET NOUN ADP ADV PART VERB DET NOUN
Every now and again you 're going to get exceptional circumstances and these things happen once in a while.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	once in a while	figurative	identical	DET ADV CCONJ ADV PRON VERB VERB PART VERB ADJ NOUN CCONJ DET NOUN VERB ADV ADP DET NOUN
On a long flight you should get up every once in a while to stretch your legs.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	once in a while	figurative	identical	ADP DET ADJ NOUN PRON VERB VERB PART DET ADV ADP DET NOUN PART VERB ADJ NOUN
The occasional or once - in - a - while reward ( intermittent reinforcement ) will consolidate an established bad habit more effectively than a reward given every time.	0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	dashes	DET ADJ CCONJ ADV PUNCT ADP PUNCT DET PUNCT NOUN NOUN PUNCT ADJ NOUN PUNCT VERB VERB DET VERB ADJ NOUN ADV ADV ADP DET NOUN VERB DET NOUN
Well keep them in the house, and maybe once in a while, sort of once every two months, just put a couple of drops in maybe Saturday night or Sunday night.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	INTJ VERB PRON ADP DET NOUN CCONJ ADV ADV ADP DET NOUN ADV ADV ADV DET NUM NOUN ADV VERB DET NOUN ADP NOUN ADP ADV PROPN NOUN CCONJ PROPN NOUN
I am able to escape the misery of golf in the south of England once in a while and go back to Scotland where sanity reigns and nobody condemns a high - handicapper!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	PRON VERB ADJ PART VERB DET NOUN ADP NOUN ADP DET NOUN ADP PROPN ADV ADP DET NOUN CCONJ VERB ADV ADP PROPN ADV NOUN NOUN CCONJ NOUN VERB DET ADJ PUNCT NOUN
And we get songs that people send into the office and once in a while we 'll come up with something that somebody just sends us.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	CCONJ PRON VERB NOUN ADP NOUN VERB ADP DET NOUN CCONJ ADV ADP DET NOUN PRON VERB VERB PART ADP NOUN ADJ NOUN ADV VERB PRON
‘ Greasers are almost like hoods ; we steal things and drive old souped - up cars and hold up petrol stations and have a gang fight once in a while.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	once in a while	figurative	dashes	PUNCT NOUN VERB ADV ADP NOUN PUNCT PRON VERB NOUN CCONJ VERB ADJ VERB PUNCT PART NOUN CCONJ VERB PART NOUN NOUN CCONJ VERB DET NOUN NOUN ADV ADP DET NOUN
Another, a veteran who's been sorting out homesick Latins for years, said it was the greatest treat, once in a while, to get them to cook something just - a like - a Mama used to make.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	literal	identical	DET DET NOUN NOUN VERB VERB PART NOUN PROPN ADP NOUN VERB PRON VERB DET ADJ NOUN ADV ADP DET NOUN PART VERB PRON PART VERB NOUN ADV PUNCT DET ADJ PUNCT DET PROPN VERB PART VERB
I think you should change your shampoo and conditioner once in a while to avoid product build - up.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	once in a while	figurative	identical	PRON VERB PRON VERB VERB ADJ NOUN CCONJ NOUN ADV ADP DET NOUN PART VERB NOUN NOUN PUNCT NOUN
But, every once in a while, a banker, tired of being portrayed as a rogue, lashes out.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	CCONJ DET ADV ADP DET NOUN DET NOUN ADJ ADP VERB VERB ADP DET NOUN VERB PART
Then you 'd get a bunch of compulsory emigrants, once in a while, Indians or Chinese, all wearing identical pyjamas and shuffling along in a crowd.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADV ADP DET NOUN PROPN CCONJ PROPN DET VERB ADJ NOUN CCONJ VERB ADP ADP DET NOUN
Even a large ship like this can become claustrophobic if you don't get away once in a while,’ said Lindsey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	once in a while	figurative	dashes	ADV DET ADJ NOUN ADP DET VERB VERB ADJ ADP PRON VERB VERB ADV ADV ADP DET NOUN VERB PROPN
Once in a while an ' audio extra ' creates itself.	1 1 0 1 0 0 0 0 0 0 0	once in a while	figurative	case	ADV ADP DET NOUN DET PUNCT ADJ ADJ PUNCT VERB PRON
Though once in a while such separation strokes may have a slight accentual implication as perhaps in ex.3c in the majority of cases they do not.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	ADP ADV ADP DET ADP ADJ NOUN NOUN VERB VERB DET ADJ ADJ NOUN ADP ADV ADP PROPN ADP DET NOUN ADP NOUN PRON VERB ADV
Everybody makes a mistake once in a while.’	0 0 0 0 1 1 0 1	once in a while	figurative	dashes	NOUN VERB DET NOUN ADV ADP DET NOUN
‘ For trying to kill each other every once in a while,’ said Joe.	0 0 0 0 0 0 0 0 1 1 0 1 0 0	once in a while	figurative	dashes	PUNCT ADP VERB PART VERB DET ADJ DET ADV ADP DET NOUN VERB PROPN
And, although I imagine a certain amount of tampering has gone on here ( I don't recall the vocal being quite so clear, but we all like to be tampered with once in a while ) this is still a bloody mess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	once in a while	figurative	identical	CCONJ ADP PRON VERB DET ADJ NOUN ADP VERB VERB VERB ADV ADV PUNCT PRON VERB VERB DET NOUN VERB ADV ADV ADJ CCONJ PRON DET VERB PART VERB VERB ADP ADV ADP DET NOUN PUNCT DET VERB ADV DET ADJ NOUN
The older children might then check the ‘ stock’ once in a while by one - to - one correspondence.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	once in a while	figurative	identical	DET ADJ NOUN VERB ADV VERB DET NOUN NOUN ADV ADP DET NOUN ADP NUM PUNCT ADP PUNCT NUM NOUN
He doesn't seem to be embarrassed by anything, except when you try to provoke him by telling him that surely he must thump his desk once in a while, or that although he says that a record company exists ‘ to guide your artists’ most of them must hate him at some point.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	PRON VERB VERB PART VERB VERB ADP NOUN ADP ADV PRON VERB PART VERB PRON ADP VERB PRON ADP ADV PRON VERB VERB ADJ NOUN ADV ADP DET NOUN CCONJ ADP ADP PRON VERB ADP DET NOUN NOUN VERB PRON PART VERB ADJ NOUN ADJ ADP PRON VERB VERB PRON ADP DET NOUN
‘ I 'm sure that once in a while we can be in the same kitchen without explosions occurring, don't you agree?	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	once in a while	figurative	identical	PUNCT PRON VERB ADJ ADP ADV ADP DET NOUN PRON VERB VERB ADP DET ADJ NOUN ADP NOUN VERB VERB PRON VERB
I believe the children should have their way once in a while	0 0 0 0 0 0 0 0 1 1 0 1	once in a while	figurative	identical	PRON VERB DET NOUN VERB VERB ADJ NOUN ADV ADP DET NOUN
I could have done with a bit of support from you once in a while.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	once in a while	figurative	identical	PRON VERB VERB VERB ADP DET NOUN ADP NOUN ADP PRON ADV ADP DET NOUN
