Fowler falls in line on charter.	0 1 1 1 0 0	fall in line	figurative	inflection	NOUN VERB ADP NOUN ADP NOUN	▁Fowl er ▁falls ▁in ▁line ▁on ▁charter .	0 0 1 1 1 0 0 0	NOUN NOUN VERB ADP NOUN ADP NOUN NOUN
All the female rappers who 've fallen in line with the misogynist myth by calling themselves degrading names like BYTCHES WITH PROBLEMS, OVERWEIGHT POOCH and HOES WIT ' ATTITUDE.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	inflection	ADJ DET ADJ NOUN NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN ADP VERB PRON VERB NOUN ADP PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PUNCT PROPN	▁All ▁the ▁female ▁ rap pers ▁who ▁' ve ▁fallen ▁in ▁line ▁with ▁the ▁mis og yn ist ▁my th ▁by ▁calling ▁themselves ▁degrading ▁names ▁like ▁BY T CHE S ▁WITH ▁PRO BLE MS , ▁OVER W EIGH T ▁PO OCH ▁and ▁HO ES ▁W IT ▁' ▁ATT IT U DE .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ DET ADJ NOUN NOUN NOUN NOUN VERB VERB VERB ADP NOUN ADP DET ADJ ADJ ADJ ADJ NOUN NOUN ADP VERB PRON VERB NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PROPN
Indeed, Anglicans were forced to engage in a propaganda campaign to try to prevent the Whigs and Nonconformists from falling too much in line with government policy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0	fall in line	figurative	combined-inflection	ADV PROPN VERB VERB PART VERB ADP DET NOUN NOUN PART VERB PART VERB DET PROPN CCONJ PROPN ADP VERB ADV ADJ ADP NOUN ADP NOUN NOUN	▁Indeed , ▁An gli can s ▁were ▁forced ▁to ▁engage ▁in ▁a ▁propaganda ▁campaign ▁to ▁try ▁to ▁prevent ▁the ▁W h ig s ▁and ▁Non conform ists ▁from ▁falling ▁too ▁much ▁in ▁line ▁with ▁government ▁policy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0	ADV ADV PROPN PROPN PROPN PROPN VERB VERB PART VERB ADP DET NOUN NOUN PART VERB PART VERB DET PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN ADP VERB ADV ADJ ADP NOUN ADP NOUN NOUN NOUN
He seems to have erm fallen in line, doesn't he?	0 0 0 0 0 1 1 1 0 0	fall in line	figurative	inflection	PRON VERB PART VERB ADV VERB ADP NOUN VERB PRON	▁He ▁seems ▁to ▁have ▁er m ▁fallen ▁in ▁line , ▁does n ' t ▁he ?	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	PRON VERB PART VERB ADV ADV VERB ADP NOUN NOUN VERB VERB VERB VERB PRON PRON
Their lending rates have not fallen in line with their funding costs ; banks ' margins have widened by about two percentage points since early 1991.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	inflection	ADJ NOUN NOUN VERB ADV VERB ADP NOUN ADP ADJ NOUN NOUN PUNCT NOUN PART NOUN VERB VERB ADP ADV NUM NOUN NOUN ADP ADJ NUM	▁The ir ▁lending ▁rates ▁have ▁not ▁fallen ▁in ▁line ▁with ▁their ▁funding ▁costs ▁ ; ▁banks ▁' ▁margins ▁have ▁widened ▁by ▁about ▁two ▁percentage ▁points ▁since ▁early ▁1991.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN NOUN VERB ADV VERB ADP NOUN ADP ADJ NOUN NOUN PUNCT PUNCT NOUN PART NOUN VERB VERB ADP ADV NUM NOUN NOUN ADP ADJ NUM
The Prime Minister, Harri Holkeri, subsequently warned the SMP, the coalition partner of which Vistbacka like his predecessor was a member, to fall in line with the government's policy on refugees.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	fall in line	figurative	identical	DET PROPN PROPN PROPN PROPN ADV VERB DET PROPN DET NOUN NOUN ADP ADJ PROPN ADP ADJ NOUN VERB DET NOUN PART VERB ADP NOUN ADP DET NOUN NOUN ADP NOUN	▁The ▁Prime ▁Minister , ▁Har ri ▁Hol ker i , ▁subsequently ▁warned ▁the ▁SMP , ▁the ▁coal ition ▁partner ▁of ▁which ▁V ist back a ▁like ▁his ▁predecessor ▁was ▁a ▁member , ▁to ▁fall ▁in ▁line ▁with ▁the ▁government ' s ▁policy ▁on ▁refugees .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV VERB DET PROPN PROPN DET NOUN NOUN NOUN ADP ADJ PROPN PROPN PROPN PROPN ADP ADJ NOUN VERB DET NOUN NOUN PART VERB ADP NOUN ADP DET NOUN NOUN NOUN NOUN ADP NOUN NOUN
Although we were in fact exempt from this, our management wisely decided that we should fall in line with the principle of the new regulations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	fall in line	figurative	identical	ADP PRON VERB ADP NOUN ADJ ADP DET ADJ NOUN ADV VERB ADP PRON VERB VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN	▁Although ▁we ▁were ▁in ▁fact ▁exempt ▁from ▁this , ▁our ▁management ▁wise ly ▁decided ▁that ▁we ▁should ▁fall ▁in ▁line ▁with ▁the ▁principle ▁of ▁the ▁new ▁regulations .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADP PRON VERB ADP NOUN ADJ ADP DET DET ADJ NOUN ADV ADV VERB ADP PRON VERB VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN
This was, for example, undoubtedly the effect of the plebiscites staged in 1933, 1934, 1936, and 1938, in which the massive acclamation, though the product of intense propaganda and coercion and obviously in no sense a true reflection of the state of opinion, nevertheless reflected genuine widespread approval and admiration for Hitler's accomplishments and persuaded waverers to fall in line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	fall in line	figurative	identical	DET VERB ADP NOUN ADV DET NOUN ADP DET NOUN VERB ADP NUM NUM NUM CCONJ NUM ADP ADJ DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN CCONJ ADV ADP DET NOUN DET ADJ NOUN ADP DET NOUN ADP NOUN ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP PROPN NOUN CCONJ VERB NOUN PART VERB ADP NOUN	▁This ▁was , ▁for ▁example , ▁undoubted ly ▁the ▁effect ▁of ▁the ▁ple bis cite s ▁stage d ▁in ▁193 3, ▁193 4, ▁193 6, ▁and ▁193 8, ▁in ▁which ▁the ▁massive ▁a cc lam ation , ▁though ▁the ▁product ▁of ▁intense ▁propaganda ▁and ▁coerc ion ▁and ▁obviously ▁in ▁no ▁sense ▁a ▁true ▁reflection ▁of ▁the ▁state ▁of ▁opinion , ▁nevertheless ▁reflected ▁genuine ▁widespread ▁approval ▁and ▁admiration ▁for ▁H it ler ' s ▁accomplishment s ▁and ▁persuaded ▁wave r ers ▁to ▁fall ▁in ▁line .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET VERB VERB ADP NOUN NOUN ADV ADV DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB VERB ADP NUM NUM NUM NUM NUM NUM CCONJ NUM NUM ADP ADJ DET ADJ NOUN NOUN NOUN NOUN NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN CCONJ ADV ADP DET NOUN DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ VERB NOUN NOUN NOUN PART VERB ADP NOUN NOUN
The question is whether they are going to fall in line uncritically with the dominant interests of the sectors in which they work, or whether they are going to act constructively with a larger view — a view with a grasp of the general public interest.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	identical	DET NOUN VERB ADP PRON VERB VERB PART VERB ADP NOUN ADV ADP DET ADJ NOUN ADP DET NOUN ADP ADJ PRON VERB CCONJ ADP PRON VERB VERB PART VERB ADV ADP DET ADJ NOUN PUNCT DET NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN	▁The ▁question ▁is ▁whether ▁they ▁are ▁going ▁to ▁fall ▁in ▁line ▁un critical ly ▁with ▁the ▁dominant ▁interests ▁of ▁the ▁sectors ▁in ▁which ▁they ▁work , ▁or ▁whether ▁they ▁are ▁going ▁to ▁act ▁constructive ly ▁with ▁a ▁larger ▁view ▁ — ▁a ▁view ▁with ▁a ▁grasp ▁of ▁the ▁general ▁public ▁interest .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP PRON VERB VERB PART VERB ADP NOUN ADV ADV ADV ADP DET ADJ NOUN ADP DET NOUN ADP ADJ PRON VERB VERB CCONJ ADP PRON VERB VERB PART VERB ADV ADV ADP DET ADJ NOUN PUNCT PUNCT DET NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN NOUN
With mortgage rates falling in line with base rates, Mr Bootle said headline inflation would drop below 1pc early next year with underlying inflation moving up slightly to around 3pc at the year - end.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	inflection	ADP NOUN NOUN VERB ADP NOUN ADP NOUN NOUN PROPN PROPN VERB NOUN NOUN VERB VERB ADP NOUN ADV ADJ NOUN ADP ADJ NOUN VERB PART ADV ADP ADP NOUN ADP DET NOUN PUNCT NOUN	▁With ▁mortgage ▁rates ▁falling ▁in ▁line ▁with ▁base ▁rates , ▁Mr ▁Boot le ▁said ▁headline ▁inflation ▁would ▁drop ▁below ▁1 p c ▁early ▁next ▁year ▁with ▁underlying ▁inflation ▁moving ▁up ▁slightly ▁to ▁around ▁3 p c ▁at ▁the ▁year ▁- ▁end .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN VERB ADP NOUN ADP NOUN NOUN NOUN PROPN PROPN PROPN VERB NOUN NOUN VERB VERB ADP NOUN NOUN NOUN ADV ADJ NOUN ADP ADJ NOUN VERB PART ADV ADP ADP NOUN NOUN NOUN ADP DET NOUN PUNCT NOUN NOUN
Net investment income has shown a very satisfactory advance as interest costs continue to fall in line with reduced borrowing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	fall in line	figurative	identical	ADJ NOUN NOUN VERB VERB DET ADV ADJ NOUN ADP NOUN NOUN VERB PART VERB ADP NOUN ADP VERB NOUN	▁Net ▁investment ▁income ▁has ▁shown ▁a ▁very ▁satisfactory ▁advance ▁as ▁interest ▁costs ▁continue ▁to ▁fall ▁in ▁line ▁with ▁reduced ▁borrowing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADJ NOUN NOUN VERB VERB DET ADV ADJ NOUN ADP NOUN NOUN VERB PART VERB ADP NOUN ADP VERB NOUN NOUN
