And this year the association has tried to make a clean break from the past.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	make a clean break	figurative	identical	CCONJ DET NOUN DET NOUN VERB VERB PART VERB DET ADJ NOUN ADP DET NOUN
It was best to make a clean break.	0 0 0 0 1 0 1 1	make a clean break	figurative	identical	PRON VERB ADJ PART VERB DET ADJ NOUN
Nigel meditated on whether smashing her trophy might be the best way to make a clean break.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	make a clean break	figurative	identical	PROPN VERB ADP ADP VERB ADJ NOUN VERB VERB DET ADJ NOUN PART VERB DET ADJ NOUN
Half of her wanted to get the journey and the parting over, to make a quick, clean break.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	make a clean break	figurative	combined-other	NOUN ADP PRON VERB PART VERB DET NOUN CCONJ DET NOUN PART PART VERB DET ADJ ADJ NOUN
In practice, often enough he will be " invited " to accept such responsibility so that his predecessor can be exonerated therefrom and thus make a " clean break " with the firm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0	make a clean break	figurative	dashes	ADP NOUN ADV ADV PRON VERB VERB PUNCT VERB PUNCT PART VERB ADJ NOUN ADP ADP ADJ NOUN VERB VERB VERB ADP CCONJ ADV VERB DET PUNCT ADJ NOUN PUNCT ADP DET NOUN
Men may suffer just as much when a relationship fails, but they seem able to make a cleaner break.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	make a clean break	figurative	combined-other	NOUN VERB VERB ADV ADV ADJ ADV DET NOUN VERB CCONJ PRON VERB ADJ PART VERB DET ADJ NOUN
‘ Despite the appalling business of dropping GMTV in it three weeks before they went on the air, it was far better to make a clean break.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	make a clean break	figurative	identical	PUNCT ADP DET ADJ NOUN ADP VERB PROPN ADP PRON NUM NOUN ADP PRON VERB ADP DET NOUN PRON VERB ADV ADJ PART VERB DET ADJ NOUN
Making a clean break is easier too ; critical acceleration between 40–60 mph and 50–70 mph can be matched by very few cars indeed.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a clean break	figurative	combined-inflection	VERB DET ADJ NOUN VERB ADJ ADV PUNCT ADJ NOUN ADP NUM NOUN CCONJ NUM NOUN VERB VERB VERB ADP ADV ADJ NOUN ADV
Christie, who yesterday signed a deal with Puma worth an estimated £ 500,000, said : ‘ I 'll make a clean break from athletics in two years time and I won't be competing anymore.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	make a clean break	figurative	identical	PROPN NOUN NOUN VERB DET NOUN ADP PROPN NOUN DET VERB SYM NUM VERB PUNCT PUNCT PRON VERB VERB DET ADJ NOUN ADP NOUN ADP NUM NOUN NOUN CCONJ PRON VERB VERB VERB ADV
Christie, who yesterday signed a deal with Puma worth an estimated £ 500,000, said : ‘ I 'll make a clean break from athletics in two years time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	make a clean break	figurative	identical	PROPN NOUN NOUN VERB DET NOUN ADP PROPN NOUN DET VERB SYM NUM VERB PUNCT PUNCT PRON VERB VERB DET ADJ NOUN ADP NOUN ADP NUM NOUN NOUN
And this year the association has tried to make a clean break from the past.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	make a clean break	figurative	identical	CCONJ DET NOUN DET NOUN VERB VERB PART VERB DET ADJ NOUN ADP DET NOUN
He promised that the Clinton administration would make a clean break.	0 0 0 0 0 0 0 1 0 1 1	make a clean break	figurative	identical	PRON VERB ADP DET PROPN NOUN VERB VERB DET ADJ NOUN
Now a spouse can make a clean break agreement with a spouse,	0 0 0 0 1 0 1 1 0 0 0 0	make a clean break	figurative	identical	ADV DET NOUN VERB VERB DET ADJ NOUN NOUN ADP DET NOUN
Gossip has it that his wife had recently left him and he wanted to make a clean break.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	make a clean break	figurative	identical	PROPN VERB PRON ADP ADJ NOUN VERB ADV VERB PRON CCONJ PRON VERB PART VERB DET ADJ NOUN
So she would be ruthless about making a clean and immediate break.	0 0 0 0 0 0 1 0 1 0 0 1	make a clean break	figurative	combined-inflection	ADV PRON VERB VERB ADJ ADP VERB DET ADJ CCONJ ADJ NOUN
