Oh naw, not by a long, long chalk.	0 0 0 1 0 1 0 1	by a long chalk	figurative	combined-other	INTJ INTJ ADV ADP DET ADJ ADJ NOUN
No, not by a long chalk.	0 0 1 0 1 1	by a long chalk	figurative	identical	INTJ ADV ADP DET ADJ NOUN
Not by a long chalk.’	0 1 0 1 1	by a long chalk	figurative	dashes	ADV ADP DET ADJ NOUN
Well, I haven't, not by a long chalk and I 'm not the tramp I look either.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	by a long chalk	figurative	identical	INTJ PRON VERB ADV ADP DET ADJ NOUN CCONJ PRON VERB ADV DET NOUN PRON VERB ADV
It weren't the way everyone said an’ thought it was, you see, not by a long chalk.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	by a long chalk	figurative	identical	PRON VERB DET NOUN NOUN VERB PROPN VERB PRON VERB PRON VERB ADV ADP DET ADJ NOUN
The New Moon in your opposite sign of Scorpio on the 29th should prove exciting and rather eventful as far as one involvement or partnership is concerned — and obviously 1989 is by no means over yet, not by a long chalk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	by a long chalk	figurative	identical	DET PROPN PROPN ADP ADJ ADJ NOUN ADP PROPN ADP DET NOUN VERB VERB ADJ CCONJ ADV ADJ ADV ADV ADP NUM NOUN CCONJ NOUN VERB VERB PUNCT CCONJ ADV NUM VERB ADP DET NOUN ADV ADV ADV ADP DET ADJ NOUN
Mrs Cole isn't one of the worst cases I 've seen, by a long chalk.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	by a long chalk	figurative	identical	PROPN PROPN VERB NUM ADP DET ADJ NOUN PRON VERB VERB ADP DET ADJ NOUN
And a most disturbing one at that ; too disturbing by a long chalk to display on one's sideboard to embarrass one s guests.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	by a long chalk	figurative	identical	CCONJ DET ADV ADJ NUM ADP DET PUNCT ADV VERB ADP DET ADJ NOUN PART VERB ADP PRON NOUN PART VERB PRON PART NOUN
All she did know was that she hadn't seen the last of him by a long chalk!	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	by a long chalk	figurative	identical	DET PRON VERB VERB VERB ADP PRON VERB VERB DET ADJ ADP PRON ADP DET ADJ NOUN
Which you ain't, not by a long chalk!’ she averred, descending rapidly from outraged virtue to mere verbal abuse.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	by a long chalk	figurative	dashes	ADJ PRON VERB ADV ADP DET ADJ NOUN PRON VERB VERB ADV ADP ADJ NOUN ADP ADJ ADJ NOUN
She took a seat and drew a piece of paper towards her and began to write, the Grenfells weren't beaten yet, not by a long chalk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	by a long chalk	figurative	identical	PRON VERB DET NOUN CCONJ VERB DET NOUN ADP NOUN ADP PRON CCONJ VERB PART VERB DET PROPN VERB VERB ADV ADV ADP DET ADJ NOUN
