No sign of any more money than is needed to keep the wolf from the door.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep the wolf from the door	figurative	identical	DET NOUN ADP DET ADJ NOUN ADP VERB VERB PART VERB DET NOUN ADP DET NOUN
If a member of, say, the Hohenzollerns decided to keep the wolf from the door by taking up this particular trade, then royal here clearly would be true of the hatmaker ; i.e. the property ROYAL would apply to the E present to the mind of the speaker describing such an individual.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep the wolf from the door	figurative	identical	ADP DET NOUN ADP INTJ DET PROPN VERB PART VERB DET NOUN ADP DET NOUN ADP VERB PART DET ADJ NOUN ADV ADJ ADV ADV VERB VERB ADJ ADP DET NOUN PUNCT X DET NOUN PROPN VERB VERB ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADJ DET NOUN
The money was to pay the sheep to keep the wolves from our doors.	0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep the wolf from the door	figurative	combined-inflection	DET NOUN VERB PART VERB DET NOUN PART VERB DET NOUN ADP ADJ NOUN
That kept the wolf from the door for a little while, I think.	0 1 0 1 1 0 1 0 0 0 0 0 0	keep the wolf from the door	figurative	inflection	DET VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN PRON VERB
Just to keep the wolf from the door.	0 0 1 0 1 1 0 1	keep the wolf from the door	figurative	identical	ADV PART VERB DET NOUN ADP DET NOUN
But it was worth it to keep the wolves from the door.	0 0 0 0 0 0 1 0 1 1 0 1	keep the wolf from the door	figurative	inflection	CCONJ PRON VERB ADJ PRON PART VERB DET NOUN ADP DET NOUN
It keeps the wolf from the door, that's all.’	0 1 0 1 1 0 1 0 0	keep the wolf from the door	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN DET NOUN
' If the sheep can't be trusted to keep the wolves from our doors, none of us is safe any more! '	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0	keep the wolf from the door	figurative	combined-inflection	PUNCT ADP DET NOUN VERB VERB VERB PART VERB DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB ADJ ADV ADV PUNCT
Party leaders now hope that sufficient union members can be persuaded to affiliate in their own right both to keep the financial wolves from the door and to revitalise a sometimes decaying local structure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0	keep the wolf from the door	figurative	combined-inflection	NOUN NOUN ADV VERB ADP ADJ NOUN NOUN VERB VERB VERB PART VERB ADP ADJ ADJ NOUN DET PART VERB DET ADJ NOUN ADP DET NOUN CCONJ PART VERB DET ADV VERB ADJ NOUN
Who, Abdullah wonders, will keep the Iranian wolf from the Kingdom's door?	0 0 0 0 1 0 0 1 1 0 0 1	keep the wolf from the door	figurative	combined-other	NOUN PROPN VERB VERB VERB DET ADJ NOUN ADP DET PROPN NOUN
She did not allow a chronic shortage of money to hamper her style of life : she kept from the door a wolf of considerable size and voracity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0	keep the wolf from the door	figurative	misc	PRON VERB ADV VERB DET ADJ NOUN ADP NOUN PART VERB ADJ NOUN ADP NOUN PUNCT PRON VERB ADP DET NOUN DET NOUN ADP ADJ NOUN CCONJ NOUN
It kept the wolves from the door.’	0 1 0 1 1 0 1	keep the wolf from the door	figurative	combined-inflection	PRON VERB DET NOUN ADP DET NOUN
Vivien Duffield keeps the wolves from the door — this year	0 0 1 0 1 1 0 1 0 0 0	keep the wolf from the door	figurative	inflection	PROPN PROPN VERB DET NOUN ADP DET NOUN PUNCT DET NOUN
