The rest, as they say, is history.	0 1 0 0 0 1 1	the rest is history	figurative	combined-other	DET NOUN ADP PRON VERB VERB NOUN	▁The ▁rest , ▁as ▁they ▁say , ▁is ▁history .	0 1 1 0 0 0 0 1 1 1	DET NOUN NOUN ADP PRON VERB VERB VERB NOUN NOUN
The rest is history.	0 1 1 1	the rest is history	figurative	deletion-determiner	DET NOUN VERB NOUN	▁The ▁rest ▁is ▁history .	0 1 1 1 1	DET NOUN VERB NOUN NOUN
5 minutes left LEEDS apply the pressure, the ball rebounds to Strachan at the edge of the area, the ball flies in the top corner and I 've never felt as much relief around Elland road. The rest is history.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	the rest is history	figurative	deletion-determiner	NUM NOUN VERB PROPN VERB DET NOUN DET NOUN VERB ADP PROPN ADP DET NOUN ADP DET NOUN DET NOUN VERB ADP DET ADJ NOUN CCONJ PRON VERB ADV VERB ADP ADJ NOUN ADP PROPN NOUN DET NOUN VERB NOUN	▁5 ▁minutes ▁left ▁LE ED S ▁apply ▁the ▁pressure , ▁the ▁ball ▁rebound s ▁to ▁Stra chan ▁at ▁the ▁edge ▁of ▁the ▁area , ▁the ▁ball ▁fl ies ▁in ▁the ▁top ▁corner ▁and ▁I ▁' ve ▁never ▁felt ▁as ▁much ▁relief ▁around ▁El land ▁road . ▁The ▁rest ▁is ▁history .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NUM NOUN VERB PROPN PROPN PROPN VERB DET NOUN NOUN DET NOUN VERB VERB ADP PROPN PROPN ADP DET NOUN ADP DET NOUN NOUN DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ PRON VERB VERB ADV VERB ADP ADJ NOUN ADP PROPN PROPN NOUN NOUN DET NOUN VERB NOUN NOUN
The rest is history and this week, Brook is at the Tramway to make more.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	the rest is history	figurative	deletion-determiner	DET NOUN VERB NOUN CCONJ DET NOUN PROPN VERB ADP DET PROPN PART VERB ADJ	▁The ▁rest ▁is ▁history ▁and ▁this ▁week , ▁Br ook ▁is ▁at ▁the ▁T ram way ▁to ▁make ▁more .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB NOUN CCONJ DET NOUN NOUN PROPN PROPN VERB ADP DET PROPN PROPN PROPN PART VERB ADJ ADJ
He immediately set off for Germany in a van and the rest is history.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	the rest is history	figurative	deletion-determiner	PRON ADV VERB PART ADP PROPN ADP DET NOUN CCONJ DET NOUN VERB NOUN	▁He ▁immediately ▁set ▁off ▁for ▁Germany ▁in ▁a ▁van ▁and ▁the ▁rest ▁is ▁history .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON ADV VERB PART ADP PROPN ADP DET NOUN CCONJ DET NOUN VERB NOUN NOUN
But then he started scribbling away at A Year in Provence and the rest is history.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	the rest is history	figurative	deletion-determiner	CCONJ ADV PRON VERB VERB ADV ADP PROPN PROPN ADP PROPN CCONJ DET NOUN VERB NOUN	▁But ▁then ▁he ▁started ▁scr ib bling ▁away ▁at ▁A ▁Year ▁in ▁Provence ▁and ▁the ▁rest ▁is ▁history .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADV PRON VERB VERB VERB VERB ADV ADP PROPN PROPN ADP PROPN CCONJ DET NOUN VERB NOUN NOUN
The rest, as they say, is history. '	0 1 0 0 0 1 1 0	the rest is history	figurative	combined-other	DET NOUN ADP PRON VERB VERB NOUN PUNCT	▁The ▁rest , ▁as ▁they ▁say , ▁is ▁history . ▁'	0 1 1 0 0 0 0 1 1 1 0	DET NOUN NOUN ADP PRON VERB VERB VERB NOUN NOUN PUNCT
The rescue machine was poised for action, and the rest is now history.	0 0 0 0 0 0 0 0 0 1 1 0 1	the rest is history	figurative	combined-other	DET NOUN NOUN VERB VERB ADP NOUN CCONJ DET NOUN VERB ADV NOUN	▁The ▁rescue ▁machine ▁was ▁po ised ▁for ▁action , ▁and ▁the ▁rest ▁is ▁now ▁history .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET NOUN NOUN VERB VERB VERB ADP NOUN NOUN CCONJ DET NOUN VERB ADV NOUN NOUN
The rest is history …	0 1 1 1 0	the rest is history	figurative	deletion-determiner	DET NOUN VERB NOUN PUNCT	▁The ▁rest ▁is ▁history ▁...	0 1 1 1 0	DET NOUN VERB NOUN PUNCT
There was a time last season when manager Brian McEniff contemplated playing Murray on the edge of the square, but then along came Matt Gallagher and the rest is history.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	the rest is history	figurative	deletion-determiner	ADV VERB DET NOUN ADJ NOUN ADV NOUN PROPN PROPN VERB VERB PROPN ADP DET NOUN ADP DET NOUN CCONJ ADV ADP VERB PROPN PROPN CCONJ DET NOUN VERB NOUN	▁There ▁was ▁a ▁time ▁last ▁season ▁when ▁manager ▁Brian ▁Mc En iff ▁contemplated ▁playing ▁Mur ray ▁on ▁the ▁edge ▁of ▁the ▁square , ▁but ▁then ▁along ▁came ▁Matt ▁Gall agher ▁and ▁the ▁rest ▁is ▁history .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV VERB DET NOUN ADJ NOUN ADV NOUN PROPN PROPN PROPN PROPN VERB VERB PROPN PROPN ADP DET NOUN ADP DET NOUN NOUN CCONJ ADV ADP VERB PROPN PROPN PROPN CCONJ DET NOUN VERB NOUN NOUN
Then in 1953, Western Electric licensed the technology to Sony for $ 25,000 — and the rest is history.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	the rest is history	figurative	deletion-determiner	ADV ADP NUM PROPN PROPN VERB DET NOUN ADP PROPN ADP SYM NUM PUNCT CCONJ DET NOUN VERB NOUN	▁Then ▁in ▁1953 , ▁Western ▁Electric ▁licensed ▁the ▁technology ▁to ▁Son y ▁for ▁$ ▁2 5,000 ▁ — ▁and ▁the ▁rest ▁is ▁history .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADP NUM NUM PROPN PROPN VERB DET NOUN ADP PROPN PROPN ADP SYM NUM NUM PUNCT PUNCT CCONJ DET NOUN VERB NOUN NOUN
The rest is history : the two symphonic conflicts with Joe Frazier ; the tingling walk with him into the darkness of George Foreman.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the rest is history	figurative	deletion-determiner	DET NOUN VERB NOUN PUNCT DET NUM ADJ NOUN ADP PROPN PROPN PUNCT DET VERB NOUN ADP PRON ADP DET NOUN ADP PROPN PROPN	▁The ▁rest ▁is ▁history ▁ : ▁the ▁two ▁sy m phoni c ▁conflicts ▁with ▁Jo e ▁F raz ier ▁ ; ▁the ▁tingl ing ▁walk ▁with ▁him ▁into ▁the ▁darkness ▁of ▁George ▁For e man .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB NOUN PUNCT PUNCT DET NUM ADJ ADJ ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT DET VERB VERB NOUN ADP PRON ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN
The rest, as they say, is history.	0 1 0 0 0 1 1	the rest is history	figurative	combined-other	DET NOUN ADP PRON VERB VERB NOUN	▁The ▁rest , ▁as ▁they ▁say , ▁is ▁history .	0 1 1 0 0 0 0 1 1 1	DET NOUN NOUN ADP PRON VERB VERB VERB NOUN NOUN
The rest is history.	0 1 1 1	the rest is history	figurative	deletion-determiner	DET NOUN VERB NOUN	▁The ▁rest ▁is ▁history .	0 1 1 1 1	DET NOUN VERB NOUN NOUN
