They looked as though they knew already that life was no laughing matter.	0 0 0 0 0 0 0 0 0 0 1 1 1	no laughing matter	figurative	identical	PRON VERB ADP ADP PRON VERB ADV DET NOUN VERB DET VERB NOUN	▁They ▁looked ▁as ▁though ▁they ▁knew ▁already ▁that ▁life ▁was ▁no ▁laugh ing ▁matter .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB ADP ADP PRON VERB ADV DET NOUN VERB DET VERB VERB NOUN NOUN
I am a gout sufferer, and it's no laughing matter.	0 0 0 0 0 0 0 1 1 1	no laughing matter	figurative	identical	PRON VERB DET NOUN NOUN CCONJ PRON DET VERB NOUN	▁I ▁am ▁a ▁g out ▁suffer er , ▁and ▁it ' s ▁no ▁laugh ing ▁matter .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB DET NOUN NOUN NOUN NOUN NOUN CCONJ PRON PRON PRON DET VERB VERB NOUN NOUN
‘ It's no laughing matter,’ Miss Jarman snapped.	0 0 1 1 1 0 0 0	no laughing matter	figurative	dashes	PUNCT PRON DET VERB VERB PROPN PROPN VERB	▁ ‘ ▁It ' s ▁no ▁laugh ing ▁matter , ’ ▁Miss ▁Jar man ▁snap ped .	0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON DET VERB VERB VERB VERB VERB PROPN PROPN PROPN VERB VERB VERB
It's no laughing matter	0 1 1 1	no laughing matter	figurative	identical	PRON DET VERB NOUN	▁It ' s ▁no ▁laugh ing ▁matter	0 0 0 1 1 1 1	PRON PRON PRON DET VERB VERB NOUN
Lynda La Plante is in grave danger of burning herself out and it's no laughing matter.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	no laughing matter	figurative	identical	PROPN PROPN PROPN VERB ADP ADJ NOUN ADP VERB PRON PART CCONJ PRON DET VERB NOUN	▁L yn da ▁La ▁Plant e ▁is ▁in ▁grave ▁danger ▁of ▁burning ▁herself ▁out ▁and ▁it ' s ▁no ▁laugh ing ▁matter .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP ADJ NOUN ADP VERB PRON PART CCONJ PRON PRON PRON DET VERB VERB NOUN NOUN
Side two, however, is no laughing matter.	0 0 0 0 1 1 1	no laughing matter	figurative	identical	VERB NUM ADV VERB DET VERB NOUN	▁Side ▁two , ▁however , ▁is ▁no ▁laugh ing ▁matter .	0 0 0 0 0 0 1 1 1 1 1	VERB NUM NUM ADV ADV VERB DET VERB VERB NOUN NOUN
‘ Not tonight, I have a headache’ may be an old joke, but it's no laughing matter for those who suffer from what neurologists call ‘ benign sex headaches’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	no laughing matter	figurative	identical	PUNCT ADV NOUN PRON VERB DET NOUN VERB VERB DET ADJ NOUN CCONJ PRON DET VERB NOUN ADP DET NOUN VERB ADP NOUN NOUN VERB PUNCT ADJ NOUN ADJ	▁ ‘ ▁Not ▁tonight , ▁I ▁have ▁a ▁headache ’ ▁may ▁be ▁an ▁old ▁joke , ▁but ▁it ' s ▁no ▁laugh ing ▁matter ▁for ▁those ▁who ▁suffer ▁from ▁what ▁neurologi sts ▁call ▁ ‘ ▁be nign ▁sex ▁headache s ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV NOUN NOUN PRON VERB DET NOUN NOUN VERB VERB DET ADJ NOUN NOUN CCONJ PRON PRON PRON DET VERB VERB NOUN ADP DET NOUN VERB ADP NOUN NOUN NOUN VERB PUNCT PUNCT ADJ ADJ NOUN ADJ ADJ ADJ ADJ
No laughing matter Mary Kelly and family hit the Manhattan in Belfast's Bradbury Place	1 1 1 0 0 0 0 0 0 0 0 0 0 0	no laughing matter	figurative	case	DET VERB NOUN PROPN PROPN CCONJ NOUN VERB DET PROPN ADP PROPN PROPN PROPN	▁No ▁laugh ing ▁matter ▁Mary ▁Kel ly ▁and ▁family ▁hit ▁the ▁Man hat tan ▁in ▁Belfast ' s ▁B rad bur y ▁Place	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB NOUN PROPN PROPN PROPN CCONJ NOUN VERB DET PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
But it was no laughing matter.	0 0 0 1 1 1	no laughing matter	figurative	identical	CCONJ PRON VERB DET VERB NOUN	▁But ▁it ▁was ▁no ▁laugh ing ▁matter .	0 0 0 1 1 1 1 1	CCONJ PRON VERB DET VERB VERB NOUN NOUN
‘ It's no laughing matter, madam.	0 0 1 1 1 0	no laughing matter	figurative	identical	PUNCT PRON DET VERB NOUN NOUN	▁ ‘ ▁It ' s ▁no ▁laugh ing ▁matter , ▁mad am .	0 0 0 0 0 1 1 1 1 1 0 0 0	PUNCT PUNCT PRON PRON PRON DET VERB VERB NOUN NOUN NOUN NOUN NOUN
But it was no laughing matter at the time.	0 0 0 1 1 1 0 0 0	no laughing matter	figurative	identical	CCONJ PRON VERB DET VERB NOUN ADP DET NOUN	▁But ▁it ▁was ▁no ▁laugh ing ▁matter ▁at ▁the ▁time .	0 0 0 1 1 1 1 0 0 0 0	CCONJ PRON VERB DET VERB VERB NOUN ADP DET NOUN NOUN
