‘ He's on the square.’	0 0 1 0 1	on the square	figurative	dashes	PUNCT PRON ADP DET NOUN
It quoted a Polish couple who arrived in Hungary yesterday as saying that they were in a large shop on the main square when two or three thousand people began chanting anti - Ceausescu slogans outside.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	insertion-other	PRON VERB DET ADJ NOUN NOUN VERB ADP PROPN NOUN ADP VERB ADP PRON VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADV NUM CCONJ NUM NUM NOUN VERB VERB ADV PUNCT PROPN VERB ADV
and it was market day, and on the square near, where they have the market	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the square	literal	identical	CCONJ PRON VERB NOUN NOUN CCONJ ADP DET NOUN ADV ADV PRON VERB DET NOUN
They looked at us with astonishment as we marched past, through room after room, until at last we came out into a series of great state - salons, fronting their long and dirty windows on the Square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	case	PRON VERB ADP PRON ADP NOUN ADP PRON VERB ADJ ADP NOUN ADP NOUN ADP ADP ADJ PRON VERB PART ADP DET NOUN ADP ADJ NOUN PUNCT NOUN VERB ADJ ADJ CCONJ ADJ NOUN ADP DET PROPN
Their increasing presence in the city was signalled by the congregation of small traders and migrant vendors on the square between the Stadt Archiv and the main Railway Station, and in time the square became known as the Kassubischer Markt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	ADJ VERB NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN CCONJ DET ADJ PROPN PROPN CCONJ ADP NOUN DET NOUN VERB VERB ADP DET PROPN PROPN
If they fail to answer a question correctly, they remain on the square they have reached but play passes to the next player.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	ADP PRON VERB PART VERB DET NOUN ADV PRON VERB ADP DET NOUN PRON VERB VERB CCONJ VERB VERB ADP DET ADJ NOUN
Did you give up on your squares?	0 0 0 0 1 0 1	on the square	literal	determiner-broad	VERB PRON VERB PART ADP ADJ NOUN
The oxygen adatoms were placed in 4-fold hollow sites on the square array of surface Ni atoms, with no relaxation of surface Ni atoms from bulk positions.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	DET NOUN NOUN VERB VERB ADP VERB ADJ NOUN ADP DET ADJ NOUN ADP NOUN PROPN NOUN ADP DET NOUN ADP NOUN PROPN NOUN ADP ADJ NOUN
Melanie, a few paces behind Finn, trod carefully, carefully on the white squares only.	0 0 0 0 0 0 0 0 0 1 0 0 1 0	on the square	literal	combined-inflection	PROPN DET ADJ NOUN ADP PROPN NOUN ADV ADV ADP DET ADJ NOUN ADV
For a while we stood at the window, looking down on the Square before the Palace, where three companies of long - coated yunkers were drawn up under arms, being harangued by a tall, energetic - looking officer I recognised as Stankievitch, chief Military ~ Commissar of the Provisional ~ Government.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	case	ADP DET NOUN PRON VERB ADP DET NOUN VERB PART ADP DET PROPN ADP DET PROPN ADV NUM NOUN ADP ADV PUNCT VERB NOUN VERB VERB PART ADP NOUN VERB VERB ADP DET ADJ ADJ PUNCT VERB NOUN PRON VERB ADP PROPN ADJ NOUN PUNCT PROPN ADP DET PROPN PUNCT NOUN
Serve on squares of bread, or with bread for mopping it up yourself.	0 1 1 0 0 0 0 0 0 0 0 0 0	on the square	literal	deletion-determiner	VERB ADP NOUN ADP NOUN CCONJ ADP NOUN ADP VERB PRON ADP PRON
