Not to leave them in the lurch afterward!	0 0 1 1 1 0 1 0	leave someone in the lurch	figurative	objective	ADV PART VERB PRON ADP DET NOUN ADV
‘ I know it was a shock for the club but I wouldn't have gone if it meant leaving them in the lurch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	leave someone in the lurch	figurative	combined-inflection	PUNCT PRON VERB PRON VERB DET NOUN ADP DET NOUN CCONJ PRON VERB VERB VERB ADP PRON VERB VERB PRON ADP DET NOUN
The Sun reports ' Quitter ' Kinnock left us in lurch, storms Prescott. '	0 0 0 0 0 0 0 1 1 1 1 0 0 0	leave someone in the lurch	figurative	combined-inflection	DET PROPN VERB PART PROPN PUNCT PROPN VERB PRON ADP NOUN VERB PROPN PUNCT
Burbulis gave his assurance that, while a partial and phased withdrawal of troops was envisaged despite the security agreement, Russia would not leave Armenia " in the lurch ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0	leave someone in the lurch	figurative	combined-other	NOUN VERB ADJ NOUN ADP ADP DET ADJ CCONJ VERB NOUN ADP NOUN VERB VERB ADP DET NOUN NOUN PROPN VERB ADV VERB PROPN PUNCT ADP DET NOUN PUNCT
She had never got over that chap who left her in the lurch all those years ago.	0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0	leave someone in the lurch	figurative	combined-inflection	PRON VERB ADV VERB ADP DET NOUN NOUN VERB PRON ADP DET NOUN ADJ DET NOUN ADV
Such is the bewildering complexity of sectarian politics in Northern Ireland that Mr Vitty — who draws his support from the gut Loyalist working class housing estates on the eastern outskirts of Belfast — has been left in the lurch by the Official Unionist Party despite campaigning on a United Unionist ticket.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	leave someone in the lurch	figurative	combined-inflection	ADJ VERB DET VERB NOUN ADP ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN PUNCT NOUN VERB ADJ NOUN ADP DET NOUN PROPN VERB NOUN NOUN NOUN ADP DET ADJ NOUN ADP PROPN PUNCT VERB VERB VERB ADP DET NOUN ADP DET PROPN PROPN PROPN ADP VERB ADP DET PROPN PROPN NOUN
If the queen cat was satisfied from her seven matings with one tom, she would leave the other males in the lurch and make for home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0	leave someone in the lurch	figurative	combined-other	ADP DET ADJ NOUN VERB ADJ ADP ADJ NUM NOUN ADP NUM NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN CCONJ VERB ADP NOUN
If he left you in the lurch when you needed him most.’	0 0 1 1 1 0 1 0 0 0 0 0	leave someone in the lurch	figurative	combined-inflection	ADP PRON VERB PRON ADP DET NOUN ADV PRON VERB PRON ADP
who 'd left her in the lurch	0 0 1 1 1 0 1	leave someone in the lurch	figurative	combined-inflection	NOUN VERB VERB PRON ADP DET NOUN
Poor love,’ she smiled faintly, ‘ he was half asleep, and at first when he heard what I had to say he thought I was leaving him in the lurch after all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0	leave someone in the lurch	figurative	combined-inflection	ADJ VERB PRON VERB ADV PUNCT PRON VERB ADV ADJ CCONJ ADP ADV ADV PRON VERB NOUN PRON VERB PART VERB PRON VERB PRON VERB VERB PRON ADP DET NOUN ADV ADV
They have fled the field and left their constituents in the lurch.	0 0 0 0 0 0 1 0 1 1 0 1	leave someone in the lurch	figurative	combined-inflection	PRON VERB VERB DET NOUN CCONJ VERB ADJ NOUN ADP DET NOUN
