Seventeen, eighteen, Lend me your ears, then my sneeze on nineteen, and your slap on twenty. '	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	lend an ear	figurative	combined-inflection	NUM NUM VERB PRON ADJ NOUN ADV ADJ NOUN ADP NUM CCONJ ADJ NOUN PART NUM PUNCT
Lending an ear at Louis Carré	1 0 1 0 0 0	lend an ear	figurative	combined-inflection	VERB DET NOUN ADP PROPN PROPN
This is one machine that will quite easily fight its way to the top of the £ 300 pile ; lend it your ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	lend an ear	figurative	combined-inflection	DET VERB NUM NOUN ADJ VERB ADV ADV VERB ADJ NOUN ADP DET NOUN ADP DET SYM NUM NOUN PUNCT VERB PRON ADJ NOUN
This may simply be a matter of explaining once again the implications of the diseases in terms of any personal relationships, giving advice about contraceptive clinics, or just lending a sympathetic ear while the patient unburdens his or her problems.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	lend an ear	figurative	combined-inflection	DET VERB ADV VERB DET NOUN ADP VERB ADV ADV DET NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN VERB NOUN ADP ADJ NOUN CCONJ ADV VERB DET ADJ NOUN ADP DET NOUN VERB ADJ CCONJ ADJ NOUN
A Merseyrail conductor lends a trained ear to trumpet player Des Worthington at Hooton Station yesterday Pictures : EDDIE BARFORD	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	lend an ear	figurative	combined-inflection	DET PROPN NOUN VERB DET VERB NOUN ADP NOUN NOUN PROPN PROPN ADP PROPN PROPN NOUN PROPN PUNCT PROPN PROPN
We knew that we should have to find this for ourselves, as the Billeting Office would not be prepared to move us again, nor lend a very sympathetic ear to our complaints.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	lend an ear	figurative	combined-other	PRON VERB ADP PRON VERB VERB PART VERB DET ADP PRON ADP DET PROPN PROPN VERB ADV VERB VERB PART VERB PRON ADV CCONJ VERB DET ADV ADJ NOUN ADP ADJ NOUN
He finds time for them, always being prepared to lend a sympathetic ear or give some friendly confidential advice.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	lend an ear	figurative	combined-other	PRON VERB NOUN ADP PRON ADV VERB VERB PART VERB DET ADJ NOUN CCONJ VERB DET ADJ ADJ NOUN
So open your book and lend an ear.	0 0 0 0 0 1 0 1	lend an ear	figurative	identical	ADV VERB ADJ NOUN CCONJ VERB DET NOUN
' Lend me your ears, ' Fred orated, altering his hold and guttering at the knees.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	lend an ear	figurative	combined-inflection	PUNCT VERB PRON ADJ NOUN PUNCT PROPN VERB VERB ADJ NOUN CCONJ VERB ADP DET NOUN
Would it help if I go and lend him a sympathetic ear? '	0 0 0 0 0 0 0 1 0 0 0 1 0	lend an ear	figurative	combined-other	VERB PRON VERB ADP PRON VERB CCONJ VERB PRON DET ADJ NOUN PUNCT
HE was acting by royal command, lending a professional ear to the Duchess of York's marriage troubles.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	lend an ear	figurative	combined-inflection	PRON VERB VERB ADP ADJ NOUN VERB DET ADJ NOUN ADP DET PROPN ADP PROPN NOUN NOUN
Friends, Romans, countrymen, lend me your ears ; I come to bury Caesar, not to praise him.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	lend an ear	figurative	combined-inflection	NOUN PROPN NOUN VERB PRON ADJ NOUN PUNCT PRON VERB PART VERB PROPN ADV PART VERB PRON
