All spare pared dead wood they can clamber on	0 0 0 1 1 0 0 0 0	dead wood	figurative	identical	DET ADJ VERB ADJ NOUN PRON VERB VERB ADP
The fact that the dead wood has been shaped for use as a building material is of no consequence to a fungus or a beetle.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	DET NOUN ADP DET ADJ NOUN VERB VERB VERB ADP NOUN ADP DET NOUN NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ DET NOUN
Men of the king's demesnes, as in Rodley in the Forest of Dean, were required to show by what warrant they exercised their rights of common and estovers of dead and dry wood in the forest, and if they could produce none they were required to pay for them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	insertion-other	NOUN ADP DET NOUN NOUN ADP ADP PROPN ADP DET PROPN ADP PROPN VERB VERB PART VERB ADP NOUN NOUN PRON VERB ADJ NOUN ADP ADJ CCONJ NOUN ADP ADJ CCONJ ADJ NOUN ADP DET NOUN CCONJ ADP PRON VERB VERB NOUN PRON VERB VERB PART VERB ADP PRON
With regard to pruning, Miller advised removal of dead wood in the autumn, shortening of over - luxuriant branches and exposure of all parts of the plant to maximum light and air.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	ADP NOUN ADP NOUN PROPN VERB NOUN ADP ADJ NOUN ADP DET NOUN VERB ADP ADP PUNCT ADJ NOUN CCONJ NOUN ADP DET NOUN ADP DET NOUN ADP VERB NOUN CCONJ NOUN
These would originally have been topped with a fence of dead wood or a live hedge to keep the animals out.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	DET VERB ADV VERB VERB VERB ADP DET NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PART VERB DET NOUN PART
Take what occurs around September 4th and 11th, when the Sun is brilliantly aspected by Neptune and Saturn, as confirmation that your main objective now must be to cut all the dead wood out of your life and really start afresh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	dead wood	figurative	identical	VERB NOUN VERB ADP PROPN NOUN CCONJ NOUN ADV DET PROPN VERB ADV VERB ADP PROPN CCONJ PROPN ADP NOUN ADP ADJ ADJ NOUN ADV VERB VERB PART VERB ADJ DET ADJ NOUN ADP ADP ADJ NOUN CCONJ ADV VERB ADJ
When that changes, ink and dead wood may indeed be threatened.	0 0 0 0 0 1 1 0 0 0 0	dead wood	literal	identical	ADV DET NOUN NOUN CCONJ ADJ NOUN VERB ADV VERB VERB
As a matter of fact, directly after today's game I will be going into frank discussions with the chairman to search out the real dead wood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	dead wood	figurative	identical	ADP DET NOUN ADP NOUN ADV ADP NOUN NOUN PRON VERB VERB VERB ADP ADJ NOUN ADP DET NOUN PART VERB PART DET ADJ ADJ NOUN
all dead wood standing and fallen, all dry wood and barren trees, stumps, twigs and bark ( of trees cut down ), wood of alders and willows, and all cablish and branches … except in the hay of Plumpton.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	DET ADJ NOUN NOUN CCONJ VERB DET ADJ NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ NOUN PUNCT ADP NOUN VERB PART PUNCT NOUN ADP NOUN CCONJ NOUN CCONJ DET NOUN CCONJ NOUN PUNCT ADP ADP DET NOUN ADP PROPN
Dead wood should be cut out, allowing adjacent healthy growth to fill the gap.	1 1 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	case	ADJ NOUN VERB VERB VERB PART VERB ADJ ADJ NOUN PART VERB DET NOUN
Just as we have the ebb and flow of seasons, each with its own appointed purpose ; just as the rest of night follows the activity of day, so too could there be vast seasons of the Mind, spanning aeons, which hold the world in balance, removing dead wood, and vitalizing and renewing harmony between all forms?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	dead wood	figurative	identical	ADV ADP PRON VERB DET NOUN CCONJ NOUN ADP NOUN DET ADP ADJ ADJ VERB NOUN PUNCT ADV ADP DET NOUN ADP NOUN VERB DET NOUN ADP NOUN ADV ADV VERB ADV VERB ADJ NOUN ADP DET PROPN VERB NOUN ADJ VERB DET NOUN ADP NOUN VERB ADJ NOUN CCONJ VERB CCONJ VERB NOUN ADP DET NOUN
In all cases, use your common sense, removing dead and diseased wood.	0 0 0 0 0 0 0 0 1 0 0 1	dead wood	literal	insertion-other	ADP DET NOUN VERB ADJ ADJ NOUN VERB ADJ CCONJ ADJ NOUN
Thick cover, bristling with dryish branches and twigs, dead wood among them ; he looked for broken ends, and found them.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	ADJ NOUN VERB ADP ADJ NOUN CCONJ NOUN ADJ NOUN ADP PRON PUNCT PRON VERB ADP ADJ NOUN CCONJ VERB PRON
Then they make their ale from what they have collected, and those who do not come there to drink and do not give money at the foresters ' will are sorely punished at their pleas for dead wood, although the King has no demesne ; nor does anyone dare to brew when the foresters brew, or to sell ale so long as the foresters have any kind of ale to sell ; and this every forester does year by year to the great grievance of the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	ADV PRON VERB ADJ NOUN ADP NOUN PRON VERB VERB CCONJ DET NOUN VERB ADV VERB ADV PART VERB CCONJ VERB ADV VERB NOUN ADP DET NOUN PUNCT VERB VERB ADV VERB ADP ADJ NOUN ADP ADJ NOUN ADP DET PROPN VERB DET NOUN PUNCT CCONJ VERB NOUN VERB PART VERB ADV DET NOUN VERB CCONJ PART VERB NOUN ADV ADV ADP DET NOUN VERB DET NOUN ADP NOUN PART VERB PUNCT CCONJ DET DET NOUN VERB NOUN ADP NOUN ADP DET ADJ NOUN ADP DET NOUN
Even if the full Moon in Libra and at the mid- heaven point of your solar chart on the 10th brings about a complete break from the past, both professionally and personally, it will remove the dead wood which has prevented you from living life to its very fullest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	dead wood	figurative	identical	ADV ADP DET ADJ PROPN ADP PROPN CCONJ ADP DET ADJ PROPN NOUN ADP ADJ ADJ NOUN ADP DET NOUN VERB ADV DET ADJ NOUN ADP DET NOUN CCONJ ADV CCONJ ADV PRON VERB VERB DET ADJ NOUN ADJ VERB VERB PRON ADP VERB NOUN ADP ADJ ADV ADJ
