Soon consoled himself with his old flame, didn't he?	0 0 0 0 0 1 1 0 0	an old flame	figurative	deletion-determiner	ADV VERB PRON ADP ADJ ADJ NOUN VERB PRON
Old flame's tragic quest	1 1 0 0	an old flame	figurative	combined-other	ADJ NOUN ADJ NOUN
Quite an old flame of yours.’	0 0 1 1 0 0	an old flame	figurative	deletion-determiner	ADJ DET ADJ NOUN ADP PRON
' An old flame, perhaps, ' suggested Dorothea who, often an unthinking woman, felt vaguely that the afternoon might now benefit from a stroke of the unlikely.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	an old flame	figurative	deletion-determiner	PUNCT DET ADJ NOUN ADV PUNCT VERB PROPN NOUN ADV DET ADJ NOUN VERB ADV ADP DET NOUN VERB ADV VERB ADP DET NOUN ADP DET ADJ
AFTER a show in Los Angeles, Paula Abdul returned to her dressing - room to find her husband, Emilio Estevez, sitting on the sofa next to old flame Demi Moore.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	an old flame	figurative	deletion-determiner	ADP DET NOUN ADP PROPN PROPN PROPN PROPN VERB ADP ADJ NOUN PUNCT NOUN PART VERB ADJ NOUN PROPN PROPN VERB ADP DET NOUN ADJ ADP ADJ NOUN PROPN PROPN
Neither, to his disappointment, did the blunt and usually outspoken Eleanor who had guessed, correctly, that Freddie was playing for time, hoping for news of his old flame.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	an old flame	figurative	deletion-determiner	CCONJ ADP ADJ NOUN VERB DET ADJ CCONJ ADV ADJ PROPN NOUN VERB VERB ADV ADP PROPN VERB VERB ADP NOUN VERB ADP NOUN ADP ADJ ADJ NOUN
So too, in Ryedale, where the brief flirtation with Liberalism at a 1980s by - election was put even further into old - flame category.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	an old flame	figurative	combined-other	ADV ADV ADP PROPN ADV DET ADJ NOUN ADP PROPN ADP DET NUM ADP PUNCT NOUN VERB VERB ADV ADV ADP ADJ PUNCT NOUN NOUN
He was one of Aline's old flames.	0 0 0 0 0 1 1	an old flame	figurative	deletion-determiner	PRON VERB NUM ADP PROPN ADJ NOUN
I don't mind who knows You know I think I 'm Old flames isn't it?	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	an old flame	figurative	combined-inflection	PRON VERB VERB NOUN VERB PRON VERB PRON VERB PRON VERB PROPN NOUN VERB PRON
Well he happens to be an old flame of Mummy's.	0 0 0 0 0 0 1 1 0 0	an old flame	figurative	deletion-determiner	INTJ PRON VERB PART VERB DET ADJ NOUN ADP PROPN
A spot of work here and there, liberally interspersed with rendezvous with an old flame?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	an old flame	figurative	deletion-determiner	DET NOUN ADP NOUN ADV CCONJ ADV ADV VERB ADP NOUN ADP DET ADJ NOUN
Chemical Industry flirts with an old flame	0 0 0 0 0 1 1	an old flame	figurative	deletion-determiner	PROPN PROPN VERB ADP DET ADJ NOUN
Hey, d'you hear about the fire - eater who couldn't go anywhere without meeting an old flame?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	an old flame	figurative	deletion-determiner	INTJ PRON VERB ADP DET NOUN PUNCT NOUN NOUN VERB VERB ADV ADP VERB DET ADJ NOUN
But Diana is aware of the increasingly close relationship Charles is forging with old flame Camilla Parker Bowles.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	an old flame	figurative	deletion-determiner	CCONJ PROPN VERB ADJ ADP DET ADV ADJ NOUN PROPN VERB VERB ADP ADJ NOUN PROPN PROPN PROPN
A RECORDING of an intimate phone call allegedly between Prince Charles and old flame Camilla Parker Bowles was made public last night.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	an old flame	figurative	deletion-determiner	DET NOUN ADP DET ADJ NOUN NOUN ADV ADP PROPN PROPN CCONJ ADJ NOUN PROPN PROPN PROPN VERB VERB ADJ ADJ NOUN
