If you go at the six o'clock showing, Monday to Friday it's two pound ten pence for you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	ten a penny	literal	combined-inflection	ADP PRON VERB ADP DET NUM NOUN NOUN PROPN ADP PROPN PRON NUM NOUN NUM NOUN ADP PRON
Dallams were ten a penny in the backstreets of Frizingley.	0 0 1 0 1 0 0 0 0 0	ten a penny	figurative	identical	NOUN VERB NUM DET NOUN ADP DET NOUN ADP PROPN
A hundred and eight pounds ten pence.	0 0 0 0 0 1 1	ten a penny	literal	combined-inflection	DET NUM CCONJ NUM NOUN NUM NOUN
Bill for the tables a total of one hundred and eight pounds ten pence.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	ten a penny	literal	combined-inflection	PROPN ADP DET NOUN DET NOUN ADP NUM NUM CCONJ NUM NOUN NUM NOUN
Recovering himself, he continued, ‘ Müllers are ten - a - penny in Germany, of course.	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	ten a penny	figurative	dashes	VERB PRON PRON VERB PUNCT NOUN VERB NUM PUNCT DET PUNCT NOUN ADP PROPN ADP NOUN
If we shared out, let's say you share out erm ten pence between ten people how much do we get?	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	ten a penny	literal	combined-inflection	ADP PRON VERB PART VERB VERB PRON VERB PART NOUN NUM NOUN ADP NUM NOUN ADV ADJ VERB PRON VERB
As far as I understand it, commanders were ten a penny and the whole cultural ethos of the navy was based on drink.’	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ten a penny	figurative	identical	ADV ADV ADP PRON VERB PRON NOUN VERB NUM DET NOUN CCONJ DET ADJ ADJ NOUN ADP DET NOUN VERB VERB ADP NOUN
I stand clutching the receiver while he lets out a sigh so long I have to feed another ten pence into the meter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	ten a penny	literal	combined-inflection	PRON VERB VERB DET NOUN ADP PRON VERB PART DET NOUN ADV ADV PRON VERB PART VERB DET NUM NOUN ADP DET NOUN
Electricity : read meter on arrival and departure — cost is ten pence per unit to cover standing charge as well as unit cost.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ten a penny	literal	combined-inflection	NOUN PUNCT VERB NOUN ADP NOUN CCONJ NOUN PUNCT NOUN VERB NUM NOUN ADP NOUN PART VERB NOUN NOUN ADV ADV ADP NOUN VERB
Anyway, they would fall in love with these Counts who were ten a penny and even pay for their drinks.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ten a penny	figurative	identical	INTJ PRON VERB VERB ADP NOUN ADP DET NOUN NOUN VERB NUM DET NOUN CCONJ ADV VERB ADP ADJ NOUN
On the 5th of March, however, he jauntily indicated to his favourite daughter a fresh advertisement in Saunder's New's - Letter announcing that Mr Bullock had reduced — had clearly been obliged to reduce, the Colonel interpreted — the price of admission into his immobile spectacle to a mere ten pence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	ten a penny	literal	combined-inflection	ADP DET NOUN ADP PROPN ADV PRON ADV VERB ADP ADJ ADJ NOUN DET ADJ NOUN ADP PROPN PROPN PUNCT PROPN VERB ADP PROPN PROPN VERB VERB PUNCT VERB ADV VERB VERB PART VERB DET PROPN VERB PUNCT DET NOUN ADP NOUN ADP ADJ ADJ NOUN ADP DET ADJ NUM NOUN
These rings are ten a penny.	0 0 0 1 0 1	ten a penny	figurative	identical	DET NOUN VERB NUM DET NOUN
But you 're not from the ten - a - penny tray, Floyd.	0 0 0 0 0 0 1 0 0 0 1 0 0	ten a penny	figurative	dashes	CCONJ PRON VERB ADV ADP DET NUM PUNCT DET PUNCT NOUN NOUN PROPN
THOSE once jealously guarded holy vestments, international rugby jerseys, are now sold —figuratively but, my word, certainly not in fact — ten a penny.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	ten a penny	figurative	identical	DET ADV ADV VERB ADJ NOUN ADJ NOUN NOUN VERB ADV VERB ADV CCONJ ADJ NOUN ADV ADV ADP NOUN PUNCT NUM DET NOUN
Ten pence a cup.	1 1 0 0	ten a penny	literal	combined-inflection	NUM NOUN DET NOUN
