That was the job description, no two ways about it.	0 0 0 0 0 1 1 1 1 1	no two ways about it	figurative	identical	DET VERB DET NOUN NOUN DET NUM NOUN ADP PRON
And you know, no two ways about it that saw was definitely a a good acquisition.	0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	no two ways about it	figurative	identical	CCONJ PRON VERB DET NUM NOUN ADP PRON ADJ VERB VERB ADV DET DET ADJ NOUN
no two ways about it that was really hard.	1 1 1 1 1 0 0 0 0	no two ways about it	figurative	identical	DET NUM NOUN ADP PRON ADJ VERB ADV ADJ
No two ways about it, Clint Schneider was dynamite.	1 1 1 1 1 0 0 0 0	no two ways about it	figurative	case	DET NUM NOUN ADP PRON PROPN PROPN VERB NOUN
He had ever favoured Em — there were no two ways about it — and Em had been quite wrong to post herself to Norfolk in the first place.	0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	no two ways about it	figurative	identical	PRON VERB ADV VERB NOUN PUNCT ADV VERB DET NUM NOUN ADP PRON PUNCT CCONJ PROPN VERB VERB ADV ADJ PART VERB PRON ADP PROPN ADP DET ADJ NOUN
I 'm frightened of the probation and the social services finding out that I 'm using again, 'cos when I came out this time, they said to me that, if I ever went back on the smack, that the kids'd be took off me, no two ways about it ….	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0	no two ways about it	figurative	identical	PRON VERB ADJ ADP DET NOUN CCONJ DET ADJ NOUN VERB PART ADP PRON VERB VERB ADV ADP ADV PRON VERB PART DET NOUN PRON VERB ADP PRON ADP ADP PRON ADV VERB ADV ADP DET NOUN ADP DET NOUN VERB VERB PART PRON DET NUM NOUN ADP PRON PUNCT
Certainly the saw he bought for the mill I think that has great prospects and you know there's no two ways about it, it could help production and ease the work of the workforce.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	no two ways about it	figurative	identical	ADV DET NOUN PRON VERB ADP DET NOUN PRON VERB DET VERB ADJ NOUN CCONJ PRON VERB ADV DET NUM NOUN ADP PRON PRON VERB VERB NOUN CCONJ VERB DET NOUN ADP DET NOUN
Would, it 'd make it it 'd make it well, it 'd just transform it, I mean, just no two ways about it, I think.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0	no two ways about it	figurative	identical	VERB PRON VERB VERB PRON PRON VERB VERB PRON ADV PRON VERB ADV VERB PRON PRON VERB ADV DET NUM NOUN ADP PRON PRON VERB
" Oh, it's still raining much too hard for that, " said Cowslip, as though there could be no two ways about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	no two ways about it	figurative	identical	PUNCT INTJ PRON ADV VERB ADV ADV ADJ ADP DET PUNCT VERB PROPN ADP ADP ADV VERB VERB DET NUM NOUN ADP PRON
No two ways about it what we gon na do in this session is list the main stages to consider when designing training.	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	no two ways about it	figurative	case	DET NUM NOUN ADP PRON NOUN PRON VERB PART VERB ADP DET NOUN VERB VERB DET ADJ NOUN PART VERB ADV VERB NOUN
He says most of the lads that were out there were in their late teens, early 20's and for them it was an adventure to go out to the tropics — then when you realise what it was about — well it's marked us for life there's no two ways about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	no two ways about it	figurative	identical	PRON VERB ADJ ADP DET NOUN ADJ VERB ADV ADV VERB ADP ADJ ADJ NOUN ADV NUM CCONJ ADP PRON PRON VERB DET NOUN PART VERB PART ADP DET NOUN PUNCT ADV ADV PRON VERB NOUN PRON VERB ADV PUNCT INTJ PRON VERB PRON ADP NOUN ADV DET NUM NOUN ADP PRON
No two ways about it, I shall have to get in touch with them. '	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	no two ways about it	figurative	case	DET NUM NOUN ADP PRON PRON VERB VERB PART VERB ADP NOUN ADP PRON PUNCT
I mean they outclassed us no question, no two ways about it, I dunno what it is.	0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0	no two ways about it	figurative	identical	PRON VERB PRON VERB PRON DET NOUN DET NUM NOUN ADP PRON PRON VERB NOUN PRON VERB
That removes all doubt as to choice : wherever the infinite is, and there is not an infinity of chances of loss against the chance of winning, there are no two ways about it, all must be given.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	no two ways about it	figurative	identical	DET VERB DET NOUN ADP PART NOUN PUNCT ADV DET NOUN VERB CCONJ ADV VERB ADV DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP VERB ADV VERB DET NUM NOUN ADP PRON DET VERB VERB VERB
Oh it was poor in them days there's no two ways about it.	0 0 0 0 0 0 0 0 1 1 1 1 1	no two ways about it	figurative	identical	INTJ PRON VERB ADJ ADP PRON NOUN ADV DET NUM NOUN ADP PRON
There are no two ways about it.	0 0 1 1 1 1 1	no two ways about it	figurative	identical	ADV VERB DET NUM NOUN ADP PRON
