Half of Shelbyville is piling onto him, resenting his obstruction, which forces my hand a bit.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	force someone's hand	figurative	combined-inflection	NOUN ADP PROPN VERB VERB ADP PRON VERB ADJ NOUN ADJ VERB ADJ NOUN DET NOUN
But if either of them imagines they can force my hand, they much mistake the matter!	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	force someone's hand	figurative	possessive	CCONJ ADP DET ADP PRON NOUN PRON VERB VERB ADJ NOUN PRON ADV VERB DET NOUN
Somehow she doubted that he 'd now ever believe she was innocent of her father's plans, and that, if her father was successful in forcing Ace's hand, she would be the one who would suffer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	ADV PRON VERB ADP PRON VERB ADV ADV VERB PRON VERB ADJ ADP ADJ NOUN NOUN CCONJ ADP ADP ADJ NOUN VERB ADJ ADP VERB PROPN NOUN PRON VERB VERB DET NOUN NOUN VERB VERB
Their policy is to get in among the big clubs on merit, thus forcing television's hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	force someone's hand	figurative	combined-inflection	ADJ NOUN VERB PART VERB PART ADP DET ADJ NOUN ADP NOUN ADV VERB NOUN NOUN
The Facts is preoccupied with one shiksa in particular : the deadly Josie, whom Roth marries, who forces his hand in the matter by faking an abortion, who comes near to destroying him, and who may have been, according to the Zuckerman letter at the end of the book, an alcoholic.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	DET PROPN VERB VERB ADP NUM NOUN ADP ADJ PUNCT DET ADJ PROPN NOUN PROPN VERB NOUN VERB ADJ NOUN ADP DET NOUN ADP VERB DET NOUN NOUN VERB ADV ADP VERB PRON CCONJ NOUN VERB VERB VERB VERB ADP DET PROPN NOUN ADP DET NOUN ADP DET NOUN DET NOUN
' My hand was forced, Quincx. '	0 1 1 0 1 0 0	force someone's hand	figurative	misc	PUNCT ADJ NOUN VERB VERB PROPN PUNCT
The great imperial Zanuck was not amused at Boyo Burton's refusal and tried to force his hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	force someone's hand	figurative	possessive	DET ADJ ADJ PROPN VERB ADV VERB ADP PROPN PROPN NOUN CCONJ VERB PART VERB ADJ NOUN
I rather hoped I wouldn't have to face you with this but thanks to your belief that I 'm somehow responsible for Eddie's death you force my hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	force someone's hand	figurative	possessive	PRON ADV VERB PRON VERB VERB PART VERB PRON ADP DET CCONJ NOUN ADP ADJ NOUN ADP PRON VERB ADV ADJ ADP PROPN NOUN PRON VERB ADJ NOUN
The Islamic militants, by hitting Egypt's tourist revenues, would dearly love to force his hand.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	force someone's hand	literal	possessive	DET ADJ NOUN ADP VERB PROPN NOUN NOUN VERB ADV VERB PART VERB ADJ NOUN
Within a few weeks the market forced Paulson's hand and he had to take them over.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	ADP DET ADJ NOUN DET NOUN VERB PROPN NOUN CCONJ PRON VERB PART VERB PRON PART
Mozart's hand was forced.	1 1 0 1	force someone's hand	figurative	misc	PROPN NOUN VERB VERB
