‘ Someone's been telling tales …	0 0 0 1 1 0	tell tales	figurative	inflection	PUNCT NOUN VERB VERB NOUN PUNCT
The ‘ good’ child will often tell tales on the naughty one under the guise of helping the parents know what is going on.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	figurative	identical	DET PUNCT NOUN NOUN VERB ADV VERB NOUN ADP DET ADJ NUM ADP DET NOUN ADP VERB DET NOUN VERB NOUN VERB VERB PART
' She 'd tell us these tales on a dark December night, around the fire in the kitchen.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	insertion-other	PUNCT PRON VERB VERB PRON DET NOUN ADP DET ADJ PROPN NOUN ADP DET NOUN ADP DET NOUN
Both plays tell the universal and timeless tale of family relationships and how, when supposedly they are a place of union, harmony, love and protection, they are in fact in reality a source of discord and suffering more often than not.	0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	DET NOUN VERB DET ADJ CCONJ NOUN NOUN ADP NOUN NOUN CCONJ ADV ADV ADV PRON VERB DET NOUN ADP NOUN NOUN NOUN CCONJ NOUN PRON VERB ADP NOUN ADP NOUN DET NOUN ADP NOUN CCONJ VERB ADV ADV ADP ADV
On day three of his reports from the province, John Kane tells the wife's tale.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	tell tales	literal	combined-inflection	ADP NOUN NUM ADP ADJ NOUN ADP DET NOUN PROPN PROPN VERB DET NOUN NOUN
It purports to tell the tale of a tacky, tawdry beauty contest featuring comedian and cabaret luminary proper name Duggie Brown as the lewd compere Jack whose line in patter can only be described as lavatorial.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	figurative	combined-inflection	PRON VERB PART VERB DET NOUN ADP DET ADJ ADJ NOUN NOUN VERB NOUN CCONJ VERB ADJ ADJ NOUN PROPN PROPN ADP DET NOUN VERB PROPN ADJ NOUN ADP NOUN VERB ADV VERB VERB ADP ADJ
The catering staff are non - committal, and it seems very unlikely that they will be prepared to ‘ tell tales’ against either Chrissie or Fred.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	tell tales	figurative	dashes	DET NOUN NOUN VERB ADJ PUNCT ADJ CCONJ PRON VERB ADV ADJ ADP PRON VERB VERB ADJ PART PUNCT ADJ NOUN ADP DET PROPN CCONJ PROPN
Part of him longed to tell her the true tale, though, sending up the dour moralistic headmaster and the schoolgirl's screams at the sight of a perfectly natural part of his body.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	NOUN ADP PRON VERB PART VERB PRON DET ADJ NOUN ADV VERB PART DET ADJ NOUN NOUN CCONJ DET NOUN NOUN ADP DET NOUN ADP DET ADV ADJ NOUN ADP ADJ NOUN
You are always telling me tales of him rebuking you.	0 0 0 1 0 1 0 0 0 0	tell tales	figurative	combined-inflection	PRON VERB ADV VERB PRON NOUN ADP PRON VERB PRON
He 'd been there to pick her up when she fell off her first pony ; he 'd taught her to fish and to know about dogs, and whatever mischief she and Francis got up to, he never told a tale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tell tales	figurative	combined-inflection	PRON VERB VERB ADV PART VERB PRON PART ADV PRON VERB PART ADJ ADJ NOUN PUNCT PRON VERB VERB PRON PART VERB CCONJ PART VERB ADP NOUN CCONJ ADJ NOUN PRON CCONJ PROPN VERB PART ADP PRON ADV VERB DET NOUN
' The only car apart from a Rolls - Royce that he could fit into was an extra large Range Rover, ' says the driver, who also tells hair - raising tales of ferrying Maxwell about town.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	tell tales	literal	combined-inflection	PUNCT DET ADJ NOUN ADV ADP DET PROPN PUNCT PROPN ADP PRON VERB VERB ADP VERB DET ADJ ADJ PROPN PROPN PUNCT VERB DET NOUN NOUN ADV VERB NOUN PUNCT VERB NOUN ADP VERB PROPN ADP NOUN
I went back to the Maggot's foul house, where he kept his killer dog and astonishing collection of guns, and we sat on his makeshift verandah that overlooked a noxious and polluted creek and shared a few whiskies as he told me an incredibly tedious tale of how he had once sacked the quarterback of the San Francisco Sugar Plums.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	PRON VERB ADV ADP DET PROPN ADJ NOUN ADV PRON VERB ADJ NOUN NOUN CCONJ ADJ NOUN ADP NOUN CCONJ PRON VERB ADP ADJ ADJ NOUN ADJ VERB DET ADJ CCONJ ADJ NOUN CCONJ VERB DET ADJ NOUN ADP PRON VERB PRON DET ADV ADJ NOUN ADP ADV PRON VERB ADV VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN
Think I 'll sit down, rest the body and just listen while Adam tells the tale. '	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	tell tales	literal	combined-inflection	VERB PRON VERB VERB PART VERB DET NOUN CCONJ ADV VERB ADP PROPN VERB DET NOUN PUNCT
As soon as you spot caterpillars, their eggs or signs of caterpillar damage such as ragged holes in leaves and the tell - tale small faeces, search them out and squash them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	tell tales	figurative	combined-inflection	ADV ADV ADP PRON VERB NOUN ADJ NOUN CCONJ NOUN ADP NOUN NOUN ADJ ADP ADJ NOUN ADP NOUN CCONJ DET ADJ PUNCT NOUN ADJ NOUN VERB PRON PART CCONJ VERB PRON
