THE Goldsmith factor had beer shares on the hop yesterday.	0 0 0 0 0 0 1 0 1 0	on the hop	figurative	identical	DET ADJ NOUN VERB NOUN NOUN ADP DET NOUN NOUN
The Foreign Office lawyers were caught on the hop, leaving junior minister Garel - Jones to tell the Commons that if the Labour amendment went through, excising the protocol which allows Britain to opt out of the social chapter, the whole treaty would have to be torn up and all 12 countries begin the painful process again.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	DET PROPN PROPN NOUN VERB VERB ADP DET NOUN VERB ADJ NOUN PROPN PUNCT PROPN PART VERB DET PROPN ADP ADP DET PROPN NOUN VERB ADV VERB DET NOUN ADJ VERB PROPN PART VERB ADP ADP DET ADJ NOUN DET ADJ NOUN VERB VERB PART VERB VERB PART CCONJ DET NUM NOUN VERB DET ADJ NOUN ADV
Clinton win has marines on the hop	0 0 0 0 1 0 1	on the hop	figurative	identical	PROPN NOUN VERB NOUN ADP DET NOUN
I 'm sure a lot of Councillors were gob - smacked, and what happened is that Councillors were caught on the hop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the hop	figurative	identical	PRON VERB ADJ DET NOUN ADP PROPN VERB ADJ PUNCT ADJ CCONJ NOUN VERB VERB ADP PROPN VERB VERB ADP DET NOUN
Ace had caught her on the hop again.	0 0 0 0 1 0 1 0	on the hop	figurative	identical	PROPN VERB VERB PRON ADP DET NOUN ADV
TELEPHONE giant BT caught the City on the hop yesterday with a sweet £ 1bn deal in the US.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	NOUN NOUN PROPN VERB DET PROPN ADP DET NOUN NOUN ADP DET ADJ SYM ADJ NOUN ADP DET PROPN
Punk rock almost caught the NME on the hop, despite soothsaying the ‘ phenomenon’ in the fabled ‘ Sinking Of The Titanic’piece a year earlier.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	NOUN NOUN ADV VERB DET PROPN ADP DET NOUN ADP VERB DET PUNCT NOUN ADP DET ADJ DET NOUN ADP DET PROPN DET NOUN ADV
YORK : Police officers are being caught on the hop by an explosion of Easter bunnies.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the hop	figurative	identical	NOUN PUNCT NOUN NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP PROPN NOUN
After Gerald Williams had caught Pontypool on the hop with a 16th minute try, converted by Mark Wyatt, the Kiwi import changed the whole course of events.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	ADP PROPN PROPN VERB VERB NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN VERB ADP PROPN PROPN DET PROPN NOUN VERB DET ADJ NOUN ADP NOUN
If the women really are changing the parturition rules for the second time in ten years, it is probably more to keep the men on the hop than anything else — just as black people keep changing the name you are allowed to call them in order to keep whitey on his toes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	ADP DET NOUN ADV VERB VERB DET NOUN NOUN ADP DET ADJ NOUN ADP NUM NOUN PRON VERB ADV ADJ PART VERB DET NOUN ADP DET NOUN ADP NOUN ADV PUNCT ADV ADP ADJ NOUN VERB VERB DET NOUN PRON VERB VERB PART VERB PRON ADP NOUN PART VERB NOUN ADP ADJ NOUN
‘ It's always a good idea to keep them on the hop.’	0 0 0 0 0 0 0 0 0 1 0 1	on the hop	figurative	dashes	PUNCT PRON ADV DET ADJ NOUN PART VERB PRON ADP DET NOUN
