Yeah but it does rather sort of fit the bill doesn't it.	0 0 0 0 0 0 0 1 0 1 0 0	fit the bill	figurative	identical	INTJ CCONJ PRON VERB ADV ADV ADV VERB DET NOUN VERB PRON	▁Ye ah ▁but ▁it ▁does ▁rather ▁sort ▁of ▁fit ▁the ▁bill ▁does n ' t ▁it .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	INTJ INTJ CCONJ PRON VERB ADV ADV ADV VERB DET NOUN VERB VERB VERB VERB PRON PRON
Buchan fitted the bill perfectly ; he was an experienced, thoughtful player who was always seeking to improve his performance and working out moves for the next game.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	inflection	PROPN VERB DET NOUN ADV PUNCT PRON VERB DET ADJ ADJ NOUN NOUN VERB ADV VERB PART VERB ADJ NOUN CCONJ VERB PART NOUN ADP DET ADJ NOUN	▁Bu chan ▁fitted ▁the ▁bill ▁perfectly ▁ ; ▁he ▁was ▁an ▁experienced , ▁thought ful ▁player ▁who ▁was ▁always ▁seeking ▁to ▁improve ▁his ▁performance ▁and ▁working ▁out ▁moves ▁for ▁the ▁next ▁game .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET NOUN ADV PUNCT PUNCT PRON VERB DET ADJ ADJ ADJ ADJ NOUN NOUN VERB ADV VERB PART VERB ADJ NOUN CCONJ VERB PART NOUN ADP DET ADJ NOUN NOUN
Its excuse was that it did not have a computer programme that would fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADJ NOUN VERB ADP PRON VERB ADV VERB DET NOUN NOUN ADJ VERB VERB DET NOUN	▁It s ▁excuse ▁was ▁that ▁it ▁did ▁not ▁have ▁a ▁computer ▁programme ▁that ▁would ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ ADJ NOUN VERB ADP PRON VERB ADV VERB DET NOUN NOUN ADJ VERB VERB DET NOUN NOUN
Belgium did not fit the bill so it was decided to move Brazil ( who were to have played in Milan ) to Turin, bring West Germany to the rebuilt San Siro Stadium and send the Belgians to Verona.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	PROPN VERB ADV VERB DET NOUN ADP PRON VERB VERB PART VERB PROPN PUNCT NOUN VERB PART VERB VERB ADP PROPN PUNCT ADP PROPN VERB PROPN PROPN ADP DET VERB PROPN PROPN PROPN CCONJ VERB DET PROPN ADP PROPN	▁Belgium ▁did ▁not ▁fit ▁the ▁bill ▁so ▁it ▁was ▁decided ▁to ▁move ▁Brazil ▁( ▁who ▁were ▁to ▁have ▁played ▁in ▁Milan ▁ ) ▁to ▁Turin , ▁bring ▁West ▁Germany ▁to ▁the ▁re built ▁San ▁Sir o ▁Sta dium ▁and ▁send ▁the ▁Belgian s ▁to ▁Ver ona .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADV VERB DET NOUN ADP PRON VERB VERB PART VERB PROPN PUNCT NOUN VERB PART VERB VERB ADP PROPN PUNCT PUNCT ADP PROPN PROPN VERB PROPN PROPN ADP DET VERB VERB PROPN PROPN PROPN PROPN PROPN CCONJ VERB DET PROPN PROPN ADP PROPN PROPN PROPN
Former telephone operators fitted the bill perfectly — They 're naturals ' claimed Mr Irwin.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	fit the bill	figurative	inflection	ADJ NOUN NOUN VERB DET NOUN ADV PUNCT PRON VERB NOUN PUNCT VERB PROPN PROPN	▁Former ▁telephone ▁operators ▁fitted ▁the ▁bill ▁perfectly ▁ — ▁They ▁' re ▁natural s ▁' ▁claimed ▁Mr ▁I r win .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN VERB DET NOUN ADV PUNCT PUNCT PRON VERB VERB NOUN NOUN PUNCT VERB PROPN PROPN PROPN PROPN PROPN
We, very seldom that we have boiled potatoes but if I wanted a potato I think to cover all the needs to keep, I would go for Desiree because that one will fit almost any bill at all, it 'll do everything, it's the best all round potato, late potato that I have ever grown and eaten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	combined-other	PRON ADV ADV ADJ PRON VERB VERB NOUN CCONJ ADP PRON VERB DET NOUN PRON VERB PART VERB ADJ DET NOUN PART VERB PRON VERB VERB ADP PROPN ADP DET NOUN VERB VERB ADV DET NOUN ADV ADV PRON VERB VERB NOUN PRON DET ADJ DET ADJ NOUN ADJ NOUN ADJ PRON VERB ADV VERB CCONJ VERB	▁We , ▁very ▁seldom ▁that ▁we ▁have ▁boiled ▁potatoes ▁but ▁if ▁I ▁wanted ▁a ▁potato ▁I ▁think ▁to ▁cover ▁all ▁the ▁needs ▁to ▁keep , ▁I ▁would ▁go ▁for ▁Des ire e ▁because ▁that ▁one ▁will ▁fit ▁almost ▁any ▁bill ▁at ▁all , ▁it ▁' ll ▁do ▁everything , ▁it ' s ▁the ▁best ▁all ▁round ▁potato , ▁late ▁potato ▁that ▁I ▁have ▁ever ▁grown ▁and ▁eaten .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON ADV ADV ADJ PRON VERB VERB NOUN CCONJ ADP PRON VERB DET NOUN PRON VERB PART VERB ADJ DET NOUN PART VERB VERB PRON VERB VERB ADP PROPN PROPN PROPN ADP DET NOUN VERB VERB ADV DET NOUN ADV ADV ADV PRON VERB VERB VERB NOUN NOUN PRON PRON PRON DET ADJ DET ADJ NOUN NOUN ADJ NOUN ADJ PRON VERB ADV VERB CCONJ VERB VERB
I am not expert enough to say which of the banding systems best fits the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	PRON VERB ADV ADJ ADV PART VERB ADJ ADP DET VERB NOUN ADJ VERB DET NOUN	▁I ▁am ▁not ▁expert ▁enough ▁to ▁say ▁which ▁of ▁the ▁band ing ▁systems ▁best ▁fits ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV ADJ ADV PART VERB ADJ ADP DET VERB VERB NOUN ADJ VERB DET NOUN NOUN
Mr Lamont doesn't fit the bill.	0 0 0 1 0 1	fit the bill	figurative	identical	PROPN PROPN VERB VERB DET NOUN	▁Mr ▁La mont ▁does n ' t ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN VERB VERB VERB VERB VERB DET NOUN NOUN
Sadly, very few systems are yet available which really fit the bill.	0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADV ADV ADJ NOUN VERB ADV ADJ ADJ ADV VERB DET NOUN	▁Sad ly , ▁very ▁few ▁systems ▁are ▁yet ▁available ▁which ▁really ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV ADV ADV ADJ NOUN VERB ADV ADJ ADJ ADV VERB DET NOUN NOUN
We had a telephone system which fitted the bill for them — exactly.	0 0 0 0 0 0 1 0 1 0 0 0 0	fit the bill	figurative	inflection	PRON VERB DET NOUN NOUN ADJ VERB DET NOUN ADP PRON PUNCT ADV	▁We ▁had ▁a ▁telephone ▁system ▁which ▁fitted ▁the ▁bill ▁for ▁them ▁ — ▁exactly .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB DET NOUN NOUN ADJ VERB DET NOUN ADP PRON PUNCT PUNCT ADV ADV
Most guitarists would expect to pay anything between £ 500 and £ 1000 for an all - American, quality - built, pro - standard instrument, and as the EGs here fit that bill, their asking price of around £ 800 would seem reasonable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	determiner-narrow	ADJ NOUN VERB VERB PART VERB NOUN ADP SYM NUM CCONJ SYM NUM ADP DET ADV PUNCT ADJ NOUN PUNCT VERB ADJ PUNCT ADJ NOUN CCONJ ADP DET NOUN ADV VERB DET NOUN ADJ NOUN NOUN ADP ADP SYM NUM VERB VERB ADJ	▁Most ▁g uit arist s ▁would ▁expect ▁to ▁pay ▁anything ▁between ▁£ ▁500 ▁and ▁£ ▁1000 ▁for ▁an ▁all ▁- ▁American , ▁quality ▁- ▁built , ▁pro ▁- ▁standard ▁instrument , ▁and ▁as ▁the ▁ EG s ▁here ▁fit ▁that ▁bill , ▁their ▁asking ▁price ▁of ▁around ▁£ ▁800 ▁would ▁seem ▁reasonable .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN NOUN NOUN VERB VERB PART VERB NOUN ADP SYM NUM CCONJ SYM NUM ADP DET ADV PUNCT ADJ ADJ NOUN PUNCT VERB VERB ADJ PUNCT ADJ NOUN NOUN CCONJ ADP DET NOUN NOUN NOUN ADV VERB DET NOUN NOUN ADJ NOUN NOUN ADP ADP SYM NUM VERB VERB ADJ ADJ
