Actually you 've hit the nail on the head there didn't you?	0 0 0 1 0 1 1 0 1 0 0 0	hit the nail on the head	figurative	identical	ADV PRON VERB VERB DET NOUN ADP DET NOUN ADV VERB PRON
The nail is hit fairly and most squarely on the head.	0 1 0 1 0 0 0 0 1 0 1	hit the nail on the head	figurative	misc	DET NOUN VERB VERB ADV CCONJ ADV ADV ADP DET NOUN
In an unusually perceptive liner note, Robert Layton hits the nail on the head when he says ‘ It is the exercise of true symphonic discipline that removes the Tenth from the private world to the universal’.	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the nail on the head	figurative	inflection	ADP DET ADV ADJ NOUN NOUN PROPN PROPN VERB DET NOUN ADP DET NOUN ADV PRON VERB PUNCT PRON VERB DET NOUN ADP ADJ ADJ NOUN ADJ VERB DET PROPN ADP DET ADJ NOUN ADP DET NOUN
Geraldine Lynn hit the nail on the head with Sick blokes ( February SHE ).	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0	hit the nail on the head	figurative	identical	PROPN PROPN VERB DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT PROPN PROPN PUNCT
She might dislike Piers Morrison, but he had a knack of hitting the nail on the head.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	hit the nail on the head	figurative	inflection	PRON VERB VERB PROPN PROPN CCONJ PRON VERB DET NOUN ADP VERB DET NOUN ADP DET NOUN
The moment she said it she knew she had hit the nail on the head.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	hit the nail on the head	figurative	identical	DET NOUN PRON VERB PRON PRON VERB PRON VERB VERB DET NOUN ADP DET NOUN
Because it, as you say, you hit the nail on the head there you 've spent too much, they 're on your back for spending too much.	0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the nail on the head	figurative	identical	ADP PRON ADP PRON VERB PRON VERB DET NOUN ADP DET NOUN ADV PRON VERB VERB ADV ADJ PRON VERB ADP ADJ NOUN ADP VERB ADV ADV
Moving on, and if I may say so, you have hit the nail on the head with your reference to the registration and its rarely stated function to boost the circulation of the LTA's own magazine.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the nail on the head	figurative	identical	VERB PART CCONJ ADP PRON VERB VERB ADV PRON VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ ADJ ADV VERB NOUN PART VERB DET NOUN ADP DET PROPN ADJ NOUN
It certainly seems to specialise in hitting nails on heads at just the right moment.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	hit the nail on the head	figurative	combined-inflection	PRON ADV VERB PART VERB ADP VERB NOUN ADP NOUN ADP ADV DET ADJ NOUN
I 've been having some quite intelligent guesses but no one's hit the nail on the head.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	hit the nail on the head	figurative	identical	PRON VERB VERB VERB DET ADV ADJ NOUN CCONJ DET NOUN VERB DET NOUN ADP DET NOUN
‘ Are you admitting I 've hit the nail on the head?’	0 0 0 0 0 0 1 0 1 1 0 1	hit the nail on the head	figurative	dashes	PUNCT VERB PRON VERB PRON VERB VERB DET NOUN ADP DET NOUN
Escapism, exactly, you 've hit the nail on the head there Dee, escapism.	0 0 0 0 1 0 1 1 0 1 0 0 0	hit the nail on the head	figurative	identical	NOUN ADV PRON VERB VERB DET NOUN ADP DET NOUN ADV PROPN NOUN
