As I say, it is the chorus which too often fails to rise to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	ADP PRON VERB PRON VERB DET NOUN ADJ ADV ADV VERB PART VERB ADP DET NOUN
She hoped that he wouldn't suggest coming up for a coffee ; she didn't think she could rise to a social occasion at this particular moment, so she was thankful to accept her car keys, bid him a hurried, ' Safe journey, ' and close the door again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	combined-other	PRON VERB ADP PRON VERB VERB VERB PART ADP DET NOUN PUNCT PRON VERB VERB PRON VERB VERB ADP DET ADJ NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADJ PART VERB ADJ NOUN NOUN VERB PRON DET ADJ PUNCT ADJ NOUN PUNCT CCONJ VERB DET NOUN ADV
In 1966, however, when Mao began his dramatic bid for absolute power, using young Red Guards to discredit and persecute his old rivals within the party, Chen again rose to the occasion, acting as a mouthpiece for Mao's increasingly scrambled thoughts and policies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	ADP NUM ADV ADV PROPN VERB ADJ ADJ NOUN ADP ADJ NOUN VERB ADJ PROPN PROPN PART VERB CCONJ VERB ADJ ADJ NOUN ADP DET NOUN PROPN ADV VERB ADP DET NOUN VERB ADP DET NOUN ADP PROPN ADV VERB NOUN CCONJ NOUN
And as she attended the first parade of the Princess of Wales's Royal Regiment, she joked : ‘ It has to be said that for a 31-year - old woman to have 2,500 men under her command is quite a feat but I am sure I will rise to the occasion.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	dashes	CCONJ ADP PRON VERB DET ADJ NOUN ADP DET PROPN ADP PROPN PROPN PROPN PRON VERB PUNCT PUNCT PRON VERB PART VERB VERB ADP ADP DET NUM PUNCT ADJ NOUN PART VERB NUM NOUN ADP ADJ NOUN VERB ADJ DET NOUN CCONJ PRON VERB ADJ PRON VERB VERB ADP DET NOUN
At the same time, the ensemble certainly rises to the occasion especially when Brahms is in his most dynamic mood — not surprisingly, the ‘ gypsy rondo’ Finale of G minor Piano Quartet is a highpoint, the Hungarians revelling in its unbridled exuberance.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	ADP DET ADJ NOUN DET NOUN ADV VERB ADP DET NOUN ADV ADV PROPN VERB ADP ADJ ADJ ADJ NOUN PUNCT ADV ADV DET ADJ NOUN NOUN PROPN ADP PROPN ADJ PROPN PROPN VERB DET NOUN DET PROPN VERB ADP ADJ ADJ NOUN
Obviously I agree with you that we should be putting the kids in challenging situations where that they 've got ta rise to the occasion and use language in an effective way, but I don't know whether this is the best way, these er er er, you know, a series of how much space of you got?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	ADV PRON VERB ADP PRON ADP PRON VERB VERB VERB DET NOUN ADP ADJ NOUN ADV ADP PRON VERB VERB PART VERB ADP DET NOUN CCONJ VERB NOUN ADP DET ADJ NOUN CCONJ PRON VERB VERB ADP DET VERB DET ADJ NOUN DET INTJ INTJ INTJ PRON VERB DET NOUN ADP ADV ADJ NOUN ADP PRON VERB
Anton Kuerti provides a vibrant and characterful solo contribution in the Concerto ( though the slow movement is distinctly short on poetry ), and the orchestra rises to the occasion well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	rise to the occasion	figurative	inflection	PROPN PROPN VERB DET ADJ CCONJ ADJ NOUN NOUN ADP DET PROPN PUNCT ADP DET ADJ NOUN VERB ADV ADJ ADP NOUN PUNCT CCONJ DET NOUN VERB ADP DET NOUN ADV
Not to be outdone, the British film industry has risen to this momentous occasion, too.	0 0 0 0 0 0 0 0 0 1 1 0 0 1 0	rise to the occasion	figurative	combined-inflection	ADV PART VERB VERB DET ADJ NOUN NOUN VERB VERB ADP DET ADJ NOUN ADV
He could not therefore help but rise to the occasion, as he had risen to it before.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	PRON VERB ADV ADV VERB CCONJ VERB ADP DET NOUN ADP PRON VERB VERB ADP PRON ADV
When this happens, look back to the referendum of April 25th and remember its foremost message : that Russians nowadays can rise to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	ADV DET VERB VERB ADV ADP DET NOUN ADP PROPN NOUN CCONJ VERB ADJ ADJ NOUN PUNCT ADP PROPN ADV VERB VERB ADP DET NOUN
THEY might be the underdogs but Sunder land have proved in the past that when it comes to Wembley finals they can rise to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	PRON VERB VERB DET NOUN CCONJ PROPN NOUN VERB VERB ADP DET NOUN ADP ADV PRON VERB ADP PROPN NOUN PRON VERB VERB ADP DET NOUN
Another who rose to the occasion was the shadow Scottish Secretary, Tom Clarke, whose speech, while a little lacking in vision, was delivered with a verve which must surely silence his critics.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	DET NOUN VERB ADP DET NOUN VERB DET NOUN PROPN PROPN PROPN PROPN ADJ NOUN ADP DET ADJ ADJ ADP NOUN VERB VERB ADP DET NOUN ADJ VERB ADV VERB ADJ NOUN
TRYTON INN rises to the occasion!	0 0 1 1 0 1	rise to the occasion	figurative	inflection	NOUN PROPN VERB ADP DET NOUN
But German exchange students Bjorn Dittrich and Nina Roth rose to the occasion admirably on their recent placement at Wimpey Homes Witham.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	CCONJ ADJ NOUN VERB PROPN PROPN CCONJ PROPN PROPN VERB ADP DET NOUN ADV ADP ADJ ADJ NOUN ADP PROPN PROPN PROPN
I said yes I can rise to the occasion as well.	0 0 0 0 0 1 1 0 1 0 0	rise to the occasion	figurative	identical	PRON VERB INTJ PRON VERB VERB ADP DET NOUN ADV ADV
Over the first two days most of the home points had been garnered by the Big Four comprising Seve Ballesteros, Jose Maria Olazabal, Nick Faldo and Ian Woosnam but in the end it was the third Spaniard and the middle - aged Irishman who rose to the occasion when their contribution was needed most.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	rise to the occasion	figurative	inflection	ADP DET ADJ NUM NOUN ADJ ADP DET NOUN NOUN VERB VERB VERB ADP DET PROPN PROPN VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN CCONJ ADP DET NOUN PRON VERB DET ADJ PROPN CCONJ DET NOUN PUNCT ADJ PROPN NOUN VERB ADP DET NOUN ADV ADJ NOUN VERB VERB ADV
Later, when serious - minded Scandinavians handed in a dead salmon, Sir Walter would rise to the occasion by sending down his chef to collect it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	ADV ADV ADJ PUNCT ADJ PROPN VERB PART DET ADJ NOUN PROPN PROPN VERB VERB ADP DET NOUN ADP VERB ADP ADJ NOUN PART VERB PRON
When it fails to rise to the occasion, I no longer get rattled and threaten to chop it off with a pair of barber's scissors, tie it up in a sack and drop it down a deep, dark well.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	ADV PRON VERB PART VERB ADP DET NOUN PRON ADV ADV VERB VERB CCONJ VERB PART VERB PRON PART ADP DET NOUN ADP NOUN NOUN VERB PRON PART ADP DET NOUN CCONJ VERB PRON PART DET ADJ ADJ ADV
THE ministerial meeting of the Group of 24 industrial market economies in Brussels today will provide the first test of whether the West is ready to rise to the occasion in Eastern Europe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	rise to the occasion	figurative	identical	DET ADJ NOUN ADP DET PROPN ADP NUM ADJ NOUN NOUN ADP PROPN NOUN VERB VERB DET ADJ NOUN ADP ADP DET PROPN VERB ADJ PART VERB ADP DET NOUN ADP PROPN PROPN
As the only exits are through the roof, he must rise to the occasion — find a key that controls the fans that lie directly underneath them, and float up on a jet of fresh air!	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	ADP DET ADJ NOUN VERB ADP DET NOUN PRON VERB VERB ADP DET NOUN PUNCT VERB DET NOUN ADJ VERB DET NOUN ADJ VERB ADV ADP PRON CCONJ VERB PART ADP DET NOUN ADP ADJ NOUN
Hazlitt found the humbler job of reporting parliament for the Morning Chronicle ; we find him describing how one MP rose to a parliamentary occasion by ' soaring into mediocrity, ' a joke any modern sketchwriter would be proud to use and probably has.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	combined-inflection	PROPN VERB DET NOUN NOUN ADP VERB NOUN ADP DET PROPN PROPN PUNCT PRON VERB PRON VERB ADV NUM PROPN VERB ADP DET ADJ NOUN ADP PUNCT VERB ADP NOUN PUNCT DET NOUN DET ADJ NOUN VERB VERB ADJ PART VERB CCONJ ADV VERB
Yorkshire are determined to avenge their defeat in last season's final at Twickenham, and are hoping Atkins ' clubmate Guy Easterby, making his county debut at scrum half, will rise to the occasion in front of a 14,000 capacity crowd.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	PROPN VERB VERB PART VERB ADJ NOUN ADP ADJ NOUN ADJ ADP PROPN CCONJ VERB VERB PROPN PART NOUN PROPN PROPN VERB ADJ NOUN NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN ADP DET NUM NOUN NOUN
Er, as I have said, I haven't done Woodrow Wilson before in the past, so, so it was an experiment, and erm, I must admit, yo you rose to the occasion excellently.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	rise to the occasion	figurative	inflection	INTJ ADP PRON VERB VERB PRON VERB VERB PROPN PROPN ADV ADP DET NOUN CCONJ CCONJ PRON VERB DET NOUN CCONJ NOUN PRON VERB VERB PROPN PRON VERB ADP DET NOUN ADV
No doubt when money is required in the future Long Riston residents will rise to the occasion once more.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	rise to the occasion	figurative	identical	ADV ADV ADV NOUN VERB VERB ADP DET ADJ PROPN PROPN NOUN VERB VERB ADP DET NOUN ADV ADV
Howell rose to the occasion and during the following nine years Bowdoin was transformed : among other changes, women were admitted for the first time, and hitherto neglected subjects like Afro - American studies added to the curriculum.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	PROPN VERB ADP DET NOUN CCONJ ADP DET VERB NUM NOUN PROPN VERB VERB PUNCT ADP ADJ NOUN NOUN VERB VERB ADP DET ADJ NOUN CCONJ ADV VERB NOUN ADP PROPN PUNCT ADJ NOUN VERB ADP DET NOUN
I also knew that, when challenged, Niki would rise to the occasion.	0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	PRON ADV VERB ADP ADV VERB PROPN VERB VERB ADP DET NOUN
Sue Veasey, Steven Leiper, Shirley Cooke and Anne Tait rose to the occasion with excellent speeches to round off a very enjoyable event.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADP DET NOUN ADP ADJ NOUN PART VERB PART DET ADV ADJ NOUN
And as she attended the first parade of the Princess of Wales's Royal Regiment, she joked : ‘ It has to be said that for a 31-year - old woman to have 2,500 men under her command is quite a feat but I am sure I will rise to the occasion.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	dashes	CCONJ ADP PRON VERB DET ADJ NOUN ADP DET PROPN ADP PROPN PROPN PROPN PRON VERB PUNCT PUNCT PRON VERB PART VERB VERB ADP ADP DET NUM PUNCT ADJ NOUN PART VERB NUM NOUN ADP ADJ NOUN VERB ADJ DET NOUN CCONJ PRON VERB ADJ PRON VERB VERB ADP DET NOUN
‘ Certainly it is a very poor play — but what a challenge for the actors and how well they rose to the occasion.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	combined-inflection	PUNCT ADV PRON VERB DET ADV ADJ NOUN PUNCT CCONJ ADJ DET NOUN ADP DET NOUN CCONJ ADV ADV PRON VERB ADP DET NOUN
Rise to the occasion.	1 1 0 1	rise to the occasion	figurative	case	VERB ADP DET NOUN
Sometimes the strong sense of form causes individuals to rise to the occasion or if they do not, their inadequacy can be contained by the form itself.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	ADV DET ADJ NOUN ADP NOUN VERB NOUN PART VERB ADP DET NOUN CCONJ ADP PRON VERB ADV ADJ NOUN VERB VERB VERB ADP DET NOUN PRON
When Durbeyfield heard he would only get a few shillings for Prince's dead body, he rose to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	inflection	ADV PROPN VERB PRON VERB ADV VERB DET ADJ NOUN ADP PROPN ADJ NOUN PRON VERB ADP DET NOUN
Louise rose to the occasion.	0 1 1 0 1	rise to the occasion	figurative	inflection	PROPN VERB ADP DET NOUN
Bush ended his speech by returning to the Desert War theme and informing his audience that"We are still the freest nation on earth ; the kindest nation on earth ; the strongest nation on earth ; and we have always risen to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	inflection	PROPN VERB ADJ NOUN ADP VERB ADP DET PROPN PROPN NOUN CCONJ VERB ADJ NOUN NOUN VERB ADV DET ADJ NOUN ADP NOUN PUNCT DET ADJ NOUN ADP NOUN PUNCT DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV VERB ADP DET NOUN
‘ People talk about athletes who can rise to the occasion, about Joe Montana and Michael Jordan,’ Craig said.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	PUNCT NOUN VERB ADP NOUN NOUN VERB VERB ADP DET NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN VERB
This is Levitation — can they rise to the occasion?	0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	DET VERB PROPN PUNCT VERB PRON VERB ADP DET NOUN
Some leaders, such as Nelson ~ Mandela, rise to the historic occasion, against all odds.	0 0 0 0 0 0 0 1 1 0 0 1 0 0 0	rise to the occasion	figurative	insertion-other	DET NOUN ADJ ADP PROPN PUNCT PROPN VERB ADP DET ADJ NOUN ADP DET NOUN
It knew it was playing a role in history, and it rose to the occasion.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	inflection	PRON VERB PRON VERB VERB DET NOUN ADP NOUN CCONJ PRON VERB ADP DET NOUN
The statistics, however, fail to take into account the effect pressure has on players and an ability to rise to an occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	determiner-narrow	DET NOUN ADV VERB PART VERB ADP NOUN DET NOUN NOUN VERB ADP NOUN CCONJ DET NOUN PART VERB ADP DET NOUN
‘ It didn't seem to rise to the occasion.	0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	PUNCT PRON VERB VERB PART VERB ADP DET NOUN
